"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",109.92000,2000,22000,"uV"

"time","value"
109.92000,-6.330534276
109.92050,-6.635728684
109.92100,-6.025339868
109.92150,-6.025339868
109.92200,-6.635728684
109.92250,-6.940923091
109.92300,-6.635728684
109.92350,-5.72014546
109.92400,-4.804562237
109.92450,-4.194173422
109.92500,-3.888979014
109.92550,-2.668201383
109.92600,-0.8370349373
109.92650,0.3837426935
109.92700,0.6889371012
109.92750,0.6889371012
109.92800,2.21490914
109.92850,4.961658809
109.92900,6.792825255
109.92950,7.098019663
109.93000,6.792825255
109.93050,7.098019663
109.93100,7.708408478
109.93150,7.403214071
109.93200,6.487630848
109.93250,5.572047624
109.93300,4.961658809
109.93350,4.351269994
109.93400,2.825297955
109.93450,1.299325917
109.93500,0.07854828584
109.93550,-0.2266461219
109.93600,-0.8370349373
109.93650,-2.363006976
109.93700,-3.583784607
109.93750,-3.888979014
109.93800,-2.973395791
109.93850,-3.278590199
109.93900,-5.414951053
109.93950,-7.551311907
109.94000,-8.161700722
109.94050,-8.161700722
109.94100,-8.46689513
109.94150,-9.687672761
109.94200,-9.992867168
109.94250,-9.687672761
109.94300,-8.772089538
109.94350,-8.161700722
109.94400,-8.161700722
109.94450,-7.551311907
109.94500,-5.72014546
109.94550,-2.363006976
109.94600,0.3837426935
109.94650,0.9941315089
109.94700,0.6889371012
109.94750,1.604520324
109.94800,4.046075586
109.94850,6.18243644
109.94900,7.708408478
109.94950,9.539574925
109.95000,12.28632459
109.95050,14.11749104
109.95100,13.81229663
109.95150,12.591519
109.95200,11.06554696
109.95250,9.539574925
109.95300,7.708408478
109.95350,6.487630848
109.95400,6.18243644
109.95450,6.487630848
109.95500,5.877242032
109.95550,3.740881178
109.95600,1.299325917
109.95650,0.07854828584
109.95700,-0.2266461219
109.95750,-0.8370349373
109.95800,-2.057812568
109.95850,-3.583784607
109.95900,-4.49936783
109.95950,-6.025339868
109.96000,-8.161700722
109.96050,-10.29806158
109.96100,-11.2136448
109.96150,-9.992867168
109.96200,-8.46689513
109.96250,-7.246117499
109.96300,-6.330534276
109.96350,-4.804562237
109.96400,-3.278590199
109.96450,-2.668201383
109.96500,-2.363006976
109.96550,-2.057812568
109.96600,-0.8370349373
109.96650,0.07854828584
109.96700,1.299325917
109.96750,2.825297955
109.96800,4.351269994
109.96850,6.487630848
109.96900,8.623991701
109.96950,11.06554696
109.97000,12.591519
109.97050,13.20190782
109.97100,13.50710222
109.97150,13.50710222
109.97200,13.20190782
109.97250,12.28632459
109.97300,11.37074137
109.97350,10.45515815
109.97400,9.234380517
109.97450,7.403214071
109.97500,4.961658809
109.97550,3.740881178
109.97600,3.740881178
109.97650,3.435686771
109.97700,2.520103547
109.97750,1.604520324
109.97800,0.9941315089
109.97850,0.3837426935
109.97900,-1.142229345
109.97950,-3.583784607
109.98000,-4.49936783
109.98050,-5.109756645
109.98100,-6.635728684
109.98150,-9.382478353
109.98200,-10.60325598
109.98250,-9.382478353
109.98300,-7.246117499
109.98350,-5.72014546
109.98400,-4.194173422
109.98450,-2.363006976
109.98500,-0.8370349373
109.98550,-0.5318405296
109.98600,-0.2266461219
109.98650,1.299325917
109.98700,4.351269994
109.98750,5.572047624
109.98800,5.877242032
109.98850,6.487630848
109.98900,7.708408478
109.98950,7.708408478
109.99000,6.487630848
109.99050,5.877242032
109.99100,7.098019663
109.99150,7.098019663
109.99200,5.572047624
109.99250,3.740881178
109.99300,4.046075586
109.99350,5.877242032
109.99400,7.098019663
109.99450,6.18243644
109.99500,3.435686771
109.99550,-0.2266461219
109.99600,-1.75261816
109.99650,-0.5318405296
109.99700,0.07854828584
109.99750,-3.278590199
109.99800,-9.687672761
109.99850,-12.73961684
109.99900,-11.51883921
109.99950,-9.382478353
110.00000,-9.382478353
110.00050,-8.772089538
110.00100,-6.635728684
110.00150,-6.025339868
110.00200,-8.161700722
110.00250,-9.687672761
110.00300,-8.46689513
110.00350,-6.635728684
110.00400,-6.940923091
110.00450,-7.856506314
110.00500,-6.330534276
110.00550,-4.194173422
110.00600,-4.194173422
110.00650,-4.49936783
110.00700,-2.668201383
110.00750,0.3837426935
110.00800,2.520103547
110.00850,3.130492363
110.00900,4.046075586
110.00950,5.572047624
110.01000,6.487630848
110.01050,6.792825255
110.01100,7.708408478
110.01150,8.623991701
110.01200,7.403214071
110.01250,5.572047624
110.01300,5.266853217
110.01350,6.792825255
110.01400,6.792825255
110.01450,4.656464401
110.01500,2.825297955
110.01550,2.825297955
110.01600,3.130492363
110.01650,1.909714732
110.01700,0.07854828584
110.01750,-0.5318405296
110.01800,-0.5318405296
110.01850,-1.142229345
110.01900,-1.75261816
110.01950,-2.057812568
110.02000,-2.668201383
110.02050,-3.888979014
110.02100,-5.72014546
110.02150,-7.551311907
110.02200,-8.772089538
110.02250,-8.772089538
110.02300,-7.246117499
110.02350,-5.414951053
110.02400,-4.804562237
110.02450,-5.414951053
110.02500,-5.414951053
110.02550,-3.278590199
110.02600,-0.8370349373
110.02650,0.07854828584
110.02700,0.6889371012
110.02750,0.9941315089
110.02800,2.21490914
110.02850,3.740881178
110.02900,5.877242032
110.02950,8.013602886
110.03000,10.14996374
110.03050,11.67593578
110.03100,11.67593578
110.03150,9.844769332
110.03200,7.708408478
110.03250,6.18243644
110.03300,6.18243644
110.03350,5.572047624
110.03400,3.435686771
110.03450,1.299325917
110.03500,0.07854828584
110.03550,-0.5318405296
110.03600,-2.668201383
110.03650,-4.49936783
110.03700,-5.109756645
110.03750,-4.49936783
110.03800,-4.804562237
110.03850,-5.414951053
110.03900,-5.109756645
110.03950,-5.109756645
110.04000,-7.246117499
110.04050,-10.60325598
110.04100,-12.12922802
110.04150,-11.2136448
110.04200,-10.60325598
110.04250,-11.2136448
110.04300,-10.60325598
110.04350,-8.161700722
110.04400,-6.330534276
110.04450,-6.330534276
110.04500,-6.330534276
110.04550,-4.194173422
110.04600,-1.447423753
110.04650,0.07854828584
110.04700,1.604520324
110.04750,4.351269994
110.04800,6.792825255
110.04850,7.098019663
110.04900,5.877242032
110.04950,5.877242032
110.05000,8.013602886
110.05050,10.14996374
110.05100,9.844769332
110.05150,8.929186109
110.05200,8.929186109
110.05250,9.844769332
110.05300,9.234380517
110.05350,7.403214071
110.05400,6.18243644
110.05450,5.572047624
110.05500,3.740881178
110.05550,0.6889371012
110.05600,-1.142229345
110.05650,-1.142229345
110.05700,-0.2266461219
110.05750,-0.8370349373
110.05800,-2.057812568
110.05850,-2.057812568
110.05900,-1.447423753
110.05950,-2.668201383
110.06000,-5.72014546
110.06050,-8.772089538
110.06100,-9.687672761
110.06150,-9.687672761
110.06200,-9.077283945
110.06250,-7.856506314
110.06300,-6.330534276
110.06350,-6.025339868
110.06400,-6.330534276
110.06450,-5.72014546
110.06500,-2.973395791
110.06550,0.07854828584
110.06600,2.21490914
110.06650,3.130492363
110.06700,3.435686771
110.06750,4.046075586
110.06800,5.572047624
110.06850,8.318797294
110.06900,11.06554696
110.06950,11.67593578
110.07000,10.14996374
110.07050,8.929186109
110.07100,9.539574925
110.07150,10.76035256
110.07200,11.06554696
110.07250,10.45515815
110.07300,9.539574925
110.07350,8.623991701
110.07400,7.098019663
110.07450,6.18243644
110.07500,5.877242032
110.07550,5.572047624
110.07600,4.351269994
110.07650,2.520103547
110.07700,0.6889371012
110.07750,-1.142229345
110.07800,-3.583784607
110.07850,-4.49936783
110.07900,-3.888979014
110.07950,-3.278590199
110.08000,-4.49936783
110.08050,-6.330534276
110.08100,-7.246117499
110.08150,-7.551311907
110.08200,-8.46689513
110.08250,-8.772089538
110.08300,-7.246117499
110.08350,-5.109756645
110.08400,-4.194173422
110.08450,-3.888979014
110.08500,-2.973395791
110.08550,-1.75261816
110.08600,-1.75261816
110.08650,-2.363006976
110.08700,-1.447423753
110.08750,0.6889371012
110.08800,3.130492363
110.08850,4.351269994
110.08900,4.961658809
110.08950,5.266853217
110.09000,4.656464401
110.09050,4.046075586
110.09100,4.656464401
110.09150,6.487630848
110.09200,7.403214071
110.09250,6.18243644
110.09300,4.961658809
110.09350,4.656464401
110.09400,4.656464401
110.09450,2.825297955
110.09500,0.07854828584
110.09550,-1.75261816
110.09600,-1.75261816
110.09650,-2.057812568
110.09700,-3.888979014
110.09750,-7.246117499
110.09800,-9.382478353
110.09850,-10.29806158
110.09900,-9.992867168
110.09950,-9.687672761
110.10000,-9.687672761
110.10050,-10.90845039
110.10100,-12.12922802
110.10150,-12.43442243
110.10200,-10.60325598
110.10250,-8.46689513
110.10300,-8.161700722
110.10350,-9.382478353
110.10400,-9.382478353
110.10450,-7.856506314
110.10500,-6.025339868
110.10550,-5.109756645
110.10600,-3.278590199
110.10650,-0.2266461219
110.10700,2.21490914
110.10750,4.046075586
110.10800,5.572047624
110.10850,8.013602886
110.10900,9.234380517
110.10950,8.318797294
110.11000,6.792825255
110.11050,7.098019663
110.11100,7.708408478
110.11150,7.098019663
110.11200,5.572047624
110.11250,5.877242032
110.11300,7.098019663
110.11350,8.318797294
110.11400,8.013602886
110.11450,7.403214071
110.11500,6.487630848
110.11550,4.961658809
110.11600,2.825297955
110.11650,1.299325917
110.11700,0.07854828584
110.11750,-0.8370349373
110.11800,-2.363006976
110.11850,-3.278590199
110.11900,-4.49936783
110.11950,-6.025339868
110.12000,-7.551311907
110.12050,-7.856506314
110.12100,-7.856506314
110.12150,-8.772089538
110.12200,-9.687672761
110.12250,-9.382478353
110.12300,-8.161700722
110.12350,-7.246117499
110.12400,-6.635728684
110.12450,-6.025339868
110.12500,-5.109756645
110.12550,-4.194173422
110.12600,-2.363006976
110.12650,-0.2266461219
110.12700,0.3837426935
110.12750,0.07854828584
110.12800,-0.2266461219
110.12850,0.6889371012
110.12900,2.21490914
110.12950,1.909714732
110.13000,1.909714732
110.13050,4.046075586
110.13100,7.403214071
110.13150,8.318797294
110.13200,7.403214071
110.13250,7.403214071
110.13300,9.234380517
110.13350,9.844769332
110.13400,8.623991701
110.13450,7.403214071
110.13500,7.708408478
110.13550,6.792825255
110.13600,4.046075586
110.13650,1.299325917
110.13700,0.07854828584
110.13750,-0.2266461219
110.13800,-2.668201383
110.13850,-6.330534276
110.13900,-7.856506314
110.13950,-6.940923091
110.14000,-6.940923091
110.14050,-9.077283945
110.14100,-11.82403361
110.14150,-11.82403361
110.14200,-10.29806158
110.14250,-9.382478353
110.14300,-9.382478353
110.14350,-8.161700722
110.14400,-5.109756645
110.14450,-2.973395791
110.14500,-2.668201383
110.14550,-2.668201383
110.14600,-0.8370349373
110.14650,1.604520324
110.14700,2.825297955
110.14750,3.130492363
110.14800,4.961658809
110.14850,7.403214071
110.14900,8.929186109
110.14950,9.234380517
110.15000,9.844769332
110.15050,11.67593578
110.15100,13.20190782
110.15150,12.89671341
110.15200,11.98113019
110.15250,11.98113019
110.15300,12.28632459
110.15350,10.45515815
110.15400,6.487630848
110.15450,3.740881178
110.15500,3.435686771
110.15550,4.046075586
110.15600,2.825297955
110.15650,-0.2266461219
110.15700,-3.278590199
110.15750,-4.49936783
110.15800,-4.194173422
110.15850,-5.414951053
110.15900,-8.161700722
110.15950,-10.29806158
110.16000,-10.90845039
110.16050,-10.60325598
110.16100,-10.29806158
110.16150,-9.992867168
110.16200,-9.382478353
110.16250,-8.46689513
110.16300,-8.46689513
110.16350,-8.46689513
110.16400,-8.161700722
110.16450,-6.940923091
110.16500,-4.804562237
110.16550,-2.668201383
110.16600,-0.2266461219
110.16650,1.604520324
110.16700,3.740881178
110.16750,5.572047624
110.16800,7.403214071
110.16850,9.539574925
110.16900,11.67593578
110.16950,12.591519
110.17000,12.28632459
110.17050,11.37074137
110.17100,10.14996374
110.17150,8.623991701
110.17200,6.487630848
110.17250,4.961658809
110.17300,4.656464401
110.17350,5.266853217
110.17400,5.877242032
110.17450,5.877242032
110.17500,5.877242032
110.17550,5.266853217
110.17600,3.435686771
110.17650,0.9941315089
110.17700,0.07854828584
110.17750,0.07854828584
