"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",109.92000,2000,22000,"uV"

"time","value"
109.92000,-5.007872655
109.92050,-5.61826147
109.92100,-6.839039101
109.92150,-7.449427917
109.92200,-7.144233509
109.92250,-6.228650286
109.92300,-4.702678247
109.92350,-3.176706209
109.92400,-0.7351509471
109.92450,1.096015499
109.92500,2.31679313
109.92550,2.31679313
109.92600,2.31679313
109.92650,3.842765168
109.92700,6.589514838
109.92750,7.810292469
109.92800,5.673931615
109.92850,1.401209907
109.92900,-1.955928578
109.92950,-3.787095024
109.93000,-3.787095024
109.93050,-3.787095024
109.93100,-4.092289432
109.93150,-4.39748384
109.93200,-5.007872655
109.93250,-4.39748384
109.93300,-2.261122986
109.93350,-0.1247621317
109.93400,0.180432276
109.93450,-0.1247621317
109.93500,-1.040345355
109.93550,-1.345539762
109.93600,-1.65073417
109.93650,-3.176706209
109.93700,-5.007872655
109.93750,-5.61826147
109.93800,-5.61826147
109.93850,-5.313067063
109.93900,-4.39748384
109.93950,-1.955928578
109.94000,0.180432276
109.94050,1.401209907
109.94100,2.011598722
109.94150,2.927181945
109.94200,4.147959576
109.94250,3.232376353
109.94300,-0.1247621317
109.94350,-4.39748384
109.94400,-8.670205547
109.94450,-12.63773285
109.94500,-14.46889929
109.94550,-13.85851048
109.94600,-12.02734403
109.94650,-11.41695522
109.94700,-11.72214962
109.94750,-10.8065664
109.94800,-9.280594363
109.94850,-7.754622324
109.94900,-5.61826147
109.94950,-1.040345355
109.95000,5.063542799
109.95050,10.25184773
109.95100,14.21937503
109.95150,20.32326318
109.95200,28.25831778
109.95250,32.53103949
109.95300,28.8687066
109.95350,20.933652
109.95400,14.21937503
109.95450,9.946653322
109.95500,6.589514838
109.95550,3.842765168
109.95600,3.232376353
109.95650,4.758348392
109.95700,5.979126022
109.95750,5.368737207
109.95800,3.537570761
109.95850,1.096015499
109.95900,-1.345539762
109.95950,-4.39748384
109.96000,-6.839039101
109.96050,-6.839039101
109.96100,-5.007872655
109.96150,-2.566317393
109.96200,-1.955928578
109.96250,-3.176706209
109.96300,-4.39748384
109.96350,-3.787095024
109.96400,-2.261122986
109.96450,-1.345539762
109.96500,-1.65073417
109.96550,-0.7351509471
109.96600,0.7908210914
109.96650,1.706404315
109.96700,1.401209907
109.96750,0.180432276
109.96800,-0.1247621317
109.96850,-0.1247621317
109.96900,-0.4299565394
109.96950,-0.4299565394
109.97000,0.7908210914
109.97050,3.232376353
109.97100,3.232376353
109.97150,-0.1247621317
109.97200,-7.144233509
109.97250,-14.16370489
109.97300,-17.21564896
109.97350,-15.38448252
109.97400,-11.11176081
109.97450,-7.144233509
109.97500,-5.313067063
109.97550,-4.39748384
109.97600,-2.871511801
109.97650,-0.4299565394
109.97700,1.706404315
109.97750,2.927181945
109.97800,2.927181945
109.97850,2.621987538
109.97900,2.621987538
109.97950,4.147959576
109.98000,5.368737207
109.98050,4.453153984
109.98100,1.096015499
109.98150,-2.566317393
109.98200,-4.702678247
109.98250,-4.092289432
109.98300,-1.955928578
109.98350,1.401209907
109.98400,5.673931615
109.98450,8.725875692
109.98500,8.725875692
109.98550,6.28432043
109.98600,5.063542799
109.98650,6.589514838
109.98700,6.589514838
109.98750,0.180432276
109.98800,-12.02734403
109.98850,-24.23512034
109.98900,-30.6442029
109.98950,-30.6442029
109.99000,-26.98187001
109.99050,-21.48837067
109.99100,-15.38448252
109.99150,-11.11176081
109.99200,-10.50137199
109.99250,-11.72214962
109.99300,-11.41695522
109.99350,-7.144233509
109.99400,1.401209907
109.99450,13.60898621
109.99500,24.59598489
109.99550,28.56351219
109.99600,26.42715134
109.99650,28.56351219
109.99700,42.90764935
109.99750,65.18684112
109.99800,80.14136709
109.99850,78.00500624
109.99900,61.21931382
109.99950,38.94012205
110.00000,19.40767996
110.00050,6.28432043
110.00100,0.7908210914
110.00150,0.7908210914
110.00200,1.401209907
110.00250,-0.1247621317
110.00300,-3.176706209
110.00350,-4.702678247
110.00400,-4.702678247
110.00450,-4.39748384
110.00500,-4.39748384
110.00550,-5.007872655
110.00600,-5.923455878
110.00650,-7.144233509
110.00700,-8.059816732
110.00750,-8.36501114
110.00800,-8.975399955
110.00850,-9.58578877
110.00900,-9.280594363
110.00950,-8.975399955
110.01000,-8.975399955
110.01050,-9.58578877
110.01100,-9.58578877
110.01150,-8.36501114
110.01200,-7.449427917
110.01250,-7.754622324
110.01300,-8.36501114
110.01350,-8.059816732
110.01400,-6.839039101
110.01450,-5.313067063
110.01500,-4.39748384
110.01550,-5.007872655
110.01600,-7.449427917
110.01650,-9.890983178
110.01700,-10.19617759
110.01750,-9.280594363
110.01800,-8.975399955
110.01850,-8.975399955
110.01900,-7.144233509
110.01950,-4.39748384
110.02000,-4.39748384
110.02050,-7.449427917
110.02100,-7.449427917
110.02150,-1.955928578
110.02200,4.147959576
110.02250,3.537570761
110.02300,-2.871511801
110.02350,-8.670205547
110.02400,-9.58578877
110.02450,-7.449427917
110.02500,-6.839039101
110.02550,-7.449427917
110.02600,-6.533844693
110.02650,-4.092289432
110.02700,-1.955928578
110.02750,-1.955928578
110.02800,-3.176706209
110.02850,-3.787095024
110.02900,-2.566317393
110.02950,1.096015499
110.03000,8.115486876
110.03050,15.13495825
110.03100,19.40767996
110.03150,19.71287437
110.03200,16.35573588
110.03250,10.25184773
110.03300,2.621987538
110.03350,-3.176706209
110.03400,-5.007872655
110.03450,-4.702678247
110.03500,-5.923455878
110.03550,-9.890983178
110.03600,-13.24812166
110.03650,-11.72214962
110.03700,-6.533844693
110.03750,-1.345539762
110.03800,1.401209907
110.03850,3.232376353
110.03900,4.147959576
110.03950,4.453153984
110.04000,4.453153984
110.04050,4.147959576
110.04100,2.927181945
110.04150,1.401209907
110.04200,1.096015499
110.04250,2.011598722
110.04300,2.31679313
110.04350,1.096015499
110.04400,0.180432276
110.04450,1.096015499
110.04500,2.927181945
110.04550,2.31679313
110.04600,0.180432276
110.04650,-1.955928578
110.04700,-3.176706209
110.04750,-4.702678247
110.04800,-6.228650286
110.04850,-6.228650286
110.04900,-5.923455878
110.04950,-8.059816732
110.05000,-12.94292726
110.05050,-18.13123219
110.05100,-19.35200982
110.05150,-14.16370489
110.05200,-4.092289432
110.05250,6.28432043
110.05300,13.60898621
110.05350,15.44015266
110.05400,14.21937503
110.05450,12.69340299
110.05500,11.47262536
110.05550,8.725875692
110.05600,5.979126022
110.05650,5.063542799
110.05700,5.063542799
110.05750,2.011598722
110.05800,-5.313067063
110.05850,-12.02734403
110.05900,-12.33253844
110.05950,-6.839039101
110.06000,-1.65073417
110.06050,-0.7351509471
110.06100,-1.345539762
110.06150,-0.4299565394
110.06200,2.31679313
110.06250,4.453153984
110.06300,3.842765168
110.06350,2.31679313
110.06400,1.401209907
110.06450,2.011598722
110.06500,2.927181945
110.06550,2.621987538
110.06600,0.4856266837
110.06650,-2.566317393
110.06700,-5.923455878
110.06750,-8.36501114
110.06800,-9.280594363
110.06850,-8.975399955
110.06900,-8.36501114
110.06950,-7.144233509
110.07000,-6.228650286
110.07050,-5.61826147
110.07100,-5.007872655
110.07150,-4.39748384
110.07200,-2.871511801
110.07250,-0.1247621317
110.07300,3.842765168
110.07350,7.505098061
110.07400,7.505098061
110.07450,4.758348392
110.07500,1.706404315
110.07550,1.096015499
110.07600,2.621987538
110.07650,3.842765168
110.07700,3.537570761
110.07750,3.537570761
110.07800,5.673931615
110.07850,8.725875692
110.07900,10.55704214
110.07950,10.25184773
110.08000,8.115486876
110.08050,5.368737207
110.08100,3.842765168
110.08150,3.842765168
110.08200,4.453153984
110.08250,3.842765168
110.08300,1.706404315
110.08350,-0.1247621317
110.08400,-1.345539762
110.08450,-3.481900616
110.08500,-8.36501114
110.08550,-14.46889929
110.08600,-17.82603778
110.08650,-18.741621
110.08700,-19.96239863
110.08750,-21.18317626
110.08800,-19.35200982
110.08850,-14.46889929
110.08900,-10.8065664
110.08950,-9.280594363
110.09000,-4.702678247
110.09050,5.063542799
110.09100,13.30379181
110.09150,12.08301418
110.09200,6.28432043
110.09250,6.589514838
110.09300,15.74534707
110.09350,23.07001285
110.09400,18.18690233
110.09450,3.537570761
110.09500,-8.670205547
110.09550,-10.8065664
110.09600,-4.702678247
110.09650,2.621987538
110.09700,10.25184773
110.09750,21.54404082
110.09800,36.19337238
110.09850,45.34920462
110.09900,38.94012205
110.09950,18.49209674
110.10000,-2.566317393
110.10050,-15.68967692
110.10100,-24.23512034
110.10150,-33.69614698
110.10200,-39.49484073
110.10250,-34.00134139
110.10300,-17.82603778
110.10350,-1.955928578
110.10400,5.979126022
110.10450,9.031070099
110.10500,12.69340299
110.10550,19.40767996
110.10600,27.03754015
110.10650,32.22584508
110.10700,31.31026186
110.10750,24.29079048
110.10800,14.82976385
110.10850,8.115486876
110.10900,5.063542799
110.10950,2.621987538
110.11000,-0.4299565394
110.11050,-2.871511801
110.11100,-3.176706209
110.11150,-4.702678247
110.11200,-10.50137199
110.11250,-19.35200982
110.11300,-26.06628679
110.11350,-26.98187001
110.11400,-22.40395389
110.11450,-16.30006574
110.11500,-11.11176081
110.11550,-8.059816732
110.11600,-6.533844693
110.11650,-5.61826147
110.11700,-4.702678247
110.11750,-4.39748384
110.11800,-5.007872655
110.11850,-6.228650286
110.11900,-7.144233509
110.11950,-6.533844693
110.12000,-5.313067063
110.12050,-4.702678247
110.12100,-5.313067063
110.12150,-5.61826147
110.12200,-5.923455878
110.12250,-6.839039101
110.12300,-8.670205547
110.12350,-9.58578877
110.12400,-8.670205547
110.12450,-6.839039101
110.12500,-5.61826147
110.12550,-5.923455878
110.12600,-7.449427917
110.12650,-9.280594363
110.12700,-10.50137199
110.12750,-9.890983178
110.12800,-7.449427917
110.12850,-4.39748384
110.12900,-1.955928578
110.12950,-1.345539762
110.13000,-2.261122986
110.13050,-3.787095024
110.13100,-4.39748384
110.13150,-3.481900616
110.13200,-1.345539762
110.13250,0.7908210914
110.13300,2.621987538
110.13350,2.927181945
110.13400,2.011598722
110.13450,1.706404315
110.13500,4.453153984
110.13550,9.031070099
110.13600,11.77781977
110.13650,9.336264507
110.13700,4.147959576
110.13750,0.7908210914
110.13800,0.7908210914
110.13850,2.31679313
110.13900,4.147959576
110.13950,7.199903653
110.14000,9.946653322
110.14050,8.115486876
110.14100,1.706404315
110.14150,-3.787095024
110.14200,-2.871511801
110.14250,2.621987538
110.14300,6.589514838
110.14350,5.673931615
110.14400,1.706404315
110.14450,-1.040345355
110.14500,-2.871511801
110.14550,-4.702678247
110.14600,-5.923455878
110.14650,-5.313067063
110.14700,-3.481900616
110.14750,-3.176706209
110.14800,-5.007872655
110.14850,-6.839039101
110.14900,-6.228650286
110.14950,-5.313067063
110.15000,-5.923455878
110.15050,-6.839039101
110.15100,-5.007872655
110.15150,-0.1247621317
110.15200,3.842765168
110.15250,6.894709245
110.15300,10.55704214
110.15350,16.66093029
110.15400,22.15442963
110.15450,24.29079048
110.15500,22.76481845
110.15550,19.10248555
110.15600,14.52456944
110.15650,8.725875692
110.15700,3.537570761
110.15750,1.096015499
110.15800,0.4856266837
110.15850,-0.1247621317
110.15900,-1.040345355
110.15950,-1.65073417
110.16000,-1.955928578
110.16050,-3.481900616
110.16100,-7.144233509
110.16150,-8.975399955
110.16200,-5.923455878
110.16250,1.401209907
110.16300,8.420681284
110.16350,10.55704214
110.16400,9.031070099
110.16450,7.810292469
110.16500,8.725875692
110.16550,10.25184773
110.16600,11.16743095
110.16650,12.9985974
110.16700,16.9661247
110.16750,19.71287437
110.16800,17.27131911
110.16850,8.420681284
110.16900,-2.261122986
110.16950,-10.50137199
110.17000,-12.94292726
110.17050,-11.41695522
110.17100,-8.670205547
110.17150,-6.839039101
110.17200,-5.923455878
110.17250,-5.923455878
110.17300,-5.923455878
110.17350,-6.533844693
110.17400,-5.923455878
110.17450,-1.040345355
110.17500,6.589514838
110.17550,12.9985974
110.17600,13.91418062
110.17650,10.55704214
110.17700,6.894709245
110.17750,4.758348392
110.17800,2.927181945
110.17850,0.4856266837
110.17900,-1.65073417
110.17950,-3.176706209
110.18000,-4.092289432
110.18050,-4.092289432
110.18100,-3.481900616
110.18150,-1.955928578
110.18200,-1.040345355
110.18250,-0.7351509471
110.18300,-0.7351509471
110.18350,-1.040345355
110.18400,-1.955928578
110.18450,-3.176706209
110.18500,-3.176706209
110.18550,-2.566317393
110.18600,-2.261122986
110.18650,-2.871511801
110.18700,-3.176706209
110.18750,-2.871511801
110.18800,-1.955928578
110.18850,-1.040345355
110.18900,0.180432276
110.18950,2.927181945
110.19000,5.979126022
110.19050,6.894709245
110.19100,5.368737207
110.19150,3.232376353
110.19200,1.706404315
110.19250,1.096015499
110.19300,0.4856266837
110.19350,-0.4299565394
110.19400,-1.040345355
110.19450,-1.040345355
110.19500,-0.4299565394
110.19550,-0.7351509471
110.19600,-2.871511801
110.19650,-5.007872655
110.19700,-5.313067063
110.19750,-3.481900616
110.19800,-1.345539762
110.19850,-1.040345355
110.19900,-2.261122986
110.19950,-2.566317393
110.20000,-0.7351509471
110.20050,0.7908210914
110.20100,1.096015499
110.20150,0.4856266837
110.20200,1.401209907
110.20250,3.537570761
110.20300,4.453153984
110.20350,3.842765168
110.20400,2.31679313
110.20450,-0.4299565394
110.20500,-6.533844693
110.20550,-13.85851048
110.20600,-19.35200982
110.20650,-23.31953712
110.20700,-28.20264764
110.20750,-34.91692461
110.20800,-39.49484073
110.20850,-39.49484073
110.20900,-37.05328546
110.20950,-32.17017494
110.21000,-23.92992593
110.21050,-13.24812166
110.21100,-6.228650286
110.21150,-3.176706209
110.21200,3.842765168
110.21250,19.10248555
110.21300,34.36220594
110.21350,41.07648291
110.21400,41.99206613
110.21450,45.04401021
110.21500,46.56998225
110.21550,36.8037612
110.21600,16.66093029
110.21650,0.7908210914
110.21700,-1.345539762
110.21750,2.927181945
110.21800,4.147959576
110.21850,1.401209907
110.21900,-0.7351509471
110.21950,-1.65073417
110.22000,-2.261122986
110.22050,-3.481900616
110.22100,-3.787095024
110.22150,-3.176706209
110.22200,-3.481900616
110.22250,-5.007872655
110.22300,-5.61826147
110.22350,-5.61826147
110.22400,-5.61826147
110.22450,-5.61826147
110.22500,-4.702678247
110.22550,-3.787095024
110.22600,-4.092289432
110.22650,-5.313067063
110.22700,-5.61826147
110.22750,-4.39748384
110.22800,-3.787095024
110.22850,-3.787095024
110.22900,-3.481900616
110.22950,-2.261122986
110.23000,-1.040345355
110.23050,-0.7351509471
110.23100,-0.7351509471
110.23150,-0.1247621317
110.23200,0.4856266837
110.23250,0.7908210914
110.23300,0.7908210914
110.23350,1.401209907
110.23400,1.706404315
110.23450,1.401209907
110.23500,0.4856266837
110.23550,-0.1247621317
110.23600,-1.040345355
110.23650,-2.261122986
110.23700,-1.955928578
110.23750,-0.1247621317
110.23800,2.31679313
110.23850,2.621987538
110.23900,1.401209907
110.23950,-0.1247621317
110.24000,-1.040345355
110.24050,-1.65073417
110.24100,-1.955928578
110.24150,-1.65073417
110.24200,-1.345539762
110.24250,-1.955928578
110.24300,-2.261122986
110.24350,-1.65073417
110.24400,-0.4299565394
110.24450,-0.1247621317
110.24500,-0.1247621317
110.24550,-0.4299565394
110.24600,-1.040345355
110.24650,-1.345539762
110.24700,-1.040345355
110.24750,-0.1247621317
110.24800,-0.4299565394
110.24850,-2.261122986
110.24900,-3.787095024
110.24950,-3.481900616
110.25000,-0.7351509471
110.25050,1.096015499
110.25100,2.011598722
110.25150,2.011598722
110.25200,1.401209907
110.25250,0.4856266837
110.25300,-0.4299565394
110.25350,-0.1247621317
110.25400,3.232376353
110.25450,7.505098061
110.25500,9.031070099
110.25550,7.505098061
110.25600,6.589514838
110.25650,7.810292469
110.25700,9.031070099
110.25750,7.505098061
110.25800,5.673931615
110.25850,5.063542799
110.25900,5.063542799
110.25950,2.927181945
110.26000,0.180432276
110.26050,-0.1247621317
110.26100,0.4856266837
110.26150,0.4856266837
110.26200,-1.040345355
110.26250,-2.261122986
110.26300,-1.955928578
110.26350,-1.040345355
110.26400,-0.4299565394
110.26450,0.4856266837
110.26500,1.401209907
110.26550,1.401209907
110.26600,0.7908210914
110.26650,1.096015499
110.26700,2.011598722
110.26750,1.096015499
110.26800,-0.4299565394
110.26850,-1.345539762
110.26900,-1.040345355
110.26950,-0.7351509471
110.27000,-1.040345355
110.27050,-1.345539762
110.27100,-1.345539762
110.27150,-2.261122986
110.27200,-4.092289432
110.27250,-4.702678247
110.27300,-2.871511801
110.27350,-0.7351509471
110.27400,-1.040345355
110.27450,-3.176706209
110.27500,-4.092289432
110.27550,-2.871511801
110.27600,-0.4299565394
110.27650,1.096015499
110.27700,1.706404315
110.27750,2.621987538
110.27800,4.147959576
110.27850,5.063542799
110.27900,3.537570761
110.27950,-0.1247621317
110.28000,-4.092289432
110.28050,-5.923455878
110.28100,-5.61826147
110.28150,-4.702678247
110.28200,-4.702678247
110.28250,-6.839039101
110.28300,-8.975399955
110.28350,-8.670205547
110.28400,-5.007872655
110.28450,-1.040345355
110.28500,0.7908210914
110.28550,2.011598722
110.28600,3.537570761
110.28650,5.063542799
110.28700,4.758348392
110.28750,3.232376353
110.28800,2.31679313
110.28850,1.706404315
110.28900,-0.1247621317
110.28950,-3.176706209
110.29000,-5.61826147
110.29050,-5.923455878
110.29100,-6.228650286
110.29150,-6.533844693
110.29200,-5.313067063
110.29250,-3.176706209
110.29300,-2.261122986
110.29350,-3.176706209
110.29400,-4.092289432
110.29450,-4.092289432
110.29500,-5.007872655
110.29550,-6.228650286
110.29600,-5.007872655
110.29650,-2.261122986
110.29700,-1.955928578
