"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",131.92000,2000,22000,"uV"

"time","value"
131.92000,-6.293166645
131.92050,-6.293166645
131.92100,-5.072389014
131.92150,-4.156805791
131.92200,-5.072389014
131.92250,-5.987972237
131.92300,-5.682777829
131.92350,-3.546416975
131.92400,-2.020444937
131.92450,-1.715250529
131.92500,-2.325639345
131.92550,-2.93602816
131.92600,-2.630833752
131.92650,-2.325639345
131.92700,-3.241222568
131.92750,-4.156805791
131.92800,-3.546416975
131.92850,-0.7996673061
131.92900,1.947082363
131.92950,2.862665586
131.93000,1.641887955
131.93050,0.7263047324
131.93100,1.336693548
131.93150,2.557471179
131.93200,3.167859994
131.93250,3.167859994
131.93300,3.778248809
131.93350,4.99902644
131.93400,5.609415256
131.93450,5.304220848
131.93500,5.304220848
131.93550,5.914609663
131.93600,5.609415256
131.93650,3.473054402
131.93700,1.336693548
131.93750,1.641887955
131.93800,3.167859994
131.93850,3.167859994
131.93900,1.03149914
131.93950,-0.1892784907
131.94000,0.115915917
131.94050,1.336693548
131.94100,0.7263047324
131.94150,-0.1892784907
131.94200,0.4211103247
131.94250,2.862665586
131.94300,3.778248809
131.94350,1.947082363
131.94400,-0.1892784907
131.94450,-0.1892784907
131.94500,1.336693548
131.94550,2.557471179
131.94600,2.557471179
131.94650,1.947082363
131.94700,1.336693548
131.94750,0.4211103247
131.94800,0.115915917
131.94850,0.115915917
131.94900,-0.1892784907
131.94950,-2.020444937
131.95000,-4.462000199
131.95050,-5.987972237
131.95100,-6.90355546
131.95150,-7.819138683
131.95200,-8.124333091
131.95250,-7.208749868
131.95300,-5.377583422
131.95350,-4.767194606
131.95400,-5.072389014
131.95450,-4.767194606
131.95500,-3.546416975
131.95550,-2.325639345
131.95600,-2.020444937
131.95650,-1.410056122
131.95700,0.115915917
131.95750,1.03149914
131.95800,1.641887955
131.95850,1.947082363
131.95900,1.641887955
131.95950,-0.4944728984
131.96000,-3.851611383
131.96050,-3.851611383
131.96100,0.7263047324
131.96150,6.524998479
131.96200,7.74577611
131.96250,4.083443217
131.96300,0.115915917
131.96350,-2.325639345
131.96400,-3.241222568
131.96450,-3.241222568
131.96500,-1.715250529
131.96550,0.4211103247
131.96600,2.557471179
131.96650,3.167859994
131.96700,3.778248809
131.96750,4.083443217
131.96800,3.778248809
131.96850,2.557471179
131.96900,1.641887955
131.96950,1.947082363
131.97000,1.641887955
131.97050,0.115915917
131.97100,-0.7996673061
131.97150,0.115915917
131.97200,1.336693548
131.97250,1.947082363
131.97300,1.947082363
131.97350,2.862665586
131.97400,3.473054402
131.97450,3.167859994
131.97500,2.252276771
131.97550,2.252276771
131.97600,3.473054402
131.97650,3.167859994
131.97700,1.03149914
131.97750,-0.4944728984
131.97800,-0.7996673061
131.97850,-0.4944728984
131.97900,-0.7996673061
131.97950,-1.715250529
131.98000,-2.325639345
131.98050,-2.325639345
131.98100,-2.325639345
131.98150,-2.020444937
131.98200,-1.410056122
131.98250,-0.7996673061
131.98300,-0.7996673061
131.98350,-1.104861714
131.98400,-1.715250529
131.98450,-1.410056122
131.98500,-0.7996673061
131.98550,0.4211103247
131.98600,1.641887955
131.98650,1.947082363
131.98700,1.03149914
131.98750,0.7263047324
131.98800,1.336693548
131.98850,2.252276771
131.98900,1.947082363
131.98950,1.03149914
131.99000,0.4211103247
131.99050,1.03149914
131.99100,2.862665586
131.99150,4.693832032
131.99200,4.693832032
131.99250,3.473054402
131.99300,2.252276771
131.99350,2.557471179
131.99400,2.862665586
131.99450,2.252276771
131.99500,0.7263047324
131.99550,0.115915917
131.99600,0.115915917
131.99650,0.7263047324
131.99700,0.7263047324
131.99750,0.7263047324
131.99800,0.7263047324
131.99850,0.4211103247
131.99900,0.4211103247
131.99950,0.7263047324
132.00000,0.4211103247
