"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",131.92000,2000,22000,"uV"

"time","value"
131.92000,10.24010362
131.92050,11.15568684
131.92100,11.46088125
131.92150,9.93490921
131.92200,8.103742764
131.92250,7.798548356
131.92300,7.493353948
131.92350,5.96738191
131.92400,3.831021056
131.92450,2.915437833
131.92500,2.915437833
131.92550,1.99985461
131.92600,0.7790769788
131.92650,-0.1365062443
131.92700,-1.052089467
131.92750,-2.578061506
131.92800,-5.019616768
131.92850,-6.850783214
131.92900,-8.376755252
131.92950,-9.292338475
131.93000,-9.902727291
131.93050,-9.597532883
131.93100,-8.987144068
131.93150,-8.68194966
131.93200,-9.292338475
131.93250,-10.2079217
131.93300,-9.902727291
131.93350,-8.376755252
131.93400,-5.935199991
131.93450,-4.104033544
131.93500,-3.188450321
131.93550,-2.578061506
131.93600,-1.662478283
131.93650,-0.7468950597
131.93700,-0.1365062443
131.93750,0.1686881634
131.93800,1.389465794
131.93850,1.694660202
131.93900,1.084271386
131.93950,1.084271386
131.94000,3.831021056
131.94050,7.188159541
131.94100,8.103742764
131.94150,6.882965133
131.94200,6.272576317
131.94250,6.577770725
131.94300,6.272576317
131.94350,5.051798687
131.94400,3.525826648
131.94450,2.305049017
131.94500,0.7790769788
131.94550,0.1686881634
131.94600,0.7790769788
131.94650,1.389465794
131.94700,-0.441700652
131.94750,-4.104033544
131.94800,-5.324811175
131.94850,-4.409227952
131.94900,-3.188450321
131.94950,-3.188450321
131.95000,-3.798839137
131.95050,-3.798839137
131.95100,-5.019616768
131.95150,-7.766366437
131.95200,-10.81831051
131.95250,-12.34428255
131.95300,-12.64947696
131.95350,-11.73389374
131.95400,-10.51311611
131.95450,-9.597532883
131.95500,-10.2079217
131.95550,-13.25986578
131.95600,-17.22739308
131.95650,-20.27933715
131.95700,-19.66894834
131.95750,-13.25986578
131.95800,-0.441700652
131.95850,14.20763092
131.95900,22.75307433
131.95950,18.48035263
131.96000,6.272576317
131.96050,-0.1365062443
131.96100,9.629714802
131.96150,31.90890656
131.96200,48.69459899
131.96250,46.25304373
131.96300,28.85696249
131.96350,12.98685329
131.96400,7.188159541
131.96450,6.272576317
131.96500,2.915437833
131.96550,-0.441700652
131.96600,0.7790769788
131.96650,6.882965133
131.96700,12.37646447
131.96750,15.42840855
131.96800,17.25957499
131.96850,17.86996381
131.96900,14.81801973
131.96950,7.493353948
131.97000,-0.441700652
131.97050,-5.935199991
131.97100,-8.376755252
131.97150,-9.292338475
131.97200,-10.2079217
131.97250,-12.03908814
131.97300,-13.56506018
131.97350,-13.25986578
131.97400,-10.81831051
131.97450,-8.68194966
131.97500,-8.68194966
131.97550,-8.987144068
131.97600,-7.461172029
131.97650,-4.104033544
131.97700,-1.967672691
131.97750,-0.7468950597
131.97800,0.1686881634
131.97850,2.305049017
131.97900,4.441409871
131.97950,4.746604279
131.98000,4.136215463
131.98050,4.441409871
131.98100,5.051798687
131.98150,5.356993094
131.98200,3.831021056
131.98250,1.99985461
131.98300,0.7790769788
131.98350,0.7790769788
131.98400,0.4738825711
131.98450,-0.7468950597
131.98500,-1.967672691
131.98550,-1.662478283
131.98600,-1.052089467
131.98650,-2.883255914
131.98700,-6.545588806
131.98750,-8.071560845
131.98800,-6.240394398
131.98850,-3.798839137
131.98900,-5.019616768
131.98950,-9.292338475
131.99000,-12.34428255
131.99050,-12.34428255
131.99100,-11.42869933
131.99150,-11.12350492
131.99200,-11.42869933
131.99250,-10.81831051
131.99300,-9.902727291
131.99350,-8.68194966
131.99400,-7.766366437
131.99450,-7.155977621
131.99500,-6.850783214
131.99550,-5.324811175
131.99600,-3.188450321
131.99650,-2.272867098
131.99700,-3.493644729
131.99750,-4.71442236
131.99800,-3.798839137
131.99850,-1.967672691
131.99900,-1.662478283
131.99950,-1.662478283
132.00000,-0.1365062443
132.00050,0.4738825711
132.00100,-0.441700652
132.00150,0.7790769788
132.00200,10.85049243
132.00250,25.80501841
132.00300,32.82448979
132.00350,26.72060163
132.00400,15.12321414
132.00450,9.324520394
132.00500,9.629714802
132.00550,9.629714802
132.00600,6.577770725
132.00650,3.22063224
132.00700,1.694660202
132.00750,0.7790769788
132.00800,0.1686881634
132.00850,-0.1365062443
132.00900,-0.441700652
132.00950,-0.1365062443
132.01000,-1.052089467
132.01050,-4.71442236
132.01100,-11.42869933
132.01150,-18.44817071
132.01200,-20.27933715
132.01250,-16.31180985
132.01300,-10.81831051
132.01350,-8.376755252
132.01400,-8.071560845
132.01450,-7.155977621
132.01500,-5.019616768
132.01550,-1.967672691
132.01600,1.084271386
132.01650,4.441409871
132.01700,6.577770725
132.01750,7.798548356
132.01800,9.324520394
132.01850,10.24010362
132.01900,7.798548356
132.01950,3.22063224
132.02000,2.305049017
132.02050,7.188159541
132.02100,10.54529803
132.02150,5.662187502
132.02200,-4.409227952
132.02250,-9.902727291
132.02300,-5.935199991
132.02350,0.4738825711
132.02400,3.22063224
132.02450,2.305049017
132.02500,1.084271386
132.02550,-0.441700652
132.02600,-3.798839137
132.02650,-7.766366437
132.02700,-11.12350492
132.02750,-12.64947696
132.02800,-10.81831051
132.02850,-4.71442236
132.02900,1.084271386
132.02950,-0.1365062443
132.03000,-8.68194966
132.03050,-16.00661544
132.03100,-16.00661544
132.03150,-13.56506018
132.03200,-16.00661544
132.03250,-17.22739308
132.03300,-6.240394398
132.03350,13.5972421
132.03400,27.94137926
132.03450,28.55176808
132.03500,23.97385196
132.03550,23.97385196
132.03600,25.80501841
132.03650,21.83749111
132.03700,12.68165888
132.03750,4.746604279
132.03800,1.694660202
132.03850,1.389465794
132.03900,1.694660202
132.03950,1.99985461
132.04000,3.831021056
132.04050,9.324520394
132.04100,19.09074144
132.04150,28.85696249
132.04200,30.99332334
132.04250,24.58424078
132.04300,16.34399177
132.04350,11.46088125
132.04400,8.408937171
132.04450,3.831021056
132.04500,-0.1365062443
132.04550,-0.1365062443
132.04600,3.22063224
132.04650,4.746604279
132.04700,3.22063224
132.04750,0.4738825711
132.04800,-1.967672691
132.04850,-6.545588806
132.04900,-13.25986578
132.04950,-20.58453156
132.05000,-25.16244768
132.05050,-25.46764208
132.05100,-22.1105036
132.05150,-16.31180985
132.05200,-11.12350492
132.05250,-8.987144068
132.05300,-9.597532883
132.05350,-12.03908814
132.05400,-14.48064341
132.05450,-16.00661544
132.05500,-16.61700426
132.05550,-17.22739308
132.05600,-17.22739308
132.05650,-15.70142104
132.05700,-12.64947696
132.05750,-9.902727291
132.05800,-8.68194966
132.05850,-4.71442236
132.05900,5.96738191
132.05950,19.39593585
132.06000,23.36346315
132.06050,14.51282533
132.06100,2.305049017
132.06150,0.7790769788
132.06200,10.24010362
132.06250,19.70113026
132.06300,20.00632466
132.06350,12.98685329
132.06400,6.272576317
132.06450,2.610243425
132.06500,1.084271386
132.06550,0.7790769788
132.06600,4.441409871
132.06650,10.54529803
132.06700,13.90243651
132.06750,10.85049243
132.06800,4.441409871
132.06850,-0.441700652
132.06900,-3.493644729
132.06950,-6.545588806
132.07000,-10.2079217
132.07050,-11.42869933
132.07100,-8.68194966
132.07150,-5.935199991
132.07200,-6.240394398
132.07250,-8.071560845
132.07300,-8.68194966
132.07350,-7.766366437
132.07400,-8.68194966
132.07450,-10.2079217
132.07500,-9.902727291
132.07550,-7.766366437
132.07600,-6.240394398
132.07650,-6.545588806
132.07700,-5.630005583
132.07750,-2.578061506
132.07800,-0.1365062443
132.07850,0.7790769788
132.07900,1.389465794
132.07950,3.22063224
132.08000,4.441409871
132.08050,4.136215463
132.08100,3.525826648
132.08150,3.831021056
132.08200,3.831021056
132.08250,1.99985461
132.08300,0.4738825711
132.08350,1.084271386
132.08400,3.22063224
132.08450,4.136215463
132.08500,3.525826648
132.08550,3.525826648
132.08600,2.915437833
132.08650,1.389465794
132.08700,-0.1365062443
132.08750,-1.357283875
132.08800,-3.798839137
132.08850,-8.071560845
132.08900,-12.03908814
132.08950,-12.64947696
132.09000,-11.73389374
132.09050,-12.03908814
132.09100,-12.64947696
132.09150,-10.81831051
132.09200,-9.902727291
132.09250,-11.73389374
132.09300,-11.12350492
132.09350,-0.441700652
132.09400,15.73360296
132.09450,22.75307433
132.09500,14.51282533
132.09550,1.084271386
132.09600,-5.324811175
132.09650,-4.104033544
132.09700,-1.662478283
132.09750,-1.052089467
132.09800,-0.7468950597
132.09850,0.1686881634
132.09900,1.389465794
132.09950,2.610243425
132.10000,2.915437833
132.10050,1.389465794
132.10100,-0.441700652
132.10150,-0.1365062443
132.10200,4.136215463
132.10250,7.798548356
132.10300,7.493353948
132.10350,5.356993094
132.10400,4.746604279
132.10450,5.96738191
132.10500,5.96738191
132.10550,3.525826648
132.10600,1.694660202
132.10650,1.694660202
132.10700,1.694660202
132.10750,0.4738825711
132.10800,-1.357283875
132.10850,-3.188450321
132.10900,-4.71442236
132.10950,-5.935199991
132.11000,-6.545588806
132.11050,-6.240394398
132.11100,-5.935199991
132.11150,-5.935199991
132.11200,-6.545588806
132.11250,-7.461172029
132.11300,-7.461172029
132.11350,-6.240394398
132.11400,-5.324811175
132.11450,-4.104033544
132.11500,-2.883255914
132.11550,-1.662478283
132.11600,-0.1365062443
132.11650,1.084271386
132.11700,1.99985461
132.11750,2.610243425
132.11800,3.831021056
132.11850,6.577770725
132.11900,9.019325987
132.11950,6.882965133
132.12000,-1.052089467
132.12050,-9.292338475
132.12100,-10.2079217
132.12150,-3.798839137
132.12200,2.915437833
132.12250,5.96738191
132.12300,6.577770725
132.12350,7.493353948
132.12400,8.103742764
132.12450,7.493353948
132.12500,6.272576317
132.12550,5.662187502
132.12600,5.051798687
132.12650,4.136215463
132.12700,3.525826648
132.12750,3.22063224
132.12800,2.915437833
132.12850,1.389465794
132.12900,0.1686881634
132.12950,-0.1365062443
132.13000,-0.7468950597
132.13050,-2.883255914
132.13100,-5.019616768
132.13150,-5.935199991
132.13200,-6.240394398
132.13250,-6.850783214
132.13300,-7.766366437
132.13350,-8.071560845
132.13400,-7.155977621
132.13450,-5.935199991
132.13500,-4.409227952
132.13550,-2.578061506
132.13600,-0.7468950597
132.13650,0.1686881634
132.13700,0.4738825711
132.13750,1.389465794
132.13800,2.915437833
132.13850,4.441409871
132.13900,5.356993094
132.13950,6.272576317
132.14000,7.493353948
132.14050,7.798548356
132.14100,6.272576317
132.14150,5.051798687
132.14200,5.662187502
132.14250,7.493353948
132.14300,6.882965133
132.14350,2.915437833
132.14400,-1.357283875
132.14450,-4.104033544
132.14500,-5.019616768
132.14550,-5.324811175
132.14600,-4.409227952
132.14650,-2.883255914
132.14700,-3.493644729
132.14750,-6.240394398
132.14800,-5.935199991
132.14850,1.389465794
132.14900,12.68165888
132.14950,20.00632466
132.15000,18.48035263
132.15050,10.85049243
132.15100,1.694660202
132.15150,-4.409227952
132.15200,-7.155977621
132.15250,-6.850783214
132.15300,-5.324811175
132.15350,-4.409227952
132.15400,-4.104033544
132.15450,-4.409227952
132.15500,-6.545588806
132.15550,-10.81831051
132.15600,-14.175449
132.15650,-13.25986578
132.15700,-9.597532883
132.15750,-7.155977621
132.15800,-7.766366437
132.15850,-8.376755252
132.15900,-7.155977621
132.15950,-3.798839137
132.16000,3.525826648
132.16050,16.34399177
132.16100,29.1621569
132.16150,34.65565623
132.16200,29.1621569
132.16250,19.70113026
132.16300,12.98685329
132.16350,9.324520394
132.16400,4.441409871
132.16450,-1.662478283
132.16500,-7.461172029
132.16550,-11.42869933
132.16600,-14.175449
132.16650,-16.31180985
132.16700,-15.39622663
132.16750,-10.2079217
132.16800,-3.188450321
132.16850,-0.1365062443
132.16900,-2.883255914
132.16950,-9.597532883
132.17000,-12.34428255
132.17050,-5.935199991
132.17100,5.051798687
132.17150,11.76607566
132.17200,9.93490921
132.17250,3.831021056
132.17300,-0.1365062443
132.17350,-1.052089467
