"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",76.92000,2000,22000,"uV"

"time","value"
76.92000,2.682538352
76.92050,0.2409830905
76.92100,-3.72654421
76.92150,-6.168099471
76.92200,-4.642127433
76.92250,-1.895377763
76.92300,-0.9797945403
76.92350,-2.810960986
76.92400,-4.031738617
76.92450,-2.200572171
76.92500,0.8513719059
76.92550,2.682538352
76.92600,1.766955129
76.92650,-0.3694057249
76.92700,-1.590183356
76.92750,-2.200572171
76.92800,-2.505766579
76.92850,-2.505766579
76.92900,-0.9797945403
76.92950,0.8513719059
76.93000,2.072149537
76.93050,2.682538352
76.93100,2.072149537
76.93150,0.5461774982
76.93200,-0.3694057249
76.93250,-0.3694057249
76.93300,0.5461774982
76.93350,1.461760721
76.93400,0.8513719059
76.93450,-0.06421131716
76.93500,-0.06421131716
76.93550,-0.06421131716
76.93600,-0.6746001326
76.93650,-2.505766579
76.93700,-3.72654421
76.93750,-4.031738617
76.93800,-4.94732184
76.93850,-5.557710656
76.93900,-4.94732184
76.93950,-3.72654421
76.94000,-2.505766579
76.94050,-1.590183356
76.94100,-0.3694057249
76.94150,-0.3694057249
76.94200,-1.590183356
76.94250,-1.590183356
76.94300,0.8513719059
76.94350,3.598121575
76.94400,3.903315983
76.94450,2.98773276
76.94500,3.292927168
76.94550,4.818899206
76.94600,5.429288021
76.94650,4.818899206
76.94700,4.513704798
76.94750,4.818899206
76.94800,3.903315983
76.94850,1.766955129
76.94900,0.5461774982
76.94950,0.2409830905
76.95000,-0.3694057249
76.95050,-2.505766579
76.95100,-3.421349802
76.95150,-2.505766579
76.95200,-1.284988948
76.95250,-0.9797945403
76.95300,-0.06421131716
76.95350,1.766955129
76.95400,3.598121575
76.95450,3.598121575
76.95500,3.598121575
76.95550,4.513704798
76.95600,5.429288021
76.95650,3.598121575
76.95700,-0.6746001326
76.95750,-4.336933025
76.95800,-4.642127433
76.95850,-2.505766579
76.95900,-0.3694057249
76.95950,-0.06421131716
76.96000,-0.06421131716
76.96050,-0.06421131716
76.96100,-0.9797945403
76.96150,-2.200572171
76.96200,-2.200572171
76.96250,-0.3694057249
76.96300,0.8513719059
76.96350,1.461760721
76.96400,2.072149537
76.96450,4.818899206
76.96500,8.176037691
76.96550,9.702009729
76.96600,8.786426506
76.96650,7.870843283
76.96700,8.481232098
76.96750,9.091620914
76.96800,7.260454468
76.96850,2.682538352
76.96900,-1.284988948
76.96950,-3.116155394
76.97000,-2.810960986
76.97050,-2.810960986
76.97100,-3.116155394
76.97150,-1.895377763
76.97200,-0.06421131716
76.97250,0.8513719059
76.97300,-0.06421131716
76.97350,-2.200572171
76.97400,-3.72654421
76.97450,-4.336933025
76.97500,-5.557710656
76.97550,-7.388877102
76.97600,-9.525237956
76.97650,-10.44082118
76.97700,-10.44082118
76.97750,-9.220043548
76.97800,-7.69407151
76.97850,-6.168099471
76.97900,-5.557710656
76.97950,-4.94732184
76.98000,-3.421349802
76.98050,-0.9797945403
76.98100,1.156566314
76.98150,3.598121575
76.98200,5.429288021
76.98250,4.818899206
76.98300,2.072149537
76.98350,0.5461774982
76.98400,1.766955129
76.98450,3.903315983
76.98500,3.598121575
76.98550,2.682538352
76.98600,3.903315983
76.98650,6.650065652
76.98700,6.039676837
76.98750,2.377343944
76.98800,0.5461774982
76.98850,1.461760721
76.98900,1.766955129
76.98950,-0.6746001326
76.99000,-3.421349802
76.99050,-2.810960986
76.99100,-0.3694057249
76.99150,-0.06421131716
76.99200,-1.590183356
76.99250,-1.895377763
76.99300,-0.3694057249
76.99350,-0.06421131716
76.99400,-1.895377763
76.99450,-4.031738617
76.99500,-5.252516248
76.99550,-5.862905063
76.99600,-6.473293879
76.99650,-6.473293879
76.99700,-5.252516248
76.99750,-3.116155394
76.99800,-2.200572171
76.99850,-2.810960986
76.99900,-4.336933025
76.99950,-4.336933025
77.00000,-1.284988948
77.00050,1.766955129
77.00100,1.461760721
77.00150,-2.505766579
77.00200,-6.168099471
77.00250,-6.168099471
77.00300,-3.421349802
77.00350,-0.9797945403
77.00400,-0.6746001326
77.00450,-1.590183356
77.00500,-3.72654421
77.00550,-5.557710656
77.00600,-5.252516248
77.00650,-0.9797945403
77.00700,4.513704798
77.00750,8.481232098
77.00800,8.786426506
77.00850,7.870843283
77.00900,8.481232098
77.00950,8.786426506
77.01000,5.429288021
77.01050,-0.6746001326
77.01100,-6.473293879
77.01150,-7.388877102
77.01200,-4.94732184
77.01250,-2.810960986
77.01300,-2.810960986
77.01350,-2.505766579
77.01400,-0.06421131716
77.01450,3.292927168
77.01500,6.344871245
77.01550,7.565648875
77.01600,7.565648875
77.01650,7.260454468
77.01700,5.124093614
77.01750,1.766955129
77.01800,-2.200572171
77.01850,-5.252516248
77.01900,-6.168099471
77.01950,-3.72654421
77.02000,-0.06421131716
77.02050,3.292927168
77.02100,3.598121575
77.02150,1.766955129
77.02200,0.5461774982
77.02250,1.156566314
77.02300,2.98773276
77.02350,4.513704798
77.02400,4.513704798
77.02450,2.682538352
77.02500,-0.9797945403
77.02550,-4.336933025
77.02600,-5.252516248
77.02650,-4.336933025
77.02700,-3.116155394
77.02750,-2.810960986
77.02800,-1.895377763
77.02850,-0.06421131716
77.02900,2.682538352
77.02950,4.513704798
77.03000,4.208510391
77.03050,2.682538352
77.03100,1.156566314
77.03150,1.156566314
77.03200,2.072149537
77.03250,2.377343944
77.03300,1.156566314
77.03350,-0.06421131716
77.03400,-0.06421131716
77.03450,-0.3694057249
77.03500,-1.895377763
77.03550,-3.72654421
77.03600,-4.336933025
77.03650,-3.421349802
77.03700,-2.505766579
77.03750,-2.810960986
77.03800,-3.116155394
77.03850,-2.505766579
77.03900,-1.590183356
77.03950,-0.6746001326
77.04000,0.8513719059
77.04050,2.682538352
77.04100,3.292927168
77.04150,2.682538352
77.04200,2.377343944
77.04250,3.292927168
77.04300,3.598121575
77.04350,2.682538352
77.04400,1.156566314
77.04450,0.5461774982
77.04500,1.461760721
77.04550,2.682538352
77.04600,2.98773276
77.04650,1.766955129
77.04700,0.2409830905
77.04750,-0.6746001326
77.04800,-0.9797945403
77.04850,-0.9797945403
77.04900,-0.3694057249
77.04950,-0.06421131716
77.05000,-0.3694057249
77.05050,-1.590183356
77.05100,-2.505766579
77.05150,-2.810960986
77.05200,-2.505766579
77.05250,-2.810960986
77.05300,-3.116155394
77.05350,-3.116155394
77.05400,-1.895377763
77.05450,-1.284988948
77.05500,-1.895377763
77.05550,-3.72654421
77.05600,-4.642127433
77.05650,-3.116155394
77.05700,-0.06421131716
77.05750,3.292927168
77.05800,6.95526006
77.05850,9.702009729
77.05900,10.31239854
77.05950,8.481232098
77.06000,4.818899206
77.06050,2.682538352
77.06100,3.598121575
77.06150,5.734482429
77.06200,6.039676837
77.06250,3.903315983
77.06300,1.461760721
77.06350,0.2409830905
77.06400,0.2409830905
77.06450,0.2409830905
77.06500,0.8513719059
77.06550,2.072149537
77.06600,2.072149537
77.06650,-0.06421131716
77.06700,-3.116155394
77.06750,-4.642127433
77.06800,-4.336933025
77.06850,-3.421349802
77.06900,-2.810960986
77.06950,-2.505766579
77.07000,-1.895377763
77.07050,-1.284988948
77.07100,-1.895377763
77.07150,-3.116155394
77.07200,-4.031738617
77.07250,-4.642127433
77.07300,-5.557710656
77.07350,-6.168099471
77.07400,-5.557710656
77.07450,-3.421349802
77.07500,-1.590183356
77.07550,-2.200572171
77.07600,-4.94732184
77.07650,-6.778488287
77.07700,-5.862905063
77.07750,-3.72654421
77.07800,-3.116155394
77.07850,-3.72654421
77.07900,-3.421349802
77.07950,-1.895377763
77.08000,-0.9797945403
77.08050,-1.284988948
77.08100,-2.200572171
77.08150,-2.810960986
77.08200,-3.116155394
77.08250,-3.116155394
77.08300,-2.505766579
77.08350,-1.895377763
77.08400,-2.200572171
77.08450,-3.116155394
77.08500,-2.810960986
77.08550,-0.6746001326
77.08600,1.766955129
77.08650,3.598121575
77.08700,4.513704798
77.08750,4.818899206
77.08800,5.124093614
77.08850,4.818899206
77.08900,5.124093614
77.08950,5.124093614
77.09000,4.818899206
77.09050,3.903315983
77.09100,3.292927168
77.09150,3.598121575
77.09200,3.903315983
77.09250,3.292927168
77.09300,1.461760721
77.09350,-0.06421131716
77.09400,-0.9797945403
77.09450,-0.9797945403
77.09500,-0.6746001326
77.09550,-0.3694057249
77.09600,-0.6746001326
77.09650,-1.590183356
77.09700,-1.895377763
77.09750,-0.6746001326
77.09800,-0.06421131716
77.09850,-0.06421131716
77.09900,-1.590183356
77.09950,-2.200572171
77.10000,-0.6746001326
77.10050,1.461760721
77.10100,2.98773276
77.10150,2.072149537
77.10200,-0.06421131716
77.10250,-0.9797945403
77.10300,-0.06421131716
77.10350,1.461760721
77.10400,3.292927168
77.10450,4.818899206
77.10500,6.039676837
77.10550,6.039676837
77.10600,5.429288021
77.10650,4.818899206
77.10700,4.818899206
77.10750,5.124093614
77.10800,5.429288021
77.10850,4.818899206
77.10900,3.598121575
77.10950,1.461760721
77.11000,-0.06421131716
77.11050,-0.06421131716
77.11100,0.8513719059
77.11150,-0.06421131716
77.11200,-4.031738617
77.11250,-7.999265917
77.11300,-7.999265917
77.11350,-5.557710656
77.11400,-4.336933025
77.11450,-4.031738617
77.11500,-2.505766579
77.11550,-0.06421131716
77.11600,-0.06421131716
77.11650,-1.895377763
77.11700,-2.505766579
77.11750,-0.3694057249
77.11800,1.766955129
77.11850,1.766955129
77.11900,1.156566314
77.11950,1.766955129
77.12000,2.377343944
77.12050,1.156566314
77.12100,-0.06421131716
77.12150,-0.6746001326
77.12200,-0.6746001326
77.12250,-1.284988948
77.12300,-1.590183356
77.12350,-0.06421131716
77.12400,2.682538352
77.12450,5.124093614
77.12500,6.344871245
77.12550,6.95526006
77.12600,6.344871245
77.12650,4.818899206
77.12700,4.208510391
77.12750,4.513704798
77.12800,4.513704798
77.12850,2.682538352
77.12900,0.5461774982
77.12950,-0.3694057249
77.13000,-0.6746001326
77.13050,-1.284988948
77.13100,-2.200572171
77.13150,-2.810960986
77.13200,-2.810960986
77.13250,-2.505766579
77.13300,-1.895377763
77.13350,-1.590183356
77.13400,-1.284988948
77.13450,-1.284988948
77.13500,-1.895377763
77.13550,-1.895377763
77.13600,-1.590183356
77.13650,-1.590183356
77.13700,-3.116155394
77.13750,-5.252516248
77.13800,-6.473293879
77.13850,-5.557710656
77.13900,-4.642127433
77.13950,-6.168099471
77.14000,-8.914849141
77.14050,-9.525237956
77.14100,-7.388877102
77.14150,-5.557710656
77.14200,-6.168099471
77.14250,-7.083682694
77.14300,-6.168099471
77.14350,-4.642127433
77.14400,-3.72654421
77.14450,-3.421349802
77.14500,-1.895377763
77.14550,0.5461774982
77.14600,2.98773276
77.14650,4.513704798
77.14700,5.429288021
77.14750,4.818899206
77.14800,2.682538352
77.14850,0.5461774982
77.14900,0.5461774982
77.14950,2.98773276
77.15000,5.124093614
77.15050,4.513704798
77.15100,2.072149537
77.15150,-0.06421131716
77.15200,-0.3694057249
77.15250,-0.06421131716
77.15300,-1.895377763
77.15350,-6.473293879
77.15400,-9.830432364
77.15450,-8.304460325
77.15500,-4.336933025
77.15550,-3.421349802
77.15600,-6.473293879
77.15650,-8.914849141
77.15700,-8.304460325
77.15750,-6.778488287
77.15800,-6.778488287
77.15850,-7.999265917
77.15900,-7.69407151
77.15950,-5.557710656
77.16000,-2.810960986
77.16050,0.2409830905
77.16100,3.903315983
77.16150,6.039676837
77.16200,5.124093614
77.16250,3.292927168
77.16300,1.766955129
77.16350,2.072149537
77.16400,5.124093614
77.16450,11.22798177
77.16500,18.55264755
77.16550,22.21498045
77.16600,21.60459163
77.16650,19.16303637
77.16700,17.63706433
77.16750,15.19550907
77.16800,9.702009729
77.16850,3.903315983
77.16900,1.766955129
77.16950,2.377343944
77.17000,1.766955129
77.17050,-0.6746001326
77.17100,-3.116155394
77.17150,-3.421349802
77.17200,-2.810960986
77.17250,-2.505766579
77.17300,-1.895377763
77.17350,-0.6746001326
77.17400,-0.06421131716
77.17450,-0.3694057249
77.17500,-1.590183356
77.17550,-2.810960986
77.17600,-4.642127433
77.17650,-6.168099471
77.17700,-6.168099471
77.17750,-4.94732184
77.17800,-4.031738617
77.17850,-4.642127433
77.17900,-4.642127433
77.17950,-2.810960986
77.18000,0.8513719059
77.18050,4.513704798
77.18100,5.734482429
77.18150,4.818899206
77.18200,2.682538352
77.18250,0.8513719059
77.18300,0.2409830905
77.18350,0.5461774982
77.18400,1.461760721
77.18450,2.98773276
77.18500,3.903315983
77.18550,4.208510391
77.18600,3.598121575
77.18650,2.072149537
77.18700,0.2409830905
77.18750,-0.3694057249
77.18800,-0.3694057249
77.18850,-0.06421131716
77.18900,-0.6746001326
77.18950,-0.9797945403
77.19000,-0.06421131716
77.19050,1.461760721
77.19100,2.98773276
77.19150,3.292927168
77.19200,3.292927168
77.19250,2.377343944
77.19300,-0.06421131716
77.19350,-2.200572171
77.19400,-3.116155394
77.19450,-2.810960986
77.19500,-3.116155394
77.19550,-4.642127433
77.19600,-5.557710656
77.19650,-5.252516248
77.19700,-4.94732184
77.19750,-4.642127433
77.19800,-4.336933025
77.19850,-3.72654421
77.19900,-3.72654421
77.19950,-4.94732184
77.20000,-6.168099471
77.20050,-5.862905063
77.20100,-4.94732184
77.20150,-4.336933025
77.20200,-3.421349802
77.20250,-2.810960986
77.20300,-2.200572171
77.20350,-1.284988948
77.20400,0.2409830905
77.20450,2.98773276
77.20500,5.124093614
77.20550,5.734482429
77.20600,5.734482429
77.20650,6.344871245
77.20700,6.344871245
77.20750,6.039676837
77.20800,7.565648875
77.20850,10.31239854
77.20900,12.4487594
77.20950,11.22798177
77.21000,8.176037691
77.21050,5.124093614
77.21100,2.98773276
77.21150,2.072149537
77.21200,1.766955129
77.21250,2.682538352
77.21300,2.377343944
77.21350,0.8513719059
77.21400,-0.3694057249
77.21450,-0.3694057249
77.21500,-0.3694057249
77.21550,-2.200572171
77.21600,-4.642127433
77.21650,-4.94732184
77.21700,-3.116155394
77.21750,-2.200572171
77.21800,-4.336933025
77.21850,-7.69407151
77.21900,-9.220043548
77.21950,-7.999265917
77.22000,-5.252516248
77.22050,-3.72654421
77.22100,-2.810960986
77.22150,-2.200572171
77.22200,-1.284988948
77.22250,-0.9797945403
77.22300,-1.590183356
77.22350,-1.895377763
77.22400,-0.9797945403
77.22450,-0.06421131716
77.22500,-0.06421131716
77.22550,-1.590183356
77.22600,-3.421349802
77.22650,-3.72654421
77.22700,-1.895377763
77.22750,-0.06421131716
77.22800,0.8513719059
77.22850,0.2409830905
77.22900,-0.06421131716
77.22950,0.2409830905
77.23000,1.461760721
77.23050,2.072149537
77.23100,1.156566314
77.23150,-0.3694057249
77.23200,-0.9797945403
77.23250,-0.06421131716
77.23300,1.156566314
77.23350,2.377343944
77.23400,2.98773276
77.23450,2.072149537
77.23500,0.2409830905
77.23550,-1.590183356
77.23600,-2.505766579
77.23650,-3.421349802
77.23700,-4.94732184
77.23750,-5.862905063
77.23800,-5.862905063
77.23850,-4.94732184
77.23900,-4.94732184
77.23950,-5.862905063
77.24000,-6.473293879
77.24050,-5.862905063
77.24100,-4.642127433
77.24150,-4.336933025
77.24200,-4.031738617
77.24250,-1.895377763
77.24300,1.461760721
77.24350,3.903315983
77.24400,3.903315983
77.24450,3.292927168
77.24500,3.598121575
77.24550,5.124093614
77.24600,4.818899206
77.24650,1.766955129
77.24700,-1.895377763
77.24750,-2.505766579
77.24800,-0.06421131716
77.24850,2.377343944
77.24900,2.98773276
77.24950,2.072149537
77.25000,1.766955129
77.25050,2.072149537
77.25100,1.766955129
77.25150,0.5461774982
77.25200,-0.06421131716
77.25250,-0.3694057249
77.25300,-0.9797945403
77.25350,-1.284988948
77.25400,-0.3694057249
77.25450,1.766955129
77.25500,3.903315983
77.25550,3.903315983
77.25600,1.461760721
77.25650,-0.6746001326
77.25700,-1.590183356
77.25750,-0.6746001326
77.25800,0.5461774982
77.25850,1.766955129
77.25900,2.072149537
