time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
76.92,0.7263047324,5.572047624,0.7908210914,2.682538352,-0.1365062443
76.9205,1.947082363,8.013602886,-16.60526015,0.2409830905,-2.272867098
76.921,4.99902644,9.844769332,-32.47536935,-3.72654421,-5.324811175
76.9215,5.304220848,9.844769332,-38.88445191,-6.168099471,-5.935199991
76.922,1.641887955,8.013602886,-40.41042395,-4.642127433,-3.493644729
76.9225,-2.630833752,6.487630848,-46.20911769,-1.895377763,-1.052089467
76.923,-4.767194606,5.877242032,-53.83897789,-0.9797945403,-1.357283875
76.9235,-5.377583422,4.656464401,-51.09222822,-2.810960986,-1.662478283
76.924,-6.90355546,1.299325917,-33.08575816,-4.031738617,1.694660202
76.9245,-9.955499537,-3.278590199,-10.19617759,-2.200572171,7.798548356
76.925,-12.09186039,-6.635728684,4.147959576,0.8513719059,11.46088125
76.9255,-11.48147158,-6.025339868,8.115486876,2.682538352,8.408937171
76.926,-7.819138683,-3.583784607,5.673931615,1.766955129,0.4738825711
76.9265,-4.156805791,-2.057812568,-1.345539762,-0.3694057249,-7.766366437
76.927,-2.325639345,-2.668201383,-14.46889929,-1.590183356,-14.175449
76.9275,-1.104861714,-4.49936783,-30.94939731,-2.200572171,-17.53258748
76.928,0.115915917,-5.72014546,-40.71561836,-2.505766579,-18.75336511
76.9285,1.641887955,-6.025339868,-36.74809106,-2.505766579,-17.83778189
76.929,1.641887955,-6.635728684,-20.57278745,-0.9797945403,-16.31180985
76.9295,-0.1892784907,-8.161700722,-2.261122986,0.8513719059,-15.39622663
76.93,-2.325639345,-9.077283945,6.589514838,2.072149537,-15.09103222
76.9305,-2.93602816,-7.551311907,5.368737207,2.682538352,-16.00661544
76.931,-2.325639345,-4.49936783,1.096015499,2.072149537,-16.00661544
76.9315,-3.241222568,-4.194173422,-0.4299565394,0.5461774982,-10.81831051
76.932,-6.598361052,-7.856506314,-0.4299565394,-0.3694057249,1.389465794
76.9325,-10.87108276,-12.73961684,-1.955928578,-0.3694057249,16.34399177
76.933,-13.61783243,-14.26558888,-5.313067063,0.5461774982,23.66865756
76.9335,-15.14380447,-11.2136448,-7.449427917,1.461760721,20.31151907
76.934,-16.3645821,-6.635728684,-8.059816732,0.8513719059,11.15568684
76.9345,-17.28016532,-2.973395791,-9.280594363,-0.06421131716,3.831021056
76.935,-14.83861006,-0.5318405296,-11.11176081,-0.06421131716,0.1686881634
76.9355,-7.208749868,1.604520324,-12.33253844,-0.06421131716,-1.662478283
76.936,1.947082363,3.435686771,-12.63773285,-0.6746001326,-2.578061506
76.9365,8.050970517,3.740881178,-12.02734403,-2.505766579,-1.052089467
76.937,8.050970517,2.21490914,-9.280594363,-3.72654421,1.694660202
76.9375,6.524998479,1.299325917,-3.176706209,-4.031738617,3.525826648
76.938,6.830192886,2.825297955,2.621987538,-4.94732184,3.831021056
76.9385,9.576942556,5.572047624,3.842765168,-5.557710656,4.746604279
76.939,11.71330341,7.403214071,0.180432276,-4.94732184,6.882965133
76.9395,11.71330341,7.098019663,-1.040345355,-3.72654421,7.798548356
76.94,11.408109,6.18243644,4.147959576,-2.505766579,7.493353948
76.9405,11.408109,5.877242032,12.38820858,-1.590183356,7.493353948
76.941,10.49252578,6.18243644,18.18690233,-0.3694057249,8.103742764
76.9415,7.440581702,5.877242032,22.45962404,-0.3694057249,7.493353948
76.942,2.252276771,4.046075586,27.95312338,-1.590183356,5.96738191
76.9425,-1.715250529,2.520103547,32.22584508,-1.590183356,5.356993094
76.943,-3.546416975,2.21490914,30.08948423,0.8513719059,6.272576317
76.9435,-2.93602816,1.909714732,21.23884641,3.598121575,4.746604279
76.944,-2.93602816,1.299325917,11.77781977,3.903315983,-0.1365062443
76.9445,-3.546416975,-0.2266461219,5.979126022,2.98773276,-5.019616768
76.945,-4.767194606,-1.75261816,2.927181945,3.292927168,-6.240394398
76.9455,-5.377583422,-3.278590199,0.7908210914,4.818899206,-4.71442236
76.946,-4.767194606,-4.49936783,-0.7351509471,5.429288021,-4.104033544
76.9465,-2.93602816,-5.72014546,-2.261122986,4.818899206,-5.019616768
76.947,0.4211103247,-6.330534276,-5.61826147,4.513704798,-6.850783214
76.9475,3.778248809,-6.940923091,-11.11176081,4.818899206,-8.376755252
76.948,4.99902644,-7.551311907,-15.99487133,3.903315983,-9.597532883
76.9485,4.388637625,-9.382478353,-18.13123219,1.766955129,-9.597532883
76.949,4.693832032,-10.90845039,-19.35200982,0.5461774982,-9.292338475
76.9495,7.135387294,-10.60325598,-21.18317626,0.2409830905,-9.597532883
76.95,10.49252578,-9.077283945,-21.79356508,-0.3694057249,-10.2079217
76.9505,12.62888663,-8.772089538,-19.04681541,-2.505766579,-9.597532883
76.951,12.62888663,-11.51883921,-14.7740937,-3.421349802,-6.240394398
76.9515,11.10291459,-15.1811721,-10.8065664,-2.505766579,-2.578061506
76.952,8.356164925,-16.40194973,-7.449427917,-1.284988948,-0.7468950597
76.9525,5.304220848,-13.35000565,-4.702678247,-0.9797945403,-0.7468950597
76.953,4.693832032,-9.077283945,-2.871511801,-0.06421131716,-0.7468950597
