"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",384.92000,2000,22000,"uV"

"time","value"
384.92000,-5.019616768
384.92050,-6.545588806
384.92100,-6.240394398
384.92150,-5.935199991
384.92200,-6.850783214
384.92250,-8.376755252
384.92300,-8.68194966
384.92350,-7.461172029
384.92400,-6.545588806
384.92450,-6.545588806
384.92500,-6.240394398
384.92550,-4.409227952
384.92600,-1.967672691
384.92650,-0.441700652
384.92700,0.1686881634
384.92750,1.99985461
384.92800,4.746604279
384.92850,6.577770725
384.92900,7.188159541
384.92950,7.493353948
384.93000,8.714131579
384.93050,10.24010362
384.93100,10.54529803
384.93150,9.629714802
384.93200,8.714131579
384.93250,9.324520394
384.93300,10.54529803
384.93350,10.85049243
384.93400,9.324520394
384.93450,6.882965133
384.93500,5.662187502
384.93550,5.662187502
384.93600,4.746604279
384.93650,2.610243425
384.93700,0.7790769788
384.93750,0.7790769788
384.93800,0.7790769788
384.93850,-0.7468950597
384.93900,-3.798839137
384.93950,-5.630005583
384.94000,-5.935199991
384.94050,-5.935199991
384.94100,-6.850783214
384.94150,-7.155977621
384.94200,-7.155977621
384.94250,-6.850783214
384.94300,-7.155977621
384.94350,-7.461172029
384.94400,-6.850783214
384.94450,-5.935199991
384.94500,-5.019616768
384.94550,-4.409227952
384.94600,-3.493644729
384.94650,-1.967672691
384.94700,-0.7468950597
384.94750,-0.1365062443
384.94800,0.4738825711
384.94850,0.4738825711
384.94900,-0.1365062443
384.94950,-1.052089467
384.95000,-0.7468950597
384.95050,0.1686881634
384.95100,0.7790769788
384.95150,0.4738825711
384.95200,-0.1365062443
384.95250,-0.1365062443
384.95300,0.7790769788
384.95350,1.389465794
384.95400,0.4738825711
384.95450,-0.7468950597
384.95500,-1.357283875
384.95550,-1.662478283
384.95600,-2.272867098
384.95650,-2.883255914
384.95700,-2.883255914
384.95750,-2.272867098
384.95800,-2.578061506
384.95850,-3.798839137
384.95900,-5.324811175
384.95950,-5.935199991
384.96000,-5.935199991
384.96050,-5.019616768
384.96100,-4.104033544
384.96150,-3.493644729
384.96200,-2.883255914
384.96250,-3.188450321
384.96300,-3.493644729
384.96350,-2.578061506
384.96400,-1.052089467
384.96450,0.1686881634
384.96500,0.1686881634
384.96550,0.1686881634
384.96600,0.4738825711
384.96650,1.694660202
384.96700,2.610243425
384.96750,2.915437833
384.96800,3.22063224
384.96850,4.441409871
384.96900,5.356993094
384.96950,5.96738191
384.97000,5.662187502
384.97050,5.051798687
384.97100,5.051798687
384.97150,5.96738191
384.97200,6.882965133
384.97250,6.272576317
384.97300,4.746604279
384.97350,3.22063224
384.97400,3.22063224
384.97450,3.22063224
384.97500,1.99985461
384.97550,0.4738825711
384.97600,-0.441700652
384.97650,-1.052089467
384.97700,-1.967672691
384.97750,-3.188450321
384.97800,-3.493644729
384.97850,-2.883255914
384.97900,-2.578061506
384.97950,-3.493644729
384.98000,-5.019616768
384.98050,-6.240394398
384.98100,-7.155977621
384.98150,-7.766366437
384.98200,-7.766366437
384.98250,-7.155977621
384.98300,-6.850783214
384.98350,-6.240394398
384.98400,-5.324811175
384.98450,-4.409227952
384.98500,-4.104033544
384.98550,-4.104033544
384.98600,-3.493644729
384.98650,-2.883255914
384.98700,-2.272867098
384.98750,-0.7468950597
384.98800,1.389465794
384.98850,3.831021056
384.98900,4.441409871
384.98950,3.525826648
384.99000,3.831021056
384.99050,5.662187502
384.99100,7.493353948
384.99150,7.493353948
384.99200,6.577770725
384.99250,6.577770725
384.99300,6.882965133
384.99350,5.96738191
384.99400,4.441409871
384.99450,2.915437833
384.99500,1.389465794
384.99550,0.1686881634
384.99600,-1.357283875
384.99650,-2.578061506
384.99700,-3.188450321
384.99750,-2.578061506
384.99800,-2.272867098
384.99850,-2.272867098
384.99900,-2.578061506
384.99950,-3.798839137
385.00000,-4.409227952
385.00050,-4.409227952
385.00100,-4.409227952
385.00150,-5.324811175
385.00200,-7.155977621
385.00250,-8.68194966
385.00300,-8.68194966
385.00350,-8.071560845
385.00400,-8.071560845
385.00450,-8.376755252
385.00500,-7.766366437
385.00550,-5.935199991
385.00600,-4.104033544
385.00650,-2.272867098
385.00700,-0.441700652
385.00750,1.084271386
385.00800,3.525826648
385.00850,5.662187502
385.00900,7.798548356
385.00950,9.629714802
385.01000,11.15568684
385.01050,11.46088125
385.01100,11.15568684
385.01150,10.54529803
385.01200,9.93490921
385.01250,9.324520394
385.01300,8.103742764
385.01350,7.188159541
385.01400,6.882965133
385.01450,5.662187502
385.01500,3.22063224
385.01550,1.694660202
385.01600,1.99985461
385.01650,3.22063224
385.01700,2.305049017
385.01750,-0.1365062443
385.01800,-0.7468950597
385.01850,-0.1365062443
385.01900,0.1686881634
385.01950,-0.441700652
385.02000,-1.052089467
385.02050,-0.1365062443
385.02100,0.7790769788
385.02150,0.1686881634
385.02200,-0.7468950597
385.02250,-1.357283875
385.02300,-1.357283875
385.02350,-1.662478283
385.02400,-1.967672691
385.02450,-1.052089467
385.02500,-0.1365062443
385.02550,-0.441700652
385.02600,-0.7468950597
385.02650,0.4738825711
385.02700,3.831021056
385.02750,6.272576317
385.02800,6.577770725
385.02850,5.662187502
385.02900,5.356993094
385.02950,6.577770725
385.03000,7.493353948
385.03050,7.188159541
385.03100,6.272576317
385.03150,6.272576317
385.03200,6.272576317
385.03250,5.96738191
385.03300,4.746604279
385.03350,4.441409871
385.03400,5.662187502
385.03450,6.577770725
385.03500,5.96738191
385.03550,4.746604279
385.03600,3.831021056
385.03650,3.22063224
385.03700,1.389465794
385.03750,-0.1365062443
385.03800,-0.7468950597
385.03850,-0.7468950597
385.03900,-1.662478283
385.03950,-3.798839137
385.04000,-5.935199991
385.04050,-6.850783214
385.04100,-6.545588806
385.04150,-6.545588806
385.04200,-7.155977621
385.04250,-8.376755252
385.04300,-8.68194966
385.04350,-8.68194966
385.04400,-7.461172029
385.04450,-6.240394398
385.04500,-4.71442236
385.04550,-2.578061506
385.04600,-0.1365062443
385.04650,0.4738825711
385.04700,0.4738825711
385.04750,1.084271386
385.04800,3.525826648
385.04850,6.272576317
385.04900,7.188159541
385.04950,7.188159541
385.05000,7.188159541
385.05050,7.798548356
385.05100,8.103742764
385.05150,8.103742764
385.05200,8.103742764
385.05250,8.714131579
385.05300,8.714131579
385.05350,7.798548356
385.05400,6.882965133
385.05450,5.96738191
385.05500,5.051798687
385.05550,3.831021056
385.05600,2.305049017
385.05650,0.4738825711
385.05700,-1.662478283
385.05750,-4.409227952
385.05800,-6.850783214
385.05850,-7.766366437
385.05900,-7.766366437
385.05950,-8.071560845
385.06000,-9.597532883
385.06050,-11.42869933
385.06100,-12.64947696
385.06150,-12.95467137
385.06200,-12.95467137
385.06250,-12.34428255
385.06300,-11.42869933
385.06350,-10.81831051
385.06400,-10.81831051
385.06450,-10.51311611
385.06500,-8.987144068
385.06550,-7.461172029
385.06600,-6.850783214
385.06650,-7.155977621
385.06700,-6.545588806
385.06750,-5.019616768
385.06800,-3.188450321
385.06850,-1.662478283
385.06900,-0.7468950597
385.06950,-0.1365062443
385.07000,0.4738825711
385.07050,0.1686881634
385.07100,-0.1365062443
385.07150,-0.1365062443
385.07200,0.7790769788
385.07250,2.305049017
385.07300,1.99985461
385.07350,-0.441700652
385.07400,-2.272867098
385.07450,-1.357283875
385.07500,0.4738825711
385.07550,-0.441700652
385.07600,-3.188450321
385.07650,-3.798839137
385.07700,-1.662478283
385.07750,-0.1365062443
385.07800,-1.662478283
385.07850,-3.188450321
385.07900,-2.883255914
385.07950,-3.188450321
385.08000,-5.324811175
385.08050,-6.545588806
385.08100,-5.630005583
385.08150,-5.019616768
385.08200,-7.155977621
385.08250,-9.292338475
385.08300,-8.376755252
385.08350,-5.630005583
385.08400,-4.104033544
385.08450,-3.798839137
385.08500,-2.578061506
385.08550,-0.1365062443
385.08600,1.99985461
385.08650,4.136215463
385.08700,6.577770725
385.08750,8.408937171
385.08800,8.103742764
385.08850,7.493353948
385.08900,8.103742764
385.08950,8.714131579
385.09000,8.103742764
385.09050,7.188159541
385.09100,7.188159541
385.09150,7.188159541
385.09200,5.051798687
385.09250,2.610243425
385.09300,1.389465794
385.09350,1.99985461
385.09400,1.389465794
385.09450,-0.7468950597
385.09500,-2.883255914
385.09550,-3.493644729
385.09600,-3.493644729
385.09650,-3.798839137
385.09700,-4.104033544
385.09750,-4.104033544
385.09800,-3.493644729
385.09850,-2.272867098
385.09900,-0.7468950597
385.09950,-0.441700652
385.10000,-1.052089467
385.10050,-2.272867098
385.10100,-2.578061506
385.10150,-2.272867098
385.10200,-1.967672691
385.10250,-1.662478283
385.10300,-1.662478283
385.10350,-1.357283875
385.10400,-1.052089467
385.10450,-0.441700652
385.10500,-0.1365062443
385.10550,0.4738825711
385.10600,0.4738825711
385.10650,0.7790769788
