time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
384.92,1.336693548,-7.551311907,-2.261122986,2.072149537,-5.019616768
384.9205,2.252276771,-9.077283945,-1.955928578,1.461760721,-6.545588806
384.921,3.778248809,-10.60325598,-2.261122986,1.766955129,-6.240394398
384.9215,5.914609663,-10.90845039,-2.871511801,2.072149537,-5.935199991
384.922,7.440581702,-10.90845039,-3.176706209,1.766955129,-6.850783214
384.9225,8.050970517,-10.60325598,-2.871511801,0.8513719059,-8.376755252
384.923,7.135387294,-10.29806158,-3.481900616,0.5461774982,-8.68194966
384.9235,5.304220848,-9.382478353,-4.39748384,0.8513719059,-7.461172029
384.924,3.473054402,-8.161700722,-4.39748384,1.766955129,-6.545588806
384.9245,2.252276771,-7.246117499,-3.481900616,2.682538352,-6.545588806
384.925,1.336693548,-5.72014546,-3.176706209,2.682538352,-6.240394398
384.9255,0.115915917,-3.278590199,-2.566317393,1.156566314,-4.409227952
384.926,-1.715250529,-1.447423753,-1.345539762,-0.3694057249,-1.967672691
384.9265,-3.241222568,-0.8370349373,-0.1247621317,-0.6746001326,-0.441700652
384.927,-3.546416975,0.07854828584,0.180432276,-0.06421131716,0.1686881634
384.9275,-3.546416975,1.909714732,0.180432276,-0.3694057249,1.99985461
384.928,-3.851611383,4.656464401,1.096015499,-1.895377763,4.746604279
384.9285,-3.851611383,5.572047624,3.232376353,-2.200572171,6.577770725
384.929,-3.851611383,4.961658809,4.758348392,-0.6746001326,7.188159541
384.9295,-3.851611383,4.656464401,5.063542799,0.2409830905,7.493353948
384.93,-4.767194606,5.572047624,4.453153984,-0.6746001326,8.714131579
384.9305,-5.072389014,6.792825255,3.842765168,-2.810960986,10.24010362
384.931,-3.546416975,8.013602886,3.232376353,-3.72654421,10.54529803
384.9315,-1.410056122,9.844769332,2.011598722,-3.421349802,9.629714802
384.932,-1.104861714,10.45515815,2.011598722,-3.421349802,8.714131579
384.9325,-3.546416975,8.929186109,3.537570761,-3.116155394,9.324520394
384.933,-6.293166645,6.792825255,5.368737207,-0.9797945403,10.54529803
384.9335,-7.208749868,6.18243644,5.979126022,1.461760721,10.85049243
384.934,-6.90355546,7.403214071,5.673931615,1.766955129,9.324520394
384.9345,-6.293166645,7.098019663,5.368737207,0.2409830905,6.882965133
384.935,-5.377583422,4.961658809,5.673931615,-0.06421131716,5.662187502
384.9355,-4.767194606,2.520103547,5.368737207,0.5461774982,5.662187502
384.936,-5.377583422,1.604520324,4.758348392,2.072149537,4.746604279
384.9365,-6.90355546,0.3837426935,4.758348392,2.072149537,2.610243425
384.937,-6.90355546,-1.75261816,6.28432043,2.377343944,0.7790769788
384.9375,-4.462000199,-4.194173422,7.505098061,3.903315983,0.7790769788
384.938,-1.104861714,-5.72014546,7.199903653,5.429288021,0.7790769788
384.9385,0.115915917,-6.025339868,4.758348392,5.734482429,-0.7468950597
384.939,0.7263047324,-6.635728684,2.31679313,4.208510391,-3.798839137
384.9395,1.641887955,-7.551311907,1.401209907,2.98773276,-5.630005583
384.94,3.473054402,-7.856506314,2.31679313,3.292927168,-5.935199991
384.9405,4.99902644,-7.551311907,3.842765168,4.513704798,-5.935199991
384.941,5.304220848,-8.161700722,4.147959576,5.734482429,-6.850783214
384.9415,4.693832032,-9.382478353,3.232376353,5.429288021,-7.155977621
384.942,4.388637625,-10.90845039,1.706404315,4.513704798,-7.155977621
384.9425,4.693832032,-10.29806158,0.4856266837,3.292927168,-6.850783214
384.943,5.304220848,-8.772089538,-0.1247621317,1.461760721,-7.155977621
384.9435,6.219804071,-7.246117499,-0.7351509471,-0.9797945403,-7.461172029
384.944,7.440581702,-6.635728684,-2.261122986,-2.810960986,-6.850783214
384.9445,8.661359333,-6.330534276,-4.39748384,-3.116155394,-5.935199991
384.945,8.050970517,-5.414951053,-6.228650286,-1.895377763,-5.019616768
384.9455,6.524998479,-3.888979014,-6.839039101,-1.895377763,-4.409227952
384.946,4.99902644,-2.973395791,-5.923455878,-3.72654421,-3.493644729
384.9465,4.388637625,-2.973395791,-4.092289432,-5.557710656,-1.967672691
384.947,4.693832032,-1.75261816,-2.566317393,-6.473293879,-0.7468950597
384.9475,4.693832032,0.3837426935,-3.176706209,-6.778488287,-0.1365062443
384.948,4.083443217,2.520103547,-5.923455878,-6.473293879,0.4738825711
384.9485,4.083443217,3.740881178,-8.670205547,-6.168099471,0.4738825711
384.949,4.99902644,4.656464401,-8.36501114,-5.557710656,-0.1365062443
384.9495,5.304220848,5.877242032,-5.313067063,-5.252516248,-1.052089467
384.95,4.388637625,6.487630848,-3.481900616,-4.642127433,-0.7468950597
384.9505,3.473054402,6.792825255,-4.092289432,-3.72654421,0.1686881634
384.951,4.083443217,7.708408478,-5.313067063,-3.116155394,0.7790769788
384.9515,5.609415256,8.623991701,-5.007872655,-3.72654421,0.4738825711
384.952,6.219804071,8.318797294,-3.787095024,-4.336933025,-0.1365062443
384.9525,5.304220848,7.403214071,-3.787095024,-3.421349802,-0.1365062443
384.953,3.778248809,7.098019663,-4.702678247,-2.200572171,0.7790769788
384.9535,3.167859994,8.623991701,-4.39748384,-1.895377763,1.389465794
384.954,3.778248809,9.234380517,-3.481900616,-1.895377763,0.4738825711
384.9545,4.083443217,8.318797294,-2.871511801,-1.590183356,-0.7468950597
384.955,3.778248809,7.098019663,-3.481900616,-0.3694057249,-1.357283875
384.9555,2.252276771,6.18243644,-3.481900616,-0.06421131716,-1.662478283
384.956,1.03149914,4.046075586,-2.566317393,-0.06421131716,-2.272867098
384.9565,0.7263047324,0.9941315089,-1.65073417,0.2409830905,-2.883255914
384.957,0.4211103247,-0.5318405296,-0.4299565394,1.156566314,-2.883255914
384.9575,-1.104861714,-0.2266461219,1.401209907,0.8513719059,-2.272867098
384.958,-3.851611383,0.07854828584,4.453153984,0.5461774982,-2.578061506
384.9585,-4.767194606,-0.8370349373,5.063542799,1.766955129,-3.798839137
384.959,-3.241222568,-2.363006976,2.927181945,3.598121575,-5.324811175
384.9595,-1.104861714,-3.888979014,0.7908210914,3.903315983,-5.935199991
384.96,-1.410056122,-6.025339868,0.7908210914,2.377343944,-5.935199991
384.9605,-2.93602816,-8.161700722,2.011598722,0.5461774982,-5.019616768
384.961,-3.851611383,-9.077283945,2.927181945,-0.06421131716,-4.104033544
384.9615,-4.156805791,-8.46689513,2.927181945,-0.06421131716,-3.493644729
384.962,-4.156805791,-9.077283945,2.31679313,-0.6746001326,-2.883255914
384.9625,-4.156805791,-10.29806158,1.401209907,-0.3694057249,-3.188450321
384.963,-4.156805791,-10.60325598,0.7908210914,0.5461774982,-3.493644729
384.9635,-3.546416975,-8.46689513,0.4856266837,0.2409830905,-2.578061506
384.964,-3.546416975,-6.635728684,1.096015499,-1.895377763,-1.052089467
384.9645,-3.241222568,-6.330534276,1.401209907,-3.72654421,0.1686881634
384.965,-2.020444937,-5.72014546,1.401209907,-4.031738617,0.1686881634
384.9655,0.115915917,-3.583784607,1.096015499,-3.421349802,0.1686881634
384.966,1.947082363,-1.75261816,1.096015499,-4.031738617,0.4738825711
384.9665,2.862665586,-0.8370349373,0.7908210914,-4.94732184,1.694660202
384.967,2.252276771,0.07854828584,0.180432276,-4.94732184,2.610243425
384.9675,2.252276771,2.21490914,0.4856266837,-4.94732184,2.915437833
384.968,2.557471179,4.656464401,1.401209907,-5.557710656,3.22063224
384.9685,1.947082363,5.572047624,2.621987538,-5.252516248,4.441409871
384.969,1.03149914,6.792825255,2.31679313,-4.336933025,5.356993094
384.9695,0.4211103247,8.929186109,0.7908210914,-3.421349802,5.96738191
384.97,1.336693548,10.76035256,-1.040345355,-3.72654421,5.662187502
384.9705,3.167859994,10.76035256,-2.871511801,-4.031738617,5.051798687
384.971,3.473054402,10.76035256,-3.481900616,-3.421349802,5.051798687
384.9715,2.557471179,12.591519,-3.176706209,-2.200572171,5.96738191
384.972,1.947082363,14.11749104,-2.871511801,-2.200572171,6.882965133
384.9725,1.336693548,14.11749104,-2.566317393,-2.200572171,6.272576317
384.973,0.115915917,13.20190782,-1.040345355,-1.284988948,4.746604279
384.9735,-1.410056122,13.20190782,1.096015499,-0.6746001326,3.22063224
384.974,-2.020444937,13.50710222,3.232376353,-0.6746001326,3.22063224
384.9745,0.115915917,12.591519,3.232376353,-1.284988948,3.22063224
384.975,2.252276771,11.06554696,0.7908210914,-0.6746001326,1.99985461
384.9755,2.557471179,10.14996374,-1.040345355,-0.06421131716,0.4738825711
384.976,0.7263047324,9.234380517,-0.7351509471,-0.06421131716,-0.441700652
384.9765,-1.104861714,7.708408478,0.4856266837,0.2409830905,-1.052089467
384.977,-2.325639345,5.572047624,1.096015499,1.156566314,-1.967672691
384.9775,-3.546416975,4.046075586,0.4856266837,2.072149537,-3.188450321
384.978,-4.156805791,2.520103547,-0.1247621317,1.461760721,-3.493644729
384.9785,-4.767194606,1.299325917,-0.1247621317,0.5461774982,-2.883255914
384.979,-5.377583422,0.6889371012,-0.1247621317,1.461760721,-2.578061506
384.9795,-5.377583422,0.9941315089,-0.7351509471,3.598121575,-3.493644729
384.98,-4.156805791,0.9941315089,-0.7351509471,4.513704798,-5.019616768
384.9805,-2.325639345,0.07854828584,-0.4299565394,3.598121575,-6.240394398
384.981,-0.7996673061,-1.447423753,-0.4299565394,2.98773276,-7.155977621
384.9815,-0.1892784907,-1.75261816,-0.7351509471,3.598121575,-7.766366437
384.982,0.115915917,-1.447423753,-0.7351509471,3.903315983,-7.766366437
384.9825,0.7263047324,-2.057812568,-0.1247621317,2.682538352,-7.155977621
384.983,1.336693548,-2.973395791,0.180432276,1.156566314,-6.850783214
384.9835,0.7263047324,-3.278590199,-0.1247621317,-0.06421131716,-6.240394398
384.984,0.4211103247,-2.668201383,-0.7351509471,-0.6746001326,-5.324811175
384.9845,1.336693548,-1.75261816,-0.1247621317,-1.590183356,-4.409227952
384.985,2.557471179,0.07854828584,-0.1247621317,-2.200572171,-4.104033544
384.9855,2.557471179,2.21490914,-1.040345355,-2.505766579,-4.104033544
384.986,2.252276771,4.046075586,-2.566317393,-2.505766579,-3.493644729
384.9865,2.862665586,4.046075586,-2.871511801,-2.810960986,-2.883255914
384.987,3.778248809,3.130492363,-2.261122986,-2.810960986,-2.272867098
384.9875,3.778248809,3.740881178,-1.65073417,-2.505766579,-0.7468950597
384.988,3.473054402,5.266853217,-1.345539762,-1.895377763,1.389465794
384.9885,4.083443217,6.792825255,-0.7351509471,-1.590183356,3.831021056
384.989,5.914609663,7.403214071,-0.1247621317,-1.590183356,4.441409871
384.9895,6.219804071,8.623991701,-0.4299565394,-0.6746001326,3.525826648
384.99,4.083443217,9.844769332,-0.7351509471,-0.3694057249,3.831021056
384.9905,1.03149914,9.844769332,-0.4299565394,-0.3694057249,5.662187502
384.991,-0.1892784907,8.623991701,0.180432276,-0.3694057249,7.493353948
384.9915,-0.4944728984,8.318797294,0.180432276,-0.06421131716,7.493353948
384.992,-1.104861714,9.539574925,-0.1247621317,0.2409830905,6.577770725
384.9925,-1.104861714,10.76035256,0.4856266837,0.8513719059,6.577770725
384.993,-0.4944728984,10.45515815,2.011598722,1.461760721,6.882965133
384.9935,0.115915917,9.539574925,1.706404315,2.072149537,5.96738191
384.994,-0.1892784907,8.623991701,-0.1247621317,1.766955129,4.441409871
384.9945,-0.1892784907,8.013602886,-2.566317393,1.156566314,2.915437833
384.995,0.115915917,6.792825255,-3.176706209,0.8513719059,1.389465794
384.9955,0.4211103247,5.266853217,-1.955928578,1.156566314,0.1686881634
384.996,-0.4944728984,4.351269994,-1.040345355,1.766955129,-1.357283875
384.9965,-2.93602816,4.046075586,-0.7351509471,2.072149537,-2.578061506
384.997,-5.987972237,3.435686771,-0.7351509471,2.377343944,-3.188450321
384.9975,-8.124333091,1.299325917,-0.4299565394,3.598121575,-2.578061506
384.998,-9.955499537,-1.75261816,-0.7351509471,5.124093614,-2.272867098
384.9985,-10.26069394,-4.804562237,-1.345539762,6.039676837,-2.272867098
384.999,-8.734721906,-6.635728684,-1.65073417,6.039676837,-2.578061506
384.9995,-6.598361052,-7.246117499,-1.345539762,6.344871245,-3.798839137
385.0,-5.682777829,-8.161700722,-0.4299565394,6.344871245,-4.409227952
385.0005,-5.377583422,-9.687672761,0.180432276,5.734482429,-4.409227952
385.001,-4.462000199,-10.60325598,0.7908210914,4.513704798,-4.409227952
385.0015,-1.715250529,-11.2136448,-0.1247621317,2.682538352,-5.324811175
385.002,1.03149914,-11.2136448,-1.040345355,1.766955129,-7.155977621
385.0025,2.557471179,-11.82403361,-1.65073417,1.156566314,-8.68194966
385.003,3.167859994,-11.82403361,-1.345539762,0.5461774982,-8.68194966
385.0035,2.862665586,-11.51883921,-1.65073417,0.2409830905,-8.071560845
385.004,1.947082363,-10.29806158,-2.566317393,-0.06421131716,-8.071560845
385.0045,1.03149914,-9.687672761,-3.176706209,-0.06421131716,-8.376755252
385.005,0.7263047324,-9.382478353,-2.566317393,-0.06421131716,-7.766366437
385.0055,1.03149914,-8.46689513,-1.040345355,-0.9797945403,-5.935199991
385.006,1.03149914,-6.330534276,-0.1247621317,-2.505766579,-4.104033544
385.0065,0.115915917,-3.888979014,-0.1247621317,-3.421349802,-2.272867098
385.007,-0.7996673061,-2.057812568,-0.7351509471,-3.116155394,-0.441700652
385.0075,-0.7996673061,-1.142229345,-0.4299565394,-1.895377763,1.084271386
385.008,-1.104861714,-0.8370349373,0.180432276,-1.590183356,3.525826648
385.0085,-2.325639345,0.07854828584,0.7908210914,-2.200572171,5.662187502
385.009,-3.546416975,1.604520324,1.401209907,-2.810960986,7.798548356
385.0095,-3.851611383,2.520103547,1.706404315,-2.810960986,9.629714802
385.01,-3.241222568,2.825297955,1.706404315,-2.505766579,11.15568684
385.0105,-2.93602816,3.740881178,2.011598722,-2.505766579,11.46088125
385.011,-3.241222568,4.656464401,2.011598722,-2.505766579,11.15568684
385.0115,-2.93602816,4.961658809,2.31679313,-1.895377763,10.54529803
385.012,-1.410056122,4.961658809,1.706404315,-1.284988948,9.93490921
385.0125,0.115915917,5.572047624,0.7908210914,-1.590183356,9.324520394
385.013,0.115915917,6.487630848,-0.1247621317,-1.895377763,8.103742764
385.0135,0.115915917,5.572047624,-1.040345355,-1.590183356,7.188159541
385.014,-0.1892784907,3.740881178,-1.65073417,-0.06421131716,6.882965133
385.0145,-0.4944728984,2.825297955,-1.345539762,0.8513719059,5.662187502
385.015,-1.104861714,3.435686771,-0.7351509471,1.461760721,3.22063224
