"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",406.92000,2000,22000,"uV"

"time","value"
406.92000,-1.142229345
406.92050,-0.8370349373
406.92100,-2.668201383
406.92150,-5.414951053
406.92200,-7.551311907
406.92250,-9.077283945
406.92300,-11.51883921
406.92350,-13.35000565
406.92400,-13.04481125
406.92450,-10.90845039
406.92500,-9.687672761
406.92550,-9.687672761
406.92600,-8.46689513
406.92650,-6.330534276
406.92700,-4.804562237
406.92750,-4.194173422
406.92800,-3.278590199
406.92850,-0.8370349373
406.92900,0.9941315089
406.92950,2.21490914
406.93000,3.435686771
406.93050,5.572047624
406.93100,7.403214071
406.93150,8.318797294
406.93200,8.929186109
406.93250,10.45515815
406.93300,12.89671341
406.93350,13.50710222
406.93400,12.28632459
406.93450,10.76035256
406.93500,10.45515815
406.93550,10.76035256
406.93600,10.76035256
406.93650,9.234380517
406.93700,7.098019663
406.93750,4.351269994
406.93800,2.21490914
406.93850,0.9941315089
406.93900,0.6889371012
406.93950,0.07854828584
406.94000,-1.447423753
406.94050,-2.668201383
406.94100,-3.583784607
406.94150,-4.194173422
406.94200,-5.414951053
406.94250,-7.551311907
406.94300,-9.077283945
406.94350,-9.077283945
406.94400,-8.772089538
406.94450,-9.077283945
406.94500,-9.687672761
406.94550,-9.992867168
406.94600,-8.772089538
406.94650,-6.635728684
406.94700,-4.49936783
406.94750,-2.973395791
406.94800,-2.363006976
406.94850,-1.447423753
406.94900,-0.2266461219
406.94950,0.9941315089
406.95000,2.825297955
406.95050,4.961658809
406.95100,7.403214071
406.95150,9.844769332
406.95200,11.06554696
406.95250,10.76035256
406.95300,9.539574925
406.95350,8.929186109
406.95400,8.929186109
406.95450,8.013602886
406.95500,7.098019663
406.95550,6.487630848
406.95600,6.792825255
406.95650,6.487630848
406.95700,5.266853217
406.95750,3.740881178
406.95800,3.130492363
406.95850,2.520103547
406.95900,0.6889371012
406.95950,-2.363006976
406.96000,-5.414951053
406.96050,-7.551311907
406.96100,-8.772089538
406.96150,-9.382478353
406.96200,-10.29806158
406.96250,-11.2136448
406.96300,-12.43442243
406.96350,-12.73961684
406.96400,-11.82403361
406.96450,-10.29806158
406.96500,-9.382478353
406.96550,-9.687672761
406.96600,-9.382478353
406.96650,-8.772089538
406.96700,-7.551311907
406.96750,-6.635728684
406.96800,-5.109756645
406.96850,-3.278590199
406.96900,-1.447423753
406.96950,0.3837426935
406.97000,2.520103547
406.97050,4.656464401
406.97100,6.18243644
406.97150,7.708408478
406.97200,8.929186109
406.97250,9.844769332
406.97300,9.539574925
406.97350,9.539574925
406.97400,10.14996374
406.97450,10.76035256
406.97500,9.844769332
406.97550,7.708408478
406.97600,6.487630848
406.97650,6.18243644
406.97700,5.266853217
406.97750,2.825297955
406.97800,0.6889371012
406.97850,0.07854828584
406.97900,-0.5318405296
406.97950,-1.75261816
406.98000,-3.888979014
406.98050,-5.72014546
406.98100,-6.940923091
406.98150,-8.46689513
406.98200,-10.29806158
406.98250,-11.51883921
406.98300,-12.12922802
406.98350,-11.82403361
406.98400,-10.90845039
406.98450,-9.992867168
406.98500,-9.687672761
406.98550,-9.687672761
406.98600,-8.46689513
406.98650,-6.025339868
406.98700,-2.973395791
406.98750,-0.8370349373
406.98800,-0.5318405296
406.98850,-0.5318405296
406.98900,0.07854828584
406.98950,1.604520324
406.99000,2.21490914
406.99050,2.520103547
406.99100,3.435686771
406.99150,5.572047624
406.99200,7.098019663
406.99250,7.403214071
406.99300,7.403214071
406.99350,7.708408478
406.99400,7.708408478
406.99450,6.792825255
406.99500,4.961658809
406.99550,4.351269994
406.99600,4.046075586
406.99650,3.130492363
406.99700,0.9941315089
406.99750,-0.8370349373
406.99800,-1.75261816
406.99850,-1.447423753
406.99900,-1.142229345
406.99950,-1.142229345
407.00000,-1.75261816
407.00050,-2.973395791
407.00100,-5.109756645
407.00150,-7.246117499
407.00200,-8.161700722
407.00250,-7.551311907
407.00300,-6.940923091
407.00350,-8.161700722
407.00400,-9.687672761
407.00450,-10.29806158
407.00500,-9.077283945
407.00550,-7.856506314
407.00600,-7.856506314
407.00650,-8.772089538
407.00700,-9.077283945
407.00750,-7.856506314
407.00800,-5.414951053
407.00850,-3.583784607
407.00900,-2.363006976
407.00950,-1.142229345
407.01000,0.3837426935
407.01050,2.520103547
407.01100,4.351269994
407.01150,5.877242032
407.01200,6.487630848
407.01250,7.403214071
407.01300,8.623991701
407.01350,9.539574925
407.01400,10.76035256
407.01450,10.45515815
407.01500,8.929186109
407.01550,6.792825255
407.01600,6.18243644
407.01650,7.708408478
407.01700,9.234380517
407.01750,8.013602886
407.01800,4.961658809
407.01850,2.21490914
407.01900,1.604520324
407.01950,2.21490914
407.02000,2.21490914
407.02050,0.3837426935
407.02100,-2.057812568
407.02150,-4.804562237
407.02200,-6.635728684
407.02250,-8.161700722
407.02300,-9.382478353
407.02350,-10.29806158
407.02400,-10.29806158
407.02450,-8.161700722
407.02500,-4.804562237
407.02550,-2.668201383
407.02600,-2.668201383
407.02650,-3.278590199
407.02700,-2.363006976
407.02750,0.07854828584
407.02800,1.909714732
407.02850,2.520103547
407.02900,2.520103547
407.02950,4.046075586
407.03000,6.487630848
407.03050,8.013602886
407.03100,8.318797294
407.03150,8.623991701
407.03200,9.539574925
407.03250,10.45515815
407.03300,10.14996374
407.03350,9.234380517
407.03400,9.234380517
407.03450,10.45515815
407.03500,10.76035256
407.03550,9.539574925
407.03600,7.708408478
407.03650,6.18243644
407.03700,5.266853217
407.03750,3.740881178
407.03800,0.9941315089
407.03850,-0.8370349373
407.03900,-2.057812568
407.03950,-2.973395791
407.04000,-5.109756645
407.04050,-7.246117499
407.04100,-8.46689513
407.04150,-8.772089538
407.04200,-8.772089538
407.04250,-9.382478353
407.04300,-10.29806158
407.04350,-10.29806158
407.04400,-9.687672761
407.04450,-9.382478353
407.04500,-9.382478353
407.04550,-9.077283945
407.04600,-7.856506314
407.04650,-6.330534276
407.04700,-5.109756645
407.04750,-4.49936783
407.04800,-3.583784607
407.04850,-1.447423753
407.04900,0.9941315089
407.04950,2.520103547
407.05000,3.130492363
407.05050,3.740881178
407.05100,5.572047624
407.05150,7.708408478
407.05200,8.623991701
407.05250,9.539574925
407.05300,10.76035256
407.05350,11.06554696
407.05400,10.14996374
407.05450,9.234380517
407.05500,9.539574925
407.05550,9.539574925
407.05600,8.929186109
407.05650,7.403214071
407.05700,6.487630848
407.05750,5.877242032
407.05800,4.961658809
407.05850,4.351269994
407.05900,3.435686771
407.05950,1.909714732
407.06000,-0.2266461219
407.06050,-2.668201383
407.06100,-3.888979014
407.06150,-4.804562237
407.06200,-6.635728684
407.06250,-8.46689513
407.06300,-8.46689513
407.06350,-7.551311907
407.06400,-7.551311907
407.06450,-8.772089538
407.06500,-9.382478353
407.06550,-9.382478353
407.06600,-9.382478353
407.06650,-9.077283945
407.06700,-7.551311907
407.06750,-4.804562237
407.06800,-1.75261816
407.06850,0.3837426935
407.06900,2.520103547
407.06950,4.046075586
407.07000,6.18243644
407.07050,8.318797294
407.07100,9.844769332
407.07150,10.14996374
407.07200,9.234380517
407.07250,9.234380517
407.07300,10.14996374
407.07350,11.37074137
407.07400,11.67593578
407.07450,11.67593578
407.07500,12.591519
407.07550,13.20190782
407.07600,12.89671341
407.07650,11.06554696
407.07700,8.929186109
407.07750,7.098019663
407.07800,5.572047624
407.07850,3.740881178
407.07900,1.909714732
407.07950,0.07854828584
407.08000,-1.75261816
407.08050,-2.973395791
407.08100,-4.194173422
407.08150,-5.414951053
407.08200,-6.940923091
407.08250,-8.161700722
407.08300,-9.077283945
407.08350,-9.687672761
407.08400,-10.29806158
407.08450,-9.992867168
407.08500,-9.382478353
407.08550,-8.161700722
407.08600,-6.635728684
407.08650,-4.804562237
407.08700,-3.888979014
407.08750,-4.194173422
407.08800,-4.194173422
407.08850,-2.973395791
407.08900,-0.8370349373
407.08950,0.3837426935
407.09000,0.9941315089
407.09050,1.604520324
407.09100,3.130492363
407.09150,4.656464401
407.09200,6.18243644
407.09250,7.403214071
407.09300,8.013602886
407.09350,8.013602886
407.09400,8.623991701
407.09450,9.234380517
407.09500,9.234380517
407.09550,8.623991701
407.09600,7.708408478
407.09650,7.098019663
407.09700,6.487630848
407.09750,4.656464401
407.09800,2.520103547
407.09850,0.6889371012
407.09900,-0.8370349373
407.09950,-2.973395791
407.10000,-5.109756645
407.10050,-6.330534276
407.10100,-7.246117499
407.10150,-8.161700722
407.10200,-8.772089538
407.10250,-9.077283945
407.10300,-9.992867168
407.10350,-11.82403361
407.10400,-13.04481125
407.10450,-12.43442243
407.10500,-10.90845039
407.10550,-10.29806158
407.10600,-9.992867168
407.10650,-8.772089538
407.10700,-6.330534276
407.10750,-4.194173422
407.10800,-3.583784607
407.10850,-3.278590199
407.10900,-2.363006976
407.10950,-0.2266461219
407.11000,1.604520324
407.11050,2.520103547
407.11100,2.825297955
407.11150,3.435686771
407.11200,5.266853217
407.11250,7.403214071
407.11300,8.013602886
407.11350,7.708408478
407.11400,8.013602886
407.11450,8.929186109
407.11500,8.929186109
407.11550,7.403214071
407.11600,5.877242032
407.11650,5.572047624
407.11700,4.961658809
407.11750,2.825297955
407.11800,0.6889371012
407.11850,0.07854828584
407.11900,0.07854828584
407.11950,-1.142229345
407.12000,-3.583784607
407.12050,-5.414951053
407.12100,-6.025339868
407.12150,-7.246117499
407.12200,-9.077283945
407.12250,-9.992867168
407.12300,-9.992867168
407.12350,-9.382478353
407.12400,-9.077283945
407.12450,-8.772089538
407.12500,-9.077283945
407.12550,-10.29806158
407.12600,-10.90845039
407.12650,-9.382478353
407.12700,-6.635728684
407.12750,-3.583784607
407.12800,-1.447423753
407.12850,0.6889371012
407.12900,2.21490914
407.12950,3.130492363
407.13000,4.046075586
407.13050,7.098019663
407.13100,11.06554696
407.13150,12.28632459
407.13200,10.45515815
407.13250,8.623991701
407.13300,8.929186109
407.13350,11.06554696
407.13400,11.98113019
407.13450,11.06554696
407.13500,10.45515815
407.13550,10.45515815
407.13600,10.45515815
407.13650,9.539574925
407.13700,7.708408478
407.13750,5.877242032
407.13800,4.656464401
407.13850,2.825297955
407.13900,0.3837426935
407.13950,-2.057812568
407.14000,-4.194173422
407.14050,-6.025339868
407.14100,-7.856506314
407.14150,-9.382478353
407.14200,-10.60325598
407.14250,-12.43442243
407.14300,-14.57078328
407.14350,-15.79156091
407.14400,-14.57078328
407.14450,-11.82403361
407.14500,-9.992867168
407.14550,-9.382478353
407.14600,-8.772089538
407.14650,-6.940923091
407.14700,-4.804562237
407.14750,-3.583784607
407.14800,-2.363006976
407.14850,-1.447423753
407.14900,-0.8370349373
407.14950,0.07854828584
407.15000,2.21490914
407.15050,5.266853217
407.15100,7.403214071
407.15150,8.013602886
407.15200,7.403214071
407.15250,7.403214071
407.15300,8.013602886
407.15350,8.929186109
407.15400,9.234380517
407.15450,9.234380517
407.15500,9.539574925
407.15550,9.844769332
407.15600,9.234380517
407.15650,7.403214071
407.15700,5.877242032
407.15750,5.877242032
407.15800,6.18243644
407.15850,4.961658809
407.15900,2.520103547
407.15950,0.6889371012
407.16000,0.07854828584
407.16050,-0.5318405296
407.16100,-1.75261816
407.16150,-2.973395791
407.16200,-3.888979014
407.16250,-6.025339868
407.16300,-9.382478353
407.16350,-11.2136448
407.16400,-10.60325598
