"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",428.92000,2000,22000,"uV"

"time","value"
428.92000,-1.284988948
428.92050,-0.6746001326
428.92100,-0.3694057249
428.92150,-1.284988948
428.92200,-2.810960986
428.92250,-4.031738617
428.92300,-4.642127433
428.92350,-5.557710656
428.92400,-6.473293879
428.92450,-7.083682694
428.92500,-6.778488287
428.92550,-5.557710656
428.92600,-3.72654421
428.92650,-1.895377763
428.92700,-0.6746001326
428.92750,-0.06421131716
428.92800,0.8513719059
428.92850,1.461760721
428.92900,2.377343944
428.92950,3.598121575
428.93000,4.513704798
428.93050,4.208510391
428.93100,3.903315983
428.93150,4.513704798
428.93200,5.429288021
428.93250,6.039676837
428.93300,5.429288021
428.93350,5.124093614
428.93400,5.429288021
428.93450,5.124093614
428.93500,3.292927168
428.93550,1.461760721
428.93600,0.8513719059
428.93650,0.5461774982
428.93700,-0.06421131716
428.93750,-0.9797945403
428.93800,-1.284988948
428.93850,-1.284988948
428.93900,-2.505766579
428.93950,-3.72654421
428.94000,-3.72654421
428.94050,-2.810960986
428.94100,-3.116155394
428.94150,-4.336933025
428.94200,-4.336933025
428.94250,-3.116155394
428.94300,-2.200572171
428.94350,-3.116155394
428.94400,-3.421349802
428.94450,-2.810960986
428.94500,-2.505766579
428.94550,-4.031738617
428.94600,-5.557710656
428.94650,-4.031738617
428.94700,-0.06421131716
428.94750,2.98773276
428.94800,3.598121575
428.94850,2.98773276
428.94900,2.072149537
428.94950,1.156566314
428.95000,0.5461774982
428.95050,1.156566314
428.95100,2.072149537
428.95150,1.766955129
428.95200,-0.06421131716
428.95250,-0.6746001326
428.95300,-0.3694057249
428.95350,-0.06421131716
428.95400,-1.284988948
428.95450,-2.200572171
428.95500,-1.284988948
428.95550,0.8513719059
428.95600,3.292927168
428.95650,5.734482429
428.95700,7.260454468
428.95750,6.95526006
428.95800,5.429288021
428.95850,3.598121575
428.95900,2.377343944
428.95950,1.461760721
428.96000,0.8513719059
428.96050,1.156566314
428.96100,0.8513719059
428.96150,-0.9797945403
428.96200,-3.421349802
428.96250,-3.421349802
428.96300,-0.06421131716
428.96350,2.98773276
428.96400,2.682538352
428.96450,0.5461774982
428.96500,-0.06421131716
428.96550,0.2409830905
428.96600,0.8513719059
428.96650,1.461760721
428.96700,2.072149537
428.96750,2.682538352
428.96800,2.98773276
428.96850,3.292927168
428.96900,3.598121575
428.96950,3.903315983
428.97000,3.903315983
428.97050,3.903315983
428.97100,3.903315983
