"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",450.92000,2000,22000,"uV"

"time","value"
450.92000,-6.90355546
450.92050,5.304220848
450.92100,15.98602512
450.92150,19.3431636
450.92200,15.07044189
450.92250,6.830192886
450.92300,-1.715250529
450.92350,-8.124333091
450.92400,-8.429527499
450.92450,-1.104861714
450.92500,9.271748148
450.92550,16.29121953
450.92600,17.81719156
450.92650,16.59641393
450.92700,15.98602512
450.92750,12.01849782
450.92800,1.03149914
450.92850,-13.92302684
450.92900,-24.60483111
450.92950,-26.13080315
450.93000,-22.77366466
450.93050,-20.63730381
450.93100,-20.02691499
450.93150,-17.58535973
450.93200,-12.3970548
450.93250,-8.734721906
450.93300,-8.734721906
450.93350,-9.650305129
450.93400,-9.345110722
450.93450,-8.734721906
450.93500,-7.819138683
450.93550,-4.462000199
450.93600,1.947082363
450.93650,7.440581702
450.93700,8.050970517
450.93750,4.693832032
450.93800,2.557471179
450.93850,3.167859994
450.93900,2.862665586
450.93950,1.03149914
450.94000,0.4211103247
450.94050,1.947082363
450.94100,0.7263047324
450.94150,-7.513944276
450.94200,-19.72172058
450.94250,-28.57235841
450.94300,-31.62430248
450.94350,-31.62430248
450.94400,-29.48794163
450.94450,-21.24769262
450.94500,-4.767194606
450.94550,13.23927545
450.94600,24.53146853
450.94650,25.44705176
450.94700,20.56394123
450.94750,16.59641393
450.94800,15.68083071
450.94850,14.76524749
450.94900,12.93408104
450.94950,10.18733137
450.95000,9.576942556
450.95050,10.18733137
450.95100,10.79772019
450.95150,9.576942556
450.95200,7.135387294
450.95250,5.914609663
450.95300,7.74577611
450.95350,11.71330341
450.95400,14.46005308
450.95450,13.84966426
450.95500,11.71330341
450.95550,11.10291459
450.95600,12.01849782
450.95650,10.49252578
450.95700,4.99902644
450.95750,-2.020444937
450.95800,-8.124333091
450.95850,-13.00744361
450.95900,-17.89055414
450.95950,-23.68924788
450.96000,-28.87755281
450.96050,-31.01391367
450.96100,-29.18274722
450.96150,-24.2996367
450.96200,-19.11133177
450.96250,-14.53341565
450.96300,-10.26069394
450.96350,-5.377583422
450.96400,0.115915917
450.96450,7.135387294
450.96500,18.12238597
450.96550,29.71977346
450.96600,34.90807839
450.96650,29.10938465
450.96700,18.73277479
450.96750,13.23927545
450.96800,13.54446986
450.96850,12.32369223
450.96900,4.083443217
450.96950,-6.90355546
450.97000,-14.83861006
450.97050,-18.19574855
450.97100,-20.02691499
450.97150,-23.07885907
450.97200,-26.74119196
450.97250,-27.65677518
450.97300,-21.55288703
450.97350,-5.987972237
450.97400,14.15485867
450.97450,29.71977346
450.97500,34.90807839
450.97550,32.46652313
450.97600,28.49899583
450.97650,24.83666294
450.97700,21.78471886
450.97750,19.3431636
450.97800,18.12238597
450.97850,17.51199716
450.97900,15.98602512
450.97950,13.84966426
450.98000,11.408109
450.98050,6.830192886
450.98100,1.03149914
450.98150,-2.020444937
450.98200,-0.7996673061
450.98250,0.4211103247
450.98300,-3.546416975
450.98350,-11.17627717
450.98400,-15.44899888
450.98450,-14.22822125
450.98500,-11.48147158
450.98550,-11.78666598
450.98600,-13.61783243
450.98650,-13.61783243
450.98700,-11.48147158
450.98750,-9.650305129
450.98800,-10.56588835
450.98850,-13.61783243
450.98900,-15.75419328
450.98950,-13.92302684
450.99000,-8.734721906
450.99050,-5.377583422
450.99100,-7.208749868
450.99150,-12.70224921
450.99200,-16.3645821
450.99250,-16.05938769
450.99300,-14.53341565
450.99350,-13.00744361
450.99400,-9.955499537
450.99450,-5.987972237
450.99500,-2.325639345
450.99550,0.115915917
450.99600,4.388637625
450.99650,10.79772019
450.99700,15.07044189
450.99750,13.84966426
450.99800,9.576942556
450.99850,7.440581702
450.99900,8.050970517
450.99950,8.050970517
451.00000,5.304220848
451.00050,2.557471179
451.00100,1.03149914
451.00150,1.03149914
451.00200,1.336693548
451.00250,2.252276771
451.00300,3.167859994
451.00350,3.778248809
451.00400,2.862665586
451.00450,0.115915917
451.00500,-3.241222568
451.00550,-6.293166645
451.00600,-7.208749868
451.00650,-5.072389014
451.00700,-2.020444937
451.00750,-0.4944728984
451.00800,-0.4944728984
451.00850,-0.1892784907
451.00900,0.115915917
451.00950,-1.104861714
451.01000,-2.325639345
451.01050,-1.410056122
451.01100,2.252276771
451.01150,6.830192886
451.01200,7.74577611
451.01250,4.99902644
451.01300,1.947082363
451.01350,2.252276771
451.01400,4.99902644
451.01450,6.524998479
451.01500,6.219804071
451.01550,5.304220848
451.01600,4.99902644
451.01650,4.693832032
451.01700,4.083443217
451.01750,4.99902644
451.01800,7.440581702
451.01850,8.96655374
451.01900,6.219804071
451.01950,1.641887955
451.02000,-1.410056122
451.02050,-2.93602816
451.02100,-4.767194606
451.02150,-7.208749868
451.02200,-8.734721906
451.02250,-9.345110722
451.02300,-11.17627717
451.02350,-14.53341565
451.02400,-15.75419328
451.02450,-12.70224921
451.02500,-9.039916314
451.02550,-7.819138683
451.02600,-9.039916314
451.02650,-8.429527499
451.02700,-6.293166645
451.02750,-4.767194606
451.02800,-5.682777829
451.02850,-7.513944276
451.02900,-8.124333091
451.02950,-7.819138683
451.03000,-6.293166645
451.03050,-3.546416975
451.03100,0.115915917
451.03150,4.388637625
451.03200,7.135387294
451.03250,9.271748148
451.03300,11.10291459
451.03350,12.32369223
451.03400,12.32369223
451.03450,11.10291459
451.03500,10.18733137
451.03550,9.576942556
451.03600,9.271748148
451.03650,8.96655374
451.03700,8.356164925
451.03750,5.609415256
451.03800,1.03149914
451.03850,-3.241222568
451.03900,-6.598361052
451.03950,-8.124333091
451.04000,-9.955499537
451.04050,-12.09186039
451.04100,-13.92302684
451.04150,-15.44899888
451.04200,-17.58535973
451.04250,-18.19574855
451.04300,-11.48147158
451.04350,5.304220848
451.04400,24.53146853
451.04450,30.63535669
451.04500,17.81719156
451.04550,-2.630833752
451.04600,-14.53341565
451.04650,-12.3970548
451.04700,-6.598361052
451.04750,-4.462000199
451.04800,-2.325639345
451.04850,6.524998479
451.04900,19.95355242
451.04950,26.66782939
451.05000,22.39510768
451.05050,13.23927545
451.05100,8.356164925
451.05150,9.271748148
451.05200,10.79772019
451.05250,9.882136963
451.05300,6.830192886
451.05350,4.388637625
451.05400,4.083443217
451.05450,5.304220848
451.05500,5.304220848
451.05550,2.557471179
451.05600,-1.715250529
451.05650,-4.462000199
451.05700,-3.851611383
451.05750,-3.241222568
451.05800,-5.682777829
451.05850,-9.650305129
451.05900,-9.955499537
451.05950,-5.377583422
451.06000,-0.1892784907
451.06050,2.252276771
451.06100,4.388637625
451.06150,8.356164925
451.06200,10.79772019
451.06250,6.830192886
451.06300,-2.020444937
451.06350,-12.09186039
451.06400,-21.24769262
451.06450,-31.01391367
451.06500,-39.25416268
451.06550,-42.00091235
451.06600,-38.94896827
451.06650,-33.45546893
451.06700,-27.35158078
451.06750,-16.3645821
451.06800,-1.104861714
451.06850,10.79772019
451.06900,12.62888663
451.06950,8.356164925
451.07000,6.524998479
451.07050,9.271748148
451.07100,11.71330341
451.07150,10.79772019
451.07200,8.356164925
451.07250,5.304220848
451.07300,0.115915917
451.07350,-6.293166645
451.07400,-7.513944276
451.07450,1.336693548
451.07500,18.42758038
451.07550,33.99249517
451.07600,39.1808001
451.07650,33.38210636
451.07700,23.00549649
451.07750,15.07044189
451.07800,12.01849782
451.07850,11.10291459
451.07900,8.96655374
451.07950,5.914609663
451.08000,4.083443217
451.08050,4.388637625
451.08100,4.99902644
451.08150,4.693832032
451.08200,3.167859994
451.08250,1.641887955
451.08300,0.115915917
451.08350,-1.715250529
451.08400,-2.93602816
451.08450,-2.630833752
451.08500,-1.104861714
451.08550,-0.4944728984
451.08600,-2.325639345
451.08650,-5.072389014
451.08700,-7.208749868
451.08750,-7.208749868
451.08800,-5.072389014
451.08850,-2.020444937
451.08900,0.4211103247
451.08950,1.947082363
451.09000,2.252276771
451.09050,1.641887955
451.09100,0.115915917
451.09150,-2.020444937
451.09200,-3.851611383
451.09250,-2.93602816
451.09300,-0.1892784907
451.09350,0.7263047324
451.09400,-1.104861714
451.09450,-5.682777829
451.09500,-8.124333091
451.09550,-7.819138683
451.09600,-5.987972237
451.09650,-3.241222568
451.09700,1.03149914
451.09750,6.219804071
451.09800,9.882136963
451.09850,9.882136963
451.09900,7.74577611
451.09950,5.609415256
451.10000,4.388637625
451.10050,4.083443217
451.10100,3.778248809
451.10150,3.167859994
451.10200,1.641887955
451.10250,0.115915917
451.10300,-1.715250529
451.10350,-3.546416975
451.10400,-6.598361052
451.10450,-11.48147158
451.10500,-15.44899888
451.10550,-16.05938769
451.10600,-13.61783243
451.10650,-10.56588835
451.10700,-9.039916314
451.10750,-8.124333091
451.10800,-6.293166645
451.10850,-3.851611383
451.10900,-1.410056122
451.10950,-0.1892784907
451.11000,0.115915917
451.11050,-0.4944728984
451.11100,-1.104861714
451.11150,-1.410056122
451.11200,-1.104861714
451.11250,-0.4944728984
451.11300,-0.7996673061
451.11350,-1.715250529
451.11400,-1.104861714
451.11450,1.336693548
451.11500,4.99902644
451.11550,5.914609663
451.11600,3.778248809
451.11650,1.336693548
451.11700,0.4211103247
451.11750,0.115915917
451.11800,-0.4944728984
451.11850,-0.4944728984
451.11900,1.336693548
451.11950,4.083443217
451.12000,4.99902644
