"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",450.92000,2000,22000,"uV"

"time","value"
450.92000,6.28432043
450.92050,1.096015499
450.92100,-5.007872655
450.92150,-6.228650286
450.92200,-3.481900616
450.92250,-1.345539762
450.92300,-1.345539762
450.92350,-0.7351509471
450.92400,1.706404315
450.92450,2.31679313
450.92500,-1.040345355
450.92550,-4.702678247
450.92600,-5.007872655
450.92650,-4.39748384
450.92700,-7.754622324
450.92750,-12.63773285
450.92800,-12.94292726
450.92850,-7.449427917
450.92900,-1.65073417
450.92950,0.4856266837
450.93000,1.096015499
450.93050,2.927181945
450.93100,4.453153984
450.93150,3.232376353
450.93200,0.7908210914
450.93250,-0.1247621317
450.93300,0.180432276
450.93350,1.096015499
450.93400,2.011598722
450.93450,2.927181945
450.93500,2.31679313
450.93550,-0.4299565394
450.93600,-3.787095024
450.93650,-5.923455878
450.93700,-7.144233509
450.93750,-8.975399955
450.93800,-11.11176081
450.93850,-10.50137199
450.93900,-7.449427917
450.93950,-4.092289432
450.94000,-1.65073417
450.94050,0.7908210914
450.94100,4.147959576
450.94150,7.810292469
450.94200,11.77781977
450.94250,16.66093029
450.94300,20.933652
450.94350,20.933652
450.94400,15.74534707
450.94450,8.115486876
450.94500,2.31679313
450.94550,0.180432276
450.94600,0.180432276
450.94650,-0.1247621317
450.94700,-1.040345355
450.94750,-1.040345355
450.94800,0.180432276
450.94850,2.31679313
450.94900,3.232376353
450.94950,3.232376353
450.95000,3.232376353
450.95050,2.927181945
450.95100,2.011598722
450.95150,0.180432276
450.95200,-0.4299565394
450.95250,-0.4299565394
450.95300,-0.7351509471
450.95350,-3.787095024
450.95400,-7.144233509
450.95450,-8.059816732
450.95500,-6.533844693
450.95550,-4.702678247
450.95600,-4.39748384
450.95650,-3.787095024
450.95700,-1.040345355
450.95750,3.537570761
450.95800,8.420681284
450.95850,12.38820858
450.95900,14.82976385
450.95950,15.13495825
450.96000,13.30379181
450.96050,10.86223655
450.96100,9.031070099
450.96150,7.199903653
450.96200,4.147959576
450.96250,-0.1247621317
450.96300,-3.176706209
450.96350,-4.092289432
450.96400,-3.481900616
450.96450,-2.871511801
450.96500,-3.481900616
450.96550,-5.313067063
450.96600,-6.839039101
450.96650,-5.61826147
450.96700,-1.040345355
450.96750,3.232376353
450.96800,3.232376353
450.96850,-0.1247621317
450.96900,-0.7351509471
450.96950,3.232376353
450.97000,8.420681284
450.97050,9.641458915
450.97100,7.810292469
450.97150,7.810292469
450.97200,11.16743095
450.97250,14.82976385
450.97300,14.52456944
450.97350,9.336264507
450.97400,1.096015499
450.97450,-4.702678247
450.97500,-5.923455878
450.97550,-5.007872655
450.97600,-8.36501114
450.97650,-15.99487133
450.97700,-19.35200982
450.97750,-14.7740937
450.97800,-8.36501114
450.97850,-7.754622324
450.97900,-11.41695522
450.97950,-15.38448252
450.98000,-19.04681541
450.98050,-20.87798186
450.98100,-16.30006574
450.98150,-2.566317393
450.98200,11.47262536
450.98250,20.32326318
450.98300,26.42715134
450.98350,32.8362339
450.98400,31.31026186
450.98450,14.52456944
450.98500,-4.39748384
450.98550,-7.449427917
450.98600,4.453153984
450.98650,12.69340299
450.98700,7.810292469
450.98750,-0.1247621317
450.98800,-0.1247621317
450.98850,4.758348392
450.98900,5.979126022
450.98950,3.537570761
450.99000,0.7908210914
450.99050,-0.7351509471
450.99100,-1.040345355
450.99150,1.401209907
450.99200,7.199903653
450.99250,11.47262536
450.99300,12.08301418
450.99350,10.55704214
450.99400,7.810292469
450.99450,2.31679313
450.99500,-3.787095024
450.99550,-7.144233509
450.99600,-8.059816732
450.99650,-11.11176081
450.99700,-15.99487133
450.99750,-18.741621
450.99800,-18.43642659
450.99850,-18.741621
450.99900,-19.04681541
450.99950,-15.68967692
451.00000,-9.280594363
451.00050,-5.007872655
451.00100,-5.923455878
451.00150,-7.449427917
451.00200,-6.228650286
451.00250,-3.787095024
451.00300,-1.65073417
451.00350,-0.1247621317
451.00400,0.180432276
451.00450,-2.566317393
451.00500,-6.839039101
451.00550,-8.975399955
451.00600,-8.975399955
451.00650,-9.58578877
451.00700,-10.8065664
451.00750,-9.280594363
451.00800,-5.61826147
451.00850,-2.871511801
451.00900,1.401209907
451.00950,14.52456944
451.01000,34.05701153
451.01050,46.26478784
451.01100,39.55051087
451.01150,20.01806878
451.01200,4.758348392
451.01250,1.706404315
451.01300,4.147959576
451.01350,4.453153984
451.01400,3.232376353
451.01450,4.453153984
451.01500,6.28432043
451.01550,4.453153984
451.01600,-0.1247621317
451.01650,-2.871511801
451.01700,-3.481900616
451.01750,-5.923455878
451.01800,-11.72214962
451.01850,-17.21564896
451.01900,-17.82603778
451.01950,-14.46889929
451.02000,-9.58578877
451.02050,-2.871511801
451.02100,5.673931615
451.02150,13.30379181
451.02200,14.21937503
451.02250,8.115486876
451.02300,1.401209907
451.02350,-1.345539762
451.02400,-1.65073417
451.02450,-2.261122986
451.02500,-2.871511801
451.02550,-1.65073417
451.02600,1.096015499
451.02650,2.927181945
451.02700,2.927181945
451.02750,3.537570761
451.02800,5.979126022
451.02850,8.420681284
451.02900,9.641458915
451.02950,9.031070099
451.03000,7.199903653
451.03050,3.842765168
