"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",472.92000,2000,22000,"uV"

"time","value"
472.92000,4.818899206
472.92050,5.429288021
472.92100,4.513704798
472.92150,2.98773276
472.92200,2.98773276
472.92250,5.124093614
472.92300,6.95526006
472.92350,6.650065652
472.92400,5.734482429
472.92450,6.039676837
472.92500,6.344871245
472.92550,3.598121575
472.92600,-2.200572171
472.92650,-7.083682694
472.92700,-8.304460325
472.92750,-6.778488287
472.92800,-5.557710656
472.92850,-5.557710656
472.92900,-5.862905063
472.92950,-7.083682694
472.93000,-8.609654733
472.93050,-9.220043548
472.93100,-7.69407151
472.93150,-5.252516248
472.93200,-4.94732184
472.93250,-5.862905063
472.93300,-5.862905063
472.93350,-3.72654421
472.93400,-2.505766579
472.93450,-3.116155394
472.93500,-4.336933025
472.93550,-4.031738617
472.93600,-2.810960986
472.93650,-1.590183356
472.93700,-0.06421131716
472.93750,2.072149537
472.93800,4.513704798
472.93850,4.818899206
472.93900,3.903315983
472.93950,3.292927168
472.94000,3.598121575
472.94050,4.208510391
472.94100,3.598121575
472.94150,2.682538352
472.94200,2.377343944
472.94250,2.377343944
472.94300,2.072149537
472.94350,1.156566314
472.94400,1.156566314
472.94450,2.377343944
472.94500,3.598121575
472.94550,3.292927168
472.94600,1.766955129
472.94650,0.2409830905
472.94700,-0.9797945403
472.94750,-2.505766579
472.94800,-4.031738617
472.94850,-4.336933025
472.94900,-3.421349802
472.94950,-3.421349802
472.95000,-4.94732184
472.95050,-6.473293879
472.95100,-6.168099471
472.95150,-4.642127433
472.95200,-3.421349802
472.95250,-3.116155394
472.95300,-3.116155394
472.95350,-3.421349802
472.95400,-4.031738617
472.95450,-4.94732184
472.95500,-4.336933025
472.95550,-2.505766579
472.95600,-0.3694057249
472.95650,0.8513719059
472.95700,2.072149537
472.95750,3.903315983
472.95800,5.429288021
472.95850,6.039676837
472.95900,5.734482429
472.95950,5.429288021
472.96000,6.039676837
472.96050,6.95526006
472.96100,6.95526006
472.96150,5.124093614
472.96200,3.292927168
472.96250,3.292927168
472.96300,4.818899206
472.96350,4.208510391
472.96400,1.156566314
472.96450,-0.9797945403
472.96500,-0.06421131716
472.96550,1.766955129
472.96600,1.766955129
472.96650,0.2409830905
472.96700,0.5461774982
472.96750,3.292927168
472.96800,5.734482429
472.96850,5.734482429
472.96900,4.208510391
472.96950,2.072149537
472.97000,0.5461774982
472.97050,-0.06421131716
472.97100,-0.06421131716
472.97150,0.8513719059
472.97200,1.461760721
472.97250,1.156566314
472.97300,1.156566314
472.97350,1.766955129
472.97400,2.682538352
472.97450,2.98773276
472.97500,2.98773276
472.97550,2.377343944
472.97600,1.766955129
472.97650,0.8513719059
472.97700,0.8513719059
472.97750,1.461760721
472.97800,2.072149537
472.97850,2.072149537
472.97900,2.682538352
472.97950,3.598121575
472.98000,4.818899206
472.98050,5.124093614
472.98100,5.429288021
472.98150,7.565648875
472.98200,10.00720414
472.98250,10.61759295
472.98300,10.00720414
472.98350,8.786426506
472.98400,7.870843283
472.98450,6.650065652
472.98500,5.429288021
472.98550,4.818899206
472.98600,4.513704798
472.98650,2.682538352
472.98700,-0.3694057249
472.98750,-3.116155394
472.98800,-3.72654421
472.98850,-3.116155394
472.98900,-4.031738617
472.98950,-6.168099471
472.99000,-7.69407151
472.99050,-7.999265917
472.99100,-7.999265917
472.99150,-7.69407151
472.99200,-6.168099471
472.99250,-3.72654421
472.99300,-1.590183356
472.99350,-0.6746001326
472.99400,-0.3694057249
472.99450,-0.06421131716
472.99500,-0.06421131716
472.99550,-0.06421131716
472.99600,-0.06421131716
472.99650,-0.3694057249
472.99700,-0.3694057249
472.99750,0.2409830905
472.99800,1.461760721
472.99850,2.377343944
472.99900,2.072149537
472.99950,1.461760721
473.00000,1.766955129
473.00050,2.377343944
473.00100,2.377343944
473.00150,1.461760721
473.00200,0.5461774982
473.00250,1.156566314
473.00300,1.461760721
473.00350,0.5461774982
473.00400,-0.9797945403
473.00450,-1.590183356
473.00500,-0.6746001326
473.00550,0.8513719059
473.00600,1.156566314
473.00650,-0.06421131716
473.00700,-1.895377763
473.00750,-1.895377763
473.00800,-1.284988948
473.00850,-1.590183356
473.00900,-3.116155394
473.00950,-4.642127433
473.01000,-4.336933025
473.01050,-2.505766579
473.01100,-1.284988948
473.01150,-2.505766579
473.01200,-4.031738617
473.01250,-5.252516248
473.01300,-5.862905063
473.01350,-7.083682694
473.01400,-9.220043548
473.01450,-10.13562677
473.01500,-8.609654733
473.01550,-4.642127433
473.01600,-1.284988948
473.01650,-0.6746001326
473.01700,-1.590183356
473.01750,-2.200572171
473.01800,-0.9797945403
473.01850,-0.06421131716
473.01900,0.8513719059
473.01950,2.072149537
473.02000,3.598121575
473.02050,4.208510391
473.02100,3.598121575
473.02150,2.377343944
473.02200,1.766955129
473.02250,1.766955129
473.02300,1.461760721
473.02350,0.8513719059
473.02400,0.8513719059
473.02450,1.156566314
473.02500,0.5461774982
473.02550,-1.284988948
473.02600,-3.421349802
473.02650,-4.031738617
473.02700,-3.116155394
473.02750,-2.505766579
473.02800,-3.116155394
473.02850,-3.72654421
473.02900,-4.031738617
473.02950,-4.94732184
473.03000,-7.083682694
473.03050,-9.220043548
473.03100,-9.525237956
473.03150,-8.609654733
473.03200,-7.69407151
473.03250,-7.083682694
473.03300,-6.168099471
473.03350,-5.557710656
473.03400,-5.557710656
473.03450,-6.473293879
473.03500,-6.778488287
473.03550,-6.473293879
473.03600,-5.862905063
473.03650,-5.862905063
473.03700,-5.252516248
473.03750,-4.031738617
473.03800,-3.72654421
473.03850,-3.116155394
473.03900,-1.895377763
473.03950,-0.06421131716
473.04000,1.156566314
473.04050,0.8513719059
473.04100,0.5461774982
473.04150,1.156566314
473.04200,1.461760721
473.04250,0.5461774982
473.04300,0.2409830905
473.04350,1.156566314
473.04400,2.377343944
473.04450,2.682538352
473.04500,2.377343944
473.04550,1.461760721
473.04600,-0.3694057249
473.04650,-2.810960986
473.04700,-2.505766579
473.04750,-0.06421131716
473.04800,1.766955129
473.04850,-0.06421131716
473.04900,-3.72654421
473.04950,-5.252516248
473.05000,-4.94732184
473.05050,-4.031738617
473.05100,-3.421349802
473.05150,-2.505766579
473.05200,-1.590183356
473.05250,-1.590183356
473.05300,-1.284988948
473.05350,-0.3694057249
473.05400,-0.06421131716
473.05450,-0.3694057249
473.05500,-0.6746001326
473.05550,-0.06421131716
473.05600,0.8513719059
473.05650,1.156566314
473.05700,1.461760721
473.05750,2.072149537
473.05800,2.377343944
473.05850,1.766955129
473.05900,1.461760721
473.05950,2.682538352
473.06000,3.903315983
473.06050,3.598121575
473.06100,2.98773276
473.06150,3.598121575
473.06200,5.124093614
473.06250,5.734482429
473.06300,6.039676837
473.06350,6.344871245
473.06400,6.95526006
473.06450,6.95526006
473.06500,6.95526006
473.06550,7.565648875
473.06600,7.260454468
473.06650,5.734482429
473.06700,3.903315983
473.06750,3.903315983
473.06800,4.513704798
473.06850,3.903315983
473.06900,1.156566314
473.06950,-0.9797945403
473.07000,-2.200572171
473.07050,-2.505766579
473.07100,-2.810960986
473.07150,-1.895377763
473.07200,-0.06421131716
473.07250,1.461760721
473.07300,2.072149537
473.07350,1.766955129
473.07400,2.377343944
473.07450,2.98773276
473.07500,2.98773276
473.07550,2.98773276
473.07600,3.292927168
473.07650,2.98773276
473.07700,1.766955129
473.07750,0.5461774982
473.07800,-0.06421131716
473.07850,0.5461774982
