"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",494.92000,2000,22000,"uV"

"time","value"
494.92000,13.91418062
494.92050,20.01806878
494.92100,26.73234575
494.92150,27.34273456
494.92200,20.933652
494.92250,10.25184773
494.92300,0.180432276
494.92350,-5.923455878
494.92400,-9.890983178
494.92450,-13.55331607
494.92500,-15.99487133
494.92550,-15.99487133
494.92600,-13.85851048
494.92650,-12.63773285
494.92700,-11.72214962
494.92750,-7.449427917
494.92800,0.4856266837
494.92850,6.589514838
494.92900,4.147959576
494.92950,-5.007872655
494.93000,-12.33253844
494.93050,-10.50137199
494.93100,-2.566317393
494.93150,2.621987538
494.93200,1.096015499
494.93250,-6.228650286
494.93300,-12.02734403
494.93350,-8.36501114
494.93400,5.673931615
494.93450,22.15442963
494.93500,28.8687066
494.93550,22.45962404
494.93600,10.86223655
494.93650,3.232376353
494.93700,0.7908210914
494.93750,-0.1247621317
494.93800,-1.65073417
494.93850,-3.787095024
494.93900,-5.313067063
494.93950,-6.533844693
494.94000,-6.839039101
494.94050,-5.923455878
494.94100,-5.313067063
494.94150,-5.313067063
494.94200,-4.702678247
494.94250,-3.481900616
494.94300,-2.871511801
494.94350,-3.176706209
494.94400,-2.871511801
494.94450,-0.1247621317
494.94500,1.706404315
494.94550,0.7908210914
494.94600,-2.566317393
494.94650,-5.007872655
494.94700,-4.702678247
494.94750,-3.481900616
494.94800,-2.566317393
494.94850,-1.65073417
494.94900,-0.1247621317
494.94950,0.4856266837
494.95000,0.4856266837
494.95050,-0.1247621317
494.95100,-1.345539762
494.95150,-2.871511801
494.95200,-3.787095024
494.95250,-4.092289432
494.95300,-3.481900616
494.95350,-2.871511801
494.95400,-3.176706209
494.95450,-3.481900616
494.95500,-3.176706209
494.95550,-2.261122986
494.95600,-1.345539762
494.95650,-1.040345355
494.95700,-0.7351509471
494.95750,-0.7351509471
494.95800,-1.040345355
494.95850,-1.65073417
494.95900,-1.65073417
494.95950,-1.040345355
494.96000,-0.1247621317
494.96050,0.7908210914
494.96100,0.7908210914
494.96150,-0.1247621317
494.96200,-0.4299565394
494.96250,-0.1247621317
494.96300,1.096015499
494.96350,1.401209907
494.96400,0.4856266837
494.96450,-0.1247621317
494.96500,-0.1247621317
494.96550,1.401209907
494.96600,1.401209907
494.96650,-0.1247621317
494.96700,-1.345539762
494.96750,-1.65073417
494.96800,-1.65073417
494.96850,-1.345539762
494.96900,-0.4299565394
494.96950,0.4856266837
494.97000,0.7908210914
494.97050,0.180432276
494.97100,-0.1247621317
494.97150,0.4856266837
494.97200,1.706404315
494.97250,1.096015499
494.97300,-0.1247621317
494.97350,-0.4299565394
494.97400,-0.1247621317
494.97450,-0.4299565394
494.97500,-1.345539762
494.97550,-1.65073417
494.97600,-0.4299565394
494.97650,0.180432276
494.97700,-0.1247621317
494.97750,-0.1247621317
494.97800,0.4856266837
494.97850,2.31679313
494.97900,2.927181945
494.97950,2.31679313
494.98000,0.7908210914
494.98050,0.180432276
494.98100,0.180432276
494.98150,0.180432276
494.98200,0.180432276
494.98250,-0.1247621317
494.98300,-0.1247621317
494.98350,0.180432276
494.98400,0.4856266837
494.98450,0.180432276
494.98500,-1.040345355
494.98550,-3.176706209
494.98600,-4.092289432
494.98650,-3.176706209
494.98700,-1.345539762
494.98750,-0.1247621317
494.98800,-0.1247621317
494.98850,-0.4299565394
494.98900,-1.65073417
494.98950,-1.955928578
494.99000,-1.65073417
494.99050,-1.040345355
494.99100,-0.1247621317
494.99150,0.180432276
494.99200,0.7908210914
494.99250,1.096015499
494.99300,1.096015499
494.99350,1.706404315
494.99400,2.927181945
494.99450,3.232376353
494.99500,2.31679313
494.99550,1.706404315
494.99600,2.011598722
494.99650,2.927181945
494.99700,2.927181945
494.99750,2.31679313
494.99800,2.621987538
494.99850,3.842765168
494.99900,4.758348392
494.99950,4.453153984
495.00000,3.232376353
495.00050,2.927181945
495.00100,3.537570761
495.00150,3.842765168
495.00200,3.842765168
495.00250,3.232376353
495.00300,2.31679313
495.00350,1.706404315
495.00400,1.096015499
495.00450,0.180432276
495.00500,0.4856266837
495.00550,1.401209907
495.00600,2.31679313
495.00650,2.31679313
495.00700,1.401209907
495.00750,0.4856266837
495.00800,-0.1247621317
495.00850,-0.1247621317
495.00900,-0.1247621317
495.00950,0.4856266837
495.01000,1.401209907
495.01050,1.706404315
495.01100,1.706404315
495.01150,1.706404315
495.01200,2.011598722
495.01250,2.011598722
495.01300,1.706404315
495.01350,1.706404315
495.01400,1.706404315
495.01450,1.401209907
495.01500,0.7908210914
495.01550,0.4856266837
495.01600,1.096015499
495.01650,1.706404315
495.01700,1.096015499
495.01750,0.4856266837
495.01800,0.180432276
495.01850,0.180432276
495.01900,-0.1247621317
495.01950,-0.4299565394
495.02000,-0.7351509471
495.02050,-0.7351509471
495.02100,-1.040345355
495.02150,-1.345539762
495.02200,-1.65073417
495.02250,-1.345539762
495.02300,-1.65073417
495.02350,-2.566317393
495.02400,-4.092289432
495.02450,-5.007872655
495.02500,-5.313067063
495.02550,-5.007872655
495.02600,-4.092289432
495.02650,-3.176706209
495.02700,-3.481900616
495.02750,-4.39748384
495.02800,-5.007872655
495.02850,-5.313067063
495.02900,-5.313067063
495.02950,-4.092289432
495.03000,-1.955928578
495.03050,-0.1247621317
495.03100,0.180432276
495.03150,-0.4299565394
495.03200,0.4856266837
495.03250,5.063542799
495.03300,9.336264507
495.03350,9.946653322
495.03400,6.589514838
495.03450,3.232376353
495.03500,2.011598722
495.03550,1.706404315
495.03600,1.401209907
495.03650,0.4856266837
495.03700,-0.7351509471
495.03750,-1.65073417
495.03800,-2.566317393
495.03850,-3.481900616
495.03900,-4.092289432
495.03950,-5.007872655
495.04000,-4.39748384
495.04050,-2.871511801
495.04100,-2.261122986
495.04150,-2.871511801
495.04200,-1.955928578
495.04250,2.31679313
495.04300,7.810292469
495.04350,8.725875692
495.04400,4.758348392
495.04450,0.4856266837
495.04500,-0.7351509471
495.04550,-0.4299565394
495.04600,-0.7351509471
495.04650,-1.345539762
495.04700,-1.040345355
495.04750,-0.1247621317
495.04800,0.180432276
495.04850,0.4856266837
495.04900,1.401209907
495.04950,2.011598722
495.05000,1.706404315
495.05050,0.7908210914
495.05100,0.7908210914
495.05150,1.096015499
495.05200,1.401209907
495.05250,1.096015499
495.05300,0.4856266837
495.05350,-0.1247621317
495.05400,-0.1247621317
495.05450,0.7908210914
495.05500,1.706404315
495.05550,1.706404315
495.05600,0.7908210914
495.05650,0.4856266837
495.05700,1.096015499
495.05750,1.706404315
495.05800,0.7908210914
495.05850,-0.1247621317
495.05900,0.7908210914
495.05950,2.621987538
495.06000,2.621987538
495.06050,1.096015499
495.06100,-0.1247621317
495.06150,0.4856266837
495.06200,1.706404315
495.06250,0.7908210914
495.06300,-0.4299565394
495.06350,-1.040345355
495.06400,-1.040345355
495.06450,-2.566317393
495.06500,-5.61826147
495.06550,-6.533844693
495.06600,-4.39748384
495.06650,-2.261122986
495.06700,-2.566317393
495.06750,-5.007872655
495.06800,-7.449427917
495.06850,-8.36501114
495.06900,-8.059816732
495.06950,-6.839039101
495.07000,-5.923455878
495.07050,-5.007872655
495.07100,-4.702678247
495.07150,-4.092289432
495.07200,-2.871511801
495.07250,-1.955928578
495.07300,-1.345539762
495.07350,-0.4299565394
495.07400,0.180432276
495.07450,0.4856266837
495.07500,0.180432276
495.07550,-0.4299565394
495.07600,-1.040345355
495.07650,-1.955928578
495.07700,-2.261122986
495.07750,-1.345539762
495.07800,-0.7351509471
495.07850,-1.040345355
495.07900,-1.345539762
495.07950,-0.4299565394
495.08000,0.180432276
495.08050,-0.1247621317
495.08100,-1.345539762
495.08150,-0.7351509471
495.08200,0.4856266837
495.08250,0.4856266837
495.08300,-0.1247621317
495.08350,0.4856266837
495.08400,-0.1247621317
495.08450,-5.007872655
495.08500,-11.72214962
495.08550,-14.16370489
495.08600,-11.41695522
495.08650,-9.890983178
495.08700,-11.41695522
495.08750,-11.72214962
495.08800,-8.059816732
495.08850,-5.61826147
495.08900,-5.007872655
495.08950,-0.4299565394
495.09000,12.9985974
495.09050,30.08948423
495.09100,40.16089968
495.09150,39.55051087
495.09200,30.08948423
495.09250,12.08301418
495.09300,-10.8065664
495.09350,-28.20264764
495.09400,-29.72861968
495.09450,-19.35200982
495.09500,-11.11176081
495.09550,-10.50137199
495.09600,-12.02734403
495.09650,-10.19617759
495.09700,-7.754622324
495.09750,-7.144233509
495.09800,-5.61826147
495.09850,-0.1247621317
495.09900,6.589514838
495.09950,10.25184773
495.10000,9.336264507
