"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",494.92000,2000,22000,"uV"

"time","value"
494.92000,8.714131579
494.92050,6.577770725
494.92100,5.356993094
494.92150,4.441409871
494.92200,2.915437833
494.92250,0.7790769788
494.92300,-0.1365062443
494.92350,-0.1365062443
494.92400,-0.1365062443
494.92450,-1.662478283
494.92500,-4.409227952
494.92550,-6.545588806
494.92600,-7.766366437
494.92650,-8.376755252
494.92700,-9.597532883
494.92750,-11.42869933
494.92800,-11.73389374
494.92850,-9.902727291
494.92900,-7.461172029
494.92950,-7.461172029
494.93000,-9.597532883
494.93050,-9.902727291
494.93100,-7.461172029
494.93150,-5.630005583
494.93200,-7.155977621
494.93250,-8.68194966
494.93300,-6.850783214
494.93350,-2.272867098
494.93400,0.4738825711
494.93450,1.389465794
494.93500,1.99985461
494.93550,2.610243425
494.93600,1.99985461
494.93650,0.1686881634
494.93700,-0.441700652
494.93750,-0.1365062443
494.93800,-0.1365062443
494.93850,-0.441700652
494.93900,-0.441700652
494.93950,0.4738825711
494.94000,1.99985461
494.94050,3.22063224
494.94100,5.356993094
494.94150,8.408937171
494.94200,10.85049243
494.94250,12.37646447
494.94300,13.29204769
494.94350,13.90243651
494.94400,12.98685329
494.94450,9.629714802
494.94500,5.662187502
494.94550,3.525826648
494.94600,3.22063224
494.94650,2.305049017
494.94700,0.1686881634
494.94750,-1.052089467
494.94800,-0.7468950597
494.94850,-0.1365062443
494.94900,-0.1365062443
494.94950,-1.052089467
494.95000,-2.578061506
494.95050,-3.188450321
494.95100,-3.798839137
494.95150,-4.104033544
494.95200,-3.798839137
494.95250,-2.883255914
494.95300,-1.357283875
494.95350,-0.441700652
494.95400,-0.1365062443
494.95450,0.4738825711
494.95500,1.99985461
494.95550,4.136215463
494.95600,5.356993094
494.95650,5.96738191
494.95700,6.577770725
494.95750,7.188159541
494.95800,7.188159541
494.95850,6.577770725
494.95900,6.272576317
494.95950,6.272576317
494.96000,5.662187502
494.96050,4.746604279
494.96100,4.441409871
494.96150,4.441409871
494.96200,3.831021056
494.96250,2.305049017
494.96300,1.084271386
494.96350,0.1686881634
494.96400,-0.1365062443
494.96450,-1.662478283
494.96500,-2.578061506
494.96550,-3.188450321
494.96600,-4.104033544
494.96650,-5.630005583
494.96700,-5.630005583
494.96750,-4.71442236
494.96800,-4.409227952
494.96850,-5.935199991
494.96900,-7.461172029
494.96950,-7.461172029
494.97000,-6.850783214
494.97050,-7.461172029
494.97100,-8.071560845
494.97150,-7.155977621
494.97200,-5.019616768
494.97250,-4.104033544
494.97300,-4.71442236
494.97350,-5.324811175
494.97400,-4.71442236
494.97450,-3.493644729
494.97500,-2.578061506
494.97550,-2.272867098
494.97600,-1.357283875
494.97650,0.1686881634
494.97700,1.694660202
494.97750,2.610243425
494.97800,3.831021056
494.97850,5.662187502
494.97900,8.103742764
494.97950,8.714131579
494.98000,7.188159541
494.98050,5.662187502
494.98100,6.272576317
494.98150,7.188159541
494.98200,5.96738191
494.98250,3.525826648
494.98300,2.305049017
494.98350,2.610243425
494.98400,1.389465794
494.98450,-0.7468950597
494.98500,-1.967672691
494.98550,-1.357283875
494.98600,-1.357283875
494.98650,-3.798839137
494.98700,-5.935199991
494.98750,-5.935199991
494.98800,-5.630005583
494.98850,-6.850783214
494.98900,-8.376755252
494.98950,-8.987144068
494.99000,-7.766366437
494.99050,-6.545588806
494.99100,-5.630005583
494.99150,-4.104033544
494.99200,-2.272867098
494.99250,-1.052089467
494.99300,-1.052089467
494.99350,-1.052089467
494.99400,-0.1365062443
494.99450,2.305049017
494.99500,4.441409871
494.99550,5.96738191
494.99600,6.577770725
494.99650,7.798548356
494.99700,9.019325987
494.99750,9.324520394
494.99800,9.019325987
494.99850,9.019325987
494.99900,9.93490921
494.99950,10.85049243
495.00000,10.85049243
495.00050,10.24010362
495.00100,9.324520394
495.00150,8.103742764
495.00200,6.577770725
495.00250,5.356993094
495.00300,5.356993094
495.00350,4.441409871
495.00400,2.610243425
495.00450,0.1686881634
495.00500,-1.662478283
495.00550,-3.188450321
495.00600,-4.409227952
495.00650,-5.019616768
495.00700,-4.71442236
495.00750,-5.324811175
495.00800,-6.850783214
495.00850,-8.071560845
495.00900,-8.071560845
495.00950,-7.461172029
495.01000,-7.155977621
495.01050,-7.155977621
495.01100,-6.545588806
495.01150,-5.630005583
495.01200,-4.409227952
495.01250,-3.493644729
495.01300,-2.272867098
495.01350,-1.357283875
495.01400,-1.357283875
495.01450,-0.7468950597
495.01500,0.1686881634
495.01550,2.610243425
495.01600,4.136215463
495.01650,4.746604279
495.01700,4.136215463
495.01750,3.831021056
495.01800,3.525826648
495.01850,4.136215463
495.01900,5.051798687
495.01950,5.96738191
495.02000,5.662187502
495.02050,5.051798687
495.02100,5.051798687
495.02150,5.051798687
495.02200,4.136215463
495.02250,2.610243425
495.02300,1.694660202
495.02350,1.694660202
495.02400,1.389465794
495.02450,-0.1365062443
495.02500,-2.883255914
495.02550,-4.104033544
495.02600,-4.104033544
495.02650,-5.019616768
495.02700,-7.155977621
495.02750,-8.68194966
495.02800,-7.766366437
495.02850,-5.935199991
495.02900,-5.019616768
495.02950,-5.019616768
495.03000,-3.798839137
495.03050,-2.272867098
