"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",505.92000,2000,22000,"uV"

"time","value"
505.92000,1.947082363
505.92050,2.862665586
505.92100,0.7263047324
505.92150,-4.156805791
505.92200,-8.429527499
505.92250,-10.26069394
505.92300,-10.87108276
505.92350,-11.78666598
505.92400,-13.00744361
505.92450,-12.3970548
505.92500,-9.345110722
505.92550,-4.462000199
505.92600,0.115915917
505.92650,1.641887955
505.92700,0.4211103247
505.92750,-1.104861714
505.92800,-1.410056122
505.92850,-0.1892784907
505.92900,0.115915917
505.92950,0.115915917
505.93000,-0.4944728984
505.93050,-1.715250529
505.93100,-3.241222568
505.93150,-5.072389014
505.93200,-6.90355546
505.93250,-9.650305129
505.93300,-12.3970548
505.93350,-11.48147158
505.93400,-2.325639345
505.93450,9.271748148
505.93500,15.68083071
505.93550,12.62888663
505.93600,7.135387294
505.93650,6.219804071
505.93700,9.271748148
505.93750,9.882136963
505.93800,7.74577611
505.93850,6.830192886
505.93900,7.74577611
505.93950,8.050970517
505.94000,6.219804071
505.94050,4.693832032
505.94100,4.388637625
505.94150,4.388637625
505.94200,3.778248809
505.94250,3.473054402
505.94300,4.99902644
505.94350,7.440581702
505.94400,8.661359333
505.94450,9.576942556
505.94500,9.576942556
505.94550,8.050970517
505.94600,3.167859994
505.94650,-3.241222568
505.94700,-8.734721906
505.94750,-11.78666598
505.94800,-13.61783243
505.94850,-15.44899888
505.94900,-16.97497091
505.94950,-18.19574855
505.95000,-18.80613736
505.95050,-17.28016532
505.95100,-10.56588835
505.95150,0.115915917
505.95200,8.96655374
505.95250,13.84966426
505.95300,15.98602512
505.95350,18.12238597
505.95400,20.56394123
505.95450,19.3431636
505.95500,14.15485867
505.95550,7.135387294
505.95600,1.336693548
505.95650,-1.104861714
505.95700,-2.020444937
505.95750,-2.325639345
505.95800,-2.93602816
505.95850,-3.851611383
505.95900,-4.767194606
505.95950,-5.072389014
505.96000,-5.377583422
505.96050,-5.682777829
505.96100,-5.072389014
505.96150,-3.851611383
505.96200,-2.020444937
505.96250,-1.104861714
505.96300,-0.7996673061
505.96350,-0.4944728984
505.96400,-0.1892784907
505.96450,-0.1892784907
505.96500,-0.4944728984
505.96550,-0.4944728984
505.96600,0.115915917
505.96650,0.7263047324
505.96700,1.641887955
505.96750,1.336693548
505.96800,-0.1892784907
505.96850,-1.410056122
505.96900,-0.1892784907
505.96950,1.641887955
505.97000,2.862665586
505.97050,1.947082363
505.97100,1.336693548
505.97150,2.557471179
505.97200,3.473054402
505.97250,2.252276771
505.97300,-0.1892784907
505.97350,-2.325639345
505.97400,-3.241222568
505.97450,-2.93602816
505.97500,-2.020444937
505.97550,0.7263047324
505.97600,4.99902644
505.97650,7.440581702
505.97700,6.830192886
505.97750,4.083443217
505.97800,1.641887955
505.97850,0.4211103247
505.97900,0.115915917
505.97950,0.115915917
505.98000,-0.1892784907
505.98050,-0.7996673061
505.98100,-1.410056122
505.98150,-2.020444937
505.98200,-2.325639345
505.98250,-2.020444937
505.98300,-0.7996673061
505.98350,0.115915917
505.98400,0.115915917
505.98450,0.115915917
505.98500,-0.1892784907
505.98550,-1.715250529
505.98600,-4.462000199
505.98650,-6.598361052
505.98700,-6.90355546
505.98750,-6.90355546
505.98800,-8.124333091
505.98850,-9.345110722
505.98900,-8.429527499
505.98950,-4.767194606
505.99000,-1.104861714
505.99050,0.115915917
505.99100,0.115915917
505.99150,0.115915917
505.99200,1.336693548
505.99250,2.252276771
505.99300,2.252276771
505.99350,1.641887955
505.99400,1.03149914
505.99450,1.03149914
505.99500,1.336693548
505.99550,1.336693548
505.99600,0.7263047324
505.99650,0.115915917
505.99700,-1.104861714
505.99750,-2.020444937
505.99800,-1.104861714
505.99850,1.03149914
505.99900,3.473054402
505.99950,4.083443217
506.00000,3.778248809
506.00050,4.388637625
506.00100,5.914609663
506.00150,7.440581702
506.00200,8.661359333
506.00250,9.576942556
506.00300,8.96655374
506.00350,5.304220848
