time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
516.92,6.830192886,0.07854828584,-0.1247621317,-3.116155394,-2.883255914
516.9205,7.440581702,0.07854828584,-0.4299565394,-3.116155394,-2.578061506
516.921,6.524998479,0.07854828584,-0.1247621317,-2.505766579,-2.883255914
516.9215,4.693832032,0.9941315089,0.7908210914,-3.421349802,-2.272867098
516.922,4.388637625,3.130492363,1.096015499,-5.252516248,-0.7468950597
516.9225,5.304220848,4.656464401,1.706404315,-5.557710656,-0.1365062443
516.923,5.914609663,5.572047624,3.537570761,-3.421349802,-0.1365062443
516.9235,4.083443217,6.792825255,5.368737207,-0.9797945403,0.4738825711
516.924,1.947082363,8.013602886,5.368737207,-0.6746001326,2.610243425
516.9245,1.947082363,8.929186109,4.453153984,-1.284988948,3.831021056
516.925,2.862665586,8.929186109,3.537570761,-1.590183356,3.525826648
516.9255,2.557471179,8.623991701,3.232376353,-1.284988948,2.610243425
516.926,0.7263047324,8.929186109,2.927181945,-0.9797945403,2.915437833
516.9265,0.115915917,9.234380517,2.621987538,-0.6746001326,3.525826648
516.927,0.115915917,8.623991701,2.621987538,-0.06421131716,4.136215463
516.9275,0.4211103247,7.098019663,2.621987538,-0.06421131716,4.136215463
516.928,-0.1892784907,6.18243644,2.621987538,-0.06421131716,3.22063224
516.9285,-1.104861714,5.877242032,3.537570761,0.5461774982,1.99985461
516.929,-0.4944728984,4.961658809,2.927181945,1.461760721,0.4738825711
516.9295,0.115915917,2.825297955,-1.955928578,1.766955129,0.1686881634
516.93,0.115915917,0.07854828584,-10.19617759,0.8513719059,0.4738825711
516.9305,0.115915917,-0.2266461219,-15.68967692,0.5461774982,0.1686881634
516.931,0.7263047324,0.6889371012,-14.46889929,1.461760721,-1.052089467
516.9315,1.641887955,1.909714732,-10.50137199,2.377343944,-2.883255914
516.932,1.336693548,0.3837426935,-8.059816732,1.766955129,-4.104033544
516.9325,0.4211103247,-1.75261816,-6.839039101,0.2409830905,-4.71442236
516.933,0.7263047324,-3.278590199,-4.702678247,-0.06421131716,-5.630005583
516.9335,2.252276771,-4.194173422,-3.176706209,1.156566314,-6.545588806
