"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",0.00000,2000,21840,"uV"

"time","value"
0.00000,2.98773276
0.00050,2.377343944
0.00100,0.8513719059
0.00150,-0.6746001326
0.00200,-2.200572171
0.00250,-2.505766579
0.00300,-2.810960986
0.00350,-4.336933025
0.00400,-6.473293879
0.00450,-6.473293879
0.00500,-4.642127433
0.00550,-4.031738617
0.00600,-5.862905063
0.00650,-7.388877102
0.00700,-7.388877102
0.00750,-6.168099471
0.00800,-5.252516248
0.00850,-4.031738617
0.00900,-3.116155394
0.00950,-3.116155394
0.01000,-4.031738617
0.01050,-2.505766579
0.01100,1.766955129
0.01150,6.650065652
0.01200,8.786426506
0.01250,8.481232098
0.01300,7.870843283
0.01350,7.565648875
0.01400,6.650065652
0.01450,3.598121575
0.01500,-0.3694057249
0.01550,-3.116155394
0.01600,-2.810960986
0.01650,0.5461774982
0.01700,4.513704798
0.01750,6.344871245
0.01800,6.95526006
0.01850,7.565648875
0.01900,7.565648875
0.01950,6.039676837
0.02000,3.598121575
0.02050,1.766955129
0.02100,0.8513719059
0.02150,0.2409830905
0.02200,-0.06421131716
0.02250,-0.06421131716
0.02300,-0.06421131716
0.02350,-0.6746001326
0.02400,-1.590183356
0.02450,-1.895377763
0.02500,-2.810960986
0.02550,-4.94732184
0.02600,-5.862905063
0.02650,-4.642127433
0.02700,-2.200572171
0.02750,-1.284988948
0.02800,-2.200572171
0.02850,-3.116155394
0.02900,-2.810960986
0.02950,-2.200572171
0.03000,-2.200572171
0.03050,-1.895377763
0.03100,-1.284988948
0.03150,-0.6746001326
0.03200,-0.6746001326
0.03250,-0.6746001326
0.03300,-0.6746001326
0.03350,-1.590183356
0.03400,-2.200572171
0.03450,-1.590183356
0.03500,-0.06421131716
0.03550,0.5461774982
0.03600,0.5461774982
0.03650,0.8513719059
0.03700,1.156566314
0.03750,0.5461774982
0.03800,-0.06421131716
0.03850,-0.3694057249
0.03900,-0.06421131716
0.03950,-0.6746001326
0.04000,-1.284988948
0.04050,-0.9797945403
0.04100,-0.3694057249
0.04150,-1.590183356
0.04200,-4.031738617
0.04250,-4.642127433
0.04300,-3.421349802
0.04350,-2.810960986
0.04400,-4.031738617
0.04450,-5.557710656
0.04500,-4.642127433
0.04550,-3.421349802
0.04600,-3.116155394
0.04650,-2.505766579
0.04700,-0.6746001326
0.04750,-0.06421131716
0.04800,-0.9797945403
0.04850,-2.810960986
0.04900,-2.505766579
0.04950,-1.895377763
0.05000,-2.810960986
0.05050,-4.94732184
0.05100,-5.557710656
0.05150,-5.557710656
0.05200,-5.862905063
0.05250,-5.862905063
0.05300,-3.72654421
0.05350,0.2409830905
0.05400,2.682538352
0.05450,3.292927168
0.05500,2.98773276
0.05550,3.598121575
0.05600,3.598121575
0.05650,2.072149537
0.05700,0.5461774982
0.05750,0.8513719059
0.05800,2.072149537
0.05850,2.072149537
0.05900,1.156566314
0.05950,0.2409830905
0.06000,0.2409830905
0.06050,0.2409830905
0.06100,0.2409830905
0.06150,0.2409830905
0.06200,-0.06421131716
0.06250,-0.3694057249
0.06300,-0.3694057249
0.06350,-0.06421131716
0.06400,0.2409830905
0.06450,-0.06421131716
0.06500,-1.284988948
0.06550,-2.505766579
0.06600,-2.810960986
0.06650,-2.200572171
0.06700,-2.200572171
0.06750,-2.505766579
0.06800,-3.116155394
0.06850,-3.421349802
0.06900,-3.421349802
0.06950,-3.116155394
0.07000,-2.810960986
0.07050,-1.895377763
0.07100,-0.06421131716
0.07150,2.072149537
0.07200,2.98773276
0.07250,2.072149537
0.07300,0.8513719059
0.07350,1.156566314
0.07400,2.682538352
0.07450,2.98773276
0.07500,1.461760721
0.07550,0.5461774982
0.07600,1.461760721
0.07650,2.682538352
0.07700,2.682538352
0.07750,1.461760721
0.07800,0.8513719059
0.07850,2.072149537
0.07900,3.903315983
0.07950,4.818899206
0.08000,4.818899206
