"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",43.92000,2000,22000,"uV"

"time","value"
43.92000,-2.272867098
43.92050,-1.662478283
43.92100,-1.357283875
43.92150,-1.662478283
43.92200,-0.441700652
43.92250,1.084271386
43.92300,0.4738825711
43.92350,-2.883255914
43.92400,-5.324811175
43.92450,-2.883255914
43.92500,0.4738825711
43.92550,1.084271386
43.92600,-0.1365062443
43.92650,2.610243425
43.92700,10.24010362
43.92750,16.64918618
43.92800,17.25957499
43.92850,13.29204769
43.92900,8.408937171
43.92950,5.051798687
43.93000,2.305049017
43.93050,-0.1365062443
43.93100,-2.272867098
43.93150,-4.104033544
43.93200,-6.240394398
43.93250,-8.071560845
43.93300,-8.376755252
43.93350,-7.461172029
43.93400,-7.461172029
43.93450,-8.987144068
43.93500,-11.12350492
43.93550,-11.73389374
43.93600,-10.51311611
43.93650,-8.987144068
43.93700,-8.68194966
43.93750,-9.292338475
43.93800,-9.292338475
43.93850,-7.766366437
43.93900,-5.935199991
43.93950,-4.409227952
43.94000,-3.188450321
43.94050,-1.662478283
43.94100,-0.1365062443
43.94150,2.610243425
43.94200,6.272576317
43.94250,9.629714802
43.94300,11.46088125
43.94350,10.85049243
43.94400,8.714131579
43.94450,5.96738191
43.94500,3.831021056
43.94550,2.915437833
43.94600,2.305049017
43.94650,0.7790769788
43.94700,-1.052089467
43.94750,-2.883255914
43.94800,-3.493644729
43.94850,-4.409227952
43.94900,-5.324811175
43.94950,-5.324811175
43.95000,-4.104033544
43.95050,-3.493644729
43.95100,-3.493644729
43.95150,0.1686881634
43.95200,9.93490921
43.95250,19.70113026
43.95300,20.31151907
43.95350,11.15568684
43.95400,1.084271386
43.95450,-3.188450321
43.95500,-3.188450321
43.95550,-3.493644729
43.95600,-5.324811175
43.95650,-5.935199991
43.95700,-5.019616768
43.95750,-4.409227952
43.95800,-3.798839137
43.95850,-2.272867098
43.95900,-0.1365062443
43.95950,1.694660202
43.96000,3.831021056
43.96050,6.577770725
43.96100,9.324520394
43.96150,9.93490921
43.96200,8.408937171
43.96250,6.882965133
43.96300,5.662187502
43.96350,3.22063224
43.96400,-0.7468950597
43.96450,-5.019616768
43.96500,-7.155977621
43.96550,-7.461172029
43.96600,-8.071560845
43.96650,-9.597532883
43.96700,-11.42869933
43.96750,-12.64947696
43.96800,-13.87025459
43.96850,-15.09103222
43.96900,-14.78583781
43.96950,-11.42869933
43.97000,-4.71442236
43.97050,2.915437833
43.97100,9.324520394
43.97150,11.46088125
43.97200,10.24010362
43.97250,8.408937171
43.97300,8.103742764
43.97350,8.714131579
43.97400,6.272576317
43.97450,-0.7468950597
43.97500,-7.461172029
43.97550,-4.104033544
43.97600,12.07127006
43.97650,32.51929538
43.97700,43.20109965
43.97750,38.92837794
43.97800,25.499824
43.97850,12.98685329
43.97900,5.662187502
43.97950,2.305049017
43.98000,0.7790769788
43.98050,2.305049017
43.98100,5.051798687
43.98150,7.493353948
43.98200,6.882965133
43.98250,4.441409871
43.98300,0.7790769788
43.98350,-2.272867098
43.98400,-4.409227952
43.98450,-4.409227952
43.98500,-1.967672691
43.98550,-0.1365062443
43.98600,-0.1365062443
43.98650,-0.7468950597
43.98700,0.1686881634
43.98750,2.610243425
43.98800,3.831021056
43.98850,3.22063224
43.98900,2.305049017
43.98950,1.694660202
43.99000,-0.1365062443
43.99050,-3.493644729
43.99100,-6.850783214
43.99150,-8.071560845
43.99200,-8.376755252
43.99250,-10.81831051
43.99300,-15.09103222
43.99350,-16.92219867
43.99400,-15.09103222
43.99450,-12.95467137
43.99500,-14.175449
43.99550,-17.22739308
43.99600,-18.75336511
43.99650,-16.61700426
43.99700,-11.73389374
43.99750,-7.155977621
43.99800,-4.104033544
43.99850,-2.578061506
43.99900,-1.357283875
43.99950,-0.441700652
44.00000,-0.441700652
44.00050,-0.7468950597
44.00100,-0.441700652
44.00150,0.1686881634
44.00200,0.7790769788
44.00250,-0.441700652
44.00300,-1.967672691
44.00350,-1.052089467
44.00400,1.389465794
44.00450,3.22063224
44.00500,2.610243425
44.00550,2.915437833
44.00600,4.441409871
44.00650,5.356993094
44.00700,2.915437833
44.00750,-0.1365062443
44.00800,-0.7468950597
44.00850,0.1686881634
44.00900,0.7790769788
44.00950,-0.441700652
44.01000,-1.357283875
44.01050,-0.7468950597
44.01100,0.1686881634
44.01150,-0.1365062443
44.01200,-2.272867098
44.01250,-4.409227952
44.01300,-5.630005583
44.01350,-5.935199991
44.01400,-5.324811175
44.01450,-4.409227952
44.01500,-3.188450321
44.01550,-2.272867098
44.01600,-2.578061506
44.01650,-3.188450321
44.01700,-3.798839137
44.01750,-4.104033544
44.01800,-3.798839137
44.01850,-2.578061506
44.01900,-0.1365062443
44.01950,1.99985461
44.02000,3.22063224
44.02050,2.610243425
44.02100,1.084271386
44.02150,-0.1365062443
44.02200,-0.7468950597
44.02250,-1.052089467
44.02300,-1.052089467
44.02350,-0.441700652
44.02400,0.4738825711
44.02450,1.694660202
44.02500,2.915437833
44.02550,3.22063224
44.02600,3.831021056
44.02650,4.746604279
44.02700,5.051798687
44.02750,2.610243425
44.02800,-1.662478283
44.02850,-5.019616768
44.02900,-5.019616768
44.02950,-3.798839137
44.03000,-3.493644729
44.03050,-3.798839137
44.03100,-2.578061506
44.03150,-1.662478283
44.03200,-2.883255914
44.03250,-4.409227952
44.03300,-1.967672691
44.03350,4.136215463
44.03400,8.714131579
44.03450,8.103742764
44.03500,5.051798687
44.03550,2.305049017
44.03600,-0.441700652
44.03650,-3.798839137
44.03700,-5.324811175
44.03750,-3.798839137
44.03800,-1.357283875
44.03850,-0.7468950597
44.03900,-1.967672691
44.03950,-2.578061506
44.04000,-1.662478283
44.04050,-0.7468950597
44.04100,0.4738825711
44.04150,1.99985461
44.04200,3.831021056
44.04250,5.356993094
44.04300,5.96738191
44.04350,5.96738191
44.04400,6.272576317
44.04450,7.493353948
44.04500,8.103742764
44.04550,5.96738191
44.04600,1.084271386
44.04650,-1.967672691
44.04700,-1.967672691
44.04750,-1.967672691
44.04800,-4.71442236
44.04850,-8.071560845
44.04900,-6.850783214
44.04950,-3.493644729
44.05000,-2.883255914
44.05050,-3.493644729
44.05100,1.389465794
44.05150,12.07127006
44.05200,18.78554703
44.05250,14.20763092
44.05300,3.525826648
44.05350,-3.798839137
44.05400,-6.240394398
44.05450,-7.461172029
44.05500,-9.597532883
44.05550,-11.12350492
44.05600,-11.73389374
44.05650,-10.81831051
44.05700,-7.155977621
44.05750,-0.7468950597
44.05800,3.831021056
44.05850,3.22063224
44.05900,-0.1365062443
44.05950,-0.7468950597
44.06000,1.694660202
44.06050,3.525826648
44.06100,1.389465794
44.06150,-1.052089467
44.06200,-1.052089467
44.06250,1.084271386
44.06300,2.915437833
44.06350,2.915437833
44.06400,2.610243425
44.06450,3.831021056
44.06500,7.188159541
44.06550,10.24010362
44.06600,10.54529803
44.06650,6.577770725
44.06700,1.084271386
44.06750,-3.493644729
44.06800,-6.545588806
44.06850,-8.376755252
44.06900,-7.461172029
44.06950,-3.798839137
44.07000,-0.1365062443
44.07050,1.694660202
44.07100,2.305049017
44.07150,3.525826648
44.07200,3.525826648
44.07250,0.1686881634
44.07300,-3.798839137
44.07350,-4.409227952
44.07400,-1.967672691
44.07450,-2.883255914
44.07500,-8.987144068
44.07550,-15.39622663
44.07600,-15.39622663
44.07650,-10.81831051
44.07700,-6.850783214
44.07750,-5.630005583
44.07800,-5.324811175
44.07850,-4.104033544
44.07900,-1.967672691
44.07950,1.99985461
44.08000,9.93490921
44.08050,18.48035263
44.08100,22.14268552
44.08150,17.86996381
44.08200,10.24010362
44.08250,5.051798687
44.08300,2.610243425
44.08350,0.1686881634
44.08400,-1.662478283
44.08450,-0.1365062443
44.08500,5.356993094
44.08550,10.54529803
44.08600,12.07127006
44.08650,10.85049243
44.08700,10.54529803
44.08750,12.07127006
44.08800,12.68165888
44.08850,9.93490921
44.08900,5.662187502
44.08950,1.694660202
44.09000,-0.441700652
44.09050,-1.967672691
44.09100,-4.104033544
44.09150,-6.850783214
44.09200,-8.376755252
44.09250,-7.766366437
44.09300,-4.71442236
44.09350,-2.272867098
44.09400,-3.188450321
44.09450,-7.155977621
44.09500,-10.81831051
44.09550,-11.42869933
44.09600,-9.292338475
44.09650,-6.545588806
44.09700,-4.409227952
44.09750,-2.272867098
44.09800,-0.7468950597
44.09850,-0.441700652
44.09900,-1.662478283
44.09950,-1.967672691
44.10000,0.1686881634
44.10050,3.525826648
44.10100,5.96738191
44.10150,5.356993094
44.10200,3.831021056
44.10250,3.22063224
44.10300,4.136215463
44.10350,5.662187502
44.10400,5.662187502
44.10450,4.441409871
44.10500,3.525826648
44.10550,3.831021056
44.10600,4.746604279
44.10650,4.746604279
44.10700,3.525826648
44.10750,2.610243425
44.10800,3.525826648
44.10850,5.051798687
44.10900,5.96738191
44.10950,4.441409871
44.11000,1.694660202
44.11050,-1.357283875
44.11100,-3.493644729
44.11150,-4.71442236
44.11200,-5.324811175
44.11250,-6.240394398
44.11300,-6.850783214
44.11350,-6.850783214
44.11400,-6.240394398
44.11450,-5.019616768
44.11500,-4.104033544
44.11550,-3.798839137
44.11600,-4.409227952
44.11650,-5.324811175
44.11700,-6.240394398
44.11750,-5.935199991
44.11800,-5.019616768
44.11850,-4.104033544
44.11900,-3.798839137
44.11950,-3.188450321
44.12000,-2.272867098
44.12050,-0.7468950597
44.12100,0.4738825711
44.12150,2.610243425
44.12200,5.051798687
44.12250,6.577770725
