time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
43.92,13.23927545,-0.5318405296,-1.65073417,-0.06421131716,-2.272867098
43.9205,11.71330341,0.07854828584,1.096015499,-0.3694057249,-1.662478283
43.921,12.01849782,0.9941315089,-1.040345355,-1.284988948,-1.357283875
43.9215,13.23927545,2.520103547,-5.61826147,-3.116155394,-1.662478283
43.922,11.71330341,4.351269994,-7.754622324,-4.642127433,-0.441700652
43.9225,6.524998479,5.877242032,-8.059816732,-4.94732184,1.084271386
43.923,2.252276771,6.792825255,-9.280594363,-3.72654421,0.4738825711
43.9235,0.7263047324,7.708408478,-9.280594363,-2.505766579,-2.883255914
43.924,0.115915917,8.623991701,-5.007872655,-0.9797945403,-5.324811175
43.9245,-2.93602816,8.929186109,1.706404315,0.2409830905,-2.883255914
43.925,-5.987972237,8.623991701,7.505098061,1.766955129,0.4738825711
43.9255,-6.598361052,8.929186109,9.946653322,2.98773276,1.084271386
43.926,-5.072389014,10.45515815,9.946653322,2.98773276,-0.1365062443
43.9265,-4.462000199,10.45515815,9.031070099,1.766955129,2.610243425
43.927,-6.598361052,6.792825255,7.199903653,0.5461774982,10.24010362
43.9275,-9.955499537,0.3837426935,6.28432043,0.2409830905,16.64918618
43.928,-12.70224921,-2.668201383,8.115486876,1.156566314,17.25957499
43.9285,-14.22822125,-0.5318405296,11.16743095,2.682538352,13.29204769
43.929,-15.14380447,3.435686771,14.52456944,3.598121575,8.408937171
43.9295,-16.66977651,5.266853217,17.88170792,3.598121575,5.051798687
43.93,-20.02691499,3.740881178,20.933652,4.208510391,2.305049017
43.9305,-22.77366466,1.909714732,19.40767996,5.429288021,-0.1365062443
43.931,-20.02691499,1.299325917,10.55704214,5.734482429,-2.272867098
43.9315,-8.124333091,0.3837426935,-0.7351509471,4.513704798,-4.104033544
43.932,7.440581702,-1.142229345,-8.059816732,3.292927168,-6.240394398
43.9325,17.81719156,-2.363006976,-10.50137199,3.903315983,-8.071560845
43.933,18.12238597,-2.057812568,-13.55331607,4.513704798,-8.376755252
43.9335,12.93408104,-1.447423753,-20.57278745,3.292927168,-7.461172029
43.934,8.356164925,-1.75261816,-26.98187001,-0.06421131716,-7.461172029
43.9345,5.304220848,-2.668201383,-26.98187001,-2.505766579,-8.987144068
43.935,1.947082363,-3.888979014,-20.57278745,-2.810960986,-11.12350492
43.9355,-0.4944728984,-5.109756645,-11.41695522,-0.9797945403,-11.73389374
43.936,0.115915917,-7.246117499,-1.040345355,0.2409830905,-10.51311611
43.9365,5.609415256,-8.772089538,9.031070099,0.2409830905,-8.987144068
43.937,12.01849782,-9.382478353,14.82976385,-0.9797945403,-8.68194966
43.9375,16.29121953,-9.687672761,13.60898621,-2.810960986,-9.292338475
43.938,17.20680275,-9.687672761,7.810292469,-3.72654421,-9.292338475
43.9385,16.29121953,-8.161700722,4.147959576,-4.031738617,-7.766366437
43.939,14.76524749,-5.72014546,3.842765168,-4.336933025,-5.935199991
43.9395,13.54446986,-4.194173422,2.621987538,-5.862905063,-4.409227952
43.94,13.23927545,-4.804562237,-1.345539762,-8.304460325,-3.188450321
43.9405,12.32369223,-4.804562237,-5.313067063,-8.914849141,-1.662478283
43.941,8.96655374,-2.057812568,-6.839039101,-7.083682694,-0.1365062443
43.9415,2.557471179,0.07854828584,-7.144233509,-3.72654421,2.610243425
43.942,-5.682777829,0.07854828584,-8.670205547,-0.6746001326,6.272576317
43.9425,-13.92302684,-1.447423753,-12.33253844,0.8513719059,9.629714802
43.943,-18.50094295,-1.447423753,-18.43642659,1.461760721,11.46088125
43.9435,-17.28016532,0.3837426935,-26.6766756,-0.06421131716,10.85049243
43.944,-12.70224921,2.21490914,-33.69614698,-2.810960986,8.714131579
43.9445,-9.345110722,3.435686771,-32.78056376,-6.168099471,5.96738191
43.945,-9.955499537,4.046075586,-23.01434271,-7.69407151,3.831021056
43.9455,-12.09186039,4.656464401,-10.19617759,-6.473293879,2.915437833
43.946,-12.09186039,5.266853217,-1.65073417,-4.031738617,2.305049017
43.9465,-11.48147158,5.266853217,3.232376353,-2.505766579,0.7790769788
43.947,-13.00744361,5.266853217,8.725875692,-1.895377763,-1.052089467
43.9475,-16.66977651,5.572047624,15.44015266,-1.284988948,-2.883255914
43.948,-17.58535973,5.877242032,18.49209674,-0.3694057249,-3.493644729
43.9485,-14.53341565,5.877242032,15.44015266,-0.3694057249,-4.409227952
43.949,-11.48147158,5.572047624,9.641458915,-1.284988948,-5.324811175
43.9495,-10.87108276,3.740881178,5.063542799,-1.590183356,-5.324811175
43.95,-10.87108276,1.299325917,2.927181945,-0.06421131716,-4.104033544
43.9505,-9.650305129,0.3837426935,2.621987538,1.156566314,-3.493644729
43.951,-8.734721906,2.520103547,2.011598722,1.461760721,-3.493644729
43.9515,-8.734721906,4.961658809,0.7908210914,0.8513719059,0.1686881634
43.952,-6.598361052,4.961658809,-1.65073417,1.766955129,9.93490921
43.9525,-0.1892784907,2.520103547,-4.39748384,3.598121575,19.70113026
43.953,6.524998479,0.07854828584,-5.61826147,4.818899206,20.31151907
43.9535,9.882136963,-1.142229345,-5.313067063,3.292927168,11.15568684
43.954,9.576942556,-3.888979014,-4.39748384,0.5461774982,1.084271386
43.9545,9.576942556,-8.161700722,-3.481900616,-0.6746001326,-3.188450321
43.955,10.49252578,-12.12922802,-1.65073417,-0.6746001326,-3.188450321
43.9555,9.576942556,-13.96039447,0.4856266837,-0.06421131716,-3.493644729
43.956,6.219804071,-12.43442243,1.706404315,0.2409830905,-5.324811175
43.9565,1.947082363,-9.382478353,1.096015499,0.8513719059,-5.935199991
43.957,-0.4944728984,-7.551311907,-0.4299565394,1.156566314,-5.019616768
43.9575,-2.93602816,-8.772089538,-1.345539762,0.5461774982,-4.409227952
43.958,-5.377583422,-11.2136448,-1.040345355,-0.06421131716,-3.798839137
43.9585,-6.598361052,-12.43442243,0.180432276,-0.9797945403,-2.272867098
43.959,-5.987972237,-12.43442243,0.7908210914,-2.505766579,-0.1365062443
43.9595,-4.156805791,-13.04481125,0.180432276,-4.336933025,1.694660202
43.96,-2.325639345,-14.26558888,-0.1247621317,-5.557710656,3.831021056
43.9605,-2.020444937,-14.57078328,1.401209907,-5.557710656,6.577770725
43.961,-3.241222568,-12.12922802,4.758348392,-4.642127433,9.324520394
43.9615,-5.682777829,-8.46689513,7.199903653,-4.94732184,9.93490921
43.962,-7.513944276,-5.414951053,6.894709245,-5.862905063,8.408937171
43.9625,-5.987972237,-2.973395791,5.673931615,-5.557710656,6.882965133
43.963,-2.325639345,-0.2266461219,4.453153984,-4.336933025,5.662187502
43.9635,0.7263047324,1.909714732,3.842765168,-3.116155394,3.22063224
43.964,2.252276771,3.435686771,2.31679313,-2.505766579,-0.7468950597
43.9645,4.083443217,4.656464401,0.7908210914,-1.590183356,-5.019616768
43.965,6.219804071,5.266853217,0.7908210914,-0.06421131716,-7.155977621
43.9655,6.524998479,5.877242032,2.011598722,1.156566314,-7.461172029
43.966,5.609415256,6.487630848,1.401209907,1.156566314,-8.071560845
43.9665,5.914609663,6.487630848,-1.040345355,0.2409830905,-9.597532883
43.967,8.661359333,5.877242032,-4.39748384,-0.06421131716,-11.42869933
43.9675,12.01849782,6.487630848,-5.61826147,-0.9797945403,-12.64947696
43.968,13.23927545,11.06554696,-5.007872655,-1.284988948,-13.87025459
43.9685,12.93408104,19.61099038,-3.176706209,-0.9797945403,-15.09103222
43.969,10.79772019,26.63046176,-1.040345355,-0.06421131716,-14.78583781
43.9695,5.914609663,27.54604498,1.706404315,1.156566314,-11.42869933
43.97,-2.325639345,23.88371209,5.673931615,1.766955129,-4.71442236
43.9705,-11.17627717,19.61099038,9.031070099,2.377343944,2.915437833
43.971,-14.22822125,14.42268545,9.946653322,3.598121575,9.324520394
43.9715,-10.26069394,5.572047624,7.505098061,4.208510391,11.46088125
43.972,-2.93602816,-4.49936783,3.842765168,3.292927168,10.24010362
43.9725,2.557471179,-10.29806158,1.096015499,1.156566314,8.408937171
43.973,3.167859994,-8.772089538,0.7908210914,0.2409830905,8.103742764
43.9735,-1.715250529,-5.414951053,2.011598722,1.156566314,8.714131579
43.974,-10.87108276,-5.72014546,2.927181945,2.98773276,6.272576317
43.9745,-17.89055414,-8.46689513,2.31679313,4.818899206,-0.7468950597
43.975,-16.97497091,-12.12922802,1.096015499,6.039676837,-7.461172029
43.9755,-9.039916314,-18.53831058,0.7908210914,6.039676837,-4.104033544
43.976,-1.104861714,-29.52530926,2.621987538,5.429288021,12.07127006
43.9765,-0.1892784907,-41.12269675,5.368737207,6.650065652,32.51929538
43.977,-5.682777829,-45.70061287,7.810292469,9.702009729,43.20109965
43.9775,-10.56588835,-40.81750235,7.810292469,10.92278736,38.92837794
43.978,-9.955499537,-30.74608689,5.673931615,7.565648875,25.499824
43.9785,-3.851611383,-20.06428262,2.621987538,1.766955129,12.98685329
43.979,1.03149914,-10.90845039,0.180432276,-0.6746001326,5.662187502
43.9795,1.336693548,-3.888979014,-0.1247621317,0.5461774982,2.305049017
43.98,-0.4944728984,0.07854828584,0.180432276,2.682538352,0.7790769788
43.9805,0.115915917,1.604520324,-0.1247621317,2.682538352,2.305049017
43.981,3.167859994,1.909714732,-3.176706209,2.072149537,5.051798687
43.9815,4.388637625,1.604520324,-8.059816732,3.292927168,7.493353948
43.982,1.641887955,2.21490914,-10.50137199,4.818899206,6.882965133
43.9825,-0.1892784907,5.266853217,-8.36501114,4.208510391,4.441409871
43.983,1.947082363,10.14996374,-4.39748384,1.766955129,0.7790769788
43.9835,5.609415256,14.42268545,-2.566317393,-0.06421131716,-2.272867098
43.984,7.440581702,15.33826867,-4.702678247,-0.3694057249,-4.409227952
43.9845,7.440581702,14.11749104,-8.059816732,-0.6746001326,-4.409227952
43.985,6.830192886,12.89671341,-8.975399955,-2.810960986,-1.967672691
43.9855,3.473054402,12.591519,-5.923455878,-4.94732184,-0.1365062443
43.986,-3.241222568,11.67593578,-1.345539762,-5.252516248,-0.1365062443
43.9865,-10.56588835,11.06554696,1.706404315,-3.421349802,-0.7468950597
43.987,-12.70224921,11.37074137,4.453153984,-0.9797945403,0.1686881634
43.9875,-11.78666598,12.591519,7.810292469,-0.06421131716,2.610243425
43.988,-13.00744361,12.591519,12.69340299,-0.06421131716,3.831021056
43.9885,-17.28016532,10.45515815,16.05054148,0.2409830905,3.22063224
43.989,-21.55288703,8.013602886,17.57651352,1.461760721,2.305049017
43.9895,-23.99444229,6.18243644,19.40767996,3.598121575,1.694660202
43.99,-25.82560874,4.656464401,22.45962404,4.208510391,-0.1365062443
43.9905,-25.82560874,3.130492363,22.15442963,3.292927168,-3.493644729
43.991,-18.80613736,1.604520324,14.21937503,1.461760721,-6.850783214
43.9915,-6.598361052,1.299325917,1.706404315,-0.06421131716,-8.071560845
43.992,3.778248809,1.909714732,-7.144233509,-0.06421131716,-8.376755252
43.9925,11.10291459,2.825297955,-9.58578877,1.461760721,-10.81831051
43.993,19.3431636,4.351269994,-8.670205547,2.682538352,-15.09103222
43.9935,31.55093991,5.572047624,-8.36501114,2.682538352,-16.92219867
43.994,41.92754977,5.266853217,-8.059816732,2.377343944,-15.09103222
43.9945,43.45352181,3.435686771,-5.61826147,2.98773276,-12.95467137
43.995,37.04443925,1.909714732,-3.176706209,3.598121575,-14.175449
43.9955,30.63535669,1.909714732,-3.481900616,2.682538352,-17.22739308
43.996,27.58341261,1.604520324,-5.313067063,0.8513719059,-18.75336511
43.9965,24.22627413,0.07854828584,-5.61826147,0.2409830905,-16.61700426
43.997,17.20680275,-1.142229345,-4.39748384,1.156566314,-11.73389374
43.9975,8.356164925,-1.75261816,-3.481900616,1.766955129,-7.155977621
43.998,0.115915917,-1.75261816,-2.871511801,1.461760721,-4.104033544
43.9985,-5.682777829,-1.75261816,-2.261122986,1.156566314,-2.578061506
43.999,-8.429527499,-1.75261816,-1.955928578,0.5461774982,-1.357283875
43.9995,-7.513944276,-0.2266461219,-2.566317393,-0.9797945403,-0.441700652
44.0,-5.072389014,1.909714732,-2.261122986,-3.72654421,-0.441700652
44.0005,-4.462000199,3.740881178,-0.1247621317,-4.642127433,-0.7468950597
44.001,-7.513944276,3.740881178,3.537570761,-2.810960986,-0.441700652
44.0015,-11.17627717,4.046075586,4.147959576,-1.590183356,0.1686881634
44.002,-9.955499537,6.18243644,1.401209907,-2.810960986,0.7790769788
44.0025,-1.410056122,8.318797294,-2.871511801,-4.94732184,-0.441700652
44.003,8.356164925,8.318797294,-6.533844693,-4.94732184,-1.967672691
44.0035,14.15485867,7.098019663,-7.754622324,-4.031738617,-1.052089467
44.004,13.23927545,6.792825255,-5.313067063,-4.642127433,1.389465794
44.0045,8.96655374,8.318797294,-0.1247621317,-5.252516248,3.22063224
44.005,4.99902644,9.234380517,2.621987538,-4.031738617,2.610243425
44.0055,2.557471179,7.708408478,1.706404315,-1.590183356,2.915437833
44.006,1.336693548,5.877242032,1.096015499,-0.06421131716,4.441409871
44.0065,1.336693548,5.572047624,3.537570761,0.2409830905,5.356993094
44.007,3.167859994,6.487630848,5.368737207,0.2409830905,2.915437833
44.0075,5.609415256,7.098019663,0.7908210914,0.5461774982,-0.1365062443
44.008,6.219804071,7.403214071,-5.007872655,0.2409830905,-0.7468950597
44.0085,4.693832032,8.013602886,-1.65073417,0.2409830905,0.1686881634
44.009,3.167859994,8.013602886,11.16743095,1.461760721,0.7790769788
44.0095,2.252276771,7.098019663,20.62845759,3.292927168,-0.441700652
44.01,1.03149914,5.877242032,17.27131911,3.598121575,-1.357283875
44.0105,-0.1892784907,5.572047624,6.894709245,2.377343944,-0.7468950597
44.011,-1.715250529,4.656464401,0.4856266837,1.461760721,0.1686881634
44.0115,-2.630833752,2.21490914,-2.261122986,0.8513719059,-0.1365062443
44.012,-2.325639345,-0.2266461219,-7.144233509,-0.06421131716,-2.272867098
44.0125,-2.020444937,-0.8370349373,-13.24812166,-0.9797945403,-4.409227952
44.013,-2.325639345,0.07854828584,-16.30006574,-1.590183356,-5.630005583
44.0135,-3.241222568,-0.8370349373,-15.07928811,-0.6746001326,-5.935199991
44.014,-5.377583422,-4.49936783,-12.94292726,0.2409830905,-5.324811175
44.0145,-7.208749868,-8.161700722,-9.280594363,0.5461774982,-4.409227952
44.015,-8.124333091,-9.077283945,-2.261122986,0.5461774982,-3.188450321
44.0155,-8.124333091,-8.772089538,2.927181945,1.156566314,-2.272867098
44.016,-8.734721906,-8.161700722,2.011598722,0.5461774982,-2.578061506
44.0165,-9.955499537,-8.161700722,-0.4299565394,-1.284988948,-3.188450321
44.017,-8.734721906,-7.246117499,2.927181945,-3.72654421,-3.798839137
44.0175,-4.462000199,-5.414951053,11.77781977,-4.642127433,-4.104033544
44.018,-0.1892784907,-4.194173422,13.91418062,-4.031738617,-3.798839137
44.0185,-0.1892784907,-4.49936783,6.28432043,-2.810960986,-2.578061506
44.019,-3.241222568,-5.414951053,-2.261122986,-2.505766579,-0.1365062443
44.0195,-5.987972237,-5.414951053,-4.702678247,-4.031738617,1.99985461
44.02,-5.682777829,-3.583784607,-6.228650286,-7.083682694,3.22063224
