"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",54.92000,2000,22000,"uV"

"time","value"
54.92000,1.909714732
54.92050,-1.142229345
54.92100,-4.194173422
54.92150,-7.856506314
54.92200,-11.51883921
54.92250,-13.04481125
54.92300,-12.12922802
54.92350,-12.12922802
54.92400,-15.1811721
54.92450,-16.70714414
54.92500,-11.51883921
54.92550,-1.75261816
54.92600,5.266853217
54.92650,5.572047624
54.92700,3.435686771
54.92750,4.351269994
54.92800,8.013602886
54.92850,8.013602886
54.92900,2.825297955
54.92950,-2.668201383
54.93000,-3.583784607
54.93050,-0.5318405296
54.93100,1.299325917
54.93150,1.299325917
54.93200,1.299325917
54.93250,3.435686771
54.93300,4.961658809
54.93350,2.825297955
54.93400,-0.5318405296
54.93450,-2.668201383
54.93500,-2.057812568
54.93550,0.07854828584
54.93600,2.520103547
54.93650,4.046075586
54.93700,2.520103547
54.93750,-1.142229345
54.93800,-4.194173422
54.93850,-3.888979014
54.93900,-2.973395791
54.93950,-3.888979014
54.94000,-4.49936783
54.94050,-0.5318405296
54.94100,7.098019663
54.94150,12.28632459
54.94200,12.28632459
54.94250,8.929186109
54.94300,4.351269994
54.94350,-1.447423753
54.94400,-7.856506314
54.94450,-10.29806158
54.94500,-6.635728684
54.94550,-1.142229345
54.94600,0.3837426935
54.94650,-2.363006976
54.94700,-7.246117499
54.94750,-12.43442243
54.94800,-16.70714414
54.94850,-18.84350499
54.94900,-17.01233855
54.94950,-12.73961684
54.95000,-8.772089538
54.95050,-6.330534276
54.95100,-4.49936783
54.95150,-2.668201383
54.95200,-0.5318405296
54.95250,1.299325917
54.95300,4.046075586
54.95350,7.403214071
54.95400,10.14996374
54.95450,11.98113019
54.95500,12.89671341
54.95550,13.50710222
54.95600,13.20190782
54.95650,11.37074137
54.95700,7.403214071
54.95750,2.21490914
54.95800,-1.447423753
54.95850,-3.583784607
54.95900,-3.583784607
54.95950,-2.973395791
54.96000,-2.668201383
54.96050,-3.278590199
54.96100,-3.888979014
54.96150,-4.194173422
54.96200,-4.804562237
54.96250,-6.635728684
54.96300,-8.161700722
54.96350,-8.161700722
54.96400,-6.025339868
54.96450,-4.804562237
54.96500,-5.72014546
54.96550,-7.246117499
54.96600,-6.330534276
54.96650,-3.278590199
54.96700,-0.5318405296
54.96750,0.3837426935
54.96800,1.299325917
54.96850,2.520103547
54.96900,3.740881178
54.96950,4.351269994
54.97000,5.572047624
54.97050,8.013602886
54.97100,10.76035256
54.97150,12.89671341
54.97200,14.11749104
54.97250,14.42268545
54.97300,12.89671341
54.97350,10.14996374
54.97400,7.708408478
54.97450,6.792825255
54.97500,7.098019663
54.97550,6.792825255
54.97600,6.487630848
54.97650,6.792825255
54.97700,6.792825255
54.97750,5.877242032
54.97800,4.046075586
54.97850,2.520103547
54.97900,1.299325917
54.97950,0.07854828584
54.98000,-1.75261816
54.98050,-3.583784607
54.98100,-4.49936783
54.98150,-5.414951053
54.98200,-5.72014546
54.98250,-6.635728684
54.98300,-8.772089538
54.98350,-10.90845039
54.98400,-10.90845039
54.98450,-9.382478353
54.98500,-7.856506314
54.98550,-7.856506314
54.98600,-8.46689513
54.98650,-8.161700722
54.98700,-6.940923091
54.98750,-5.414951053
54.98800,-2.973395791
54.98850,0.3837426935
54.98900,4.046075586
54.98950,6.487630848
54.99000,7.403214071
54.99050,7.708408478
54.99100,7.708408478
54.99150,7.708408478
54.99200,7.708408478
54.99250,7.098019663
54.99300,6.792825255
54.99350,7.403214071
54.99400,10.45515815
54.99450,14.42268545
54.99500,15.33826867
54.99550,13.20190782
54.99600,9.844769332
54.99650,7.708408478
54.99700,5.877242032
54.99750,3.740881178
54.99800,1.299325917
54.99850,0.6889371012
54.99900,0.6889371012
54.99950,-0.8370349373
55.00000,-3.888979014
55.00050,-5.72014546
55.00100,-6.025339868
55.00150,-6.635728684
55.00200,-8.772089538
55.00250,-10.90845039
55.00300,-11.51883921
55.00350,-9.992867168
55.00400,-7.551311907
55.00450,-4.49936783
55.00500,-1.447423753
55.00550,0.07854828584
55.00600,0.3837426935
55.00650,-0.5318405296
55.00700,-1.447423753
55.00750,-1.142229345
