"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",54.92000,2000,22000,"uV"

"time","value"
54.92000,12.69340299
54.92050,9.031070099
54.92100,2.927181945
54.92150,-3.481900616
54.92200,-8.059816732
54.92250,-9.58578877
54.92300,-9.890983178
54.92350,-8.975399955
54.92400,-5.923455878
54.92450,-2.566317393
54.92500,-1.955928578
54.92550,-4.39748384
54.92600,-6.533844693
54.92650,-6.533844693
54.92700,-6.533844693
54.92750,-8.059816732
54.92800,-9.58578877
54.92850,-8.670205547
54.92900,-6.228650286
54.92950,-4.39748384
54.93000,-3.787095024
54.93050,-5.007872655
54.93100,-7.144233509
54.93150,-8.670205547
54.93200,-7.754622324
54.93250,-5.007872655
54.93300,-3.481900616
54.93350,-4.39748384
54.93400,-5.007872655
54.93450,-4.092289432
54.93500,-3.176706209
54.93550,-2.871511801
54.93600,-1.955928578
54.93650,0.180432276
54.93700,1.096015499
54.93750,0.4856266837
54.93800,0.7908210914
54.93850,2.31679313
54.93900,2.31679313
54.93950,-1.345539762
54.94000,-5.923455878
54.94050,-7.449427917
54.94100,-7.754622324
54.94150,-8.975399955
54.94200,-10.50137199
54.94250,-9.890983178
54.94300,-9.280594363
54.94350,-10.50137199
54.94400,-10.19617759
54.94450,-3.787095024
54.94500,5.979126022
54.94550,12.69340299
54.94600,13.91418062
54.94650,12.9985974
54.94700,12.9985974
54.94750,11.16743095
54.94800,6.894709245
54.94850,3.232376353
54.94900,2.011598722
54.94950,1.706404315
54.95000,0.7908210914
54.95050,0.180432276
54.95100,0.7908210914
54.95150,2.31679313
54.95200,2.927181945
54.95250,3.537570761
54.95300,5.063542799
54.95350,7.199903653
54.95400,7.810292469
54.95450,6.589514838
54.95500,4.147959576
54.95550,2.31679313
54.95600,1.401209907
54.95650,1.401209907
54.95700,1.096015499
54.95750,-2.566317393
54.95800,-10.8065664
54.95850,-18.13123219
54.95900,-19.04681541
54.95950,-15.07928811
54.96000,-11.11176081
54.96050,-9.280594363
54.96100,-6.533844693
54.96150,-3.787095024
54.96200,-4.092289432
54.96250,-6.533844693
54.96300,-5.923455878
54.96350,0.180432276
