"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",241.92000,2000,22000,"uV"

"time","value"
241.92000,1.641887955
241.92050,1.641887955
241.92100,2.252276771
241.92150,2.862665586
241.92200,2.557471179
241.92250,1.947082363
241.92300,1.336693548
241.92350,0.7263047324
241.92400,0.7263047324
241.92450,1.03149914
241.92500,1.336693548
241.92550,1.641887955
241.92600,1.336693548
241.92650,1.03149914
241.92700,0.4211103247
241.92750,0.115915917
241.92800,-1.104861714
241.92850,-1.715250529
241.92900,-2.020444937
241.92950,-2.020444937
241.93000,-2.630833752
241.93050,-2.630833752
241.93100,-2.325639345
241.93150,-2.020444937
241.93200,-2.93602816
241.93250,-4.462000199
241.93300,-4.156805791
241.93350,-2.325639345
241.93400,0.115915917
241.93450,1.641887955
241.93500,2.252276771
241.93550,2.252276771
241.93600,2.252276771
241.93650,2.252276771
241.93700,2.252276771
241.93750,2.252276771
241.93800,2.557471179
241.93850,3.473054402
241.93900,3.778248809
241.93950,3.167859994
241.94000,2.252276771
241.94050,2.557471179
241.94100,3.473054402
241.94150,4.083443217
241.94200,3.473054402
241.94250,2.862665586
241.94300,2.862665586
241.94350,3.778248809
241.94400,4.693832032
241.94450,6.219804071
241.94500,8.661359333
241.94550,8.96655374
241.94600,6.524998479
241.94650,3.778248809
241.94700,4.083443217
241.94750,5.609415256
241.94800,4.693832032
241.94850,1.641887955
241.94900,0.115915917
241.94950,0.4211103247
241.95000,1.336693548
241.95050,0.115915917
241.95100,-1.104861714
241.95150,-0.4944728984
241.95200,1.03149914
241.95250,1.641887955
241.95300,1.336693548
241.95350,1.641887955
241.95400,2.862665586
241.95450,3.778248809
241.95500,3.778248809
241.95550,3.167859994
241.95600,2.862665586
241.95650,3.778248809
241.95700,5.304220848
241.95750,4.99902644
241.95800,2.557471179
241.95850,0.4211103247
241.95900,1.03149914
241.95950,2.557471179
241.96000,0.4211103247
241.96050,-5.377583422
241.96100,-10.87108276
241.96150,-12.09186039
241.96200,-9.955499537
241.96250,-8.429527499
241.96300,-8.124333091
241.96350,-7.513944276
241.96400,-5.682777829
241.96450,-4.462000199
241.96500,-3.851611383
241.96550,-3.241222568
241.96600,-2.020444937
241.96650,-1.410056122
241.96700,-1.410056122
241.96750,-1.410056122
241.96800,-1.104861714
241.96850,-0.7996673061
241.96900,-1.715250529
241.96950,-3.241222568
241.97000,-5.072389014
241.97050,-5.377583422
241.97100,-4.156805791
241.97150,-3.241222568
241.97200,-3.546416975
241.97250,-4.156805791
241.97300,-3.851611383
241.97350,-3.546416975
241.97400,-3.241222568
241.97450,-3.241222568
241.97500,-2.020444937
241.97550,-0.1892784907
241.97600,0.4211103247
241.97650,0.4211103247
241.97700,0.4211103247
241.97750,1.03149914
241.97800,1.641887955
241.97850,1.641887955
241.97900,1.336693548
241.97950,1.336693548
241.98000,0.7263047324
241.98050,0.7263047324
241.98100,1.947082363
241.98150,3.167859994
241.98200,2.862665586
241.98250,1.03149914
241.98300,-0.1892784907
241.98350,0.115915917
241.98400,0.7263047324
241.98450,-0.1892784907
241.98500,-2.020444937
241.98550,-2.020444937
241.98600,-0.1892784907
241.98650,0.115915917
241.98700,-1.104861714
241.98750,-3.546416975
241.98800,-5.072389014
241.98850,-6.90355546
241.98900,-8.734721906
241.98950,-10.26069394
241.99000,-9.039916314
241.99050,-6.598361052
241.99100,-4.462000199
241.99150,-3.546416975
241.99200,-2.93602816
241.99250,-1.715250529
241.99300,-0.7996673061
241.99350,-0.4944728984
241.99400,-0.7996673061
241.99450,-0.7996673061
241.99500,-0.7996673061
241.99550,-1.410056122
241.99600,-2.325639345
241.99650,-2.325639345
241.99700,-1.104861714
241.99750,0.115915917
241.99800,0.115915917
241.99850,-0.1892784907
241.99900,-0.1892784907
241.99950,0.115915917
242.00000,0.4211103247
242.00050,-0.4944728984
242.00100,-2.020444937
242.00150,-1.410056122
242.00200,0.4211103247
242.00250,2.862665586
242.00300,4.083443217
242.00350,4.083443217
242.00400,3.473054402
242.00450,2.252276771
242.00500,1.03149914
242.00550,1.03149914
242.00600,2.557471179
242.00650,5.609415256
242.00700,8.356164925
242.00750,9.576942556
242.00800,7.74577611
242.00850,3.167859994
242.00900,-0.1892784907
242.00950,-0.4944728984
242.01000,1.641887955
242.01050,3.473054402
242.01100,3.167859994
242.01150,1.641887955
242.01200,0.7263047324
242.01250,1.03149914
242.01300,1.336693548
242.01350,1.336693548
242.01400,1.03149914
242.01450,0.4211103247
242.01500,0.7263047324
242.01550,1.336693548
242.01600,1.947082363
242.01650,1.641887955
242.01700,1.641887955
242.01750,2.557471179
242.01800,3.778248809
242.01850,4.388637625
242.01900,4.693832032
242.01950,5.914609663
242.02000,7.135387294
242.02050,7.135387294
242.02100,6.219804071
242.02150,5.914609663
242.02200,6.219804071
242.02250,5.914609663
242.02300,4.083443217
242.02350,2.862665586
242.02400,3.473054402
242.02450,4.388637625
242.02500,3.167859994
242.02550,0.4211103247
242.02600,-1.715250529
242.02650,-3.241222568
242.02700,-4.156805791
242.02750,-4.462000199
242.02800,-4.767194606
242.02850,-5.072389014
242.02900,-5.682777829
242.02950,-5.377583422
242.03000,-4.767194606
242.03050,-4.767194606
242.03100,-4.767194606
242.03150,-3.851611383
242.03200,-2.020444937
242.03250,-0.1892784907
242.03300,-0.1892784907
242.03350,-0.4944728984
242.03400,-1.104861714
242.03450,-1.104861714
242.03500,-0.7996673061
242.03550,0.115915917
242.03600,1.641887955
242.03650,2.862665586
242.03700,3.778248809
242.03750,4.693832032
242.03800,5.609415256
242.03850,5.609415256
242.03900,4.693832032
242.03950,4.388637625
242.04000,5.609415256
242.04050,5.914609663
242.04100,4.693832032
242.04150,3.778248809
242.04200,4.083443217
242.04250,4.083443217
242.04300,1.947082363
242.04350,-0.4944728984
242.04400,-1.410056122
242.04450,-0.7996673061
242.04500,0.115915917
242.04550,-0.7996673061
242.04600,-2.630833752
242.04650,-4.462000199
242.04700,-5.072389014
242.04750,-4.156805791
242.04800,-2.93602816
242.04850,-2.020444937
242.04900,-2.630833752
242.04950,-2.93602816
242.05000,-2.325639345
242.05050,-1.715250529
242.05100,-1.410056122
242.05150,-1.715250529
242.05200,-1.410056122
242.05250,-0.7996673061
242.05300,0.115915917
242.05350,0.7263047324
242.05400,0.7263047324
242.05450,0.4211103247
242.05500,0.4211103247
242.05550,1.641887955
242.05600,2.252276771
242.05650,0.115915917
242.05700,-2.93602816
242.05750,-4.156805791
242.05800,-2.325639345
242.05850,-0.1892784907
242.05900,0.115915917
242.05950,0.7263047324
242.06000,2.557471179
242.06050,4.388637625
242.06100,3.473054402
242.06150,0.7263047324
242.06200,-1.104861714
242.06250,-2.020444937
242.06300,-2.630833752
242.06350,-3.241222568
242.06400,-2.020444937
242.06450,0.4211103247
242.06500,0.4211103247
242.06550,-3.241222568
242.06600,-9.039916314
242.06650,-13.31263802
242.06700,-13.92302684
242.06750,-12.3970548
242.06800,-9.345110722
242.06850,-5.987972237
242.06900,-3.241222568
242.06950,-2.020444937
242.07000,-1.104861714
242.07050,-0.1892784907
242.07100,0.4211103247
242.07150,1.947082363
242.07200,3.778248809
242.07250,4.693832032
242.07300,2.557471179
242.07350,-0.1892784907
242.07400,-0.4944728984
242.07450,2.252276771
242.07500,4.388637625
242.07550,3.167859994
242.07600,1.336693548
242.07650,2.252276771
242.07700,2.862665586
242.07750,0.4211103247
242.07800,-2.325639345
242.07850,0.115915917
242.07900,5.914609663
242.07950,7.74577611
242.08000,2.252276771
242.08050,-5.682777829
242.08100,-11.17627717
242.08150,-14.83861006
242.08200,-18.80613736
242.08250,-21.55288703
242.08300,-20.02691499
242.08350,-15.14380447
242.08400,-11.17627717
242.08450,-9.650305129
242.08500,-8.124333091
242.08550,-5.377583422
242.08600,-2.93602816
242.08650,-2.020444937
242.08700,-1.104861714
242.08750,0.115915917
242.08800,2.557471179
242.08850,3.473054402
242.08900,3.778248809
242.08950,4.693832032
242.09000,5.609415256
242.09050,5.304220848
242.09100,4.083443217
242.09150,3.778248809
242.09200,5.609415256
242.09250,7.74577611
242.09300,7.74577611
242.09350,5.304220848
242.09400,3.778248809
242.09450,4.388637625
242.09500,6.219804071
242.09550,7.440581702
242.09600,8.050970517
242.09650,8.356164925
242.09700,7.74577611
242.09750,6.219804071
242.09800,4.693832032
242.09850,4.388637625
242.09900,4.693832032
242.09950,4.693832032
242.10000,3.473054402
242.10050,2.557471179
242.10100,2.557471179
242.10150,2.862665586
242.10200,3.473054402
242.10250,3.778248809
242.10300,4.083443217
242.10350,3.778248809
242.10400,3.473054402
242.10450,3.778248809
242.10500,4.083443217
242.10550,3.778248809
242.10600,3.167859994
242.10650,2.557471179
242.10700,2.557471179
242.10750,2.862665586
242.10800,2.557471179
242.10850,1.947082363
242.10900,1.336693548
242.10950,1.03149914
242.11000,1.03149914
242.11050,0.7263047324
242.11100,1.03149914
242.11150,1.641887955
242.11200,2.557471179
242.11250,1.947082363
242.11300,1.03149914
242.11350,0.7263047324
242.11400,1.336693548
242.11450,1.947082363
242.11500,1.641887955
242.11550,0.7263047324
242.11600,0.115915917
242.11650,0.115915917
242.11700,0.115915917
242.11750,-0.7996673061
242.11800,-0.4944728984
242.11850,0.4211103247
242.11900,0.4211103247
242.11950,-1.715250529
242.12000,-4.767194606
242.12050,-5.987972237
242.12100,-5.072389014
242.12150,-3.851611383
242.12200,-3.546416975
242.12250,-4.156805791
242.12300,-4.767194606
242.12350,-4.462000199
242.12400,-3.546416975
242.12450,-2.630833752
242.12500,-2.630833752
242.12550,-2.630833752
242.12600,-1.410056122
242.12650,0.115915917
242.12700,1.03149914
242.12750,1.03149914
242.12800,0.7263047324
242.12850,1.03149914
242.12900,1.336693548
242.12950,1.641887955
242.13000,2.252276771
242.13050,4.083443217
242.13100,5.914609663
242.13150,5.914609663
242.13200,3.778248809
242.13250,1.336693548
242.13300,0.7263047324
242.13350,0.7263047324
242.13400,0.115915917
242.13450,-0.1892784907
242.13500,0.115915917
242.13550,1.03149914
242.13600,2.252276771
242.13650,2.557471179
242.13700,1.641887955
242.13750,1.641887955
242.13800,2.252276771
242.13850,2.862665586
242.13900,2.557471179
242.13950,2.252276771
242.14000,2.252276771
242.14050,3.167859994
242.14100,3.473054402
242.14150,2.557471179
242.14200,0.7263047324
242.14250,0.4211103247
242.14300,0.7263047324
242.14350,0.4211103247
242.14400,-0.4944728984
242.14450,-1.410056122
242.14500,-1.410056122
242.14550,-1.715250529
242.14600,-3.241222568
242.14650,-5.072389014
242.14700,-5.682777829
242.14750,-5.072389014
242.14800,-5.072389014
242.14850,-5.682777829
242.14900,-6.293166645
242.14950,-5.987972237
242.15000,-5.987972237
242.15050,-5.987972237
242.15100,-5.682777829
242.15150,-4.462000199
242.15200,-3.851611383
242.15250,-5.072389014
242.15300,-5.682777829
242.15350,-4.767194606
242.15400,-2.630833752
242.15450,-1.410056122
242.15500,-1.104861714
242.15550,0.115915917
242.15600,2.862665586
242.15650,4.99902644
242.15700,4.99902644
242.15750,3.778248809
242.15800,2.862665586
242.15850,2.252276771
242.15900,1.947082363
242.15950,1.641887955
