"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",241.92000,2000,22000,"uV"

"time","value"
241.92000,-4.71442236
241.92050,-4.104033544
241.92100,-2.883255914
241.92150,-1.052089467
241.92200,0.7790769788
241.92250,1.99985461
241.92300,1.99985461
241.92350,1.694660202
241.92400,2.305049017
241.92450,3.525826648
241.92500,3.831021056
241.92550,3.831021056
241.92600,3.525826648
241.92650,3.525826648
241.92700,3.22063224
241.92750,2.610243425
241.92800,2.610243425
241.92850,3.22063224
241.92900,3.525826648
241.92950,2.915437833
241.93000,1.99985461
241.93050,1.389465794
241.93100,1.389465794
241.93150,0.7790769788
241.93200,-0.441700652
241.93250,-2.272867098
241.93300,-3.188450321
241.93350,-3.798839137
241.93400,-3.798839137
241.93450,-4.409227952
241.93500,-5.630005583
241.93550,-6.240394398
241.93600,-5.935199991
241.93650,-4.71442236
241.93700,-3.493644729
241.93750,-3.798839137
241.93800,-4.104033544
241.93850,-3.798839137
241.93900,-1.967672691
241.93950,-0.1365062443
241.94000,-0.1365062443
241.94050,-0.1365062443
241.94100,0.1686881634
241.94150,2.610243425
241.94200,3.831021056
241.94250,3.831021056
241.94300,3.831021056
241.94350,5.356993094
241.94400,6.577770725
241.94450,5.96738191
241.94500,5.356993094
241.94550,6.272576317
241.94600,7.493353948
241.94650,6.882965133
241.94700,5.662187502
241.94750,5.96738191
241.94800,6.577770725
241.94850,5.051798687
241.94900,1.694660202
241.94950,-0.1365062443
241.95000,-0.7468950597
241.95050,-2.578061506
241.95100,-5.630005583
241.95150,-6.545588806
241.95200,-4.71442236
241.95250,-3.493644729
241.95300,-4.71442236
241.95350,-4.409227952
241.95400,-0.7468950597
241.95450,2.915437833
241.95500,3.831021056
241.95550,-0.1365062443
241.95600,-8.68194966
241.95650,-19.97414274
241.95700,-27.60400294
241.95750,-28.21439175
241.95800,-27.29880853
241.95850,-33.09750228
241.95900,-39.50658484
241.95950,-27.60400294
241.96000,9.629714802
241.96050,52.66212629
241.96100,72.19456838
241.96150,62.73354174
241.96200,41.98032202
241.96250,27.02579604
241.96300,20.61671348
241.96350,18.78554703
241.96400,18.17515822
241.96450,15.73360296
241.96500,8.103742764
241.96550,-1.967672691
241.96600,-8.071560845
241.96650,-6.240394398
241.96700,-1.052089467
241.96750,1.084271386
241.96800,1.99985461
241.96850,6.272576317
241.96900,13.90243651
241.96950,19.09074144
241.97000,17.5647694
241.97050,10.85049243
241.97100,3.22063224
241.97150,-0.7468950597
241.97200,-3.188450321
241.97250,-5.019616768
241.97300,-7.155977621
241.97350,-8.987144068
241.97400,-9.597532883
241.97450,-11.12350492
241.97500,-12.95467137
241.97550,-13.87025459
241.97600,-12.95467137
241.97650,-11.73389374
241.97700,-11.73389374
241.97750,-11.12350492
241.97800,-8.68194966
241.97850,-5.630005583
241.97900,-5.019616768
241.97950,-6.240394398
241.98000,-6.545588806
241.98050,-5.324811175
241.98100,-2.883255914
241.98150,-0.441700652
241.98200,0.4738825711
241.98250,-0.1365062443
241.98300,-3.798839137
241.98350,-6.850783214
241.98400,-6.545588806
241.98450,-3.493644729
241.98500,-1.357283875
241.98550,-0.1365062443
241.98600,1.084271386
241.98650,2.915437833
241.98700,2.610243425
241.98750,0.4738825711
241.98800,-0.1365062443
241.98850,0.7790769788
241.98900,0.7790769788
241.98950,-1.357283875
241.99000,-4.104033544
241.99050,-5.019616768
241.99100,-4.71442236
241.99150,-4.71442236
241.99200,-5.324811175
241.99250,-6.545588806
241.99300,-8.68194966
241.99350,-8.68194966
241.99400,-4.409227952
241.99450,3.22063224
241.99500,8.714131579
241.99550,7.798548356
241.99600,3.525826648
241.99650,1.389465794
241.99700,1.99985461
241.99750,1.99985461
241.99800,0.4738825711
241.99850,0.1686881634
241.99900,1.389465794
241.99950,-0.441700652
242.00000,-8.376755252
242.00050,-16.00661544
242.00100,-16.00661544
242.00150,-9.292338475
242.00200,-3.798839137
242.00250,-4.104033544
242.00300,-5.630005583
242.00350,-3.798839137
242.00400,-1.967672691
242.00450,-3.188450321
242.00500,-4.409227952
242.00550,-2.883255914
242.00600,-1.662478283
242.00650,-5.019616768
242.00700,-6.850783214
242.00750,3.525826648
