"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",263.92000,2000,22000,"uV"

"time","value"
263.92000,-2.261122986
263.92050,-6.839039101
263.92100,-12.94292726
263.92150,-14.16370489
263.92200,-8.36501114
263.92250,-0.7351509471
263.92300,2.621987538
263.92350,2.31679313
263.92400,1.706404315
263.92450,2.621987538
263.92500,2.927181945
263.92550,2.011598722
263.92600,1.401209907
263.92650,1.706404315
263.92700,2.011598722
263.92750,0.7908210914
263.92800,-1.040345355
263.92850,-3.481900616
263.92900,-4.39748384
263.92950,-2.871511801
263.93000,-0.4299565394
263.93050,1.401209907
263.93100,2.011598722
263.93150,1.401209907
263.93200,1.096015499
263.93250,0.7908210914
263.93300,0.4856266837
263.93350,0.4856266837
263.93400,0.4856266837
263.93450,0.4856266837
263.93500,0.180432276
263.93550,0.180432276
263.93600,-0.1247621317
263.93650,-0.1247621317
263.93700,0.7908210914
263.93750,2.31679313
263.93800,2.927181945
263.93850,2.31679313
263.93900,1.096015499
263.93950,0.4856266837
263.94000,0.7908210914
263.94050,1.401209907
263.94100,2.011598722
263.94150,2.31679313
263.94200,2.927181945
263.94250,3.537570761
263.94300,5.063542799
263.94350,6.589514838
263.94400,6.28432043
263.94450,4.147959576
263.94500,2.31679313
263.94550,2.621987538
263.94600,4.758348392
263.94650,7.199903653
263.94700,9.031070099
263.94750,9.946653322
263.94800,8.420681284
263.94850,5.673931615
263.94900,4.147959576
263.94950,3.842765168
263.95000,2.011598722
263.95050,-3.787095024
263.95100,-10.50137199
263.95150,-12.33253844
263.95200,-8.36501114
263.95250,-3.176706209
263.95300,-1.040345355
263.95350,-0.1247621317
263.95400,1.401209907
263.95450,3.537570761
263.95500,4.758348392
263.95550,4.147959576
263.95600,3.232376353
263.95650,2.927181945
263.95700,3.537570761
263.95750,4.147959576
263.95800,4.453153984
263.95850,4.147959576
263.95900,3.842765168
263.95950,3.232376353
263.96000,1.401209907
263.96050,-0.1247621317
263.96100,-0.4299565394
263.96150,0.7908210914
263.96200,1.706404315
263.96250,1.096015499
263.96300,-0.1247621317
263.96350,-0.7351509471
263.96400,-1.955928578
263.96450,-3.176706209
263.96500,-3.481900616
263.96550,-2.566317393
263.96600,-1.955928578
263.96650,-2.261122986
263.96700,-1.65073417
263.96750,0.180432276
263.96800,1.706404315
263.96850,1.401209907
263.96900,0.4856266837
263.96950,0.4856266837
263.97000,0.4856266837
263.97050,-0.4299565394
263.97100,-1.345539762
263.97150,-0.4299565394
263.97200,0.4856266837
263.97250,0.180432276
263.97300,-0.4299565394
263.97350,-0.1247621317
263.97400,0.180432276
263.97450,-0.4299565394
263.97500,-1.955928578
263.97550,-1.65073417
263.97600,0.180432276
263.97650,0.7908210914
263.97700,-0.7351509471
263.97750,-2.871511801
263.97800,-2.261122986
263.97850,-0.1247621317
263.97900,0.7908210914
263.97950,-0.1247621317
263.98000,-0.7351509471
