"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",274.92000,2000,22000,"uV"

"time","value"
274.92000,-8.46689513
274.92050,-7.551311907
274.92100,-8.772089538
274.92150,-9.687672761
274.92200,-9.077283945
274.92250,-9.382478353
274.92300,-11.51883921
274.92350,-13.04481125
274.92400,-12.43442243
274.92450,-10.60325598
274.92500,-8.161700722
274.92550,-3.888979014
274.92600,2.520103547
274.92650,8.929186109
274.92700,11.37074137
274.92750,8.929186109
274.92800,4.961658809
274.92850,2.520103547
274.92900,2.520103547
274.92950,4.046075586
274.93000,5.266853217
274.93050,5.877242032
274.93100,6.18243644
274.93150,7.098019663
274.93200,7.708408478
274.93250,7.708408478
274.93300,6.487630848
274.93350,5.266853217
274.93400,3.435686771
274.93450,1.604520324
274.93500,0.07854828584
274.93550,-0.8370349373
274.93600,-1.75261816
274.93650,-2.973395791
274.93700,-4.194173422
274.93750,-5.414951053
274.93800,-7.246117499
274.93850,-8.772089538
274.93900,-9.382478353
274.93950,-9.687672761
274.94000,-10.60325598
274.94050,-11.82403361
274.94100,-11.82403361
274.94150,-10.60325598
274.94200,-9.992867168
274.94250,-9.382478353
274.94300,-6.940923091
274.94350,-3.583784607
274.94400,-1.447423753
274.94450,-0.2266461219
274.94500,1.909714732
274.94550,5.572047624
274.94600,7.098019663
274.94650,6.487630848
274.94700,7.403214071
274.94750,11.06554696
274.94800,12.89671341
274.94850,10.76035256
274.94900,7.708408478
274.94950,6.792825255
274.95000,6.792825255
274.95050,7.098019663
274.95100,9.539574925
274.95150,14.42268545
274.95200,17.77982393
274.95250,13.81229663
274.95300,5.266853217
274.95350,-0.8370349373
274.95400,-0.2266461219
274.95450,4.046075586
274.95500,8.318797294
274.95550,11.67593578
274.95600,15.33826867
274.95650,19.30579597
274.95700,21.74735123
274.95750,18.69540716
274.95800,7.708408478
274.95850,-8.46689513
274.95900,-23.1162267
274.95950,-26.47336518
274.96000,-17.62272736
274.96050,-4.804562237
274.96100,0.3837426935
274.96150,-4.194173422
274.96200,-12.73961684
274.96250,-18.53831058
274.96300,-20.97986585
274.96350,-18.84350499
274.96400,-7.246117499
274.96450,12.28632459
274.96500,25.10448972
274.96550,16.5590463
274.96600,-5.72014546
274.96650,-18.84350499
274.96700,-9.382478353
274.96750,10.45515815
274.96800,22.66293446
274.96850,20.22137919
274.96900,10.76035256
274.96950,-0.8370349373
274.97000,-13.65520006
274.97050,-24.03180992
274.97100,-27.38894841
274.97150,-23.42142111
274.97200,-14.87597769
274.97250,-6.330534276
274.97300,-1.75261816
274.97350,-3.278590199
274.97400,-7.551311907
274.97450,-6.940923091
274.97500,-0.2266461219
274.97550,5.877242032
274.97600,5.572047624
274.97650,1.604520324
274.97700,-1.447423753
274.97750,-3.583784607
274.97800,-5.109756645
274.97850,-3.888979014
274.97900,-1.142229345
274.97950,-2.668201383
274.98000,-11.2136448
274.98050,-18.84350499
274.98100,-17.62272736
274.98150,-9.382478353
274.98200,-3.583784607
274.98250,-2.973395791
