"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",274.92000,2000,22000,"uV"

"time","value"
274.92000,2.682538352
274.92050,0.5461774982
274.92100,-0.06421131716
274.92150,-0.06421131716
274.92200,-0.06421131716
274.92250,-1.284988948
274.92300,-2.810960986
274.92350,-2.810960986
274.92400,-1.590183356
274.92450,-0.9797945403
274.92500,-0.9797945403
274.92550,-0.9797945403
274.92600,-0.3694057249
274.92650,-0.6746001326
274.92700,-1.284988948
274.92750,-0.9797945403
274.92800,0.2409830905
274.92850,0.8513719059
274.92900,0.2409830905
274.92950,-0.3694057249
274.93000,-0.3694057249
274.93050,0.2409830905
274.93100,0.5461774982
274.93150,0.2409830905
274.93200,-0.06421131716
274.93250,-0.06421131716
274.93300,-0.3694057249
274.93350,-0.06421131716
274.93400,1.156566314
274.93450,2.98773276
274.93500,3.598121575
274.93550,3.598121575
274.93600,3.598121575
274.93650,3.598121575
274.93700,3.903315983
274.93750,3.903315983
274.93800,3.903315983
274.93850,3.598121575
274.93900,2.377343944
274.93950,0.8513719059
274.94000,0.2409830905
274.94050,-0.06421131716
274.94100,-1.284988948
274.94150,-2.810960986
274.94200,-3.421349802
274.94250,-2.810960986
274.94300,-2.810960986
274.94350,-4.336933025
274.94400,-5.862905063
274.94450,-5.557710656
274.94500,-4.336933025
274.94550,-4.031738617
274.94600,-4.94732184
274.94650,-4.642127433
274.94700,-3.72654421
274.94750,-4.031738617
274.94800,-5.252516248
274.94850,-5.862905063
274.94900,-4.642127433
274.94950,-2.810960986
274.95000,-2.200572171
274.95050,-3.421349802
274.95100,-4.031738617
274.95150,-2.200572171
274.95200,0.2409830905
274.95250,2.072149537
274.95300,2.377343944
274.95350,1.766955129
274.95400,1.766955129
274.95450,1.766955129
274.95500,1.156566314
274.95550,-0.06421131716
274.95600,0.5461774982
274.95650,2.98773276
274.95700,4.818899206
274.95750,4.208510391
274.95800,2.072149537
274.95850,0.2409830905
274.95900,-0.06421131716
