time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
296.92,3.167859994,3.435686771,-1.040345355,7.565648875,-2.578061506
296.9205,0.115915917,0.07854828584,-1.65073417,5.124093614,-3.493644729
296.921,-3.546416975,-2.973395791,-0.1247621317,0.2409830905,-2.883255914
296.9215,-5.377583422,-4.49936783,1.096015499,-1.895377763,-1.357283875
296.922,-5.377583422,-5.72014546,1.401209907,-0.6746001326,-1.357283875
296.9225,-4.767194606,-6.940923091,0.4856266837,0.2409830905,-3.798839137
296.923,-4.156805791,-8.161700722,-0.1247621317,0.2409830905,-6.850783214
296.9235,-2.93602816,-8.46689513,-0.7351509471,-0.06421131716,-8.68194966
296.924,-1.715250529,-8.161700722,-2.566317393,-0.06421131716,-9.597532883
296.9245,-1.410056122,-8.161700722,-3.176706209,-0.06421131716,-9.597532883
296.925,-2.325639345,-7.856506314,-1.955928578,-0.6746001326,-8.987144068
296.9255,-3.546416975,-6.940923091,-0.4299565394,-1.284988948,-7.766366437
296.926,-5.072389014,-6.330534276,-0.1247621317,-1.895377763,-7.155977621
296.9265,-4.462000199,-6.330534276,-0.1247621317,-3.116155394,-6.545588806
296.927,-1.104861714,-5.72014546,0.4856266837,-3.72654421,-5.935199991
296.9275,3.167859994,-4.804562237,2.011598722,-2.505766579,-5.324811175
296.928,8.050970517,-4.49936783,3.842765168,-0.3694057249,-6.240394398
296.9285,13.84966426,-4.804562237,5.063542799,-0.6746001326,-6.850783214
296.929,23.61588531,-4.804562237,5.368737207,-3.421349802,-5.019616768
296.9295,34.90807839,-2.057812568,5.368737207,-4.642127433,-0.7468950597
296.93,39.1808001,1.909714732,5.368737207,-3.72654421,2.610243425
296.9305,32.16132873,5.572047624,5.368737207,-2.810960986,3.831021056
296.931,19.3431636,7.403214071,5.063542799,-3.116155394,4.746604279
296.9315,8.96655374,8.318797294,3.232376353,-3.116155394,6.882965133
296.932,4.388637625,8.929186109,1.401209907,-2.200572171,9.019325987
296.9325,3.473054402,8.318797294,0.4856266837,-2.200572171,9.629714802
296.933,2.252276771,6.792825255,0.180432276,-4.031738617,9.324520394
296.9335,0.4211103247,6.18243644,0.7908210914,-4.642127433,9.93490921
296.934,-2.325639345,7.403214071,2.31679313,-2.200572171,10.54529803
296.9345,-5.682777829,9.234380517,5.063542799,0.8513719059,9.324520394
296.935,-7.208749868,9.844769332,7.199903653,1.156566314,8.103742764
296.9355,-5.377583422,8.929186109,6.589514838,-0.3694057249,8.103742764
296.936,-2.93602816,8.013602886,3.842765168,-0.9797945403,8.714131579
296.9365,-1.104861714,7.098019663,1.096015499,-0.06421131716,5.662187502
296.937,0.115915917,4.961658809,0.7908210914,0.8513719059,-0.1365062443
296.9375,1.641887955,1.909714732,2.31679313,1.156566314,-4.104033544
296.938,2.862665586,-0.8370349373,4.147959576,2.377343944,-3.493644729
296.9385,2.557471179,-1.75261816,4.758348392,4.513704798,-0.441700652
296.939,1.336693548,-1.447423753,3.842765168,5.734482429,0.7790769788
296.9395,1.947082363,-0.8370349373,2.621987538,4.513704798,0.1686881634
296.94,4.693832032,-0.5318405296,2.621987538,2.98773276,-0.7468950597
296.9405,6.524998479,-0.5318405296,2.621987538,2.682538352,-1.662478283
296.941,5.914609663,-0.5318405296,1.401209907,2.682538352,-3.493644729
296.9415,4.693832032,-1.142229345,-1.345539762,1.156566314,-5.630005583
296.942,4.083443217,-2.363006976,-3.176706209,-0.3694057249,-7.155977621
296.9425,3.167859994,-3.888979014,-2.261122986,-0.3694057249,-7.766366437
296.943,1.336693548,-5.72014546,-1.040345355,0.8513719059,-8.071560845
296.9435,-1.410056122,-7.856506314,-2.261122986,0.8513719059,-7.766366437
296.944,-5.072389014,-9.687672761,-4.39748384,-0.6746001326,-5.630005583
296.9445,-9.650305129,-10.29806158,-5.313067063,-2.505766579,-3.493644729
296.945,-14.53341565,-9.992867168,-3.787095024,-1.895377763,-2.578061506
296.9455,-17.58535973,-10.29806158,-2.566317393,0.2409830905,-1.967672691
296.946,-18.19574855,-10.60325598,-2.871511801,1.766955129,-0.1365062443
296.9465,-16.97497091,-9.687672761,-3.176706209,1.461760721,2.305049017
296.947,-14.22822125,-6.940923091,-2.871511801,-0.06421131716,3.22063224
296.9475,-11.17627717,-4.49936783,-2.261122986,-1.895377763,1.99985461
296.948,-8.429527499,-3.888979014,-1.955928578,-3.421349802,0.7790769788
296.9485,-6.598361052,-4.194173422,-2.261122986,-4.642127433,1.694660202
296.949,-5.072389014,-3.278590199,-2.566317393,-5.862905063,3.22063224
296.9495,-2.630833752,-1.142229345,-3.176706209,-6.473293879,3.525826648
296.95,-1.104861714,0.9941315089,-4.092289432,-7.083682694,3.525826648
296.9505,-0.7996673061,2.520103547,-4.092289432,-7.083682694,4.441409871
296.951,-1.104861714,3.740881178,-3.481900616,-6.473293879,5.662187502
296.9515,-1.104861714,4.351269994,-2.871511801,-5.862905063,6.272576317
296.952,-0.1892784907,4.656464401,-2.871511801,-6.168099471,5.96738191
296.9525,0.4211103247,5.266853217,-2.871511801,-7.388877102,5.356993094
296.953,0.4211103247,6.487630848,-3.176706209,-7.083682694,5.662187502
296.9535,0.115915917,7.098019663,-3.481900616,-5.557710656,6.577770725
296.954,-0.7996673061,6.792825255,-4.092289432,-4.336933025,7.493353948
296.9545,-1.410056122,5.572047624,-4.39748384,-4.642127433,7.798548356
296.955,-2.020444937,4.351269994,-3.787095024,-5.557710656,6.882965133
296.9555,-2.325639345,3.740881178,-3.481900616,-5.557710656,5.356993094
296.956,-2.630833752,4.961658809,-3.176706209,-4.336933025,4.136215463
296.9565,-2.325639345,7.403214071,-2.566317393,-2.200572171,3.22063224
296.957,-0.7996673061,8.623991701,-1.345539762,-0.3694057249,2.305049017
296.9575,1.336693548,6.792825255,-0.7351509471,-0.06421131716,1.084271386
296.958,3.167859994,4.046075586,-0.1247621317,-0.6746001326,0.4738825711
296.9585,3.778248809,3.130492363,-0.1247621317,-0.9797945403,-0.441700652
296.959,3.778248809,4.046075586,-0.1247621317,-0.06421131716,-2.883255914
