"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",318.92000,2000,22000,"uV"

"time","value"
318.92000,3.842765168
318.92050,3.232376353
318.92100,2.31679313
318.92150,1.706404315
318.92200,1.706404315
318.92250,2.621987538
318.92300,3.842765168
318.92350,3.842765168
318.92400,2.927181945
318.92450,1.401209907
318.92500,0.180432276
318.92550,-0.1247621317
318.92600,-0.1247621317
318.92650,1.096015499
318.92700,2.011598722
318.92750,1.401209907
318.92800,0.180432276
318.92850,-0.1247621317
318.92900,-0.1247621317
318.92950,-0.1247621317
318.93000,-1.040345355
318.93050,-0.7351509471
318.93100,0.4856266837
318.93150,1.096015499
318.93200,-0.1247621317
318.93250,-1.65073417
318.93300,-2.566317393
318.93350,-3.176706209
318.93400,-4.39748384
318.93450,-5.007872655
318.93500,-3.787095024
318.93550,-1.345539762
318.93600,-0.1247621317
318.93650,-0.1247621317
318.93700,-0.4299565394
318.93750,-0.7351509471
318.93800,-1.65073417
318.93850,-2.261122986
318.93900,-2.261122986
318.93950,-2.566317393
318.94000,-3.176706209
318.94050,-4.092289432
318.94100,-3.481900616
318.94150,-2.566317393
318.94200,-2.261122986
318.94250,-2.566317393
318.94300,-1.955928578
318.94350,-1.040345355
318.94400,-1.345539762
318.94450,-1.955928578
318.94500,-1.345539762
318.94550,0.180432276
318.94600,1.096015499
318.94650,0.4856266837
318.94700,0.4856266837
318.94750,1.401209907
318.94800,1.401209907
318.94850,0.4856266837
318.94900,0.180432276
318.94950,0.7908210914
318.95000,1.096015499
318.95050,-0.1247621317
318.95100,-1.65073417
318.95150,-1.65073417
318.95200,-1.65073417
318.95250,-2.871511801
318.95300,-3.481900616
318.95350,-2.261122986
318.95400,-0.7351509471
318.95450,-1.345539762
318.95500,-3.481900616
318.95550,-3.787095024
318.95600,-2.566317393
318.95650,-1.955928578
318.95700,-3.481900616
318.95750,-4.702678247
318.95800,-3.176706209
318.95850,-1.040345355
318.95900,-0.1247621317
318.95950,-1.040345355
318.96000,-1.345539762
318.96050,-0.4299565394
318.96100,0.4856266837
318.96150,1.401209907
318.96200,1.401209907
318.96250,2.011598722
318.96300,2.927181945
318.96350,3.537570761
318.96400,2.927181945
318.96450,2.011598722
318.96500,1.706404315
318.96550,1.706404315
318.96600,1.401209907
318.96650,0.4856266837
318.96700,-0.1247621317
318.96750,0.180432276
318.96800,0.4856266837
318.96850,0.180432276
318.96900,-0.4299565394
318.96950,-1.040345355
318.97000,-1.345539762
318.97050,-1.65073417
318.97100,-1.65073417
