"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",318.92000,2000,22000,"uV"

"time","value"
318.92000,9.019325987
318.92050,6.577770725
318.92100,4.136215463
318.92150,2.305049017
318.92200,1.389465794
318.92250,3.22063224
318.92300,5.96738191
318.92350,6.882965133
318.92400,5.662187502
318.92450,3.831021056
318.92500,0.7790769788
318.92550,-4.104033544
318.92600,-9.902727291
318.92650,-12.64947696
318.92700,-13.25986578
318.92750,-13.87025459
318.92800,-14.48064341
318.92850,-12.95467137
318.92900,-10.51311611
318.92950,-9.597532883
318.93000,-8.68194966
318.93050,-2.883255914
318.93100,7.188159541
318.93150,12.98685329
318.93200,7.798548356
318.93250,-2.883255914
318.93300,-8.987144068
318.93350,-7.461172029
318.93400,-4.104033544
318.93450,-4.409227952
318.93500,-5.324811175
318.93550,-1.967672691
318.93600,5.051798687
318.93650,10.54529803
318.93700,10.54529803
318.93750,5.96738191
318.93800,1.99985461
318.93850,1.694660202
318.93900,3.831021056
318.93950,5.662187502
318.94000,6.882965133
318.94050,7.798548356
318.94100,8.103742764
318.94150,7.188159541
318.94200,5.96738191
318.94250,5.662187502
318.94300,6.272576317
318.94350,5.662187502
318.94400,3.831021056
318.94450,2.305049017
318.94500,1.389465794
318.94550,0.7790769788
318.94600,0.4738825711
318.94650,0.4738825711
318.94700,0.4738825711
318.94750,-0.441700652
318.94800,-3.188450321
318.94850,-5.630005583
318.94900,-5.935199991
318.94950,-5.935199991
318.95000,-8.376755252
318.95050,-12.34428255
318.95100,-14.48064341
318.95150,-13.87025459
318.95200,-11.73389374
318.95250,-11.12350492
318.95300,-10.81831051
318.95350,-10.2079217
318.95400,-8.987144068
318.95450,-8.376755252
318.95500,-7.461172029
318.95550,-5.019616768
318.95600,-1.967672691
318.95650,-0.7468950597
318.95700,-1.357283875
318.95750,-1.357283875
318.95800,0.4738825711
318.95850,4.136215463
318.95900,6.272576317
318.95950,7.188159541
318.96000,7.493353948
318.96050,7.798548356
318.96100,7.798548356
318.96150,7.188159541
318.96200,6.577770725
318.96250,5.662187502
318.96300,5.356993094
318.96350,5.662187502
318.96400,5.662187502
318.96450,4.746604279
318.96500,2.305049017
318.96550,0.1686881634
318.96600,-0.1365062443
318.96650,1.084271386
318.96700,1.694660202
318.96750,0.1686881634
318.96800,-1.357283875
318.96850,-2.578061506
318.96900,-3.493644729
318.96950,-5.630005583
318.97000,-8.376755252
318.97050,-9.597532883
318.97100,-8.376755252
318.97150,-7.155977621
318.97200,-7.766366437
318.97250,-8.376755252
318.97300,-7.461172029
318.97350,-5.324811175
318.97400,-4.409227952
318.97450,-5.019616768
318.97500,-4.409227952
318.97550,-2.578061506
318.97600,-1.052089467
318.97650,-0.1365062443
318.97700,1.389465794
318.97750,3.831021056
318.97800,5.96738191
318.97850,7.493353948
318.97900,8.714131579
318.97950,10.24010362
318.98000,10.85049243
318.98050,10.54529803
318.98100,10.24010362
318.98150,10.54529803
318.98200,9.93490921
318.98250,8.408937171
318.98300,6.882965133
318.98350,6.272576317
318.98400,5.96738191
318.98450,4.746604279
318.98500,3.525826648
318.98550,2.610243425
318.98600,1.694660202
318.98650,1.084271386
318.98700,0.7790769788
318.98750,1.084271386
318.98800,0.7790769788
318.98850,-0.1365062443
318.98900,-1.052089467
318.98950,-1.662478283
318.99000,-1.967672691
318.99050,-3.493644729
318.99100,-5.019616768
318.99150,-5.324811175
318.99200,-5.630005583
318.99250,-5.935199991
318.99300,-6.545588806
318.99350,-5.935199991
318.99400,-5.630005583
318.99450,-6.240394398
318.99500,-6.850783214
318.99550,-6.545588806
318.99600,-5.019616768
318.99650,-3.493644729
318.99700,-2.578061506
318.99750,-1.357283875
318.99800,0.4738825711
318.99850,2.915437833
318.99900,4.746604279
318.99950,6.272576317
319.00000,6.882965133
319.00050,7.188159541
319.00100,6.577770725
319.00150,5.96738191
319.00200,5.356993094
319.00250,5.051798687
319.00300,5.356993094
319.00350,5.356993094
319.00400,4.441409871
319.00450,2.610243425
319.00500,1.084271386
319.00550,-0.1365062443
319.00600,-0.1365062443
319.00650,-0.7468950597
319.00700,-1.357283875
319.00750,-2.272867098
319.00800,-2.883255914
319.00850,-4.104033544
319.00900,-6.240394398
319.00950,-8.68194966
319.01000,-10.2079217
319.01050,-9.902727291
319.01100,-8.987144068
319.01150,-8.987144068
319.01200,-8.376755252
319.01250,-7.155977621
319.01300,-5.324811175
319.01350,-4.71442236
319.01400,-4.71442236
319.01450,-4.104033544
319.01500,-2.578061506
319.01550,-1.662478283
319.01600,-1.357283875
319.01650,-0.7468950597
319.01700,0.1686881634
319.01750,1.389465794
319.01800,1.99985461
319.01850,2.915437833
319.01900,4.746604279
319.01950,5.96738191
319.02000,5.96738191
319.02050,5.356993094
319.02100,5.356993094
319.02150,5.96738191
319.02200,5.96738191
319.02250,5.356993094
319.02300,5.051798687
319.02350,5.356993094
319.02400,5.96738191
319.02450,6.272576317
319.02500,6.577770725
319.02550,5.96738191
319.02600,4.441409871
319.02650,2.915437833
319.02700,1.694660202
319.02750,-0.1365062443
319.02800,-3.188450321
319.02850,-5.630005583
319.02900,-5.324811175
319.02950,-3.188450321
319.03000,-3.798839137
319.03050,-8.071560845
319.03100,-12.95467137
319.03150,-14.175449
319.03200,-11.73389374
319.03250,-8.68194966
319.03300,-6.545588806
319.03350,-5.324811175
319.03400,-4.409227952
319.03450,-2.578061506
319.03500,-0.1365062443
319.03550,2.305049017
319.03600,2.610243425
319.03650,1.084271386
319.03700,-0.1365062443
319.03750,0.7790769788
319.03800,3.22063224
319.03850,4.441409871
319.03900,4.746604279
319.03950,5.051798687
319.04000,6.272576317
319.04050,6.577770725
319.04100,6.272576317
319.04150,6.882965133
319.04200,8.103742764
319.04250,8.103742764
319.04300,6.272576317
319.04350,4.441409871
319.04400,3.525826648
319.04450,3.525826648
319.04500,2.305049017
319.04550,1.389465794
319.04600,1.084271386
319.04650,0.7790769788
319.04700,-1.052089467
319.04750,-4.409227952
319.04800,-7.461172029
319.04850,-8.987144068
319.04900,-9.902727291
319.04950,-11.12350492
319.05000,-12.03908814
319.05050,-11.42869933
319.05100,-9.597532883
319.05150,-7.766366437
319.05200,-7.766366437
319.05250,-8.376755252
319.05300,-8.376755252
319.05350,-6.850783214
319.05400,-5.019616768
319.05450,-4.104033544
319.05500,-3.493644729
319.05550,-2.272867098
319.05600,-0.1365062443
319.05650,1.084271386
319.05700,2.305049017
319.05750,4.441409871
319.05800,7.188159541
319.05850,8.714131579
319.05900,8.408937171
319.05950,8.408937171
319.06000,9.019325987
319.06050,9.019325987
319.06100,8.408937171
319.06150,8.714131579
319.06200,10.24010362
319.06250,10.85049243
319.06300,9.019325987
319.06350,7.493353948
319.06400,7.188159541
319.06450,7.188159541
319.06500,5.356993094
319.06550,3.22063224
319.06600,3.22063224
319.06650,4.441409871
319.06700,3.831021056
319.06750,1.99985461
319.06800,0.4738825711
319.06850,-0.1365062443
319.06900,-1.052089467
319.06950,-2.272867098
319.07000,-2.883255914
319.07050,-3.798839137
319.07100,-5.630005583
319.07150,-6.545588806
319.07200,-5.935199991
319.07250,-4.71442236
319.07300,-4.71442236
319.07350,-4.71442236
319.07400,-3.798839137
319.07450,-2.883255914
319.07500,-3.188450321
319.07550,-2.883255914
319.07600,-1.052089467
