time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
318.92,-3.241222568,-13.04481125,3.842765168,-0.6746001326,9.019325987
318.9205,-4.156805791,-8.161700722,3.232376353,-0.06421131716,6.577770725
318.921,-4.156805791,-3.888979014,2.31679313,-0.06421131716,4.136215463
318.9215,-3.546416975,-0.8370349373,1.706404315,-0.06421131716,2.305049017
318.922,-3.241222568,0.07854828584,1.706404315,-0.06421131716,1.389465794
318.9225,-3.851611383,0.07854828584,2.621987538,-0.06421131716,3.22063224
318.923,-5.072389014,0.07854828584,3.842765168,-0.06421131716,5.96738191
318.9235,-4.462000199,-0.5318405296,3.842765168,0.5461774982,6.882965133
318.924,-2.630833752,-0.8370349373,2.927181945,2.377343944,5.662187502
318.9245,-2.325639345,-0.2266461219,1.401209907,3.598121575,3.831021056
318.925,-3.241222568,1.604520324,0.180432276,3.903315983,0.7790769788
318.9255,-2.93602816,4.046075586,-0.1247621317,3.292927168,-4.104033544
318.926,0.115915917,5.572047624,-0.1247621317,3.292927168,-9.902727291
318.9265,2.862665586,5.877242032,1.096015499,3.903315983,-12.64947696
318.927,3.473054402,4.961658809,2.011598722,4.513704798,-13.25986578
318.9275,2.862665586,4.351269994,1.401209907,4.818899206,-13.87025459
318.928,3.473054402,3.435686771,0.180432276,5.124093614,-14.48064341
318.9285,4.388637625,1.299325917,-0.1247621317,5.124093614,-12.95467137
318.929,3.778248809,-2.057812568,-0.1247621317,4.208510391,-10.51311611
318.9295,2.557471179,-5.109756645,-0.1247621317,2.682538352,-9.597532883
318.93,2.557471179,-5.72014546,-1.040345355,2.072149537,-8.68194966
318.9305,3.167859994,-4.49936783,-0.7351509471,2.682538352,-2.883255914
318.931,2.557471179,-4.194173422,0.4856266837,2.98773276,7.188159541
318.9315,1.336693548,-6.025339868,1.096015499,2.682538352,12.98685329
318.932,1.641887955,-9.077283945,-0.1247621317,2.377343944,7.798548356
318.9325,4.083443217,-10.60325598,-1.65073417,1.461760721,-2.883255914
318.933,5.914609663,-10.29806158,-2.566317393,0.2409830905,-8.987144068
318.9335,7.135387294,-11.51883921,-3.176706209,-1.284988948,-7.461172029
318.934,7.74577611,-15.79156091,-4.39748384,-2.505766579,-4.104033544
318.9345,8.050970517,-19.75908821,-5.007872655,-3.421349802,-4.409227952
318.935,6.524998479,-17.31753295,-3.787095024,-4.031738617,-5.324811175
318.9355,3.778248809,-8.161700722,-1.345539762,-4.336933025,-1.967672691
318.936,1.641887955,1.604520324,-0.1247621317,-3.116155394,5.051798687
318.9365,1.641887955,4.961658809,-0.1247621317,-1.895377763,10.54529803
318.937,2.252276771,2.520103547,-0.4299565394,-1.895377763,10.54529803
318.9375,1.947082363,-0.8370349373,-0.7351509471,-2.810960986,5.96738191
318.938,1.641887955,-2.973395791,-1.65073417,-3.72654421,1.99985461
