"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",329.92000,2000,22000,"uV"

"time","value"
329.92000,11.06554696
329.92050,12.28632459
329.92100,12.89671341
329.92150,11.98113019
329.92200,9.844769332
329.92250,8.318797294
329.92300,7.708408478
329.92350,6.792825255
329.92400,4.961658809
329.92450,3.435686771
329.92500,2.825297955
329.92550,1.604520324
329.92600,0.07854828584
329.92650,-0.8370349373
329.92700,-1.75261816
329.92750,-2.973395791
329.92800,-4.804562237
329.92850,-6.025339868
329.92900,-6.025339868
329.92950,-6.635728684
329.93000,-7.856506314
329.93050,-7.856506314
329.93100,-6.940923091
329.93150,-6.330534276
329.93200,-6.330534276
329.93250,-5.72014546
329.93300,-4.194173422
329.93350,-3.583784607
329.93400,-3.278590199
329.93450,-1.142229345
329.93500,2.520103547
329.93550,6.18243644
329.93600,7.708408478
329.93650,8.013602886
329.93700,8.013602886
329.93750,7.098019663
329.93800,6.18243644
329.93850,7.403214071
329.93900,10.45515815
329.93950,12.28632459
329.94000,11.67593578
329.94050,11.06554696
329.94100,11.98113019
329.94150,12.591519
329.94200,10.76035256
329.94250,7.708408478
329.94300,5.877242032
329.94350,5.266853217
329.94400,3.435686771
329.94450,0.9941315089
329.94500,-1.142229345
329.94550,-3.278590199
329.94600,-5.414951053
329.94650,-6.940923091
329.94700,-6.940923091
329.94750,-6.330534276
329.94800,-6.635728684
329.94850,-8.161700722
329.94900,-9.382478353
329.94950,-9.992867168
329.95000,-9.382478353
329.95050,-9.077283945
329.95100,-9.382478353
329.95150,-10.60325598
329.95200,-11.2136448
329.95250,-10.60325598
329.95300,-9.687672761
329.95350,-9.382478353
329.95400,-8.772089538
329.95450,-6.635728684
329.95500,-3.278590199
329.95550,-0.8370349373
329.95600,0.07854828584
329.95650,0.9941315089
329.95700,3.130492363
329.95750,5.877242032
329.95800,7.403214071
329.95850,7.708408478
329.95900,7.708408478
329.95950,7.708408478
329.96000,7.708408478
329.96050,8.623991701
329.96100,8.929186109
329.96150,8.318797294
329.96200,6.487630848
329.96250,4.961658809
329.96300,4.046075586
329.96350,2.520103547
329.96400,0.07854828584
329.96450,-1.75261816
329.96500,-1.75261816
329.96550,-1.75261816
329.96600,-3.583784607
329.96650,-6.330534276
329.96700,-7.246117499
329.96750,-6.940923091
329.96800,-7.246117499
329.96850,-9.077283945
329.96900,-9.992867168
329.96950,-9.687672761
329.97000,-9.992867168
329.97050,-11.2136448
329.97100,-11.51883921
329.97150,-10.60325598
329.97200,-9.687672761
329.97250,-9.992867168
329.97300,-9.992867168
329.97350,-8.161700722
329.97400,-5.72014546
329.97450,-3.583784607
329.97500,-2.057812568
329.97550,-0.5318405296
329.97600,0.9941315089
329.97650,2.520103547
329.97700,4.351269994
329.97750,6.18243644
329.97800,7.403214071
329.97850,7.098019663
329.97900,6.792825255
329.97950,6.792825255
329.98000,7.098019663
329.98050,7.098019663
329.98100,7.098019663
329.98150,7.098019663
329.98200,6.487630848
329.98250,4.351269994
329.98300,2.825297955
329.98350,2.520103547
329.98400,2.21490914
329.98450,0.9941315089
329.98500,-0.8370349373
329.98550,-2.363006976
329.98600,-2.668201383
329.98650,-2.668201383
329.98700,-3.888979014
329.98750,-6.025339868
329.98800,-8.46689513
329.98850,-10.60325598
329.98900,-12.43442243
329.98950,-13.04481125
329.99000,-13.65520006
329.99050,-13.96039447
329.99100,-13.35000565
329.99150,-11.82403361
329.99200,-10.60325598
329.99250,-10.29806158
329.99300,-9.992867168
329.99350,-8.772089538
329.99400,-6.330534276
329.99450,-3.888979014
329.99500,-2.057812568
329.99550,-0.2266461219
329.99600,1.604520324
329.99650,4.351269994
329.99700,6.487630848
329.99750,7.098019663
329.99800,6.487630848
329.99850,5.572047624
329.99900,6.487630848
329.99950,8.013602886
330.00000,9.539574925
330.00050,10.14996374
330.00100,11.06554696
330.00150,12.28632459
330.00200,12.89671341
330.00250,11.98113019
330.00300,10.45515815
330.00350,8.013602886
330.00400,4.656464401
330.00450,2.520103547
330.00500,2.520103547
330.00550,3.435686771
330.00600,2.520103547
330.00650,0.07854828584
330.00700,-2.057812568
330.00750,-2.057812568
330.00800,-1.75261816
330.00850,-3.888979014
330.00900,-6.635728684
330.00950,-6.635728684
330.01000,-4.804562237
330.01050,-4.194173422
330.01100,-6.025339868
330.01150,-7.856506314
330.01200,-7.856506314
330.01250,-6.330534276
330.01300,-5.109756645
330.01350,-4.194173422
330.01400,-3.278590199
330.01450,-2.363006976
330.01500,-1.447423753
330.01550,-0.2266461219
330.01600,1.299325917
330.01650,2.520103547
330.01700,3.435686771
330.01750,4.656464401
330.01800,6.18243644
330.01850,8.013602886
330.01900,9.234380517
330.01950,9.844769332
330.02000,10.45515815
330.02050,10.76035256
330.02100,11.06554696
330.02150,10.76035256
330.02200,10.45515815
330.02250,9.844769332
330.02300,9.234380517
330.02350,8.623991701
330.02400,7.098019663
330.02450,4.351269994
330.02500,1.909714732
330.02550,0.6889371012
330.02600,0.07854828584
330.02650,-1.75261816
330.02700,-3.888979014
330.02750,-4.804562237
330.02800,-5.109756645
330.02850,-6.635728684
330.02900,-8.46689513
330.02950,-9.077283945
