"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",373.92000,2000,22000,"uV"

"time","value"
373.92000,6.95526006
373.92050,6.650065652
373.92100,5.429288021
373.92150,3.292927168
373.92200,1.766955129
373.92250,1.461760721
373.92300,1.766955129
373.92350,1.766955129
373.92400,0.8513719059
373.92450,-0.06421131716
373.92500,-0.3694057249
373.92550,-0.6746001326
373.92600,-1.895377763
373.92650,-3.72654421
373.92700,-4.642127433
373.92750,-4.031738617
373.92800,-2.810960986
373.92850,-2.810960986
373.92900,-4.031738617
373.92950,-4.94732184
373.93000,-4.642127433
373.93050,-4.031738617
373.93100,-4.336933025
373.93150,-4.642127433
373.93200,-4.336933025
373.93250,-3.116155394
373.93300,-2.505766579
373.93350,-2.810960986
373.93400,-2.505766579
373.93450,-0.6746001326
373.93500,0.5461774982
373.93550,0.8513719059
373.93600,0.2409830905
373.93650,0.5461774982
373.93700,1.156566314
373.93750,1.461760721
373.93800,1.461760721
373.93850,2.072149537
373.93900,3.292927168
373.93950,2.98773276
373.94000,1.766955129
373.94050,1.461760721
373.94100,2.072149537
373.94150,2.682538352
373.94200,1.766955129
373.94250,0.5461774982
373.94300,-0.06421131716
373.94350,-0.06421131716
373.94400,-0.3694057249
373.94450,-1.284988948
373.94500,-1.590183356
373.94550,-2.200572171
373.94600,-3.421349802
373.94650,-4.031738617
373.94700,-4.336933025
373.94750,-4.94732184
373.94800,-5.862905063
373.94850,-6.473293879
373.94900,-5.862905063
373.94950,-4.336933025
373.95000,-3.72654421
373.95050,-4.031738617
373.95100,-5.252516248
373.95150,-6.168099471
373.95200,-5.862905063
373.95250,-4.336933025
373.95300,-3.421349802
373.95350,-3.421349802
373.95400,-3.421349802
373.95450,-2.200572171
373.95500,-0.9797945403
373.95550,-0.3694057249
373.95600,-0.3694057249
373.95650,-0.06421131716
373.95700,1.156566314
373.95750,1.461760721
373.95800,0.8513719059
373.95850,-0.06421131716
373.95900,-0.3694057249
373.95950,-0.6746001326
373.96000,-0.9797945403
373.96050,-0.6746001326
373.96100,-0.06421131716
373.96150,-0.06421131716
373.96200,-0.3694057249
373.96250,-0.9797945403
373.96300,-0.9797945403
373.96350,-0.9797945403
373.96400,-1.284988948
373.96450,-1.590183356
373.96500,-1.895377763
373.96550,-1.895377763
373.96600,-1.895377763
373.96650,-1.895377763
373.96700,-2.200572171
373.96750,-3.116155394
373.96800,-4.031738617
373.96850,-4.336933025
373.96900,-4.031738617
373.96950,-4.031738617
