time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
153.92,4.99902644,-5.414951053,-2.566317393,2.072149537,-4.409227952
153.9205,4.99902644,-6.025339868,-1.955928578,2.072149537,-6.240394398
153.921,4.083443217,-7.246117499,-0.4299565394,2.072149537,-7.461172029
153.9215,3.473054402,-9.077283945,-0.1247621317,2.377343944,-7.461172029
153.922,3.473054402,-9.992867168,-0.1247621317,2.682538352,-7.461172029
153.9225,3.473054402,-10.29806158,-0.1247621317,2.377343944,-8.376755252
153.923,3.473054402,-10.29806158,-0.4299565394,2.072149537,-9.597532883
153.9235,3.473054402,-10.29806158,-3.481900616,2.072149537,-9.597532883
153.924,3.473054402,-11.2136448,-8.36501114,1.766955129,-9.292338475
153.9245,3.778248809,-12.73961684,-11.72214962,1.156566314,-9.597532883
153.925,4.388637625,-13.35000565,-10.50137199,1.156566314,-10.51311611
153.9255,5.914609663,-12.73961684,-7.144233509,1.461760721,-10.81831051
153.926,7.135387294,-11.51883921,-5.61826147,0.5461774982,-9.597532883
153.9265,7.74577611,-11.51883921,-6.839039101,-1.590183356,-8.071560845
153.927,8.356164925,-12.73961684,-8.670205547,-4.336933025,-6.545588806
153.9275,9.576942556,-13.04481125,-8.975399955,-5.557710656,-5.324811175
153.928,10.49252578,-11.2136448,-8.36501114,-5.862905063,-5.019616768
153.9285,9.882136963,-9.382478353,-8.36501114,-6.168099471,-4.71442236
153.929,7.74577611,-8.772089538,-8.059816732,-6.168099471,-2.883255914
153.9295,6.524998479,-8.772089538,-7.144233509,-5.252516248,-0.1365062443
153.93,6.830192886,-7.551311907,-5.61826147,-3.421349802,1.389465794
153.9305,7.74577611,-4.804562237,-4.092289432,-3.116155394,1.084271386
153.931,7.74577611,-1.447423753,-2.566317393,-4.336933025,-0.1365062443
153.9315,7.135387294,1.299325917,-0.4299565394,-5.252516248,0.1686881634
153.932,6.524998479,2.825297955,2.31679313,-4.642127433,1.99985461
153.9325,4.693832032,2.21490914,5.673931615,-3.72654421,4.136215463
153.933,0.7263047324,0.6889371012,9.641458915,-3.72654421,5.662187502
153.9335,-1.715250529,0.6889371012,12.08301418,-3.72654421,6.882965133
153.934,-0.1892784907,3.130492363,11.77781977,-2.810960986,6.882965133
153.9345,3.473054402,5.572047624,9.336264507,-0.9797945403,5.662187502
153.935,4.693832032,6.18243644,9.031070099,-0.06421131716,4.136215463
153.9355,2.862665586,5.266853217,11.77781977,-0.06421131716,3.22063224
153.936,1.03149914,5.266853217,13.91418062,-0.6746001326,3.22063224
153.9365,1.641887955,5.877242032,12.9985974,-0.3694057249,3.22063224
153.937,2.252276771,5.877242032,10.86223655,-0.06421131716,1.99985461
153.9375,1.336693548,4.961658809,10.25184773,-0.06421131716,0.4738825711
153.938,1.336693548,4.351269994,7.810292469,-0.9797945403,-0.7468950597
153.9385,2.862665586,4.046075586,0.180432276,-1.284988948,-2.578061506
153.939,3.473054402,3.435686771,-9.58578877,0.2409830905,-4.104033544
153.9395,1.641887955,1.909714732,-15.38448252,3.598121575,-4.409227952
153.94,-0.4944728984,0.07854828584,-15.07928811,6.344871245,-3.188450321
153.9405,-1.104861714,-1.142229345,-12.33253844,7.870843283,-1.662478283
153.941,-0.4944728984,-2.363006976,-11.11176081,8.176037691,-1.357283875
153.9415,-0.4944728984,-3.583784607,-10.50137199,8.176037691,-2.272867098
153.942,-1.410056122,-4.194173422,-9.58578877,8.481232098,-2.883255914
153.9425,-1.715250529,-5.414951053,-9.58578877,9.702009729,-2.578061506
153.943,-2.325639345,-6.940923091,-11.41695522,11.22798177,-2.272867098
153.9435,-3.546416975,-8.46689513,-12.33253844,11.53317618,-3.798839137
153.944,-3.546416975,-9.077283945,-10.8065664,9.396815322,-6.240394398
153.9445,-1.104861714,-9.077283945,-8.059816732,6.95526006,-8.071560845
153.945,1.641887955,-9.687672761,-5.61826147,6.344871245,-7.461172029
153.9455,2.557471179,-9.992867168,-3.787095024,6.039676837,-6.240394398
153.946,2.557471179,-8.772089538,-2.871511801,3.292927168,-5.935199991
