"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",164.92000,2000,22000,"uV"

"time","value"
164.92000,7.098019663
164.92050,5.572047624
164.92100,4.351269994
164.92150,3.130492363
164.92200,1.909714732
164.92250,0.6889371012
164.92300,-0.2266461219
164.92350,-1.142229345
164.92400,-2.363006976
164.92450,-4.194173422
164.92500,-6.025339868
164.92550,-7.551311907
164.92600,-9.077283945
164.92650,-10.60325598
164.92700,-11.2136448
164.92750,-9.992867168
164.92800,-7.856506314
164.92850,-6.025339868
164.92900,-5.414951053
164.92950,-4.49936783
164.93000,-2.973395791
164.93050,-0.8370349373
164.93100,0.9941315089
164.93150,2.520103547
164.93200,4.046075586
164.93250,6.18243644
164.93300,8.318797294
164.93350,10.45515815
164.93400,12.28632459
164.93450,12.89671341
164.93500,11.98113019
164.93550,10.14996374
164.93600,9.539574925
164.93650,10.14996374
164.93700,11.06554696
164.93750,11.67593578
164.93800,11.06554696
164.93850,9.234380517
164.93900,7.708408478
164.93950,7.403214071
164.94000,8.013602886
164.94050,8.013602886
164.94100,5.572047624
164.94150,2.825297955
164.94200,1.604520324
164.94250,0.6889371012
164.94300,-0.8370349373
164.94350,-3.278590199
164.94400,-3.583784607
164.94450,-2.973395791
164.94500,-3.278590199
164.94550,-6.025339868
164.94600,-8.161700722
164.94650,-7.856506314
164.94700,-6.330534276
164.94750,-5.414951053
164.94800,-5.72014546
164.94850,-5.414951053
164.94900,-4.804562237
164.94950,-3.583784607
164.95000,-2.973395791
164.95050,-2.668201383
164.95100,-2.057812568
164.95150,-0.2266461219
164.95200,2.21490914
164.95250,4.961658809
164.95300,5.572047624
164.95350,4.351269994
164.95400,4.046075586
164.95450,5.877242032
164.95500,8.013602886
164.95550,8.623991701
164.95600,8.013602886
164.95650,8.013602886
164.95700,8.929186109
164.95750,10.14996374
164.95800,9.844769332
164.95850,8.318797294
164.95900,6.18243644
164.95950,4.656464401
164.96000,4.351269994
164.96050,4.656464401
164.96100,4.656464401
164.96150,3.130492363
164.96200,0.6889371012
164.96250,-1.142229345
164.96300,-2.973395791
164.96350,-4.804562237
164.96400,-7.856506314
164.96450,-10.90845039
164.96500,-12.73961684
164.96550,-13.04481125
164.96600,-12.12922802
164.96650,-12.12922802
164.96700,-12.12922802
164.96750,-11.82403361
164.96800,-10.60325598
164.96850,-9.382478353
164.96900,-8.46689513
164.96950,-6.940923091
164.97000,-5.109756645
164.97050,-3.278590199
164.97100,-2.057812568
164.97150,-1.142229345
164.97200,-0.2266461219
164.97250,0.07854828584
164.97300,0.07854828584
164.97350,0.9941315089
164.97400,3.130492363
164.97450,4.656464401
164.97500,5.572047624
164.97550,6.487630848
164.97600,9.234380517
164.97650,11.06554696
164.97700,10.14996374
164.97750,7.403214071
164.97800,5.877242032
164.97850,5.877242032
164.97900,5.572047624
164.97950,3.130492363
164.98000,0.07854828584
164.98050,-1.447423753
164.98100,-1.142229345
164.98150,-1.142229345
164.98200,-2.363006976
164.98250,-3.888979014
164.98300,-5.414951053
164.98350,-6.330534276
164.98400,-7.246117499
164.98450,-8.161700722
164.98500,-8.772089538
164.98550,-9.077283945
164.98600,-9.077283945
164.98650,-8.46689513
164.98700,-8.161700722
164.98750,-7.856506314
164.98800,-6.940923091
164.98850,-6.330534276
164.98900,-6.025339868
164.98950,-5.414951053
164.99000,-3.583784607
164.99050,-1.142229345
164.99100,0.9941315089
164.99150,3.130492363
164.99200,4.961658809
164.99250,6.792825255
164.99300,8.623991701
164.99350,10.14996374
164.99400,11.67593578
164.99450,12.89671341
164.99500,13.50710222
164.99550,13.50710222
164.99600,13.20190782
164.99650,13.81229663
164.99700,14.42268545
164.99750,13.50710222
164.99800,11.67593578
164.99850,10.14996374
164.99900,8.929186109
164.99950,7.708408478
165.00000,5.572047624
165.00050,3.740881178
165.00100,2.825297955
165.00150,1.604520324
165.00200,0.07854828584
165.00250,-1.75261816
165.00300,-2.973395791
165.00350,-3.583784607
165.00400,-4.194173422
165.00450,-5.414951053
165.00500,-6.635728684
165.00550,-7.856506314
165.00600,-7.856506314
165.00650,-6.635728684
165.00700,-4.49936783
165.00750,-2.363006976
165.00800,-1.447423753
165.00850,-1.142229345
165.00900,-1.142229345
165.00950,-1.142229345
165.01000,-1.142229345
165.01050,-0.5318405296
165.01100,0.3837426935
165.01150,1.604520324
165.01200,2.825297955
165.01250,4.046075586
165.01300,4.351269994
165.01350,4.046075586
165.01400,2.825297955
165.01450,1.604520324
165.01500,-0.2266461219
165.01550,-4.49936783
165.01600,-9.382478353
165.01650,-10.90845039
165.01700,-6.940923091
165.01750,-1.447423753
165.01800,0.6889371012
165.01850,0.3837426935
165.01900,0.07854828584
165.01950,0.6889371012
165.02000,-0.5318405296
165.02050,-3.583784607
165.02100,-5.414951053
165.02150,-3.888979014
165.02200,-2.973395791
165.02250,-5.109756645
165.02300,-8.161700722
165.02350,-9.382478353
165.02400,-9.382478353
165.02450,-10.29806158
165.02500,-11.82403361
165.02550,-11.2136448
165.02600,-9.077283945
165.02650,-7.551311907
165.02700,-7.856506314
165.02750,-8.161700722
165.02800,-6.635728684
165.02850,-5.109756645
165.02900,-4.49936783
165.02950,-3.888979014
165.03000,-2.668201383
165.03050,-1.75261816
165.03100,-0.8370349373
165.03150,0.07854828584
165.03200,1.299325917
165.03250,2.825297955
165.03300,4.046075586
165.03350,4.961658809
165.03400,5.266853217
165.03450,5.266853217
165.03500,5.572047624
165.03550,7.098019663
165.03600,8.623991701
165.03650,9.234380517
165.03700,9.234380517
165.03750,9.234380517
165.03800,8.623991701
165.03850,7.403214071
165.03900,6.487630848
165.03950,7.098019663
165.04000,7.708408478
165.04050,5.877242032
165.04100,1.909714732
165.04150,-1.447423753
165.04200,-2.973395791
165.04250,-4.49936783
165.04300,-6.635728684
165.04350,-8.46689513
165.04400,-8.772089538
165.04450,-7.856506314
165.04500,-8.46689513
165.04550,-10.29806158
165.04600,-10.90845039
165.04650,-9.992867168
165.04700,-8.772089538
165.04750,-8.161700722
165.04800,-7.551311907
165.04850,-6.025339868
165.04900,-4.804562237
165.04950,-5.109756645
165.05000,-5.414951053
165.05050,-4.194173422
165.05100,-2.057812568
165.05150,-0.5318405296
165.05200,0.07854828584
165.05250,0.9941315089
165.05300,2.21490914
165.05350,3.130492363
165.05400,3.740881178
165.05450,5.266853217
165.05500,7.708408478
165.05550,9.234380517
165.05600,8.929186109
165.05650,8.013602886
165.05700,8.318797294
165.05750,9.539574925
165.05800,9.539574925
165.05850,7.708408478
165.05900,5.572047624
165.05950,4.656464401
165.06000,4.046075586
165.06050,2.825297955
165.06100,1.909714732
165.06150,0.6889371012
165.06200,-0.2266461219
165.06250,-2.057812568
165.06300,-3.888979014
165.06350,-4.49936783
165.06400,-5.109756645
165.06450,-6.635728684
165.06500,-8.46689513
165.06550,-8.772089538
165.06600,-7.551311907
165.06650,-6.330534276
165.06700,-6.635728684
165.06750,-6.635728684
165.06800,-5.414951053
165.06850,-3.583784607
165.06900,-2.973395791
165.06950,-2.973395791
165.07000,-2.363006976
165.07050,-0.5318405296
165.07100,0.9941315089
165.07150,1.909714732
165.07200,1.909714732
165.07250,1.909714732
165.07300,2.520103547
165.07350,3.130492363
165.07400,4.351269994
165.07450,6.18243644
165.07500,8.623991701
165.07550,10.45515815
165.07600,11.06554696
165.07650,11.06554696
165.07700,10.76035256
165.07750,10.45515815
165.07800,9.844769332
165.07850,8.929186109
165.07900,7.708408478
165.07950,5.572047624
165.08000,2.825297955
165.08050,0.3837426935
165.08100,-0.2266461219
165.08150,0.07854828584
165.08200,-0.5318405296
165.08250,-2.668201383
165.08300,-5.109756645
165.08350,-6.330534276
165.08400,-6.330534276
165.08450,-6.330534276
165.08500,-7.246117499
165.08550,-8.772089538
165.08600,-10.29806158
165.08650,-10.60325598
165.08700,-9.382478353
165.08750,-7.856506314
165.08800,-7.551311907
165.08850,-7.856506314
165.08900,-7.246117499
165.08950,-5.109756645
165.09000,-2.973395791
165.09050,-2.057812568
165.09100,-1.447423753
165.09150,-0.5318405296
165.09200,0.9941315089
165.09250,3.435686771
165.09300,5.572047624
165.09350,7.098019663
165.09400,7.403214071
165.09450,7.098019663
165.09500,7.098019663
165.09550,8.013602886
165.09600,8.318797294
165.09650,8.623991701
165.09700,8.929186109
165.09750,9.844769332
165.09800,10.14996374
165.09850,9.539574925
165.09900,8.623991701
165.09950,7.403214071
165.10000,6.487630848
165.10050,4.961658809
165.10100,4.046075586
165.10150,2.825297955
165.10200,0.9941315089
165.10250,-1.142229345
165.10300,-2.973395791
165.10350,-3.583784607
165.10400,-4.194173422
165.10450,-5.72014546
165.10500,-6.940923091
165.10550,-6.940923091
165.10600,-5.72014546
165.10650,-5.72014546
165.10700,-6.940923091
165.10750,-7.246117499
165.10800,-5.414951053
165.10850,-3.278590199
165.10900,-2.057812568
165.10950,-1.142229345
165.11000,0.6889371012
165.11050,3.435686771
165.11100,5.572047624
165.11150,6.792825255
165.11200,7.708408478
165.11250,8.013602886
165.11300,8.623991701
165.11350,10.14996374
165.11400,12.591519
165.11450,14.11749104
165.11500,14.11749104
165.11550,13.50710222
165.11600,13.81229663
165.11650,13.50710222
165.11700,11.06554696
165.11750,8.318797294
165.11800,7.403214071
165.11850,7.708408478
165.11900,6.487630848
165.11950,4.046075586
165.12000,1.909714732
165.12050,0.6889371012
165.12100,-0.5318405296
165.12150,-2.363006976
165.12200,-3.888979014
165.12250,-4.804562237
165.12300,-6.940923091
165.12350,-9.077283945
165.12400,-10.29806158
165.12450,-10.60325598
165.12500,-12.43442243
165.12550,-14.87597769
165.12600,-15.79156091
165.12650,-13.96039447
165.12700,-12.43442243
165.12750,-11.82403361
165.12800,-10.90845039
165.12850,-9.382478353
165.12900,-8.161700722
165.12950,-7.246117499
165.13000,-5.72014546
165.13050,-2.973395791
165.13100,-0.5318405296
165.13150,0.07854828584
165.13200,0.07854828584
165.13250,1.604520324
165.13300,3.740881178
165.13350,5.572047624
165.13400,6.487630848
165.13450,7.403214071
165.13500,8.318797294
165.13550,8.318797294
165.13600,8.013602886
165.13650,7.708408478
165.13700,7.098019663
165.13750,6.18243644
165.13800,4.961658809
165.13850,3.740881178
165.13900,2.520103547
165.13950,0.6889371012
165.14000,-0.8370349373
165.14050,-2.057812568
165.14100,-2.668201383
165.14150,-3.583784607
165.14200,-4.804562237
165.14250,-6.025339868
165.14300,-6.330534276
165.14350,-6.635728684
165.14400,-7.551311907
165.14450,-9.077283945
165.14500,-10.29806158
165.14550,-10.29806158
165.14600,-9.992867168
165.14650,-10.29806158
165.14700,-10.60325598
165.14750,-10.29806158
165.14800,-8.161700722
165.14850,-5.109756645
165.14900,-3.278590199
165.14950,-2.363006976
165.15000,-1.75261816
165.15050,0.07854828584
165.15100,1.909714732
165.15150,3.130492363
165.15200,3.435686771
165.15250,4.351269994
165.15300,6.487630848
165.15350,9.539574925
165.15400,10.76035256
165.15450,10.14996374
165.15500,9.234380517
165.15550,10.14996374
165.15600,11.37074137
165.15650,11.67593578
165.15700,10.45515815
165.15750,9.539574925
165.15800,8.623991701
165.15850,7.098019663
165.15900,5.266853217
165.15950,3.435686771
165.16000,2.520103547
165.16050,1.299325917
165.16100,0.3837426935
165.16150,0.07854828584
165.16200,-0.2266461219
165.16250,-1.75261816
165.16300,-3.888979014
165.16350,-5.109756645
165.16400,-5.414951053
165.16450,-6.025339868
165.16500,-7.856506314
165.16550,-9.992867168
165.16600,-10.60325598
165.16650,-9.687672761
165.16700,-9.077283945
165.16750,-8.46689513
165.16800,-7.246117499
165.16850,-6.025339868
165.16900,-4.804562237
165.16950,-3.278590199
165.17000,-2.057812568
165.17050,-1.447423753
165.17100,-0.8370349373
165.17150,0.07854828584
165.17200,1.299325917
165.17250,2.520103547
165.17300,2.825297955
165.17350,3.740881178
165.17400,6.18243644
165.17450,8.623991701
165.17500,9.844769332
165.17550,10.14996374
165.17600,9.844769332
165.17650,9.234380517
165.17700,8.318797294
165.17750,7.403214071
165.17800,6.487630848
165.17850,4.961658809
165.17900,3.435686771
165.17950,2.520103547
165.18000,1.604520324
165.18050,-0.5318405296
165.18100,-3.278590199
165.18150,-4.804562237
165.18200,-4.49936783
165.18250,-5.109756645
165.18300,-6.940923091
165.18350,-8.46689513
165.18400,-8.772089538
165.18450,-9.382478353
165.18500,-11.2136448
165.18550,-11.82403361
165.18600,-11.2136448
165.18650,-10.60325598
165.18700,-10.60325598
165.18750,-9.992867168
165.18800,-7.856506314
165.18850,-5.72014546
165.18900,-4.49936783
165.18950,-4.194173422
165.19000,-2.973395791
165.19050,-1.142229345
165.19100,0.3837426935
165.19150,2.825297955
165.19200,5.266853217
165.19250,7.098019663
165.19300,7.098019663
165.19350,7.708408478
165.19400,9.539574925
165.19450,11.06554696
165.19500,11.37074137
165.19550,10.14996374
165.19600,9.844769332
165.19650,11.06554696
165.19700,11.98113019
165.19750,11.98113019
165.19800,11.37074137
165.19850,10.45515815
165.19900,9.539574925
165.19950,8.623991701
165.20000,7.708408478
165.20050,5.572047624
165.20100,2.825297955
165.20150,0.07854828584
165.20200,-1.447423753
165.20250,-2.668201383
165.20300,-4.194173422
165.20350,-5.72014546
165.20400,-7.246117499
165.20450,-8.46689513
165.20500,-9.382478353
165.20550,-9.077283945
165.20600,-8.161700722
165.20650,-8.46689513
165.20700,-9.382478353
165.20750,-9.382478353
165.20800,-7.551311907
165.20850,-5.414951053
165.20900,-4.49936783
165.20950,-4.194173422
165.21000,-3.583784607
165.21050,-2.363006976
165.21100,-1.142229345
165.21150,-0.2266461219
165.21200,1.604520324
165.21250,4.046075586
165.21300,5.266853217
165.21350,5.572047624
165.21400,6.487630848
165.21450,8.013602886
165.21500,8.929186109
165.21550,8.929186109
165.21600,8.318797294
165.21650,8.013602886
165.21700,7.403214071
165.21750,5.572047624
165.21800,3.740881178
165.21850,2.825297955
165.21900,3.435686771
165.21950,4.046075586
165.22000,3.130492363
165.22050,1.909714732
165.22100,0.6889371012
165.22150,0.07854828584
165.22200,0.07854828584
165.22250,-1.142229345
165.22300,-2.668201383
165.22350,-4.804562237
165.22400,-6.330534276
165.22450,-6.940923091
165.22500,-7.551311907
165.22550,-9.077283945
165.22600,-11.2136448
165.22650,-12.43442243
165.22700,-11.82403361
165.22750,-10.60325598
165.22800,-9.992867168
165.22850,-9.077283945
165.22900,-6.940923091
165.22950,-3.888979014
165.23000,-2.057812568
165.23050,-2.057812568
165.23100,-1.75261816
165.23150,0.3837426935
165.23200,3.435686771
165.23250,4.656464401
165.23300,4.351269994
165.23350,5.572047624
165.23400,8.013602886
165.23450,9.539574925
165.23500,8.623991701
165.23550,7.708408478
165.23600,8.623991701
165.23650,9.539574925
165.23700,9.539574925
165.23750,8.623991701
165.23800,8.318797294
165.23850,8.013602886
165.23900,7.403214071
165.23950,6.18243644
165.24000,5.266853217
165.24050,3.435686771
165.24100,0.6889371012
165.24150,-1.142229345
165.24200,-2.057812568
165.24250,-2.973395791
165.24300,-6.025339868
165.24350,-8.772089538
165.24400,-9.077283945
165.24450,-8.161700722
165.24500,-7.856506314
165.24550,-8.772089538
165.24600,-9.992867168
165.24650,-10.29806158
165.24700,-9.992867168
165.24750,-8.772089538
165.24800,-6.940923091
165.24850,-5.72014546
165.24900,-5.72014546
165.24950,-5.414951053
165.25000,-3.583784607
165.25050,-1.142229345
165.25100,0.07854828584
165.25150,0.3837426935
165.25200,1.299325917
165.25250,2.520103547
165.25300,4.046075586
165.25350,6.487630848
165.25400,9.539574925
165.25450,12.28632459
165.25500,12.591519
165.25550,11.67593578
165.25600,11.06554696
165.25650,11.06554696
165.25700,11.06554696
165.25750,11.06554696
165.25800,11.67593578
165.25850,11.67593578
165.25900,10.45515815
165.25950,8.013602886
165.26000,6.18243644
165.26050,5.572047624
165.26100,4.656464401
165.26150,2.825297955
165.26200,0.9941315089
165.26250,-0.5318405296
165.26300,-2.363006976
165.26350,-5.414951053
165.26400,-7.856506314
165.26450,-8.46689513
165.26500,-8.46689513
165.26550,-9.382478353
165.26600,-10.90845039
165.26650,-11.82403361
165.26700,-10.29806158
165.26750,-8.161700722
165.26800,-6.940923091
165.26850,-6.635728684
165.26900,-5.414951053
165.26950,-3.888979014
165.27000,-2.973395791
165.27050,-2.668201383
165.27100,-1.142229345
165.27150,1.909714732
165.27200,4.656464401
165.27250,5.266853217
165.27300,4.961658809
165.27350,5.877242032
165.27400,7.098019663
165.27450,7.708408478
165.27500,7.708408478
165.27550,8.013602886
165.27600,8.318797294
165.27650,8.013602886
165.27700,8.318797294
165.27750,9.234380517
165.27800,9.539574925
165.27850,7.708408478
165.27900,5.266853217
165.27950,4.351269994
165.28000,4.351269994
165.28050,2.825297955
165.28100,0.07854828584
165.28150,-2.363006976
165.28200,-3.583784607
165.28250,-4.194173422
165.28300,-4.804562237
165.28350,-4.804562237
165.28400,-4.49936783
165.28450,-6.025339868
165.28500,-8.772089538
165.28550,-10.29806158
165.28600,-9.687672761
165.28650,-8.46689513
165.28700,-8.161700722
165.28750,-8.161700722
165.28800,-8.161700722
165.28850,-8.161700722
165.28900,-8.161700722
165.28950,-6.940923091
165.29000,-5.109756645
165.29050,-3.888979014
165.29100,-3.888979014
165.29150,-3.278590199
165.29200,-0.5318405296
165.29250,2.825297955
165.29300,5.266853217
165.29350,5.572047624
165.29400,6.18243644
165.29450,7.403214071
165.29500,9.234380517
165.29550,9.844769332
165.29600,8.929186109
165.29650,8.318797294
165.29700,8.623991701
165.29750,9.234380517
165.29800,8.318797294
165.29850,5.572047624
165.29900,4.046075586
165.29950,4.351269994
165.30000,5.266853217
165.30050,3.435686771
165.30100,0.3837426935
165.30150,-1.75261816
165.30200,-2.363006976
165.30250,-2.973395791
165.30300,-4.49936783
165.30350,-5.72014546
165.30400,-6.635728684
165.30450,-8.161700722
165.30500,-9.992867168
165.30550,-10.60325598
165.30600,-9.687672761
165.30650,-8.772089538
165.30700,-8.772089538
165.30750,-8.772089538
165.30800,-8.161700722
165.30850,-6.635728684
165.30900,-5.72014546
165.30950,-5.109756645
165.31000,-4.804562237
165.31050,-3.583784607
165.31100,-1.75261816
165.31150,0.3837426935
165.31200,1.604520324
165.31250,0.9941315089
165.31300,0.07854828584
165.31350,1.604520324
165.31400,4.961658809
165.31450,7.403214071
165.31500,8.013602886
165.31550,8.013602886
165.31600,8.623991701
165.31650,9.539574925
165.31700,9.844769332
165.31750,8.929186109
165.31800,7.708408478
165.31850,6.18243644
165.31900,4.351269994
165.31950,2.520103547
165.32000,0.3837426935
165.32050,-1.447423753
165.32100,-3.278590199
165.32150,-5.414951053
165.32200,-8.161700722
165.32250,-10.60325598
165.32300,-11.82403361
165.32350,-12.12922802
165.32400,-12.43442243
165.32450,-13.04481125
165.32500,-13.35000565
165.32550,-13.35000565
165.32600,-13.65520006
165.32650,-13.65520006
165.32700,-12.73961684
165.32750,-10.90845039
165.32800,-9.077283945
165.32850,-8.46689513
165.32900,-7.856506314
165.32950,-6.940923091
165.33000,-6.330534276
165.33050,-4.49936783
165.33100,-1.447423753
165.33150,1.909714732
165.33200,4.046075586
165.33250,4.656464401
165.33300,5.266853217
165.33350,7.708408478
165.33400,10.14996374
165.33450,10.14996374
165.33500,9.234380517
165.33550,9.539574925
165.33600,11.06554696
165.33650,12.591519
165.33700,12.591519
165.33750,11.06554696
165.33800,9.539574925
165.33850,7.708408478
165.33900,5.877242032
165.33950,4.351269994
165.34000,3.740881178
165.34050,3.740881178
165.34100,3.740881178
165.34150,1.909714732
165.34200,-0.5318405296
165.34250,-2.973395791
165.34300,-5.109756645
165.34350,-7.246117499
165.34400,-9.687672761
165.34450,-10.60325598
165.34500,-9.687672761
165.34550,-9.382478353
165.34600,-10.60325598
165.34650,-11.82403361
165.34700,-11.51883921
165.34750,-10.29806158
165.34800,-9.687672761
165.34850,-8.772089538
165.34900,-6.635728684
165.34950,-4.194173422
165.35000,-3.278590199
165.35050,-3.278590199
165.35100,-2.668201383
165.35150,-1.447423753
165.35200,-0.2266461219
165.35250,0.3837426935
165.35300,2.520103547
165.35350,5.266853217
165.35400,7.098019663
165.35450,7.708408478
165.35500,8.013602886
165.35550,8.013602886
165.35600,7.708408478
165.35650,6.792825255
165.35700,5.877242032
165.35750,5.266853217
165.35800,4.351269994
165.35850,3.130492363
165.35900,2.520103547
165.35950,2.21490914
165.36000,2.21490914
165.36050,1.909714732
165.36100,1.299325917
165.36150,0.3837426935
165.36200,-1.142229345
165.36250,-2.973395791
165.36300,-4.804562237
165.36350,-6.025339868
165.36400,-7.246117499
165.36450,-8.46689513
165.36500,-9.687672761
165.36550,-9.382478353
165.36600,-8.772089538
165.36650,-8.772089538
165.36700,-9.992867168
165.36750,-10.29806158
165.36800,-8.161700722
165.36850,-5.414951053
165.36900,-4.49936783
165.36950,-4.804562237
165.37000,-4.194173422
165.37050,-1.142229345
165.37100,1.299325917
165.37150,3.130492363
165.37200,4.046075586
165.37250,5.877242032
165.37300,7.708408478
165.37350,8.929186109
165.37400,10.14996374
165.37450,11.67593578
165.37500,13.50710222
165.37550,14.72787986
165.37600,15.03307426
165.37650,14.72787986
165.37700,14.42268545
165.37750,14.11749104
165.37800,14.11749104
165.37850,13.81229663
165.37900,12.591519
165.37950,11.06554696
165.38000,9.539574925
165.38050,7.708408478
165.38100,4.961658809
165.38150,3.130492363
165.38200,2.520103547
165.38250,2.825297955
165.38300,1.299325917
165.38350,-0.8370349373
165.38400,-2.363006976
165.38450,-2.668201383
165.38500,-3.278590199
165.38550,-5.414951053
165.38600,-7.246117499
165.38650,-6.635728684
165.38700,-4.804562237
165.38750,-3.888979014
165.38800,-4.194173422
165.38850,-4.49936783
165.38900,-3.888979014
165.38950,-2.363006976
165.39000,-0.2266461219
165.39050,0.9941315089
165.39100,1.299325917
165.39150,0.9941315089
165.39200,1.909714732
165.39250,4.046075586
165.39300,5.266853217
165.39350,5.572047624
165.39400,5.877242032
165.39450,6.792825255
165.39500,7.708408478
165.39550,8.013602886
165.39600,8.013602886
165.39650,8.318797294
165.39700,8.929186109
165.39750,8.318797294
165.39800,6.487630848
165.39850,4.351269994
165.39900,2.825297955
165.39950,1.604520324
165.40000,0.3837426935
165.40050,-0.5318405296
165.40100,-1.447423753
165.40150,-2.363006976
165.40200,-4.194173422
165.40250,-5.72014546
165.40300,-6.635728684
165.40350,-6.940923091
165.40400,-7.246117499
165.40450,-7.856506314
165.40500,-8.46689513
165.40550,-8.161700722
165.40600,-6.940923091
165.40650,-6.025339868
165.40700,-6.025339868
165.40750,-6.025339868
165.40800,-5.414951053
165.40850,-4.49936783
165.40900,-3.888979014
165.40950,-4.194173422
165.41000,-3.278590199
165.41050,-1.447423753
165.41100,0.6889371012
165.41150,1.604520324
165.41200,2.21490914
165.41250,3.740881178
165.41300,5.572047624
165.41350,7.403214071
165.41400,8.318797294
165.41450,9.844769332
165.41500,11.06554696
165.41550,10.76035256
165.41600,9.234380517
165.41650,8.013602886
165.41700,7.098019663
165.41750,6.487630848
165.41800,5.572047624
165.41850,4.046075586
165.41900,2.825297955
165.41950,0.6889371012
165.42000,-1.75261816
165.42050,-3.278590199
165.42100,-3.278590199
165.42150,-3.278590199
165.42200,-4.49936783
165.42250,-6.635728684
165.42300,-7.246117499
165.42350,-6.025339868
165.42400,-5.109756645
165.42450,-5.72014546
165.42500,-7.246117499
165.42550,-8.161700722
165.42600,-7.551311907
165.42650,-6.635728684
165.42700,-6.025339868
165.42750,-5.109756645
165.42800,-3.583784607
165.42850,-2.057812568
165.42900,-1.447423753
165.42950,-1.75261816
165.43000,-0.8370349373
165.43050,0.6889371012
165.43100,3.435686771
165.43150,5.266853217
165.43200,6.18243644
165.43250,7.708408478
165.43300,9.844769332
165.43350,11.06554696
165.43400,10.76035256
165.43450,9.539574925
165.43500,9.234380517
165.43550,9.844769332
165.43600,10.14996374
165.43650,9.539574925
165.43700,8.623991701
165.43750,8.013602886
165.43800,8.013602886
165.43850,7.098019663
165.43900,5.572047624
165.43950,3.740881178
165.44000,2.21490914
165.44050,1.299325917
165.44100,0.6889371012
165.44150,0.07854828584
165.44200,-0.2266461219
165.44250,-1.75261816
165.44300,-3.583784607
165.44350,-5.72014546
165.44400,-7.246117499
165.44450,-7.551311907
165.44500,-7.246117499
165.44550,-6.940923091
165.44600,-6.940923091
165.44650,-7.551311907
165.44700,-8.161700722
165.44750,-8.46689513
165.44800,-8.161700722
165.44850,-6.940923091
165.44900,-5.72014546
165.44950,-5.72014546
165.45000,-6.330534276
165.45050,-6.635728684
165.45100,-4.804562237
165.45150,-2.363006976
165.45200,-0.5318405296
165.45250,0.07854828584
165.45300,0.6889371012
165.45350,2.21490914
165.45400,4.046075586
165.45450,5.266853217
165.45500,5.266853217
165.45550,4.961658809
165.45600,4.351269994
165.45650,4.656464401
165.45700,5.572047624
165.45750,6.792825255
165.45800,7.098019663
165.45850,5.572047624
165.45900,3.435686771
165.45950,1.909714732
165.46000,1.299325917
165.46050,0.6889371012
165.46100,0.07854828584
165.46150,0.07854828584
165.46200,-0.5318405296
165.46250,-1.75261816
165.46300,-4.49936783
165.46350,-7.551311907
165.46400,-9.077283945
165.46450,-9.382478353
165.46500,-9.992867168
165.46550,-11.2136448
165.46600,-12.12922802
165.46650,-12.73961684
165.46700,-13.65520006
165.46750,-13.96039447
165.46800,-13.04481125
165.46850,-10.60325598
165.46900,-8.772089538
165.46950,-7.856506314
165.47000,-6.330534276
165.47050,-3.888979014
165.47100,-1.447423753
165.47150,-0.8370349373
165.47200,-0.8370349373
165.47250,0.6889371012
165.47300,3.740881178
165.47350,6.18243644
165.47400,7.403214071
165.47450,7.708408478
165.47500,8.318797294
165.47550,9.539574925
165.47600,10.14996374
165.47650,9.844769332
165.47700,9.539574925
165.47750,9.234380517
165.47800,9.234380517
165.47850,8.623991701
165.47900,7.708408478
165.47950,6.487630848
165.48000,5.877242032
165.48050,5.266853217
165.48100,3.740881178
165.48150,1.604520324
165.48200,0.07854828584
165.48250,-1.447423753
165.48300,-2.668201383
165.48350,-3.888979014
165.48400,-4.804562237
165.48450,-5.414951053
165.48500,-6.330534276
165.48550,-6.940923091
165.48600,-7.246117499
165.48650,-6.940923091
165.48700,-6.940923091
165.48750,-7.246117499
165.48800,-6.940923091
165.48850,-5.72014546
165.48900,-3.888979014
165.48950,-2.973395791
165.49000,-1.75261816
165.49050,0.07854828584
165.49100,1.604520324
165.49150,3.435686771
165.49200,4.656464401
165.49250,4.656464401
165.49300,4.961658809
165.49350,5.572047624
165.49400,7.403214071
165.49450,9.539574925
165.49500,11.06554696
165.49550,11.98113019
165.49600,11.67593578
