"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",186.92000,2000,22000,"uV"

"time","value"
186.92000,8.420681284
186.92050,10.86223655
186.92100,9.031070099
186.92150,6.589514838
186.92200,6.28432043
186.92250,7.505098061
186.92300,8.115486876
186.92350,8.725875692
186.92400,9.641458915
186.92450,9.641458915
186.92500,7.810292469
186.92550,5.063542799
186.92600,3.232376353
186.92650,2.31679313
186.92700,1.401209907
186.92750,0.180432276
186.92800,-0.4299565394
186.92850,-0.7351509471
186.92900,-1.040345355
186.92950,-0.7351509471
186.93000,0.180432276
186.93050,1.706404315
186.93100,2.31679313
186.93150,2.011598722
186.93200,2.31679313
186.93250,3.232376353
186.93300,3.537570761
186.93350,2.011598722
186.93400,-1.040345355
186.93450,-4.092289432
186.93500,-5.007872655
186.93550,-4.39748384
186.93600,-2.871511801
186.93650,-1.65073417
186.93700,-1.345539762
186.93750,-1.955928578
186.93800,-2.871511801
186.93850,-3.481900616
186.93900,-2.871511801
186.93950,-1.345539762
186.94000,-0.4299565394
186.94050,-0.4299565394
186.94100,-0.4299565394
186.94150,0.180432276
186.94200,2.011598722
186.94250,2.927181945
186.94300,1.706404315
186.94350,-0.1247621317
186.94400,-2.261122986
186.94450,-3.176706209
186.94500,-3.176706209
186.94550,-3.481900616
186.94600,-3.787095024
186.94650,-3.481900616
186.94700,-1.955928578
186.94750,-0.7351509471
186.94800,-0.1247621317
186.94850,-0.7351509471
186.94900,-1.345539762
186.94950,-1.345539762
186.95000,-1.345539762
186.95050,-1.345539762
186.95100,-0.7351509471
186.95150,0.180432276
186.95200,0.7908210914
186.95250,0.180432276
186.95300,-0.4299565394
186.95350,-0.4299565394
186.95400,0.7908210914
186.95450,1.706404315
186.95500,1.706404315
186.95550,1.706404315
186.95600,2.31679313
186.95650,3.537570761
186.95700,3.232376353
186.95750,1.401209907
186.95800,-0.1247621317
186.95850,0.4856266837
186.95900,1.096015499
186.95950,0.180432276
186.96000,-1.65073417
186.96050,-2.261122986
186.96100,-1.040345355
186.96150,-0.1247621317
186.96200,-0.7351509471
186.96250,-1.65073417
186.96300,-0.7351509471
186.96350,0.4856266837
186.96400,0.7908210914
186.96450,0.4856266837
186.96500,0.4856266837
186.96550,1.706404315
186.96600,3.232376353
186.96650,3.842765168
186.96700,4.147959576
186.96750,3.537570761
186.96800,2.927181945
186.96850,2.621987538
186.96900,2.621987538
186.96950,3.537570761
186.97000,3.537570761
186.97050,2.011598722
186.97100,-0.1247621317
186.97150,-1.65073417
186.97200,-1.65073417
186.97250,-0.7351509471
186.97300,-0.1247621317
186.97350,-0.4299565394
186.97400,-1.040345355
186.97450,-0.7351509471
186.97500,-0.1247621317
186.97550,-0.7351509471
186.97600,-2.566317393
186.97650,-4.702678247
186.97700,-6.228650286
186.97750,-6.228650286
186.97800,-5.923455878
186.97850,-5.61826147
186.97900,-5.313067063
186.97950,-4.092289432
186.98000,-2.871511801
186.98050,-1.345539762
186.98100,1.096015499
186.98150,5.368737207
186.98200,9.641458915
186.98250,11.16743095
186.98300,9.031070099
186.98350,6.589514838
186.98400,5.063542799
186.98450,2.621987538
186.98500,-2.566317393
186.98550,-7.754622324
186.98600,-8.975399955
186.98650,-6.533844693
186.98700,-4.39748384
186.98750,-4.092289432
186.98800,-4.39748384
186.98850,-3.787095024
186.98900,-3.176706209
186.98950,-2.871511801
186.99000,-2.261122986
186.99050,-1.040345355
186.99100,-0.4299565394
186.99150,-1.955928578
186.99200,-5.007872655
186.99250,-7.144233509
186.99300,-7.449427917
186.99350,-5.61826147
