"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-Ultium EMG.EMG 1","s",208.92000,2000,22000,"uV"

"time","value"
208.92000,-10.2079217
208.92050,-10.51311611
208.92100,-8.987144068
208.92150,-6.240394398
208.92200,-3.188450321
208.92250,-0.1365062443
208.92300,1.084271386
208.92350,0.4738825711
208.92400,-0.441700652
208.92450,0.1686881634
208.92500,3.22063224
208.92550,5.96738191
208.92600,5.96738191
208.92650,4.441409871
208.92700,4.441409871
208.92750,5.356993094
208.92800,5.96738191
208.92850,5.356993094
208.92900,5.051798687
208.92950,4.746604279
208.93000,4.136215463
208.93050,3.525826648
208.93100,3.22063224
208.93150,4.136215463
208.93200,5.356993094
208.93250,5.662187502
208.93300,3.831021056
208.93350,1.084271386
208.93400,-1.662478283
208.93450,-4.409227952
208.93500,-6.240394398
208.93550,-6.545588806
208.93600,-5.630005583
208.93650,-5.019616768
208.93700,-5.935199991
208.93750,-6.850783214
208.93800,-6.850783214
208.93850,-5.019616768
208.93900,-4.104033544
208.93950,-5.019616768
208.94000,-5.935199991
208.94050,-6.545588806
208.94100,-7.155977621
208.94150,-8.376755252
208.94200,-9.292338475
208.94250,-7.461172029
208.94300,-3.798839137
208.94350,0.4738825711
208.94400,4.441409871
208.94450,7.493353948
208.94500,9.629714802
208.94550,10.24010362
208.94600,10.85049243
208.94650,11.46088125
208.94700,11.46088125
208.94750,9.629714802
208.94800,7.188159541
208.94850,5.96738191
208.94900,5.96738191
208.94950,6.272576317
208.95000,5.96738191
208.95050,5.051798687
208.95100,4.136215463
208.95150,2.610243425
208.95200,0.4738825711
208.95250,-0.441700652
208.95300,-0.441700652
208.95350,0.1686881634
208.95400,-0.1365062443
208.95450,-1.967672691
208.95500,-4.71442236
208.95550,-6.240394398
208.95600,-6.545588806
208.95650,-6.240394398
208.95700,-5.935199991
208.95750,-5.935199991
208.95800,-5.935199991
208.95850,-6.545588806
208.95900,-7.155977621
208.95950,-6.545588806
208.96000,-5.935199991
208.96050,-5.630005583
208.96100,-5.630005583
208.96150,-4.71442236
208.96200,-3.493644729
208.96250,-2.578061506
208.96300,-1.662478283
208.96350,-0.1365062443
208.96400,1.694660202
208.96450,3.22063224
208.96500,4.136215463
208.96550,5.356993094
208.96600,6.882965133
208.96650,7.493353948
208.96700,7.798548356
208.96750,8.103742764
208.96800,8.714131579
208.96850,7.798548356
208.96900,5.96738191
208.96950,5.051798687
208.97000,4.746604279
208.97050,3.831021056
208.97100,1.389465794
208.97150,-0.1365062443
208.97200,-0.441700652
208.97250,-0.441700652
208.97300,-1.357283875
208.97350,-2.883255914
208.97400,-3.798839137
208.97450,-5.019616768
208.97500,-6.240394398
208.97550,-6.545588806
208.97600,-5.935199991
208.97650,-5.935199991
208.97700,-7.461172029
208.97750,-8.987144068
208.97800,-9.902727291
208.97850,-9.597532883
208.97900,-8.68194966
208.97950,-6.850783214
208.98000,-5.630005583
208.98050,-6.545588806
208.98100,-7.155977621
208.98150,-5.630005583
208.98200,-2.272867098
208.98250,-0.1365062443
208.98300,-0.1365062443
208.98350,-0.1365062443
208.98400,0.4738825711
208.98450,1.084271386
208.98500,1.084271386
208.98550,1.99985461
208.98600,3.22063224
208.98650,3.525826648
208.98700,2.610243425
208.98750,3.22063224
208.98800,4.746604279
208.98850,5.356993094
208.98900,4.746604279
208.98950,5.051798687
208.99000,6.577770725
208.99050,6.272576317
208.99100,4.136215463
208.99150,2.610243425
208.99200,3.22063224
208.99250,4.441409871
208.99300,3.831021056
208.99350,3.22063224
208.99400,5.356993094
208.99450,8.408937171
208.99500,7.798548356
208.99550,3.22063224
208.99600,-1.052089467
208.99650,-2.272867098
208.99700,-1.052089467
208.99750,-0.7468950597
208.99800,-1.357283875
208.99850,-3.188450321
208.99900,-4.409227952
208.99950,-5.630005583
209.00000,-5.324811175
209.00050,-4.409227952
209.00100,-3.798839137
209.00150,-4.104033544
209.00200,-4.409227952
209.00250,-3.188450321
209.00300,-0.1365062443
209.00350,2.610243425
209.00400,2.610243425
209.00450,1.084271386
209.00500,1.084271386
209.00550,4.136215463
209.00600,6.577770725
209.00650,5.96738191
209.00700,3.525826648
209.00750,2.305049017
209.00800,3.525826648
209.00850,5.662187502
209.00900,6.577770725
209.00950,5.96738191
209.01000,5.051798687
209.01050,4.136215463
209.01100,2.610243425
209.01150,0.7790769788
209.01200,-0.441700652
209.01250,-1.662478283
209.01300,-3.798839137
209.01350,-6.850783214
209.01400,-9.597532883
209.01450,-9.597532883
209.01500,-7.766366437
209.01550,-6.240394398
209.01600,-6.545588806
209.01650,-6.545588806
209.01700,-5.324811175
209.01750,-4.104033544
209.01800,-4.71442236
209.01850,-5.630005583
209.01900,-5.324811175
209.01950,-4.409227952
209.02000,-5.324811175
209.02050,-7.155977621
209.02100,-7.461172029
209.02150,-5.935199991
209.02200,-4.71442236
209.02250,-4.104033544
209.02300,-3.493644729
209.02350,-1.357283875
209.02400,0.7790769788
209.02450,2.610243425
209.02500,4.136215463
209.02550,4.746604279
209.02600,4.136215463
209.02650,3.525826648
209.02700,5.051798687
209.02750,7.188159541
209.02800,7.798548356
209.02850,6.272576317
209.02900,5.051798687
209.02950,5.051798687
209.03000,5.662187502
209.03050,5.96738191
209.03100,6.577770725
209.03150,7.188159541
209.03200,6.882965133
209.03250,5.356993094
209.03300,3.831021056
209.03350,1.99985461
209.03400,-0.7468950597
209.03450,-4.104033544
209.03500,-5.324811175
209.03550,-2.883255914
209.03600,0.1686881634
209.03650,0.4738825711
209.03700,-1.052089467
209.03750,-2.578061506
209.03800,-3.188450321
209.03850,-3.493644729
209.03900,-4.409227952
209.03950,-4.71442236
209.04000,-3.798839137
209.04050,-2.272867098
209.04100,-1.052089467
209.04150,-0.441700652
209.04200,-0.1365062443
209.04250,-0.7468950597
209.04300,-1.357283875
209.04350,-1.662478283
209.04400,-1.052089467
209.04450,-0.7468950597
209.04500,-1.052089467
209.04550,-1.052089467
209.04600,-0.7468950597
209.04650,0.4738825711
209.04700,2.305049017
209.04750,3.22063224
209.04800,3.525826648
209.04850,3.22063224
209.04900,2.915437833
209.04950,3.525826648
209.05000,4.136215463
209.05050,5.051798687
209.05100,5.662187502
209.05150,5.96738191
209.05200,5.662187502
209.05250,3.525826648
209.05300,0.4738825711
209.05350,-1.662478283
209.05400,-2.578061506
209.05450,-2.883255914
209.05500,-3.798839137
209.05550,-5.935199991
209.05600,-8.376755252
209.05650,-9.292338475
209.05700,-8.071560845
209.05750,-6.545588806
209.05800,-5.935199991
209.05850,-6.850783214
209.05900,-7.766366437
209.05950,-6.850783214
209.06000,-5.019616768
209.06050,-3.493644729
209.06100,-3.188450321
