"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",219.92000,2000,22000,"uV"

"time","value"
219.92000,-4.156805791
219.92050,-3.546416975
219.92100,-3.546416975
219.92150,-4.156805791
219.92200,-3.851611383
219.92250,-2.93602816
219.92300,-2.020444937
219.92350,-1.715250529
219.92400,-1.715250529
219.92450,-1.104861714
219.92500,-0.1892784907
219.92550,0.115915917
219.92600,-0.4944728984
219.92650,-1.410056122
219.92700,-1.410056122
219.92750,-0.4944728984
219.92800,-0.1892784907
219.92850,-1.104861714
219.92900,-1.715250529
219.92950,-0.7996673061
219.93000,0.7263047324
219.93050,1.641887955
219.93100,1.03149914
219.93150,0.115915917
219.93200,0.115915917
219.93250,0.4211103247
219.93300,0.7263047324
219.93350,1.03149914
219.93400,1.336693548
219.93450,1.641887955
219.93500,1.03149914
219.93550,0.4211103247
219.93600,0.4211103247
219.93650,1.03149914
219.93700,1.336693548
219.93750,1.03149914
219.93800,0.115915917
219.93850,-0.1892784907
219.93900,-0.1892784907
219.93950,-0.1892784907
219.94000,-1.104861714
219.94050,-2.630833752
219.94100,-3.241222568
219.94150,-2.630833752
219.94200,-2.020444937
219.94250,-2.325639345
219.94300,-2.93602816
219.94350,-3.241222568
219.94400,-3.546416975
219.94450,-4.767194606
219.94500,-5.987972237
219.94550,-5.377583422
219.94600,-3.546416975
219.94650,-2.93602816
219.94700,-2.630833752
219.94750,-1.715250529
219.94800,0.115915917
219.94850,0.4211103247
219.94900,-0.1892784907
219.94950,-1.104861714
219.95000,-1.104861714
219.95050,-1.410056122
219.95100,-2.020444937
219.95150,-1.715250529
219.95200,-0.1892784907
219.95250,0.7263047324
219.95300,0.115915917
219.95350,-0.4944728984
219.95400,-0.4944728984
219.95450,0.4211103247
219.95500,1.336693548
219.95550,2.252276771
219.95600,3.167859994
219.95650,3.778248809
219.95700,3.778248809
219.95750,2.862665586
219.95800,1.947082363
219.95850,1.03149914
219.95900,0.115915917
