"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",219.92000,2000,22000,"uV"

"time","value"
219.92000,-3.72654421
219.92050,-4.336933025
219.92100,-4.031738617
219.92150,-3.116155394
219.92200,-1.895377763
219.92250,-1.590183356
219.92300,-1.590183356
219.92350,-0.9797945403
219.92400,0.2409830905
219.92450,1.461760721
219.92500,1.766955129
219.92550,1.461760721
219.92600,1.461760721
219.92650,2.377343944
219.92700,3.598121575
219.92750,3.903315983
219.92800,2.98773276
219.92850,2.072149537
219.92900,2.072149537
219.92950,2.682538352
219.93000,3.598121575
219.93050,4.208510391
219.93100,4.513704798
219.93150,3.903315983
219.93200,2.682538352
219.93250,1.766955129
219.93300,1.461760721
219.93350,0.8513719059
219.93400,-0.6746001326
219.93450,-1.895377763
219.93500,-1.590183356
219.93550,-0.6746001326
219.93600,-0.6746001326
219.93650,-2.200572171
219.93700,-3.421349802
219.93750,-3.116155394
219.93800,-2.200572171
219.93850,-1.284988948
219.93900,-1.284988948
219.93950,-1.590183356
219.94000,-2.505766579
219.94050,-3.116155394
219.94100,-2.810960986
219.94150,-2.200572171
219.94200,-2.810960986
219.94250,-3.421349802
219.94300,-3.116155394
219.94350,-1.284988948
219.94400,0.2409830905
219.94450,0.5461774982
219.94500,-0.06421131716
219.94550,-0.06421131716
219.94600,-0.06421131716
219.94650,0.8513719059
219.94700,2.072149537
219.94750,3.292927168
219.94800,3.292927168
219.94850,2.377343944
219.94900,1.461760721
219.94950,1.766955129
219.95000,2.682538352
219.95050,2.98773276
219.95100,1.766955129
219.95150,0.2409830905
219.95200,-0.06421131716
219.95250,0.5461774982
219.95300,1.461760721
219.95350,1.766955129
219.95400,0.8513719059
219.95450,-0.06421131716
219.95500,-1.590183356
219.95550,-2.810960986
219.95600,-3.72654421
219.95650,-4.94732184
219.95700,-6.168099471
219.95750,-6.473293879
219.95800,-5.252516248
219.95850,-3.72654421
219.95900,-3.421349802
219.95950,-4.642127433
219.96000,-5.252516248
219.96050,-4.031738617
219.96100,-3.421349802
219.96150,-4.031738617
219.96200,-4.642127433
219.96250,-3.72654421
219.96300,-2.200572171
219.96350,-1.590183356
219.96400,-1.895377763
219.96450,-0.9797945403
219.96500,0.5461774982
219.96550,1.766955129
219.96600,1.461760721
219.96650,1.156566314
219.96700,2.377343944
219.96750,3.903315983
219.96800,4.208510391
219.96850,3.903315983
219.96900,3.903315983
219.96950,4.208510391
219.97000,4.208510391
219.97050,3.598121575
219.97100,3.598121575
219.97150,4.208510391
219.97200,4.513704798
219.97250,3.903315983
219.97300,2.682538352
219.97350,1.461760721
219.97400,-0.06421131716
219.97450,-0.9797945403
219.97500,-0.9797945403
219.97550,-0.06421131716
219.97600,-0.3694057249
219.97650,-2.200572171
219.97700,-3.72654421
219.97750,-3.72654421
219.97800,-3.116155394
219.97850,-3.72654421
219.97900,-4.94732184
219.97950,-5.252516248
219.98000,-4.336933025
219.98050,-3.116155394
219.98100,-2.505766579
219.98150,-1.590183356
219.98200,-0.06421131716
219.98250,0.5461774982
219.98300,0.2409830905
219.98350,-0.6746001326
219.98400,-1.284988948
219.98450,-0.6746001326
219.98500,0.5461774982
219.98550,2.377343944
219.98600,2.98773276
219.98650,2.682538352
219.98700,2.072149537
219.98750,2.682538352
219.98800,3.598121575
219.98850,3.903315983
219.98900,3.598121575
219.98950,2.98773276
219.99000,3.292927168
219.99050,3.598121575
219.99100,3.598121575
219.99150,3.598121575
219.99200,2.98773276
219.99250,1.766955129
219.99300,-0.06421131716
219.99350,-0.9797945403
219.99400,-0.6746001326
219.99450,-0.6746001326
219.99500,-1.895377763
219.99550,-3.72654421
219.99600,-4.336933025
219.99650,-3.116155394
219.99700,-2.505766579
219.99750,-3.116155394
219.99800,-4.336933025
219.99850,-3.421349802
219.99900,-0.6746001326
219.99950,0.5461774982
220.00000,0.2409830905
220.00050,-0.06421131716
220.00100,-0.06421131716
220.00150,-0.3694057249
220.00200,-0.9797945403
220.00250,-1.590183356
220.00300,-1.284988948
220.00350,-0.6746001326
220.00400,-0.3694057249
220.00450,-0.3694057249
220.00500,0.2409830905
220.00550,0.8513719059
220.00600,1.461760721
220.00650,2.072149537
220.00700,3.598121575
220.00750,5.124093614
220.00800,5.734482429
220.00850,5.734482429
220.00900,5.734482429
220.00950,4.818899206
220.01000,3.598121575
220.01050,2.377343944
220.01100,2.377343944
220.01150,2.98773276
220.01200,2.377343944
220.01250,2.072149537
220.01300,2.072149537
220.01350,2.072149537
220.01400,0.8513719059
220.01450,-0.3694057249
220.01500,-0.06421131716
220.01550,0.5461774982
220.01600,-0.06421131716
220.01650,-1.284988948
220.01700,-2.505766579
220.01750,-1.895377763
220.01800,-1.590183356
220.01850,-2.810960986
220.01900,-4.336933025
220.01950,-4.642127433
220.02000,-3.116155394
220.02050,-1.895377763
220.02100,-0.9797945403
220.02150,-0.9797945403
220.02200,-0.9797945403
220.02250,-0.6746001326
220.02300,-0.06421131716
220.02350,-0.06421131716
220.02400,-0.3694057249
220.02450,-0.6746001326
220.02500,0.2409830905
220.02550,2.377343944
220.02600,3.903315983
220.02650,3.903315983
220.02700,2.98773276
220.02750,3.292927168
220.02800,4.513704798
220.02850,5.429288021
220.02900,5.124093614
220.02950,4.513704798
220.03000,3.903315983
220.03050,3.598121575
220.03100,3.292927168
220.03150,2.377343944
220.03200,1.461760721
220.03250,1.461760721
220.03300,1.461760721
220.03350,1.156566314
220.03400,-0.06421131716
220.03450,-1.284988948
220.03500,-1.284988948
220.03550,-1.284988948
220.03600,-2.200572171
220.03650,-3.72654421
220.03700,-4.94732184
220.03750,-4.94732184
220.03800,-4.94732184
220.03850,-5.557710656
220.03900,-6.168099471
220.03950,-6.168099471
220.04000,-5.557710656
220.04050,-4.336933025
220.04100,-3.421349802
220.04150,-2.505766579
220.04200,-1.895377763
220.04250,-1.284988948
220.04300,-0.6746001326
220.04350,-0.06421131716
220.04400,0.8513719059
220.04450,1.461760721
220.04500,1.766955129
220.04550,1.766955129
220.04600,1.461760721
220.04650,2.072149537
220.04700,3.292927168
220.04750,4.513704798
220.04800,4.818899206
220.04850,4.513704798
220.04900,3.903315983
220.04950,2.682538352
220.05000,1.156566314
220.05050,-0.06421131716
220.05100,0.5461774982
220.05150,1.766955129
220.05200,2.072149537
220.05250,0.8513719059
220.05300,-0.3694057249
220.05350,-0.9797945403
220.05400,-0.9797945403
220.05450,-1.895377763
220.05500,-3.72654421
220.05550,-4.642127433
220.05600,-4.642127433
220.05650,-4.031738617
220.05700,-4.336933025
220.05750,-5.252516248
220.05800,-6.473293879
220.05850,-6.778488287
220.05900,-6.168099471
220.05950,-4.94732184
220.06000,-4.031738617
220.06050,-3.72654421
220.06100,-3.72654421
220.06150,-3.72654421
220.06200,-2.810960986
220.06250,-2.200572171
220.06300,-1.895377763
220.06350,-1.284988948
220.06400,-0.9797945403
220.06450,-1.284988948
220.06500,-1.590183356
220.06550,-0.6746001326
220.06600,0.5461774982
220.06650,1.766955129
220.06700,2.072149537
220.06750,2.682538352
220.06800,3.598121575
220.06850,4.513704798
220.06900,4.513704798
220.06950,3.903315983
220.07000,2.98773276
220.07050,1.766955129
220.07100,0.8513719059
220.07150,1.461760721
220.07200,2.377343944
220.07250,2.377343944
220.07300,1.156566314
220.07350,0.5461774982
220.07400,0.5461774982
220.07450,0.5461774982
220.07500,-0.3694057249
220.07550,-2.200572171
220.07600,-2.810960986
220.07650,-3.116155394
220.07700,-3.116155394
220.07750,-3.116155394
220.07800,-2.810960986
220.07850,-2.810960986
220.07900,-3.421349802
220.07950,-4.336933025
220.08000,-3.72654421
220.08050,-2.505766579
220.08100,-1.590183356
220.08150,-1.895377763
220.08200,-2.200572171
220.08250,-2.200572171
220.08300,-1.895377763
220.08350,-1.590183356
220.08400,-0.3694057249
220.08450,1.461760721
220.08500,3.292927168
220.08550,3.903315983
220.08600,3.903315983
220.08650,4.513704798
220.08700,5.734482429
220.08750,6.650065652
220.08800,6.344871245
220.08850,5.429288021
220.08900,4.513704798
220.08950,4.208510391
220.09000,4.208510391
220.09050,4.513704798
220.09100,4.208510391
220.09150,3.598121575
220.09200,2.98773276
220.09250,2.98773276
220.09300,2.98773276
220.09350,2.377343944
220.09400,0.8513719059
220.09450,-0.6746001326
220.09500,-1.590183356
220.09550,-1.284988948
220.09600,-0.9797945403
220.09650,-1.284988948
220.09700,-2.200572171
220.09750,-4.031738617
220.09800,-5.252516248
220.09850,-4.642127433
220.09900,-3.116155394
220.09950,-2.200572171
220.10000,-3.116155394
220.10050,-3.72654421
220.10100,-3.421349802
220.10150,-2.200572171
220.10200,-1.284988948
220.10250,-0.9797945403
220.10300,-0.6746001326
220.10350,-0.06421131716
220.10400,0.2409830905
220.10450,0.8513719059
220.10500,1.766955129
220.10550,3.598121575
220.10600,5.124093614
220.10650,5.124093614
220.10700,4.818899206
220.10750,5.124093614
220.10800,6.039676837
220.10850,6.039676837
220.10900,4.818899206
220.10950,2.98773276
220.11000,2.072149537
220.11050,2.377343944
220.11100,3.292927168
220.11150,3.598121575
220.11200,2.682538352
220.11250,1.766955129
220.11300,0.8513719059
220.11350,0.8513719059
220.11400,-0.06421131716
220.11450,-1.895377763
220.11500,-3.421349802
220.11550,-3.72654421
220.11600,-3.116155394
220.11650,-3.116155394
220.11700,-3.72654421
220.11750,-4.031738617
220.11800,-3.72654421
220.11850,-3.116155394
220.11900,-3.116155394
220.11950,-3.72654421
220.12000,-3.421349802
220.12050,-2.505766579
220.12100,-1.284988948
220.12150,-0.6746001326
220.12200,-1.284988948
220.12250,-1.895377763
220.12300,-1.895377763
220.12350,-1.590183356
220.12400,-1.895377763
220.12450,-2.200572171
220.12500,-1.284988948
220.12550,-0.06421131716
220.12600,0.5461774982
220.12650,0.8513719059
220.12700,2.072149537
220.12750,4.208510391
220.12800,5.124093614
220.12850,4.208510391
220.12900,2.377343944
220.12950,2.072149537
220.13000,2.377343944
220.13050,2.98773276
220.13100,2.377343944
220.13150,1.461760721
220.13200,0.8513719059
220.13250,0.5461774982
220.13300,0.8513719059
220.13350,0.2409830905
220.13400,-0.9797945403
220.13450,-2.505766579
220.13500,-2.200572171
220.13550,-0.9797945403
220.13600,-0.06421131716
220.13650,-0.9797945403
220.13700,-2.810960986
220.13750,-4.031738617
220.13800,-4.031738617
220.13850,-4.031738617
220.13900,-3.72654421
220.13950,-4.031738617
220.14000,-4.94732184
220.14050,-5.862905063
220.14100,-4.94732184
220.14150,-3.421349802
220.14200,-1.895377763
220.14250,-1.895377763
220.14300,-2.200572171
220.14350,-1.895377763
220.14400,-0.9797945403
220.14450,-0.6746001326
220.14500,-0.6746001326
220.14550,-0.06421131716
220.14600,0.5461774982
220.14650,0.5461774982
220.14700,0.5461774982
220.14750,1.461760721
220.14800,3.292927168
220.14850,4.513704798
220.14900,4.208510391
220.14950,2.98773276
220.15000,2.682538352
220.15050,2.98773276
220.15100,2.98773276
220.15150,2.377343944
220.15200,1.461760721
220.15250,0.5461774982
220.15300,-0.06421131716
220.15350,-0.9797945403
220.15400,-1.590183356
220.15450,-2.200572171
220.15500,-3.116155394
220.15550,-3.72654421
220.15600,-3.421349802
220.15650,-2.810960986
220.15700,-2.810960986
220.15750,-2.810960986
220.15800,-2.200572171
220.15850,-1.284988948
220.15900,-0.6746001326
220.15950,-2.200572171
220.16000,-3.72654421
220.16050,-3.72654421
220.16100,-2.200572171
220.16150,-0.9797945403
220.16200,-0.9797945403
220.16250,-1.590183356
220.16300,-1.284988948
220.16350,0.2409830905
220.16400,1.766955129
220.16450,2.377343944
220.16500,2.377343944
220.16550,2.98773276
220.16600,3.903315983
220.16650,3.903315983
220.16700,3.292927168
220.16750,3.292927168
220.16800,4.513704798
220.16850,4.818899206
