"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",98.96000,2000,22000,"uV"

"time","value"
98.96000,0.6678892111
98.96050,1.888666842
98.96100,4.025027696
98.96150,5.245805327
98.96200,4.635416511
98.96250,3.41463888
98.96300,2.804250065
98.96350,2.804250065
98.96400,0.3626948034
98.96450,-3.910026904
98.96500,-7.572359797
98.96550,-8.182748612
98.96600,-5.435998943
98.96650,-2.078860458
98.96700,0.6678892111
98.96750,2.804250065
98.96800,2.19386125
98.96850,-0.5528884197
98.96900,-4.215221312
98.96950,-7.267165389
98.97000,-11.5398871
98.97050,-17.64377525
98.97100,-23.13727459
98.97150,-22.83208018
98.97200,-16.72819203
98.97250,-10.92949828
98.97300,-10.01391506
98.97350,-10.92949828
98.97400,-6.046387758
98.97450,6.16138855
98.97500,19.28474808
98.97550,24.77824742
98.97600,22.03149775
98.97650,16.232804
98.97700,11.34969348
98.97750,4.940610919
98.97800,-2.689249274
98.97850,-8.793137428
98.97900,-12.15027591
98.97950,-14.28663677
98.98000,-17.03338644
98.98050,-18.55935847
98.98100,-18.25416407
98.98150,-18.25416407
98.98200,-17.03338644
98.98250,-6.961970981
98.98300,12.57047111
98.98350,29.96655235
98.98400,35.15485728
98.98450,32.40810761
98.98500,30.88213557
98.98550,29.96655235
98.98600,23.25227538
98.98650,12.87566552
98.98700,7.076971773
98.98750,4.330222103
98.98800,-3.604832497
98.98850,-15.8126088
98.98900,-21.91649696
98.98950,-20.39052492
98.99000,-19.16974729
98.99050,-19.16974729
98.99100,-8.793137428
98.99150,13.79124874
98.99200,32.71330202
98.99250,31.7977188
98.99300,15.9276096
98.99350,1.888666842
98.99400,-1.163277235
98.99450,0.9730836188
98.99500,4.025027696
98.99550,6.16138855
98.99600,5.856194142
98.99650,3.719833288
98.99700,3.109444473
98.99750,6.771777365
98.99800,11.65488789
98.99850,11.65488789
98.99900,5.550999734
98.99950,-3.299638089
99.00000,-11.8450815
99.00050,-18.86455288
99.00100,-22.83208018
99.00150,-23.13727459
99.00200,-21.61130255
99.00250,-17.64377525
99.00300,-10.01391506
99.00350,0.3626948034
99.00400,7.687360588
99.00450,6.771777365
99.00500,-1.163277235
99.00550,-8.182748612
99.00600,-9.403526243
99.00650,-6.351582166
99.00700,-3.299638089
99.00750,-1.773666051
99.00800,-1.468471643
99.00850,-1.468471643
99.00900,-1.468471643
99.00950,-2.078860458
99.01000,-2.994443681
99.01050,-4.52041572
99.01100,-5.435998943
99.01150,-5.130804535
99.01200,-4.52041572
99.01250,-3.910026904
99.01300,-3.604832497
99.01350,-3.604832497
99.01400,-3.299638089
99.01450,-2.384054866
99.01500,-0.5528884197
99.01550,0.3626948034
99.01600,0.6678892111
99.01650,-0.247694012
99.01700,-1.773666051
99.01750,-3.299638089
99.01800,-4.825610128
99.01850,-5.741193351
99.01900,-5.741193351
99.01950,-6.046387758
99.02000,-7.877554205
99.02050,-8.793137428
99.02100,-5.741193351
99.02150,0.3626948034
99.02200,7.687360588
99.02250,12.87566552
99.02300,15.01202637
99.02350,14.40163756
99.02400,13.18085993
99.02450,13.48605433
99.02500,13.79124874
99.02550,8.602943811
99.02600,-2.994443681
99.02650,-15.8126088
99.02700,-21.30610814
99.02750,-19.7801361
99.02800,-17.64377525
99.02850,-17.03338644
99.02900,-15.20221999
99.02950,-9.708720651
99.03000,-4.215221312
99.03050,-1.468471643
99.03100,-0.5528884197
99.03150,0.05750039565
99.03200,0.3626948034
99.03250,0.3626948034
99.03300,1.583472434
99.03350,3.719833288
99.03400,4.940610919
99.03450,4.330222103
99.03500,3.719833288
99.03550,3.41463888
99.03600,1.278278026
99.03650,-1.773666051
99.03700,-2.384054866
99.03750,0.05750039565
99.03800,3.41463888
99.03850,4.025027696
99.03900,2.499055657
99.03950,1.888666842
99.04000,1.278278026
99.04050,0.3626948034
99.04100,0.05750039565
99.04150,1.583472434
99.04200,4.025027696
99.04250,5.245805327
99.04300,5.856194142
99.04350,6.771777365
99.04400,6.771777365
99.04450,6.16138855
99.04500,7.38216618
99.04550,11.65488789
99.04600,17.14838723
99.04650,19.28474808
99.04700,17.75877604
99.04750,18.06397045
99.04800,21.72630334
99.04850,24.1678586
99.04900,18.67435927
99.04950,5.856194142
99.05000,-7.267165389
99.05050,-13.98144236
99.05100,-14.28663677
99.05150,-14.89702558
99.05200,-20.39052492
99.05250,-29.24116274
99.05300,-35.03985649
99.05350,-32.29310682
99.05400,-20.08533051
99.05450,-3.604832497
99.05500,9.213332627
99.05550,14.09644315
99.05600,11.34969348
99.05650,5.856194142
99.05700,0.05750039565
99.05750,-6.046387758
99.05800,-12.76066473
99.05850,-17.33858084
99.05900,-17.03338644
99.05950,-13.67624795
99.06000,-10.01391506
99.06050,-7.267165389
99.06100,-3.299638089
99.06150,0.05750039565
99.06200,1.278278026
99.06250,-0.8580828275
99.06300,-2.689249274
99.06350,-1.773666051
99.06400,0.05750039565
99.06450,-0.247694012
99.06500,-1.773666051
99.06550,-2.994443681
99.06600,-3.604832497
99.06650,-4.52041572
99.06700,-4.825610128
99.06750,-2.078860458
99.06800,3.719833288
99.06850,10.12891585
99.06900,15.01202637
99.06950,17.75877604
99.07000,18.36916486
99.07050,18.97955367
99.07100,19.58994249
99.07150,16.53799841
99.07200,5.856194142
99.07250,-11.5398871
99.07300,-26.79960748
99.07350,-31.3775236
99.07400,-26.49441307
99.07450,-18.55935847
99.07500,-12.45547032
99.07550,-6.351582166
99.07600,-0.5528884197
99.07650,3.719833288
99.07700,6.16138855
99.07750,8.602943811
99.07800,11.9600823
99.07850,13.79124874
99.07900,11.65488789
99.07950,7.992554996
99.08000,7.687360588
99.08050,9.823721442
99.08100,11.04449907
99.08150,7.992554996
99.08200,1.888666842
99.08250,-2.689249274
99.08300,-4.52041572
99.08350,-2.689249274
99.08400,0.9730836188
99.08450,4.635416511
99.08500,7.076971773
99.08550,6.771777365
99.08600,4.635416511
99.08650,2.499055657
99.08700,1.888666842
99.08750,2.499055657
99.08800,3.41463888
99.08850,4.330222103
99.08900,4.635416511
99.08950,4.940610919
99.09000,6.16138855
99.09050,7.076971773
99.09100,7.076971773
99.09150,6.16138855
99.09200,5.550999734
99.09250,4.940610919
99.09300,4.330222103
99.09350,3.41463888
99.09400,3.41463888
99.09450,4.635416511
99.09500,4.940610919
99.09550,2.499055657
99.09600,0.05750039565
99.09650,-0.5528884197
99.09700,0.3626948034
99.09750,1.278278026
99.09800,1.888666842
99.09850,3.41463888
99.09900,4.940610919
99.09950,5.245805327
99.10000,4.025027696
99.10050,3.719833288
99.10100,4.330222103
99.10150,3.719833288
99.10200,2.499055657
99.10250,1.583472434
99.10300,1.888666842
99.10350,1.888666842
99.10400,1.278278026
99.10450,1.278278026
99.10500,1.278278026
99.10550,0.05750039565
99.10600,-2.078860458
99.10650,-2.994443681
99.10700,-2.384054866
99.10750,-2.078860458
99.10800,-2.384054866
99.10850,-2.384054866
99.10900,-1.468471643
99.10950,0.05750039565
99.11000,1.278278026
99.11050,2.804250065
99.11100,3.109444473
99.11150,1.278278026
99.11200,0.3626948034
99.11250,2.499055657
99.11300,5.550999734
99.11350,5.856194142
99.11400,2.804250065
99.11450,1.278278026
99.11500,1.888666842
99.11550,1.278278026
99.11600,-1.773666051
99.11650,-5.435998943
99.11700,-8.48794302
99.11750,-12.15027591
99.11800,-16.11780321
99.11850,-17.64377525
99.11900,-15.8126088
99.11950,-13.06585914
99.12000,-11.8450815
99.12050,-12.45547032
99.12100,-16.11780321
99.12150,-23.442469
99.12200,-28.93596834
99.12250,-27.4099963
99.12300,-20.39052492
99.12350,-15.20221999
99.12400,-9.708720651
99.12450,4.635416511
99.12500,30.27174676
99.12550,51.02496648
99.12600,51.02496648
99.12650,32.1029132
99.12700,9.823721442
99.12750,-2.994443681
99.12800,-6.351582166
99.12850,-2.689249274
99.12900,4.635416511
99.12950,11.34969348
99.13000,11.9600823
99.13050,5.550999734
99.13100,-1.773666051
99.13150,-6.351582166
99.13200,-7.267165389
99.13250,-5.741193351
99.13300,-3.604832497
99.13350,-1.163277235
99.13400,0.3626948034
99.13450,0.3626948034
99.13500,-0.8580828275
99.13550,-2.689249274
99.13600,-2.384054866
99.13650,-0.247694012
99.13700,1.888666842
99.13750,4.025027696
99.13800,6.16138855
99.13850,9.213332627
99.13900,10.73930467
99.13950,9.518527034
99.14000,7.076971773
99.14050,5.245805327
99.14100,3.109444473
99.14150,-2.078860458
99.14200,-10.31910947
99.14250,-16.11780321
99.14300,-15.20221999
99.14350,-10.31910947
99.14400,-5.741193351
99.14450,-3.604832497
99.14500,-2.689249274
99.14550,-2.689249274
99.14600,-2.689249274
99.14650,-2.078860458
99.14700,-0.5528884197
99.14750,0.05750039565
99.14800,-0.247694012
99.14850,-1.468471643
99.14900,-2.078860458
99.14950,-1.773666051
99.15000,-2.078860458
99.15050,-2.689249274
99.15100,-2.689249274
99.15150,-0.8580828275
99.15200,0.6678892111
99.15250,0.9730836188
99.15300,0.05750039565
99.15350,-0.5528884197
99.15400,0.05750039565
99.15450,0.05750039565
99.15500,-0.8580828275
99.15550,-1.163277235
99.15600,0.05750039565
99.15650,0.9730836188
99.15700,0.3626948034
99.15750,-0.5528884197
99.15800,-0.5528884197
99.15850,0.05750039565
99.15900,0.3626948034
99.15950,0.3626948034
99.16000,2.499055657
99.16050,5.550999734
99.16100,6.16138855
99.16150,5.245805327
99.16200,5.856194142
99.16250,7.076971773
99.16300,5.550999734
99.16350,0.05750039565
99.16400,-3.910026904
99.16450,-5.130804535
99.16500,-6.351582166
99.16550,-8.793137428
99.16600,-10.01391506
99.16650,-8.48794302
99.16700,-6.351582166
99.16750,-6.351582166
99.16800,-6.351582166
99.16850,-4.52041572
99.16900,-2.994443681
99.16950,-2.078860458
99.17000,0.05750039565
99.17050,5.245805327
99.17100,9.823721442
99.17150,11.04449907
99.17200,10.12891585
99.17250,8.908138219
99.17300,6.16138855
99.17350,2.19386125
99.17400,-0.247694012
99.17450,-2.078860458
99.17500,-6.046387758
99.17550,-11.5398871
99.17600,-13.67624795
99.17650,-10.01391506
99.17700,-3.910026904
99.17750,-0.8580828275
99.17800,-0.247694012
99.17850,0.05750039565
99.17900,-0.247694012
99.17950,-3.604832497
99.18000,-9.708720651
99.18050,-16.11780321
99.18100,-20.69571933
99.18150,-23.13727459
99.18200,-24.35805222
99.18250,-25.57882985
99.18300,-24.35805222
99.18350,-13.37105354
99.18400,7.687360588
99.18450,28.44058031
99.18500,35.7652461
99.18550,31.18732998
99.18600,27.52499709
99.18650,29.96655235
99.18700,30.57694117
99.18750,23.25227538
99.18800,12.57047111
99.18850,5.856194142
99.18900,4.025027696
99.18950,3.109444473
99.19000,2.804250065
99.19050,4.330222103
99.19100,6.16138855
99.19150,6.466582957
99.19200,6.771777365
99.19250,7.076971773
99.19300,4.940610919
99.19350,0.3626948034
99.19400,-2.078860458
99.19450,-0.5528884197
99.19500,0.05750039565
99.19550,-1.773666051
99.19600,-3.910026904
99.19650,-1.773666051
99.19700,0.3626948034
99.19750,-3.299638089
99.19800,-12.76066473
99.19850,-19.4749417
99.19900,-17.94896966
99.19950,-10.01391506
99.20000,-0.247694012
99.20050,8.297749404
99.20100,14.40163756
99.20150,16.232804
99.20200,13.79124874
99.20250,9.823721442
99.20300,7.076971773
99.20350,4.940610919
99.20400,2.19386125
99.20450,-0.8580828275
99.20500,-5.130804535
99.20550,-11.8450815
99.20600,-20.08533051
99.20650,-25.88402426
99.20700,-25.88402426
99.20750,-20.69571933
99.20800,-15.5074144
99.20850,-12.76066473
99.20900,-11.5398871
99.20950,-10.01391506
99.21000,-7.877554205
99.21050,-6.656776574
99.21100,-5.435998943
99.21150,-3.910026904
99.21200,-2.078860458
99.21250,-0.8580828275
99.21300,-0.8580828275
99.21350,-1.163277235
99.21400,-1.468471643
99.21450,-0.8580828275
99.21500,0.3626948034
99.21550,1.888666842
99.21600,2.499055657
99.21650,2.19386125
99.21700,2.19386125
99.21750,2.499055657
99.21800,2.19386125
99.21850,0.9730836188
99.21900,0.05750039565
99.21950,0.9730836188
99.22000,3.719833288
99.22050,6.771777365
99.22100,9.213332627
99.22150,9.213332627
99.22200,6.771777365
99.22250,2.804250065
99.22300,-0.247694012
99.22350,-1.468471643
99.22400,-1.468471643
99.22450,-1.773666051
99.22500,-1.163277235
99.22550,0.9730836188
99.22600,3.719833288
99.22650,4.330222103
99.22700,3.109444473
99.22750,2.19386125
99.22800,3.109444473
99.22850,3.719833288
99.22900,3.41463888
99.22950,2.499055657
99.23000,0.3626948034
99.23050,-2.994443681
99.23100,-6.656776574
99.23150,-6.656776574
99.23200,-2.689249274
99.23250,0.9730836188
99.23300,0.6678892111
99.23350,-0.8580828275
99.23400,-0.8580828275
99.23450,0.9730836188
99.23500,3.109444473
99.23550,4.940610919
99.23600,5.856194142
99.23650,5.245805327
99.23700,2.804250065
