"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",120.96000,2000,22000,"uV"

"time","value"
120.96000,1.806000491
120.96050,6.994305421
120.96100,9.741055091
120.96150,12.48780476
120.96200,16.45533206
120.96250,18.28649851
120.96300,16.76052647
120.96350,15.53974884
120.96400,18.59169291
120.96450,22.55922021
120.96500,21.33844258
120.96550,16.15013765
120.96600,14.0137768
120.96650,17.06572088
120.96700,18.89688732
120.96750,13.40338798
120.96800,1.806000491
120.96850,-9.180998187
120.96900,-16.20046956
120.96950,-18.03163601
120.97000,-15.89527516
120.97050,-11.31735904
120.97100,-7.34983174
120.97150,-4.603082071
120.97200,-1.551137994
120.97250,3.331972529
120.97300,9.130666275
120.97350,12.79299917
120.97400,12.48780476
120.97450,10.35144391
120.97500,10.35144391
120.97550,12.48780476
120.97600,13.09819358
120.97650,8.52027746
120.97700,0.8904172674
120.97750,-3.992693256
120.97800,-4.603082071
120.97850,-2.466721217
120.97900,-0.6355547711
120.97950,-0.02516595566
120.98000,1.500806083
120.98050,2.416389306
120.98100,1.806000491
120.98150,0.280028452
120.98200,0.280028452
120.98250,2.111194898
120.98300,3.637166937
120.98350,3.637166937
120.98400,1.806000491
120.98450,-1.245943586
120.98500,-5.213470887
120.98550,-8.265414964
120.98600,-8.875803779
120.98650,-7.044637333
120.98700,-6.12905411
120.98750,-6.739442925
120.98800,-7.655026148
120.98850,-5.823859702
120.98900,-2.771915625
120.98950,-1.551137994
120.99000,-2.771915625
120.99050,-3.38230444
120.99100,-1.551137994
120.99150,0.5852228597
120.99200,1.500806083
120.99250,1.195611675
120.99300,2.111194898
120.99350,5.468333383
120.99400,8.825471868
120.99450,10.0462495
120.99500,9.130666275
120.99550,7.604694237
120.99600,5.163138975
120.99650,0.5852228597
120.99700,-3.38230444
120.99750,-3.38230444
120.99800,3.026778121
120.99850,12.48780476
120.99900,20.11766495
120.99950,23.77999785
121.00000,25.00077548
121.00050,25.9163587
121.00100,26.83194192
121.00150,26.22155311
121.00200,21.64363699
121.00250,12.48780476
121.00300,2.111194898
121.00350,-4.603082071
121.00400,-6.739442925
121.00450,-7.34983174
121.00500,-10.70697023
121.00550,-15.89527516
121.00600,-20.47319127
121.00650,-24.44071857
121.00700,-30.54460673
121.00750,-39.39524455
121.00800,-48.24588237
121.00850,-54.04457612
121.00900,-56.48613138
121.00950,-54.96015934
121.01000,-50.07704882
121.01050,-43.66796626
121.01100,-36.34330047
121.01150,-28.10305146
121.01200,-19.25241364
121.01250,-11.31735904
121.01300,-7.044637333
121.01350,-5.823859702
121.01400,-5.213470887
121.01450,-3.077110033
121.01500,-0.3303603634
121.01550,2.721583714
121.01600,6.078722198
121.01650,9.130666275
121.01700,11.57222154
121.01750,13.70858239
121.01800,15.84494324
121.01850,17.37091528
121.01900,17.06572088
121.01950,16.45533206
121.02000,17.06572088
121.02050,18.28649851
121.02100,18.59169291
121.02150,18.89688732
121.02200,20.72805377
121.02250,23.77999785
121.02300,24.69558107
121.02350,21.9488314
121.02400,19.20208173
121.02450,19.20208173
121.02500,22.86441462
121.02550,28.66310837
121.02600,34.15660771
121.02650,36.90335738
121.02700,34.15660771
121.02750,25.9163587
121.02800,15.53974884
121.02850,6.383916606
121.02900,1.500806083
121.02950,1.500806083
121.03000,2.111194898
121.03050,-0.6355547711
121.03100,-8.570609371
121.03150,-18.33683042
121.03200,-24.74591298
121.03250,-26.27188502
121.03300,-25.6614962
121.03350,-23.52513535
121.03400,-19.25241364
121.03450,-13.45371989
121.03500,-8.875803779
121.03550,-7.960220556
121.03600,-7.960220556
121.03650,-5.518665294
121.03700,0.280028452
121.03750,7.604694237
121.03800,12.79299917
121.03850,14.62416561
121.03900,12.18261035
121.03950,6.994305421
121.04000,-0.02516595566
121.04050,-4.603082071
121.04100,-4.603082071
121.04150,-1.245943586
121.04200,1.806000491
121.04250,3.026778121
121.04300,3.331972529
121.04350,3.942361344
121.04400,4.55275016
121.04450,3.637166937
121.04500,2.721583714
121.04550,3.026778121
121.04600,4.857944568
121.04650,5.468333383
121.04700,3.637166937
121.04750,-0.02516595566
121.04800,-3.077110033
121.04850,-4.908276479
121.04900,-6.12905411
121.04950,-7.655026148
121.05000,-8.875803779
121.05050,-9.180998187
121.05100,-8.265414964
121.05150,-7.655026148
121.05200,-9.486192594
121.05250,-12.53813667
121.05300,-15.28488634
121.05350,-16.20046956
121.05400,-15.28488634
121.05450,-13.7589143
121.05500,-11.92774786
121.05550,-9.486192594
121.05600,-6.434248517
121.05650,-3.077110033
121.05700,0.280028452
121.05750,3.331972529
121.05800,6.689111014
121.05850,10.65663831
121.05900,15.84494324
121.05950,21.33844258
121.06000,24.69558107
121.06050,24.39038666
121.06100,21.33844258
121.06150,17.37091528
121.06200,12.48780476
121.06250,6.689111014
121.06300,2.416389306
121.06350,2.111194898
121.06400,7.604694237
121.06450,15.23455443
121.06500,21.64363699
121.06550,25.00077548
121.06600,25.30596988
121.06650,22.55922021
121.06700,16.76052647
121.06750,8.825471868
121.06800,-0.02516595566
121.06850,-8.875803779
121.06900,-17.42124719
121.06950,-23.52513535
121.07000,-25.6614962
121.07050,-25.96669061
121.07100,-28.10305146
121.07150,-31.15499554
121.07200,-29.6290235
121.07250,-20.16799686
121.07300,-7.960220556
121.07350,-0.3303603634
121.07400,0.8904172674
121.07450,0.8904172674
121.07500,2.111194898
121.07550,2.721583714
121.07600,1.195611675
121.07650,1.500806083
121.07700,5.773527791
121.07750,10.35144391
121.07800,8.52027746
121.07850,1.500806083
121.07900,-1.551137994
121.07950,2.111194898
121.08000,9.130666275
121.08050,10.96183272
121.08100,7.604694237
121.08150,3.637166937
121.08200,2.416389306
121.08250,3.637166937
121.08300,4.55275016
121.08350,5.163138975
121.08400,4.857944568
121.08450,3.637166937
121.08500,1.500806083
121.08550,-0.3303603634
121.08600,-0.9407491788
121.08650,-1.551137994
121.08700,-3.992693256
121.08750,-7.960220556
121.08800,-11.31735904
121.08850,-12.84333108
121.08900,-12.84333108
121.08950,-13.7589143
121.09000,-15.28488634
121.09050,-15.28488634
121.09100,-13.14852549
121.09150,-10.40177582
121.09200,-9.180998187
121.09250,-9.486192594
121.09300,-9.180998187
121.09350,-8.570609371
121.09400,-8.265414964
121.09450,-8.875803779
121.09500,-7.044637333
121.09550,-2.466721217
121.09600,2.416389306
121.09650,6.689111014
121.09700,10.96183272
121.09750,17.67610969
121.09800,25.00077548
121.09850,29.57869159
121.09900,29.883886
121.09950,29.27349718
121.10000,28.05271955
121.10050,24.39038666
121.10100,15.84494324
121.10150,4.247555752
121.10200,-5.823859702
121.10250,-12.53813667
121.10300,-14.06410871
121.10350,-10.70697023
121.10400,-4.603082071
121.10450,-0.02516595566
121.10500,0.5852228597
121.10550,-0.3303603634
121.10600,-1.245943586
121.10650,-1.551137994
121.10700,-2.771915625
121.10750,-4.908276479
121.10800,-7.34983174
121.10850,-9.486192594
121.10900,-10.09658141
121.10950,-9.486192594
121.11000,-7.34983174
121.11050,-6.12905411
121.11100,-7.044637333
121.11150,-8.875803779
121.11200,-8.875803779
121.11250,-6.739442925
121.11300,-3.992693256
121.11350,-2.16152681
121.11400,-0.3303603634
121.11450,1.195611675
121.11500,2.721583714
121.11550,4.55275016
121.11600,6.994305421
121.11650,9.435860683
121.11700,12.18261035
121.11750,16.45533206
121.11800,19.81247054
121.11850,17.9813041
121.11900,9.741055091
