time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
131.96,-11.01216463,16.2480561,3.41463888,-0.6151169646,-8.178935589
131.9605,-10.70697023,-0.5376363254,3.719833288,0.3004662585,3.113257496
131.961,-10.09658141,-8.472690926,5.856194142,-0.004728149245,11.65870091
131.9615,-9.486192594,-10.60905178,7.687360588,-1.835894595,10.74311769
131.962,-8.570609371,-13.66099586,7.38216618,-2.446283411,4.944423942
131.9625,-7.34983174,-19.4596896,4.025027696,-1.835894595,0.06131341924
131.963,-5.213470887,-28.61552183,0.3626948034,-1.530700188,-2.380241842
131.9635,-3.687498848,-40.21290933,-0.8580828275,-1.835894595,-4.516602696
131.964,-3.077110033,-48.45315833,-0.247694012,-1.22550578,-6.042574735
131.9645,-3.687498848,-44.18043663,0.9730836188,-0.004728149245,-6.347769142
131.965,-3.38230444,-28.92071624,0.9730836188,-0.004728149245,-5.432185919
131.9655,-1.551137994,-13.35580145,0.3626948034,-1.530700188,-3.906213881
131.966,0.5852228597,-5.725941256,0.3626948034,-3.056672226,-3.295825065
131.9665,2.111194898,-4.505163626,1.583472434,-2.446283411,-3.295825065
131.967,3.331972529,-5.115552441,2.499055657,-1.530700188,-4.211408289
131.9675,4.857944568,-6.031135664,2.19386125,-1.530700188,-4.211408289
131.968,6.689111014,-5.420746849,1.888666842,-2.446283411,-3.295825065
131.9685,6.994305421,-0.2324419177,2.19386125,-2.446283411,-3.295825065
131.969,5.468333383,8.313001498,2.499055657,-0.6151169646,-2.075047435
131.9695,3.331972529,13.80650084,1.583472434,0.6056606662,3.723646312
131.97,2.111194898,11.67013998,0.05750039565,0.6056606662,12.87947854
131.9705,2.111194898,7.397418275,-1.468471643,0.3004662585,17.45739466
131.971,3.637166937,5.566251829,-2.994443681,1.216049482,13.48986736
131.9715,5.468333383,4.345474198,-3.910026904,3.352410335,7.385979204
131.972,6.078722198,2.514307752,-3.299638089,4.573187966,5.554812758
131.9725,4.857944568,4.955863013,-1.163277235,4.267993559,6.165201573
131.973,2.111194898,14.11169524,0.9730836188,3.352410335,4.028840719
131.9735,0.8904172674,20.2155834,2.19386125,2.436827112,1.587285458
131.974,2.111194898,11.05975117,2.499055657,1.216049482,5.860007166
131.9745,3.637166937,-9.998662964,3.109444473,-0.3099225569,15.62622821
131.975,3.026778121,-28.00513302,3.719833288,-0.004728149245,20.20414433
131.9755,1.806000491,-29.22591065,4.330222103,3.657604743,11.65870091
131.976,1.806000491,-16.40774553,5.245805327,5.488771189,-5.126991512
131.9765,2.721583714,0.3779468977,6.466582957,-1.835894595,-19.77632308
131.977,1.195611675,14.11169524,7.076971773,-18.0111982,-24.6594336
131.9775,-3.687498848,20.52077781,6.466582957,-32.05014096,-20.08151749
131.978,-11.31735904,19.91038899,4.635416511,-33.576113,-12.7568517
131.9785,-19.55760805,15.02727847,3.109444473,-23.50469754,-10.01010203
131.979,-26.57707943,11.05975117,2.804250065,-10.68653242,-15.19840697
131.9795,-29.6290235,10.14416794,4.330222103,-3.361866634,-24.6594336
131.98,-27.79785706,10.44936235,5.856194142,-1.530700188,-31.67890498
131.9805,-24.13552416,10.14416794,5.550999734,-1.530700188,-33.51007143
131.981,-22.30435772,8.923390313,3.109444473,-0.6151169646,-33.20487702
131.9815,-23.52513535,8.00780709,0.9730836188,0.9108550739,-34.12046024
131.982,-25.6614962,8.00780709,0.6678892111,1.826438297,-34.12046024
131.9825,-26.57707943,8.618195906,0.6678892111,1.826438297,-30.45812735
131.983,-26.27188502,8.923390313,-0.247694012,1.826438297,-24.3542392
131.9835,-25.35630179,8.00780709,-1.163277235,1.826438297,-20.3867119
131.984,-22.91474653,6.787029459,-0.8580828275,0.9108550739,-19.77632308
131.9845,-18.64202483,5.261057421,-1.468471643,-1.530700188,-19.16593427
131.985,-13.14852549,3.735085382,-6.351582166,-4.277449857,-16.4191846
131.9855,-7.655026148,1.598724528,-13.06585914,-4.277449857,-12.7568517
131.986,-2.466721217,-0.5376363254,-17.33858084,-3.361866634,-9.39971322
131.9865,0.5852228597,-2.673997179,-18.86455288,-4.887838672,-4.821797104
131.987,2.111194898,-4.505163626,-21.91649696,-9.465754788,1.28209105
131.9875,3.331972529,-5.115552441,-26.18921867,-12.51769887,6.775590389
131.988,6.078722198,-3.89477481,-25.57882985,-10.68653242,8.911951243
131.9885,8.825471868,-0.8428307331,-15.5074144,-5.19303308,9.522340058
131.989,9.741055091,0.6831413054,0.9730836188,-0.004728149245,10.13272887
131.9895,10.0462495,0.3779468977,16.84319282,2.436827112,10.74311769
131.99,11.57222154,-0.2324419177,25.69383064,1.826438297,9.522340058
131.9905,13.70858239,-0.2324419177,24.77824742,0.3004662585,8.911951243
131.991,14.31897121,-0.2324419177,16.84319282,-0.004728149245,13.79506177
131.9915,14.0137768,-2.979191587,7.38216618,2.436827112,22.64569959
131.992,16.15013765,-6.336330072,2.499055657,5.183576782,28.74958774
131.9925,20.42285936,-6.946718887,2.19386125,6.099160005,29.05478215
131.993,23.47480344,-5.725941256,3.109444473,5.183576782,26.9184213
131.9935,22.86441462,-5.420746849,2.804250065,5.183576782,26.61322689
131.994,20.11766495,-6.946718887,4.330222103,6.099160005,25.69764367
131.9945,18.28649851,-7.86230211,8.297749404,5.793965597,20.81453314
131.995,17.67610969,-6.946718887,11.04449907,3.657604743,11.0483121
131.9955,17.37091528,-5.115552441,8.908138219,1.826438297,0.06131341924
131.996,16.76052647,-4.199969218,3.41463888,2.436827112,-9.39971322
131.9965,14.92936002,-5.420746849,-0.5528884197,3.047215928,-17.02957341
131.997,10.96183272,-7.86230211,-2.384054866,1.216049482,-21.30229512
