"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",76.96000,2000,22000,"uV"

"time","value"
76.96000,9.838973536
76.96050,15.33247288
76.96100,15.02727847
76.96150,9.533779129
76.96200,2.209113344
76.96250,-2.063608364
76.96300,-0.2324419177
76.96350,6.481835052
76.96400,10.14416794
76.96450,3.735085382
76.96500,-8.777885333
76.96550,-17.01813434
76.96600,-16.10255112
76.96650,-8.777885333
76.96700,2.209113344
76.96750,15.02727847
76.96800,22.65713866
76.96850,19.60519458
76.96900,11.67013998
76.96950,7.702612683
76.97000,6.176640644
76.97050,0.07275248999
76.97100,-5.420746849
76.97150,4.345474198
76.97200,29.98180444
76.97250,47.68308009
76.97300,39.74802549
76.97350,17.46883373
76.97400,2.819502159
76.97450,0.3779468977
76.97500,-3.89477481
76.97550,-16.40774553
76.97600,-28.00513302
76.97650,-28.92071624
76.97700,-20.37527283
76.97750,-9.693468556
76.97800,-2.673997179
76.97850,-0.5376363254
76.97900,-1.453219549
76.97950,-0.2324419177
76.98000,7.092223867
76.98050,18.07922254
76.98100,26.62466596
76.98150,28.150638
76.98200,23.57272188
76.98250,17.46883373
76.98300,12.2805288
76.98350,7.702612683
76.98400,0.9883357131
76.98450,-10.91424619
76.98500,-25.25838335
76.98550,-34.41421558
76.98600,-34.10902117
76.98650,-27.69993861
76.98700,-22.81682809
76.98750,-21.29085605
76.98800,-19.1544952
76.98850,-15.1869679
76.98900,-9.693468556
76.98950,-3.589580402
76.99000,3.429890975
76.99050,7.702612683
76.99100,4.345474198
76.99150,-4.505163626
76.99200,-8.777885333
76.99250,-3.284385995
76.99300,1.598724528
76.99350,-5.115552441
76.99400,-19.76488401
76.99450,-27.3947442
76.99500,-22.81682809
76.99550,-13.96619026
76.99600,-7.86230211
76.99650,0.07275248999
76.99700,15.33247288
76.99750,30.28699885
76.99800,32.72855411
76.99850,21.74155544
76.99900,8.923390313
76.99950,2.819502159
77.00000,0.9883357131
77.00050,-0.2324419177
77.00100,-1.453219549
77.00150,-0.8428307331
77.00200,0.07275248999
77.00250,-1.148025141
77.00300,-4.199969218
77.00350,-5.115552441
77.00400,-2.673997179
77.00450,-0.5376363254
77.00500,-0.8428307331
77.00550,-2.063608364
77.00600,-1.758413956
77.00650,-1.453219549
77.00700,-2.368802772
77.00750,-2.979191587
77.00800,-1.148025141
77.00850,2.514307752
77.00900,4.650668606
77.00950,4.955863013
77.01000,6.176640644
77.01050,8.00780709
77.01100,8.00780709
77.01150,6.176640644
77.01200,5.566251829
77.01250,7.092223867
77.01300,6.176640644
77.01350,0.6831413054
77.01400,-6.031135664
77.01450,-9.083079741
77.01500,-8.167496518
77.01550,-6.336330072
77.01600,-4.505163626
77.01650,-2.063608364
77.01700,-0.2324419177
77.01750,-0.5376363254
77.01800,-2.063608364
77.01850,-2.368802772
77.01900,-1.758413956
77.01950,-0.8428307331
77.02000,-0.2324419177
77.02050,-0.2324419177
77.02100,-1.453219549
77.02150,-2.063608364
77.02200,2.514307752
77.02250,13.19611202
77.02300,23.57272188
77.02350,27.84544359
77.02400,26.31947155
77.02450,22.65713866
77.02500,17.77402814
77.02550,11.05975117
77.02600,4.345474198
77.02650,-2.368802772
77.02700,-14.88177349
77.02750,-34.10902117
77.02800,-51.50510241
77.02850,-54.8622409
77.02900,-42.959659
77.02950,-27.0895498
77.03000,-16.71293993
77.03050,-11.21944059
77.03100,-6.641524479
77.03150,-2.979191587
77.03200,-0.8428307331
77.03250,2.209113344
77.03300,9.838973536
77.03350,17.77402814
77.03400,21.74155544
77.03450,21.13116662
77.03500,19.60519458
77.03550,17.46883373
77.03600,13.50130643
77.03650,9.228584721
77.03700,5.566251829
77.03750,0.6831413054
77.03800,-9.388274149
77.03850,-22.51163368
77.03900,-30.14149387
77.03950,-28.00513302
77.04000,-19.76488401
77.04050,-10.91424619
77.04100,-2.979191587
77.04150,1.903918936
77.04200,3.124696567
77.04250,2.514307752
77.04300,4.04027979
77.04350,7.092223867
77.04400,8.313001498
77.04450,7.397418275
77.04500,6.481835052
77.04550,5.871446236
77.04600,4.345474198
77.04650,3.735085382
77.04700,5.566251829
77.04750,5.871446236
77.04800,0.3779468977
77.04850,-6.946718887
77.04900,-7.557107703
77.04950,-1.453219549
77.05000,2.819502159
77.05050,2.819502159
77.05100,4.345474198
77.05150,9.533779129
77.05200,12.89091761
77.05250,10.44936235
77.05300,6.481835052
77.05350,4.04027979
77.05400,-0.5376363254
77.05450,-6.946718887
77.05500,-6.336330072
77.05550,0.9883357131
77.05600,0.6831413054
77.05650,-14.57657908
77.05700,-28.31032743
77.05750,-20.98566164
77.05800,1.903918936
