"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",76.96000,2000,22000,"uV"

"time","value"
76.96000,-0.004728149245
76.96050,0.6056606662
76.96100,2.131632705
76.96150,3.047215928
76.96200,2.74202152
76.96250,2.436827112
76.96300,1.826438297
76.96350,1.521243889
76.96400,1.216049482
76.96450,0.3004662585
76.96500,-1.530700188
76.96550,-3.056672226
76.96600,-3.056672226
76.96650,-1.835894595
76.96700,-0.3099225569
76.96750,0.6056606662
76.96800,2.131632705
76.96850,3.352410335
76.96900,3.657604743
76.96950,3.657604743
76.97000,6.099160005
76.97050,9.151104082
76.97100,9.151104082
76.97150,6.404354412
76.97200,5.183576782
76.97250,6.70954882
76.97300,6.70954882
76.97350,1.216049482
76.97400,-7.329393934
76.97450,-14.65405972
76.97500,-18.62158702
76.97550,-20.14755906
76.97600,-18.0111982
76.97650,-10.68653242
76.97700,-1.530700188
76.97750,3.047215928
76.97800,2.74202152
76.97850,2.131632705
76.97900,3.962799151
76.97950,5.793965597
76.98000,5.488771189
76.98050,3.962799151
76.98100,4.573187966
76.98150,4.878382374
76.98200,0.9108550739
76.98250,-7.634588342
76.98300,-15.56964294
76.98350,-16.18003176
76.98400,-10.99172683
76.98450,-5.19303308
76.98500,-2.141089003
76.98550,-0.3099225569
76.98600,1.521243889
76.98650,3.047215928
76.98700,3.657604743
76.98750,3.352410335
76.98800,3.352410335
76.98850,3.352410335
76.98900,2.436827112
76.98950,0.9108550739
76.99000,-0.004728149245
76.99050,-0.004728149245
76.99100,1.521243889
76.99150,3.657604743
76.99200,4.267993559
76.99250,2.436827112
76.99300,-0.004728149245
76.99350,-0.004728149245
76.99400,0.9108550739
76.99450,1.826438297
76.99500,1.216049482
76.99550,0.9108550739
76.99600,1.826438297
76.99650,2.74202152
76.99700,1.521243889
76.99750,-0.004728149245
76.99800,-0.004728149245
76.99850,-0.3099225569
76.99900,-3.056672226
76.99950,-7.329393934
77.00000,-10.0761436
77.00050,-8.855365973
77.00100,-5.498227488
77.00150,-2.141089003
77.00200,-1.22550578
77.00250,-1.835894595
77.00300,-1.530700188
77.00350,0.6056606662
77.00400,3.657604743
77.00450,4.878382374
77.00500,3.352410335
77.00550,1.521243889
77.00600,2.74202152
77.00650,4.878382374
77.00700,5.183576782
77.00750,3.657604743
77.00800,3.962799151
77.00850,5.793965597
77.00900,6.70954882
77.00950,5.488771189
77.01000,4.573187966
77.01050,5.488771189
77.01100,4.878382374
77.01150,0.6056606662
77.01200,-4.582644265
77.01250,-6.108616303
77.01300,-3.972255449
77.01350,-1.835894595
77.01400,-1.22550578
77.01450,-1.22550578
77.01500,-0.9203113723
77.01550,-0.9203113723
77.01600,-1.835894595
77.01650,-2.446283411
77.01700,-2.751477819
77.01750,-2.751477819
77.01800,-2.446283411
77.01850,-1.835894595
77.01900,-1.530700188
77.01950,-2.751477819
77.02000,-4.887838672
77.02050,-5.19303308
77.02100,-3.667061042
77.02150,-1.835894595
77.02200,-0.004728149245
77.02250,2.436827112
77.02300,4.878382374
77.02350,5.793965597
77.02400,6.099160005
77.02450,7.319937636
77.02500,9.151104082
77.02550,7.625132043
77.02600,2.131632705
77.02650,-0.3099225569
77.02700,2.131632705
77.02750,3.962799151
77.02800,-2.446283411
77.02850,-14.0436709
77.02900,-19.23197583
77.02950,-13.43328209
77.03000,-4.277449857
77.03050,-0.004728149245
77.03100,0.6056606662
77.03150,2.131632705
77.03200,4.878382374
77.03250,5.488771189
77.03300,4.573187966
77.03350,5.183576782
77.03400,6.404354412
77.03450,5.488771189
77.03500,2.131632705
77.03550,-0.004728149245
77.03600,-0.004728149245
77.03650,0.9108550739
77.03700,0.9108550739
77.03750,0.9108550739
77.03800,1.826438297
77.03850,3.047215928
77.03900,3.962799151
77.03950,4.878382374
77.04000,4.573187966
77.04050,2.131632705
77.04100,-0.6151169646
77.04150,-1.835894595
77.04200,-1.22550578
77.04250,-0.9203113723
77.04300,-2.141089003
77.04350,-2.446283411
77.04400,-1.22550578
77.04450,-0.6151169646
77.04500,-2.446283411
77.04550,-3.972255449
77.04600,-1.22550578
77.04650,2.74202152
77.04700,3.657604743
77.04750,0.9108550739
77.04800,-1.835894595
77.04850,-1.835894595
77.04900,-0.004728149245
77.04950,1.216049482
77.05000,1.521243889
77.05050,1.216049482
77.05100,0.9108550739
77.05150,1.521243889
77.05200,3.657604743
77.05250,4.878382374
77.05300,3.962799151
77.05350,1.826438297
77.05400,0.9108550739
77.05450,0.9108550739
77.05500,0.6056606662
77.05550,-0.004728149245
77.05600,0.9108550739
77.05650,4.573187966
77.05700,8.235520859
77.05750,9.45629849
