"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",87.96000,2000,22000,"uV"

"time","value"
87.96000,-8.789324404
87.96050,-16.11399019
87.96100,-29.54254413
87.96150,-41.75032044
87.96200,-45.41265333
87.96250,-46.32823655
87.96300,-50.29576385
87.96350,-49.99056944
87.96400,-37.17240432
87.96450,-19.47112867
87.96500,-6.65296355
87.96550,6.470395981
87.96600,27.2236157
87.96650,42.48333609
87.96700,36.37944794
87.96750,22.64569959
87.96800,29.66517097
87.96850,59.87941733
87.96900,81.24302587
87.96950,73.00277686
87.97000,48.28202984
87.97050,30.58075419
87.97100,21.73011637
87.97150,12.57428413
87.97200,3.723646312
87.97250,0.3665078269
87.97300,-0.5490753962
87.97350,-7.873741181
87.97400,-16.11399019
87.97450,-15.19840697
87.97500,-5.432185919
87.97550,4.028840719
87.97600,10.43792328
87.97650,19.89894992
87.97700,31.80153182
87.97750,36.68464234
87.97800,27.83400452
87.97850,10.13272887
87.97900,-5.737380327
87.97950,-15.50360137
87.98000,-18.25035104
87.98050,-14.28282374
87.98100,-4.516602696
87.98150,4.639229535
87.98200,7.385979204
87.98250,0.9768966423
87.98300,-10.92568526
87.98350,-22.21787834
87.98400,-26.79579446
87.98450,-22.52307275
87.98500,-10.62049085
87.98550,2.808063089
87.98600,11.0483121
87.98650,10.74311769
87.98700,4.944423942
87.98750,0.06131341924
87.98800,-1.769853027
87.98850,-3.601019473
87.98900,-6.042574735
87.98950,-5.126991512
87.99000,1.587285458
87.99050,8.911951243
87.99100,9.827534466
87.99150,5.860007166
87.99200,5.860007166
87.99250,11.65870091
87.99300,15.0158394
87.99350,11.96389532
87.99400,8.911951243
87.99450,10.43792328
87.99500,11.96389532
87.99550,7.385979204
87.99600,0.6717022346
87.99650,-2.68543625
87.99700,-7.568546773
87.99750,-20.08151749
87.99800,-32.2892938
87.99850,-30.76332176
87.99900,-18.86073986
87.99950,-13.67243493
88.00000,-21.60748953
88.00050,-30.45812735
88.00100,-29.23734972
88.00150,-24.6594336
88.00200,-24.04904479
88.00250,-21.30229512
88.00300,-9.39971322
88.00350,4.944423942
88.00400,9.827534466
88.00450,6.470395981
88.00500,4.944423942
88.00550,6.165201573
88.00600,2.808063089
88.00650,-4.211408289
88.00700,-5.432185919
88.00750,0.3665078269
88.00800,3.418451904
88.00850,-2.380241842
88.00900,-10.01010203
88.00950,-10.01010203
88.01000,-4.211408289
88.01050,-0.8542698039
88.01100,-0.2438809885
88.01150,1.587285458
88.01200,3.723646312
88.01250,0.06131341924
88.01300,-11.23087967
88.01350,-22.52307275
88.01400,-26.49060005
88.01450,-24.96462801
88.01500,-23.13346157
88.01550,-20.99710071
88.01600,-13.06204611
88.01650,-0.8542698039
88.01700,6.775590389
88.01750,7.080784796
88.01800,9.827534466
88.01850,25.69764367
88.01900,47.36644661
88.01950,55.60669562
88.02000,40.95736405
88.02050,14.71064499
88.02100,-4.211408289
88.02150,-9.704907627
88.02200,-7.568546773
88.02250,-6.042574735
88.02300,-3.601019473
88.02350,4.639229535
88.02400,18.67817229
88.02450,31.191143
88.02500,35.46386471
88.02550,33.63269827
88.02600,32.71711504
88.02650,35.1586703
88.02700,38.21061438
88.02750,40.04178083
88.02800,39.12619761
88.02850,33.02230945
88.02900,20.20414433
88.02950,5.554812758
88.03000,-4.211408289
88.03050,-12.4516573
88.03100,-24.6594336
88.03150,-36.5620155
88.03200,-35.64643228
88.03250,-20.99710071
88.03300,-10.92568526
88.03350,-19.16593427
88.03400,-37.17240432
88.03450,-46.32823655
88.03500,-42.97109807
88.03550,-38.08798754
88.03600,-37.17240432
88.03650,-36.2568211
88.03700,-32.89968261
88.03750,-29.54254413
88.03800,-27.10098887
88.03850,-22.82826716
88.03900,-16.11399019
88.03950,-10.31529644
88.04000,-6.042574735
88.04050,-0.5490753962
88.04100,4.028840719
88.04150,5.554812758
88.04200,4.639229535
88.04250,4.639229535
88.04300,4.028840719
88.04350,0.06131341924
88.04400,-6.347769142
88.04450,-7.873741181
88.04500,-4.821797104
88.04550,-4.821797104
88.04600,-8.789324404
88.04650,-10.31529644
88.04700,-7.568546773
88.04750,-6.042574735
88.04800,-7.873741181
