"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",384.96000,2000,22000,"uV"

"time","value"
384.96000,-4.908276479
384.96050,-0.02516595566
384.96100,6.689111014
384.96150,9.130666275
384.96200,6.689111014
384.96250,5.773527791
384.96300,10.65663831
384.96350,17.37091528
384.96400,20.11766495
384.96450,18.28649851
384.96500,13.40338798
384.96550,6.689111014
384.96600,1.806000491
384.96650,0.5852228597
384.96700,3.026778121
384.96750,6.078722198
384.96800,8.52027746
384.96850,11.57222154
384.96900,13.70858239
384.96950,13.40338798
384.97000,10.35144391
384.97050,7.299499829
384.97100,4.55275016
384.97150,-0.02516595566
384.97200,-4.908276479
384.97250,-3.992693256
384.97300,3.942361344
384.97350,13.40338798
384.97400,17.06572088
384.97450,14.0137768
384.97500,7.909888645
384.97550,2.721583714
384.97600,0.8904172674
384.97650,2.111194898
384.97700,4.857944568
384.97750,5.163138975
384.97800,1.195611675
384.97850,-4.297887663
384.97900,-9.180998187
384.97950,-12.53813667
384.98000,-15.28488634
384.98050,-19.25241364
384.98100,-24.44071857
384.98150,-28.71344028
384.98200,-26.57707943
384.98250,-14.67449753
384.98300,1.806000491
384.98350,13.09819358
384.98400,13.70858239
384.98450,9.130666275
384.98500,7.604694237
384.98550,9.435860683
384.98600,9.741055091
384.98650,6.994305421
384.98700,5.468333383
384.98750,6.994305421
384.98800,7.604694237
384.98850,4.55275016
384.98900,0.5852228597
384.98950,-1.245943586
384.99000,-2.771915625
384.99050,-4.908276479
384.99100,-5.518665294
384.99150,-3.38230444
384.99200,-2.466721217
384.99250,-7.655026148
384.99300,-15.59008075
384.99350,-18.64202483
384.99400,-16.50566397
384.99450,-14.36930312
384.99500,-15.59008075
384.99550,-15.59008075
384.99600,-12.23294226
384.99650,-8.570609371
384.99700,-7.655026148
384.99750,-7.34983174
384.99800,-5.823859702
384.99850,-4.603082071
384.99900,-5.518665294
384.99950,-7.044637333
385.00000,-7.960220556
385.00050,-10.40177582
385.00100,-14.36930312
385.00150,-14.06410871
385.00200,-5.213470887
385.00250,8.52027746
385.00300,19.20208173
385.00350,22.55922021
385.00400,21.64363699
385.00450,19.81247054
385.00500,17.06572088
385.00550,13.09819358
385.00600,9.130666275
385.00650,7.299499829
385.00700,6.994305421
385.00750,5.163138975
385.00800,0.5852228597
385.00850,-3.38230444
385.00900,-1.245943586
385.00950,7.909888645
385.01000,19.20208173
385.01050,24.08519225
385.01100,20.11766495
385.01150,11.57222154
385.01200,3.331972529
385.01250,0.280028452
385.01300,3.026778121
385.01350,9.741055091
385.01400,14.62416561
385.01450,13.70858239
385.01500,5.773527791
385.01550,-6.739442925
385.01600,-21.6939689
385.01650,-33.2913564
385.01700,-37.2588837
385.01750,-32.37577317
385.01800,-25.05110739
385.01850,-20.16799686
385.01900,-15.59008075
385.01950,-7.960220556
385.02000,0.5852228597
385.02050,4.247555752
385.02100,2.721583714
385.02150,0.5852228597
385.02200,1.806000491
385.02250,3.942361344
385.02300,5.163138975
385.02350,6.078722198
385.02400,6.994305421
385.02450,8.215083052
385.02500,9.741055091
385.02550,11.87741594
385.02600,14.31897121
385.02650,15.23455443
385.02700,15.23455443
385.02750,14.31897121
385.02800,13.09819358
385.02850,11.26702713
385.02900,10.0462495
385.02950,9.130666275
385.03000,6.078722198
385.03050,0.8904172674
385.03100,-3.077110033
385.03150,-4.297887663
385.03200,-3.992693256
385.03250,-5.823859702
385.03300,-9.180998187
385.03350,-10.70697023
385.03400,-9.791387002
385.03450,-9.486192594
385.03500,-11.62255345
385.03550,-13.7589143
385.03600,-14.36930312
385.03650,-13.7589143
385.03700,-13.7589143
385.03750,-14.06410871
385.03800,-14.06410871
385.03850,-13.14852549
385.03900,-12.84333108
385.03950,-12.84333108
385.04000,-12.53813667
385.04050,-10.70697023
385.04100,-8.265414964
385.04150,-7.044637333
385.04200,-6.739442925
385.04250,-4.603082071
385.04300,-0.02516595566
385.04350,6.078722198
385.04400,10.35144391
385.04450,11.87741594
385.04500,10.96183272
385.04550,9.130666275
385.04600,7.604694237
385.04650,7.299499829
385.04700,7.604694237
385.04750,6.689111014
385.04800,3.331972529
385.04850,-0.3303603634
385.04900,-3.38230444
385.04950,-6.434248517
385.05000,-9.486192594
385.05050,-9.791387002
385.05100,-7.34983174
385.05150,-7.044637333
385.05200,-10.40177582
385.05250,-11.92774786
385.05300,-4.297887663
385.05350,11.26702713
385.05400,25.30596988
385.05450,30.18908041
385.05500,26.83194192
385.05550,20.11766495
