"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",384.96000,2000,22000,"uV"

"time","value"
384.96000,-2.368802772
384.96050,-0.8428307331
384.96100,1.293530121
384.96150,3.429890975
384.96200,4.345474198
384.96250,4.650668606
384.96300,4.650668606
384.96350,3.735085382
384.96400,2.209113344
384.96450,0.9883357131
384.96500,1.293530121
384.96550,3.429890975
384.96600,4.650668606
384.96650,3.735085382
384.96700,0.6831413054
384.96750,-2.368802772
384.96800,-4.810358033
384.96850,-6.031135664
384.96900,-6.641524479
384.96950,-7.251913295
384.97000,-7.86230211
384.97050,-7.86230211
384.97100,-7.86230211
384.97150,-8.167496518
384.97200,-8.777885333
384.97250,-9.693468556
384.97300,-9.998662964
384.97350,-9.998662964
384.97400,-7.86230211
384.97450,-1.758413956
384.97500,7.397418275
384.97550,15.63766728
384.97600,17.77402814
384.97650,15.33247288
384.97700,12.2805288
384.97750,10.44936235
384.97800,7.397418275
384.97850,3.429890975
384.97900,0.9883357131
384.97950,1.293530121
384.98000,2.514307752
384.98050,3.124696567
384.98100,3.429890975
384.98150,3.735085382
384.98200,3.124696567
384.98250,0.9883357131
384.98300,-0.2324419177
384.98350,0.3779468977
384.98400,1.903918936
384.98450,2.819502159
384.98500,2.819502159
384.98550,2.514307752
384.98600,2.209113344
384.98650,2.514307752
384.98700,3.429890975
384.98750,4.650668606
384.98800,5.261057421
384.98850,4.345474198
384.98900,3.735085382
384.98950,3.429890975
384.99000,3.124696567
384.99050,1.903918936
384.99100,-0.2324419177
384.99150,-2.979191587
384.99200,-3.89477481
384.99250,-3.284385995
384.99300,-1.758413956
384.99350,-0.2324419177
384.99400,0.9883357131
384.99450,1.903918936
384.99500,2.209113344
384.99550,0.9883357131
384.99600,-0.2324419177
384.99650,-0.2324419177
384.99700,-0.2324419177
384.99750,-0.5376363254
384.99800,-1.758413956
384.99850,-2.979191587
384.99900,-3.589580402
384.99950,-4.199969218
385.00000,-3.89477481
385.00050,-0.8428307331
385.00100,2.819502159
385.00150,4.345474198
385.00200,1.293530121
385.00250,-3.284385995
385.00300,-6.336330072
385.00350,-6.641524479
385.00400,-6.031135664
385.00450,-6.031135664
385.00500,-5.420746849
385.00550,-4.199969218
385.00600,-3.284385995
385.00650,-3.284385995
385.00700,-1.758413956
385.00750,1.598724528
385.00800,4.650668606
385.00850,5.261057421
385.00900,4.04027979
385.00950,2.514307752
385.01000,0.9883357131
385.01050,-2.063608364
385.01100,-5.725941256
385.01150,-6.641524479
385.01200,-4.505163626
385.01250,-2.063608364
385.01300,-2.368802772
385.01350,-3.89477481
385.01400,-4.505163626
385.01450,-4.505163626
385.01500,-6.336330072
385.01550,-8.472690926
385.01600,-7.86230211
385.01650,-4.505163626
385.01700,-2.673997179
385.01750,-4.199969218
385.01800,-6.031135664
385.01850,-5.420746849
385.01900,-3.589580402
385.01950,-2.979191587
385.02000,-3.589580402
385.02050,-3.89477481
385.02100,-3.589580402
385.02150,-3.284385995
385.02200,-2.979191587
385.02250,-2.673997179
385.02300,-2.673997179
385.02350,-2.979191587
385.02400,-2.673997179
385.02450,-2.063608364
385.02500,-2.063608364
385.02550,-2.368802772
385.02600,-1.758413956
385.02650,-0.5376363254
385.02700,-0.2324419177
385.02750,-2.063608364
385.02800,-3.589580402
385.02850,-2.673997179
385.02900,-1.148025141
385.02950,-0.5376363254
385.03000,-1.148025141
385.03050,-0.8428307331
385.03100,0.07275248999
385.03150,0.6831413054
385.03200,0.3779468977
385.03250,0.07275248999
385.03300,0.6831413054
385.03350,0.6831413054
385.03400,0.6831413054
385.03450,0.9883357131
385.03500,1.598724528
385.03550,0.9883357131
385.03600,-0.5376363254
385.03650,-1.758413956
385.03700,-1.758413956
385.03750,-0.8428307331
385.03800,-0.2324419177
385.03850,0.6831413054
385.03900,0.6831413054
385.03950,0.6831413054
385.04000,0.6831413054
385.04050,0.6831413054
385.04100,0.3779468977
385.04150,-0.2324419177
385.04200,-0.2324419177
385.04250,0.6831413054
385.04300,1.293530121
385.04350,-0.2324419177
385.04400,-2.979191587
385.04450,-3.589580402
385.04500,-2.673997179
385.04550,-2.368802772
385.04600,-4.505163626
385.04650,-5.420746849
385.04700,-3.89477481
385.04750,-1.453219549
385.04800,-0.2324419177
385.04850,-0.8428307331
385.04900,-0.2324419177
385.04950,1.293530121
385.05000,2.514307752
385.05050,1.293530121
385.05100,-0.2324419177
385.05150,-0.2324419177
385.05200,1.598724528
385.05250,1.598724528
385.05300,-0.8428307331
385.05350,-4.199969218
385.05400,-6.336330072
385.05450,-8.167496518
385.05500,-13.05060704
385.05550,-19.76488401
385.05600,-23.1220225
385.05650,-17.93371756
385.05700,-7.557107703
385.05750,0.3779468977
385.05800,3.735085382
385.05850,6.176640644
385.05900,10.14416794
385.05950,12.89091761
385.06000,11.97533439
385.06050,8.00780709
385.06100,4.955863013
385.06150,3.124696567
385.06200,1.598724528
385.06250,0.07275248999
385.06300,0.07275248999
385.06350,0.9883357131
385.06400,1.293530121
385.06450,1.293530121
385.06500,2.209113344
385.06550,4.650668606
385.06600,6.787029459
385.06650,6.787029459
385.06700,4.955863013
385.06750,4.345474198
385.06800,4.955863013
385.06850,6.481835052
385.06900,7.397418275
385.06950,7.092223867
385.07000,5.261057421
385.07050,2.514307752
385.07100,0.6831413054
385.07150,0.9883357131
385.07200,2.209113344
385.07250,2.514307752
385.07300,2.209113344
385.07350,1.903918936
385.07400,2.209113344
385.07450,1.903918936
385.07500,1.293530121
385.07550,0.9883357131
385.07600,1.598724528
385.07650,2.819502159
385.07700,3.735085382
385.07750,4.04027979
385.07800,4.04027979
385.07850,4.04027979
385.07900,4.345474198
385.07950,4.650668606
385.08000,4.650668606
385.08050,4.650668606
385.08100,4.955863013
385.08150,5.261057421
385.08200,4.04027979
385.08250,1.598724528
385.08300,0.07275248999
385.08350,1.293530121
385.08400,2.819502159
385.08450,3.124696567
385.08500,2.514307752
385.08550,3.124696567
385.08600,4.955863013
385.08650,6.481835052
385.08700,7.397418275
385.08750,6.787029459
385.08800,4.955863013
385.08850,2.514307752
385.08900,1.598724528
385.08950,2.819502159
385.09000,4.04027979
385.09050,3.429890975
