"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",384.96000,2000,22000,"uV"

"time","value"
384.96000,-5.19303308
384.96050,-1.835894595
384.96100,1.216049482
384.96150,3.657604743
384.96200,3.352410335
384.96250,0.3004662585
384.96300,-0.9203113723
384.96350,0.3004662585
384.96400,2.436827112
384.96450,2.436827112
384.96500,3.352410335
384.96550,7.014743228
384.96600,8.845909674
384.96650,2.74202152
384.96700,-7.634588342
384.96750,-12.51769887
384.96800,-7.329393934
384.96850,0.9108550739
384.96900,6.70954882
384.96950,9.45629849
384.97000,11.28746494
384.97050,10.0666873
384.97100,4.878382374
384.97150,-0.9203113723
384.97200,-3.361866634
384.97250,-2.141089003
384.97300,-0.004728149245
384.97350,1.216049482
384.97400,1.521243889
384.97450,-0.004728149245
384.97500,-2.751477819
384.97550,-3.972255449
384.97600,-2.446283411
384.97650,-0.004728149245
384.97700,1.826438297
384.97750,4.267993559
384.97800,7.625132043
384.97850,9.151104082
384.97900,7.319937636
384.97950,3.962799151
384.98000,1.216049482
384.98050,0.9108550739
384.98100,2.436827112
384.98150,5.183576782
384.98200,7.930326451
384.98250,10.0666873
384.98300,10.37188171
384.98350,9.151104082
384.98400,6.099160005
384.98450,3.047215928
384.98500,1.826438297
384.98550,3.352410335
384.98600,4.878382374
384.98650,4.573187966
384.98700,2.74202152
384.98750,1.826438297
384.98800,2.74202152
384.98850,3.047215928
384.98900,2.436827112
384.98950,2.131632705
384.99000,2.74202152
384.99050,3.962799151
384.99100,4.878382374
384.99150,5.793965597
384.99200,6.099160005
384.99250,5.488771189
384.99300,3.962799151
384.99350,2.436827112
384.99400,0.9108550739
384.99450,-0.004728149245
384.99500,-0.6151169646
384.99550,-0.3099225569
384.99600,0.6056606662
384.99650,3.047215928
384.99700,5.183576782
384.99750,4.573187966
384.99800,-0.004728149245
384.99850,-5.498227488
384.99900,-8.550171565
384.99950,-9.16056038
385.00000,-9.770949196
385.00050,-10.99172683
385.00100,-9.770949196
385.00150,-5.803421896
385.00200,-1.530700188
385.00250,1.216049482
385.00300,3.657604743
385.00350,6.404354412
385.00400,6.404354412
385.00450,2.74202152
385.00500,-1.835894595
385.00550,-3.972255449
385.00600,-3.361866634
385.00650,-2.141089003
385.00700,-3.056672226
385.00750,-6.413810711
385.00800,-10.38133801
385.00850,-13.12808768
385.00900,-12.51769887
385.00950,-8.550171565
385.01000,-3.056672226
385.01050,0.3004662585
385.01100,0.3004662585
385.01150,-1.530700188
385.01200,-2.446283411
385.01250,0.9108550739
385.01300,7.625132043
385.01350,11.89785375
385.01400,9.45629849
385.01450,3.352410335
385.01500,-0.3099225569
385.01550,-0.3099225569
385.01600,0.6056606662
385.01650,0.9108550739
385.01700,0.6056606662
385.01750,0.3004662585
385.01800,-0.3099225569
385.01850,-0.9203113723
385.01900,0.6056606662
385.01950,2.74202152
385.02000,3.047215928
385.02050,0.3004662585
385.02100,-1.22550578
385.02150,-0.6151169646
385.02200,-0.004728149245
385.02250,-0.9203113723
385.02300,-2.446283411
385.02350,-2.751477819
385.02400,-1.835894595
385.02450,-1.22550578
385.02500,-1.22550578
385.02550,-1.22550578
385.02600,-0.6151169646
385.02650,-0.004728149245
385.02700,0.3004662585
385.02750,0.6056606662
385.02800,-0.004728149245
385.02850,-0.6151169646
385.02900,-1.22550578
385.02950,-1.22550578
385.03000,-1.22550578
385.03050,-1.530700188
385.03100,-2.141089003
385.03150,-1.835894595
385.03200,-1.530700188
385.03250,-1.530700188
385.03300,-1.22550578
385.03350,-0.3099225569
385.03400,0.3004662585
385.03450,-0.3099225569
385.03500,-2.141089003
385.03550,-2.751477819
385.03600,-1.835894595
385.03650,-0.3099225569
385.03700,-0.004728149245
385.03750,-0.004728149245
385.03800,-0.004728149245
385.03850,-0.004728149245
385.03900,-0.9203113723
385.03950,-3.056672226
385.04000,-3.361866634
385.04050,-1.835894595
385.04100,-0.6151169646
385.04150,-1.22550578
385.04200,-1.835894595
385.04250,-0.9203113723
385.04300,0.6056606662
385.04350,0.9108550739
385.04400,0.3004662585
385.04450,-0.004728149245
385.04500,0.3004662585
385.04550,0.3004662585
385.04600,-0.3099225569
385.04650,-0.9203113723
385.04700,-0.9203113723
385.04750,-0.004728149245
385.04800,-0.004728149245
385.04850,0.3004662585
385.04900,0.6056606662
385.04950,0.6056606662
385.05000,0.9108550739
385.05050,0.6056606662
385.05100,-1.22550578
385.05150,-6.108616303
385.05200,-11.29692123
385.05250,-10.99172683
385.05300,-4.887838672
385.05350,2.436827112
385.05400,4.573187966
385.05450,-0.004728149245
385.05500,-6.719005119
385.05550,-11.60211564
385.05600,-11.60211564
385.05650,-8.244977157
385.05700,-3.972255449
385.05750,-1.22550578
385.05800,-1.22550578
385.05850,-2.446283411
385.05900,-1.835894595
385.05950,1.521243889
385.06000,5.488771189
385.06050,6.404354412
385.06100,4.267993559
385.06150,1.216049482
385.06200,0.3004662585
385.06250,1.521243889
385.06300,3.047215928
385.06350,3.962799151
385.06400,4.267993559
385.06450,3.962799151
385.06500,3.047215928
385.06550,1.521243889
385.06600,0.3004662585
385.06650,-0.3099225569
385.06700,-0.9203113723
385.06750,-0.9203113723
385.06800,-0.3099225569
385.06850,-0.004728149245
385.06900,-0.3099225569
385.06950,-1.22550578
385.07000,-0.6151169646
385.07050,1.216049482
385.07100,3.047215928
385.07150,2.74202152
385.07200,0.3004662585
385.07250,-2.446283411
385.07300,-4.277449857
385.07350,-3.667061042
385.07400,-0.3099225569
385.07450,3.047215928
385.07500,4.267993559
385.07550,3.047215928
385.07600,0.9108550739
385.07650,-0.004728149245
385.07700,-0.3099225569
385.07750,-0.6151169646
385.07800,-0.6151169646
385.07850,-0.3099225569
385.07900,-0.6151169646
385.07950,-1.835894595
385.08000,-3.056672226
385.08050,-3.667061042
385.08100,-2.751477819
385.08150,-0.6151169646
385.08200,2.131632705
385.08250,4.267993559
385.08300,4.878382374
385.08350,4.267993559
385.08400,3.962799151
385.08450,4.573187966
385.08500,4.267993559
385.08550,2.74202152
385.08600,1.216049482
385.08650,0.6056606662
385.08700,0.9108550739
385.08750,0.9108550739
385.08800,0.3004662585
385.08850,-0.6151169646
385.08900,-1.835894595
385.08950,-2.446283411
385.09000,-1.835894595
385.09050,-1.530700188
385.09100,-2.141089003
385.09150,-2.141089003
385.09200,-0.004728149245
385.09250,3.352410335
385.09300,4.878382374
385.09350,3.657604743
385.09400,1.826438297
385.09450,0.6056606662
385.09500,-0.6151169646
385.09550,-2.141089003
385.09600,-3.056672226
385.09650,-2.446283411
385.09700,-1.530700188
385.09750,-2.141089003
385.09800,-3.972255449
385.09850,-4.582644265
385.09900,-3.361866634
385.09950,-0.9203113723
385.10000,0.9108550739
385.10050,1.521243889
385.10100,0.6056606662
385.10150,0.6056606662
385.10200,1.826438297
385.10250,3.962799151
385.10300,4.573187966
385.10350,3.657604743
385.10400,3.047215928
385.10450,2.131632705
385.10500,-0.004728149245
385.10550,-3.056672226
385.10600,-4.277449857
385.10650,-3.972255449
385.10700,-3.972255449
385.10750,-4.582644265
385.10800,-4.887838672
385.10850,-2.141089003
385.10900,3.047215928
385.10950,10.0666873
385.11000,15.56018664
385.11050,14.64460342
385.11100,7.625132043
385.11150,0.6056606662
385.11200,-0.9203113723
385.11250,0.6056606662
385.11300,-0.004728149245
385.11350,-3.667061042
385.11400,-6.413810711
385.11450,-6.413810711
385.11500,-6.719005119
385.11550,-9.16056038
385.11600,-11.29692123
385.11650,-9.465754788
385.11700,-4.887838672
385.11750,-1.22550578
385.11800,0.6056606662
385.11850,1.216049482
385.11900,0.9108550739
385.11950,0.3004662585
385.12000,-0.3099225569
385.12050,-1.530700188
385.12100,-3.056672226
385.12150,-2.751477819
385.12200,0.6056606662
385.12250,5.183576782
385.12300,6.70954882
385.12350,4.267993559
385.12400,2.436827112
385.12450,2.436827112
385.12500,2.131632705
385.12550,0.3004662585
385.12600,-0.6151169646
385.12650,0.3004662585
385.12700,1.216049482
385.12750,-0.004728149245
385.12800,-0.9203113723
385.12850,-0.6151169646
385.12900,-0.3099225569
385.12950,-0.6151169646
385.13000,-0.004728149245
385.13050,2.436827112
385.13100,4.573187966
385.13150,3.657604743
385.13200,0.9108550739
385.13250,-0.3099225569
385.13300,-0.004728149245
385.13350,0.3004662585
385.13400,-0.004728149245
385.13450,-0.3099225569
385.13500,-0.6151169646
385.13550,-0.6151169646
385.13600,-0.9203113723
385.13650,-0.6151169646
385.13700,-0.3099225569
385.13750,-0.6151169646
385.13800,-0.9203113723
385.13850,-0.9203113723
385.13900,-0.9203113723
385.13950,-1.22550578
385.14000,-0.9203113723
385.14050,-0.004728149245
385.14100,-0.004728149245
385.14150,-0.3099225569
385.14200,-0.9203113723
385.14250,-0.3099225569
385.14300,0.9108550739
385.14350,1.826438297
385.14400,2.131632705
385.14450,2.74202152
385.14500,3.047215928
385.14550,2.436827112
385.14600,1.521243889
385.14650,0.9108550739
385.14700,0.9108550739
385.14750,0.3004662585
385.14800,-0.6151169646
385.14850,-0.6151169646
385.14900,0.3004662585
385.14950,2.131632705
385.15000,3.047215928
385.15050,2.74202152
385.15100,2.436827112
385.15150,2.74202152
385.15200,3.657604743
385.15250,3.047215928
385.15300,1.216049482
385.15350,-0.004728149245
385.15400,0.6056606662
385.15450,1.521243889
385.15500,0.6056606662
385.15550,-0.004728149245
385.15600,0.3004662585
385.15650,2.74202152
385.15700,5.183576782
385.15750,7.319937636
385.15800,9.45629849
385.15850,10.37188171
385.15900,8.540715266
385.15950,6.404354412
385.16000,5.488771189
385.16050,3.352410335
385.16100,-3.972255449
385.16150,-14.65405972
385.16200,-19.84236465
385.16250,-15.87483735
385.16300,-7.634588342
385.16350,-2.446283411
385.16400,-0.004728149245
385.16450,2.74202152
385.16500,5.488771189
385.16550,4.878382374
385.16600,0.6056606662
385.16650,-2.446283411
385.16700,-2.446283411
385.16750,-0.6151169646
385.16800,0.3004662585
385.16850,0.9108550739
385.16900,0.6056606662
385.16950,-0.004728149245
385.17000,-0.6151169646
385.17050,-0.004728149245
385.17100,2.436827112
385.17150,4.878382374
385.17200,5.793965597
385.17250,4.573187966
385.17300,2.131632705
385.17350,-0.004728149245
385.17400,-1.530700188
385.17450,-2.141089003
385.17500,-1.835894595
385.17550,-1.22550578
385.17600,-0.3099225569
385.17650,0.3004662585
385.17700,1.216049482
385.17750,2.74202152
385.17800,3.657604743
385.17850,0.9108550739
385.17900,-4.887838672
385.17950,-10.0761436
385.18000,-9.16056038
385.18050,-3.667061042
385.18100,0.9108550739
385.18150,3.657604743
385.18200,6.099160005
385.18250,8.235520859
385.18300,7.014743228
385.18350,2.436827112
385.18400,-0.3099225569
385.18450,1.216049482
385.18500,3.657604743
385.18550,1.826438297
385.18600,-4.277449857
385.18650,-10.38133801
385.18700,-12.51769887
385.18750,-9.770949196
385.18800,-3.972255449
385.18850,1.521243889
385.18900,2.74202152
385.18950,-0.9203113723
385.19000,-7.024199526
385.19050,-9.465754788
385.19100,-6.413810711
385.19150,-1.835894595
385.19200,0.9108550739
385.19250,0.9108550739
385.19300,-0.004728149245
385.19350,-0.004728149245
385.19400,-0.004728149245
385.19450,-0.004728149245
385.19500,0.6056606662
385.19550,1.521243889
385.19600,2.436827112
385.19650,2.436827112
385.19700,2.131632705
385.19750,0.6056606662
385.19800,-1.530700188
385.19850,-4.277449857
385.19900,-4.582644265
385.19950,-2.446283411
385.20000,-0.004728149245
385.20050,-0.004728149245
385.20100,-0.6151169646
385.20150,-1.22550578
385.20200,-0.6151169646
385.20250,-0.6151169646
385.20300,0.3004662585
385.20350,4.878382374
385.20400,10.67707612
385.20450,11.89785375
385.20500,6.404354412
385.20550,-0.004728149245
385.20600,-1.835894595
385.20650,0.6056606662
385.20700,2.74202152
385.20750,2.131632705
385.20800,1.521243889
385.20850,1.826438297
385.20900,1.216049482
385.20950,-0.6151169646
385.21000,-2.751477819
385.21050,-3.361866634
385.21100,-3.361866634
385.21150,-4.582644265
385.21200,-5.19303308
385.21250,-4.277449857
385.21300,-2.446283411
385.21350,-2.141089003
385.21400,-3.056672226
385.21450,-3.056672226
385.21500,-1.835894595
385.21550,-0.3099225569
385.21600,-0.3099225569
385.21650,-1.22550578
385.21700,-1.835894595
385.21750,-2.141089003
385.21800,-1.835894595
385.21850,-1.22550578
385.21900,-1.530700188
385.21950,-3.056672226
385.22000,-4.582644265
385.22050,-3.972255449
385.22100,-2.141089003
385.22150,-1.22550578
385.22200,-1.835894595
385.22250,-2.141089003
385.22300,-0.9203113723
385.22350,-0.004728149245
385.22400,-0.6151169646
385.22450,-1.835894595
385.22500,-0.3099225569
385.22550,3.047215928
385.22600,5.793965597
385.22650,5.488771189
385.22700,3.657604743
385.22750,2.436827112
385.22800,1.216049482
385.22850,-0.3099225569
385.22900,-1.530700188
385.22950,-1.835894595
385.23000,-2.141089003
385.23050,-3.361866634
385.23100,-4.277449857
385.23150,-2.446283411
385.23200,0.6056606662
385.23250,3.047215928
385.23300,3.352410335
385.23350,2.436827112
385.23400,1.216049482
385.23450,-0.004728149245
385.23500,-0.9203113723
385.23550,-1.835894595
385.23600,-2.751477819
385.23650,-3.667061042
385.23700,-4.887838672
385.23750,-5.498227488
385.23800,-5.498227488
385.23850,-5.19303308
385.23900,-4.582644265
385.23950,-3.361866634
385.24000,-1.530700188
385.24050,-0.004728149245
385.24100,1.826438297
385.24150,3.657604743
385.24200,5.793965597
385.24250,7.625132043
385.24300,9.151104082
385.24350,9.761492897
385.24400,8.235520859
385.24450,5.183576782
385.24500,1.216049482
385.24550,-2.141089003
385.24600,-5.19303308
385.24650,-5.803421896
385.24700,-4.277449857
385.24750,-1.22550578
385.24800,1.216049482
385.24850,2.131632705
385.24900,2.436827112
385.24950,2.74202152
385.25000,3.962799151
385.25050,5.488771189
385.25100,7.319937636
385.25150,7.930326451
385.25200,6.404354412
385.25250,2.74202152
385.25300,0.3004662585
385.25350,-0.004728149245
385.25400,0.3004662585
385.25450,0.3004662585
385.25500,0.6056606662
385.25550,1.826438297
385.25600,2.74202152
385.25650,2.436827112
385.25700,2.436827112
385.25750,3.962799151
385.25800,5.793965597
385.25850,6.099160005
385.25900,4.573187966
385.25950,3.352410335
385.26000,3.657604743
385.26050,4.573187966
385.26100,5.488771189
385.26150,5.183576782
385.26200,1.216049482
385.26250,-6.719005119
385.26300,-15.87483735
385.26350,-19.23197583
385.26400,-15.26444853
385.26450,-7.329393934
385.26500,-0.9203113723
385.26550,2.131632705
385.26600,4.267993559
385.26650,5.488771189
385.26700,5.183576782
385.26750,4.267993559
385.26800,3.657604743
385.26850,2.74202152
385.26900,0.6056606662
385.26950,-2.141089003
385.27000,-2.751477819
385.27050,-2.141089003
385.27100,-3.056672226
385.27150,-5.498227488
385.27200,-6.108616303
385.27250,-2.751477819
385.27300,1.521243889
385.27350,2.131632705
385.27400,-0.004728149245
385.27450,-0.9203113723
385.27500,-0.004728149245
385.27550,1.216049482
