"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",395.96000,2000,22000,"uV"

"time","value"
395.96000,46.14566898
395.96050,49.50280747
395.96100,49.50280747
395.96150,48.89241865
395.96200,45.84047457
395.96250,38.21061438
395.96300,27.2236157
395.96350,14.10025617
395.96400,-0.8542698039
395.96450,-14.89321256
395.96500,-20.6919063
395.96550,-17.94515664
395.96600,-15.80879578
395.96650,-21.91268394
395.96700,-33.20487702
395.96750,-39.61395958
395.96800,-36.86720991
395.96850,-28.01657209
395.96900,-17.33476782
395.96950,-8.789324404
395.97000,-4.211408289
395.97050,-3.906213881
395.97100,-3.295825065
395.97150,-0.2438809885
395.97200,2.502868681
395.97250,1.587285458
395.97300,0.9768966423
395.97350,6.165201573
395.97400,14.10025617
395.97450,17.15220025
395.97500,13.48986736
395.97550,10.74311769
395.97600,15.62622821
395.97650,23.86647722
395.97700,27.2236157
395.97750,22.950894
395.97800,14.71064499
395.97850,7.385979204
395.97900,2.197674273
395.97950,-1.159464212
395.98000,-3.295825065
395.98050,-3.601019473
395.98100,-2.68543625
395.98150,-1.464658619
395.98200,-0.8542698039
395.98250,-0.8542698039
395.98300,-1.464658619
395.98350,-2.68543625
395.98400,-3.601019473
395.98450,-2.68543625
395.98500,-0.5490753962
395.98550,0.9768966423
395.98600,1.892479865
395.98650,1.28209105
395.98700,0.06131341924
395.98750,-1.159464212
395.98800,-0.8542698039
395.98850,1.28209105
395.98900,3.723646312
395.98950,3.723646312
395.99000,0.06131341924
395.99050,-4.211408289
395.99100,-6.958157958
395.99150,-7.873741181
395.99200,-7.873741181
395.99250,-8.178935589
395.99300,-8.484129996
395.99350,-8.789324404
395.99400,-8.789324404
395.99450,-7.263352366
395.99500,-4.211408289
395.99550,-2.990630658
395.99600,-4.821797104
395.99650,-7.568546773
395.99700,-7.873741181
395.99750,-6.042574735
395.99800,-4.821797104
395.99850,-4.516602696
395.99900,-2.990630658
395.99950,0.9768966423
396.00000,5.554812758
396.00050,5.860007166
396.00100,1.587285458
396.00150,-4.211408289
396.00200,-8.178935589
396.00250,-8.789324404
396.00300,-7.263352366
396.00350,-6.347769142
396.00400,-6.65296355
396.00450,-7.873741181
396.00500,-7.263352366
396.00550,-5.126991512
396.00600,-2.68543625
396.00650,-1.464658619
396.00700,0.06131341924
396.00750,2.197674273
396.00800,3.723646312
396.00850,2.808063089
396.00900,0.06131341924
396.00950,-0.5490753962
396.01000,1.892479865
396.01050,5.860007166
396.01100,9.522340058
396.01150,11.96389532
396.01200,14.71064499
396.01250,16.84700584
396.01300,16.23661703
396.01350,12.57428413
396.01400,7.996368019
396.01450,6.470395981
396.01500,7.385979204
396.01550,7.080784796
396.01600,2.502868681
396.01650,-3.295825065
396.01700,-6.042574735
396.01750,-4.516602696
396.01800,-2.990630658
396.01850,-4.211408289
396.01900,-5.432185919
396.01950,-2.990630658
396.02000,0.6717022346
396.02050,2.502868681
396.02100,0.9768966423
396.02150,0.3665078269
396.02200,1.587285458
396.02250,2.502868681
396.02300,1.587285458
396.02350,0.6717022346
396.02400,0.6717022346
396.02450,-0.2438809885
396.02500,-2.990630658
396.02550,-6.042574735
396.02600,-7.568546773
396.02650,-7.263352366
396.02700,-5.126991512
396.02750,-1.769853027
396.02800,1.587285458
396.02850,4.334035127
396.02900,5.860007166
396.02950,7.691173612
396.03000,8.606756835
396.03050,7.385979204
396.03100,4.944423942
396.03150,4.028840719
396.03200,5.554812758
396.03250,5.860007166
396.03300,3.113257496
396.03350,-0.8542698039
396.03400,-3.601019473
396.03450,-3.906213881
396.03500,-2.990630658
396.03550,-1.464658619
396.03600,-0.5490753962
396.03650,-0.5490753962
396.03700,-1.464658619
396.03750,-1.769853027
396.03800,-1.159464212
396.03850,-2.075047435
396.03900,-4.516602696
396.03950,-6.65296355
396.04000,-6.347769142
396.04050,-4.211408289
396.04100,-3.295825065
396.04150,-4.516602696
396.04200,-5.126991512
396.04250,-4.211408289
396.04300,-2.68543625
396.04350,-1.159464212
396.04400,-0.2438809885
396.04450,0.06131341924
396.04500,0.06131341924
396.04550,-0.2438809885
396.04600,0.06131341924
396.04650,3.113257496
396.04700,7.996368019
396.04750,13.18467295
396.04800,17.15220025
396.04850,17.45739466
396.04900,13.79506177
396.04950,7.691173612
396.05000,2.808063089
396.05050,1.892479865
396.05100,3.723646312
396.05150,4.944423942
396.05200,2.502868681
396.05250,-0.8542698039
396.05300,-3.295825065
396.05350,-2.990630658
396.05400,-2.380241842
396.05450,-2.68543625
396.05500,-3.295825065
396.05550,-3.295825065
396.05600,-5.737380327
396.05650,-11.23087967
396.05700,-16.11399019
396.05750,-14.89321256
396.05800,-8.484129996
396.05850,-2.380241842
396.05900,0.6717022346
396.05950,4.334035127
396.06000,9.21714565
396.06050,11.96389532
396.06100,9.827534466
396.06150,5.860007166
396.06200,3.113257496
396.06250,0.6717022346
396.06300,-4.516602696
396.06350,-11.53607407
396.06400,-16.4191846
396.06450,-18.25035104
396.06500,-18.55554545
396.06550,-18.86073986
396.06600,-18.86073986
396.06650,-19.77632308
396.06700,-22.21787834
396.06750,-25.88021124
396.06800,-29.23734972
396.06850,-31.37371057
396.06900,-31.98409939
396.06950,-28.6269609
396.07000,-19.16593427
396.07050,-6.042574735
396.07100,7.080784796
396.07150,19.2885611
396.07200,29.35997656
396.07250,33.63269827
396.07300,29.97036537
396.07350,20.81453314
396.07400,12.26908973
396.07450,7.996368019
396.07500,5.554812758
396.07550,3.418451904
396.07600,1.587285458
396.07650,0.9768966423
396.07700,1.28209105
396.07750,2.197674273
396.07800,2.808063089
396.07850,1.892479865
396.07900,-0.2438809885
396.07950,-1.464658619
396.08000,0.9768966423
396.08050,6.165201573
396.08100,10.43792328
396.08150,12.57428413
396.08200,13.48986736
396.08250,14.40545058
396.08300,14.10025617
396.08350,12.57428413
396.08400,11.3535065
396.08450,10.13272887
396.08500,6.165201573
396.08550,0.06131341924
396.08600,-3.295825065
