time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
417.96,-18.03163601,-4.199969218,7.687360588,-6.719005119,15.3210338
417.9605,-15.89527516,-2.979191587,7.992554996,-5.498227488,20.50933874
417.961,-7.044637333,-1.758413956,6.16138855,-4.582644265,18.06778347
417.9615,5.163138975,-0.5376363254,1.888666842,-2.751477819,10.43792328
417.962,16.76052647,-0.5376363254,-3.910026904,0.6056606662,3.418451904
417.9625,25.00077548,-2.063608364,-8.182748612,4.878382374,-2.380241842
417.963,29.27349718,-3.284385995,-7.877554205,6.404354412,-12.7568517
417.9635,30.79946922,-2.063608364,-3.910026904,4.878382374,-28.6269609
417.964,30.18908041,0.6831413054,0.9730836188,0.6056606662,-42.97109807
417.9645,28.05271955,3.735085382,5.550999734,-3.667061042,-45.10745892
417.965,21.64363699,5.566251829,9.213332627,-7.329393934,-34.73084906
417.9655,8.52027746,6.481835052,10.73930467,-8.244977157,-23.74385038
417.966,-7.044637333,6.787029459,7.687360588,-5.19303308,-26.18540564
417.9665,-16.20046956,6.176640644,1.278278026,-0.004728149245,-42.36070925
417.967,-14.67449753,3.124696567,-3.910026904,4.573187966,-57.01004082
417.9675,-10.70697023,-1.453219549,-5.435998943,8.540715266,-57.31523523
417.968,-14.97969193,-6.946718887,-4.52041572,11.59265934,-46.32823655
417.9685,-25.96669061,-9.998662964,-3.299638089,13.11863138,-35.95162669
417.969,-31.76538436,-9.998662964,-2.994443681,12.20304816,-31.06851617
417.9695,-25.96669061,-8.472690926,-2.994443681,9.45629849,-27.40618327
417.97,-15.28488634,-8.472690926,-2.689249274,7.319937636,-21.30229512
417.9705,-8.875803779,-9.998662964,-2.384054866,6.404354412,-15.50360137
417.971,-6.434248517,-10.91424619,-2.384054866,6.099160005,-12.4516573
417.9715,-2.771915625,-9.083079741,-1.773666051,5.488771189,-11.23087967
417.972,2.111194898,-5.115552441,-0.8580828275,3.962799151,-10.31529644
417.9725,3.942361344,-2.368802772,0.05750039565,2.131632705,-9.094518812
417.973,2.111194898,-2.673997179,0.3626948034,0.6056606662,-6.65296355
417.9735,-0.02516595566,-4.505163626,0.3626948034,-0.3099225569,-2.990630658
417.974,0.5852228597,-5.725941256,0.6678892111,-0.3099225569,0.06131341924
417.9745,3.331972529,-5.725941256,0.9730836188,-0.004728149245,1.28209105
417.975,6.994305421,-6.641524479,0.3626948034,-0.004728149245,3.418451904
417.9755,12.48780476,-8.472690926,-0.8580828275,-0.3099225569,9.21714565
417.976,20.42285936,-9.693468556,-2.384054866,-1.530700188,16.23661703
417.9765,27.13713633,-9.693468556,-2.689249274,-2.446283411,20.81453314
417.977,30.18908041,-9.388274149,-1.773666051,-1.530700188,23.56128281
417.9775,29.27349718,-10.60905178,-1.163277235,-0.004728149245,26.61322689
417.978,27.44233074,-11.82982941,-1.468471643,1.826438297,28.44439334
417.9785,25.00077548,-10.91424619,-1.773666051,1.216049482,28.13919893
417.979,20.11766495,-8.472690926,-1.468471643,0.3004662585,31.49633741
417.9795,11.87741594,-7.251913295,-0.5528884197,0.6056606662,42.7885305
417.98,2.416389306,-8.167496518,0.05750039565,2.74202152,53.47033477
417.9805,-3.38230444,-7.86230211,1.278278026,3.962799151,51.63916832
417.981,-3.38230444,-5.115552441,2.499055657,2.131632705,39.73658642
417.9815,-0.02516595566,-2.979191587,2.499055657,-0.6151169646,32.71711504
417.982,2.111194898,-4.810358033,1.278278026,-1.530700188,34.54828149
417.9825,0.8904172674,-8.472690926,-0.247694012,-0.004728149245,32.71711504
