time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
461.96,35.37738534,-7.251913295,-6.351582166,-8.855365973,-17.33476782
461.9605,35.68257975,-2.673997179,-7.572359797,-7.024199526,-6.958157958
461.961,33.8514133,-3.284385995,-8.182748612,-5.498227488,-1.159464212
461.9615,32.63063567,-6.031135664,-7.267165389,-4.887838672,-2.990630658
461.962,34.15660771,-7.86230211,-6.656776574,-2.141089003,-6.65296355
461.9625,37.20855178,-7.557107703,-8.182748612,2.74202152,-6.958157958
461.963,39.03971823,-4.199969218,-10.01391506,5.793965597,-6.042574735
461.9635,35.98777415,1.293530121,-8.48794302,3.962799151,-6.65296355
461.964,25.61116429,6.481835052,-2.689249274,0.9108550739,-2.380241842
461.9645,4.247555752,5.566251829,2.19386125,2.74202152,15.0158394
461.965,-26.27188502,-0.8428307331,2.804250065,9.151104082,40.65216964
461.9655,-57.70690901,-7.557107703,-0.247694012,13.42382579,55.30150121
461.966,-79.68090637,-9.083079741,-2.994443681,12.81343697,47.36644661
461.9665,-88.53154419,-6.946718887,-3.604832497,10.98227053,25.69764367
461.967,-87.61596097,-4.199969218,-2.384054866,10.0666873,8.606756835
461.9675,-80.59648959,-2.063608364,-0.8580828275,8.845909674,4.028840719
461.968,-67.77832447,0.07275248999,0.9730836188,5.183576782,5.860007166
461.9685,-51.60302086,2.514307752,3.109444473,1.521243889,6.775590389
461.969,-37.5640781,3.429890975,4.330222103,1.216049482,4.639229535
461.9695,-29.6290235,2.819502159,3.41463888,3.352410335,1.587285458
461.97,-25.35630179,0.9883357131,1.888666842,4.267993559,-1.464658619
461.9705,-21.08358009,-0.2324419177,0.6678892111,3.352410335,-5.126991512
461.971,-15.28488634,-1.453219549,0.05750039565,3.352410335,-7.873741181
461.9715,-8.265414964,-2.063608364,-0.5528884197,4.878382374,-7.873741181
461.972,-0.02516595566,-3.284385995,-2.384054866,5.793965597,-6.958157958
461.9725,10.0462495,-4.505163626,-4.215221312,4.267993559,-7.873741181
461.973,20.11766495,-5.115552441,-4.52041572,1.216049482,-13.06204611
461.9735,27.74752515,-4.505163626,-3.604832497,-1.530700188,-20.6919063
461.974,33.8514133,-3.284385995,-2.689249274,-3.667061042,-24.3542392
461.9745,40.87088468,-2.979191587,-2.384054866,-4.582644265,-17.94515664
461.975,50.02671691,-2.673997179,-3.299638089,-5.19303308,0.06131341924
461.9755,59.48774355,-2.368802772,-4.215221312,-5.19303308,22.950894
461.976,64.67604848,-3.284385995,-5.741193351,-4.887838672,40.65216964
461.9765,63.45527085,-7.251913295,-7.572359797,-3.972255449,50.7235851
461.977,57.6565771,-12.74541263,-9.403526243,-2.446283411,57.13266766
461.9775,51.24749454,-16.40774553,-10.62430387,-1.22550578,63.84694463
461.978,46.05918961,-15.1869679,-10.31910947,-1.22550578,67.20408311
461.9785,39.03971823,-9.693468556,-7.572359797,-3.056672226,61.10019496
461.979,25.9163587,-1.758413956,-2.384054866,-5.19303308,46.14566898
461.9795,6.689111014,4.04027979,4.330222103,-7.024199526,28.74958774
461.98,-12.23294226,5.566251829,9.823721442,-7.024199526,11.0483121
461.9805,-26.57707943,2.819502159,11.04449907,-5.19303308,-6.958157958
461.981,-36.03810606,0.9883357131,8.602943811,-1.835894595,-23.74385038
461.9815,-45.1939383,3.124696567,5.550999734,1.521243889,-33.51007143
461.982,-56.48613138,7.397418275,4.635416511,4.267993559,-36.5620155
461.9825,-65.64196361,10.14416794,5.550999734,5.183576782,-37.17240432
461.983,-66.25235243,10.44936235,6.16138855,4.267993559,-36.86720991
461.9835,-55.87574257,9.838973536,5.856194142,3.047215928,-33.51007143
461.984,-41.226411,8.618195906,4.635416511,2.131632705,-25.88021124
461.9845,-31.76538436,5.261057421,3.41463888,2.131632705,-17.02957341
461.985,-31.76538436,0.3779468977,1.888666842,3.047215928,-10.01010203
461.9855,-37.2588837,-2.673997179,0.9730836188,5.488771189,-2.68543625
461.986,-42.44718863,-5.115552441,0.05750039565,8.540715266,3.113257496
461.9865,-44.27835507,-7.251913295,-0.8580828275,10.37188171,3.113257496
461.987,-41.83679981,-8.167496518,-1.468471643,9.761492897,-4.211408289
461.9875,-35.42771725,-6.641524479,-1.468471643,7.319937636,-13.67243493
461.988,-27.18746824,-4.505163626,-0.5528884197,4.878382374,-18.25035104
461.9885,-19.86280246,-3.89477481,0.3626948034,3.657604743,-19.77632308
461.989,-13.14852549,-2.368802772,1.278278026,1.826438297,-23.43865597
461.9895,-4.908276479,4.04027979,2.499055657,-0.004728149245,-27.71137768
461.99,2.416389306,13.19611202,2.499055657,-0.004728149245,-28.01657209
461.9905,5.468333383,19.60519458,0.6678892111,3.962799151,-24.96462801
461.991,3.637166937,22.04674984,-0.247694012,7.625132043,-21.30229512
461.9915,3.331972529,23.87791629,0.05750039565,4.267993559,-17.02957341
461.992,7.299499829,24.48830511,0.6678892111,-4.887838672,-9.704907627
461.9925,12.18261035,21.74155544,0.05750039565,-10.0761436,-1.769853027
461.993,12.48780476,18.07922254,-1.163277235,-6.413810711,1.587285458
461.9935,10.65663831,19.30000018,-0.5528884197,-0.004728149245,2.808063089
461.994,10.35144391,20.2155834,1.888666842,1.216049482,7.080784796
461.9945,11.26702713,9.228584721,5.245805327,-0.9203113723,13.48986736
461.995,10.96183272,-16.10255112,7.076971773,-0.004728149245,13.79506177
461.9955,11.57222154,-41.12849255,7.687360588,3.962799151,5.554812758
461.996,15.84494324,-49.06354715,7.38216618,3.352410335,-2.68543625
461.9965,20.72805377,-38.9921317,6.466582957,-6.108616303,-4.821797104
461.997,21.9488314,-21.90124486,7.687360588,-17.09561498,-3.295825065
461.9975,21.64363699,-6.946718887,9.823721442,-20.14755906,-2.990630658
461.998,23.77999785,1.293530121,11.04449907,-15.87483735,-2.075047435
461.9985,26.22155311,4.04027979,9.518527034,-10.99172683,1.892479865
461.999,21.9488314,4.04027979,8.602943811,-10.38133801,5.554812758
461.9995,11.57222154,4.955863013,11.9600823,-12.21250446,1.28209105
462.0,4.247555752,7.397418275,15.9276096,-13.7384765,-6.958157958
462.0005,5.468333383,8.313001498,15.01202637,-13.43328209,-9.704907627
462.001,11.57222154,7.092223867,8.908138219,-11.29692123,-3.601019473
462.0015,15.23455443,7.702612683,2.19386125,-7.939782749,2.808063089
462.002,15.23455443,10.44936235,-2.384054866,-4.582644265,3.723646312
462.0025,15.23455443,12.2805288,-9.098331835,-0.6151169646,0.6717022346
462.003,17.9813041,9.838973536,-19.4749417,4.573187966,0.06131341924
