"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",483.96000,2000,22000,"uV"

"time","value"
483.96000,-10.40177582
483.96050,-17.7264416
483.96100,-21.6939689
483.96150,-25.35630179
483.96200,-28.40824587
483.96250,-29.3238291
483.96300,-26.88227383
483.96350,-21.08358009
483.96400,-11.92774786
483.96450,-1.856332402
483.96500,3.026778121
483.96550,1.500806083
483.96600,-1.856332402
483.96650,-3.077110033
483.96700,-3.38230444
483.96750,-4.908276479
483.96800,-5.823859702
483.96850,-3.077110033
483.96900,-0.02516595566
483.96950,-0.02516595566
483.97000,1.195611675
483.97050,11.57222154
483.97100,29.57869159
483.97150,43.00724553
483.97200,42.09166231
483.97250,30.18908041
483.97300,17.37091528
483.97350,9.741055091
483.97400,6.078722198
483.97450,3.331972529
483.97500,0.5852228597
483.97550,-0.6355547711
483.97600,-0.9407491788
483.97650,-0.9407491788
483.97700,-1.245943586
483.97750,-1.856332402
483.97800,-2.771915625
483.97850,-4.908276479
483.97900,-7.960220556
483.97950,-9.791387002
483.98000,-7.960220556
483.98050,-3.077110033
483.98100,0.8904172674
483.98150,2.721583714
483.98200,3.942361344
483.98250,5.163138975
483.98300,5.163138975
483.98350,3.026778121
483.98400,0.5852228597
483.98450,-0.02516595566
483.98500,1.195611675
483.98550,3.942361344
483.98600,6.078722198
483.98650,6.994305421
483.98700,4.857944568
483.98750,2.111194898
483.98800,3.026778121
483.98850,8.825471868
483.98900,14.31897121
483.98950,15.23455443
483.99000,12.48780476
483.99050,8.52027746
483.99100,4.247555752
483.99150,-1.856332402
483.99200,-8.570609371
483.99250,-10.09658141
483.99300,-4.908276479
483.99350,2.111194898
483.99400,3.942361344
483.99450,-1.551137994
483.99500,-10.09658141
483.99550,-14.67449753
483.99600,-14.06410871
483.99650,-11.31735904
483.99700,-10.70697023
483.99750,-11.31735904
483.99800,-11.01216463
483.99850,-10.70697023
483.99900,-12.53813667
483.99950,-16.20046956
484.00000,-18.94721923
484.00050,-19.25241364
484.00100,-18.33683042
484.00150,-16.20046956
484.00200,-11.92774786
484.00250,-8.265414964
484.00300,-7.34983174
484.00350,-4.603082071
484.00400,8.215083052
484.00450,30.18908041
484.00500,48.19555046
484.00550,51.85788335
484.00600,44.22802316
484.00650,35.07219093
484.00700,27.13713633
484.00750,18.89688732
484.00800,11.87741594
484.00850,8.825471868
484.00900,8.825471868
484.00950,8.825471868
484.01000,7.604694237
484.01050,5.163138975
484.01100,-1.551137994
484.01150,-13.14852549
484.01200,-23.52513535
484.01250,-28.10305146
484.01300,-29.93421791
484.01350,-34.20693962
484.01400,-37.86927251
484.01450,-37.2588837
484.01500,-35.73291166
484.01550,-33.90174521
484.01600,-20.47319127
484.01650,11.26702713
484.01700,45.7539952
484.01750,56.13060506
484.01800,37.8189406
484.01850,13.70858239
484.01900,1.500806083
484.01950,-1.551137994
484.02000,-5.213470887
484.02050,-5.213470887
484.02100,2.111194898
484.02150,10.35144391
484.02200,8.825471868
484.02250,3.942361344
484.02300,8.52027746
484.02350,20.42285936
484.02400,25.30596988
484.02450,15.23455443
484.02500,-0.02516595566
484.02550,-6.12905411
484.02600,-2.16152681
484.02650,4.55275016
484.02700,7.299499829
484.02750,4.857944568
484.02800,-0.3303603634
484.02850,-5.823859702
484.02900,-8.570609371
484.02950,-7.960220556
484.03000,-4.908276479
484.03050,-0.6355547711
484.03100,3.637166937
484.03150,6.994305421
484.03200,8.52027746
484.03250,8.215083052
484.03300,6.383916606
484.03350,6.078722198
484.03400,7.604694237
484.03450,7.604694237
484.03500,3.331972529
484.03550,-3.992693256
