"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",505.96000,2000,22000,"uV"

"time","value"
505.96000,-6.046387758
505.96050,-7.267165389
505.96100,-3.604832497
505.96150,2.804250065
505.96200,6.466582957
505.96250,3.109444473
505.96300,-2.078860458
505.96350,-3.910026904
505.96400,-0.8580828275
505.96450,1.888666842
505.96500,2.804250065
505.96550,2.499055657
505.96600,1.583472434
505.96650,0.05750039565
505.96700,-0.247694012
505.96750,0.9730836188
505.96800,2.19386125
505.96850,1.278278026
505.96900,-0.247694012
505.96950,0.05750039565
505.97000,3.719833288
505.97050,6.771777365
505.97100,6.771777365
505.97150,4.330222103
505.97200,1.278278026
505.97250,-0.8580828275
505.97300,-2.994443681
505.97350,-5.130804535
505.97400,-8.48794302
505.97450,-11.8450815
505.97500,-12.15027591
505.97550,-9.708720651
505.97600,-9.708720651
505.97650,-12.45547032
505.97700,-8.182748612
505.97750,8.908138219
505.97800,30.57694117
505.97850,38.81719017
505.97900,29.66135794
505.97950,15.62241519
505.98000,7.992554996
505.98050,6.771777365
505.98100,6.16138855
505.98150,4.635416511
505.98200,3.719833288
505.98250,2.804250065
505.98300,0.9730836188
505.98350,0.05750039565
505.98400,0.6678892111
505.98450,1.278278026
505.98500,0.05750039565
505.98550,-1.163277235
505.98600,-0.247694012
505.98650,0.9730836188
505.98700,0.6678892111
505.98750,-1.163277235
505.98800,-2.689249274
505.98850,-2.078860458
505.98900,-0.8580828275
505.98950,-1.163277235
505.99000,-3.299638089
505.99050,-4.825610128
505.99100,-4.52041572
505.99150,-3.910026904
505.99200,-3.910026904
505.99250,-3.299638089
505.99300,0.9730836188
505.99350,8.297749404
505.99400,13.48605433
505.99450,14.40163756
505.99500,13.18085993
505.99550,11.9600823
505.99600,8.908138219
505.99650,2.19386125
505.99700,-6.351582166
505.99750,-14.28663677
505.99800,-19.4749417
505.99850,-19.7801361
505.99900,-13.37105354
505.99950,-4.215221312
506.00000,-1.773666051
506.00050,-7.877554205
506.00100,-13.37105354
506.00150,-12.45547032
506.00200,-12.76066473
506.00250,-22.22169137
506.00300,-35.65024531
506.00350,-42.05932787
506.00400,-41.75413346
506.00450,-39.00738379
506.00500,-30.15674597
506.00550,-6.961970981
506.00600,22.33669216
506.00650,37.90160695
506.00700,31.7977188
506.00750,19.58994249
506.00800,15.9276096
506.00850,18.06397045
506.00900,14.40163756
506.00950,3.41463888
506.01000,-5.741193351
506.01050,-9.098331835
506.01100,-7.572359797
506.01150,-2.994443681
506.01200,2.19386125
506.01250,5.550999734
506.01300,4.940610919
506.01350,3.719833288
506.01400,4.635416511
506.01450,6.16138855
506.01500,7.076971773
506.01550,8.602943811
506.01600,10.73930467
506.01650,8.908138219
506.01700,1.888666842
506.01750,-4.825610128
506.01800,-4.825610128
506.01850,0.05750039565
506.01900,2.804250065
506.01950,1.278278026
506.02000,-0.5528884197
506.02050,0.6678892111
506.02100,3.41463888
506.02150,3.41463888
506.02200,0.9730836188
506.02250,-1.163277235
506.02300,-2.384054866
506.02350,-2.994443681
506.02400,-2.994443681
506.02450,-2.384054866
506.02500,-0.5528884197
506.02550,0.6678892111
506.02600,1.583472434
506.02650,2.19386125
506.02700,3.109444473
506.02750,4.330222103
506.02800,6.16138855
506.02850,7.992554996
506.02900,8.908138219
506.02950,7.992554996
506.03000,4.330222103
506.03050,0.3626948034
506.03100,-1.468471643
506.03150,-2.078860458
506.03200,-5.741193351
506.03250,-15.8126088
506.03300,-28.63077393
506.03350,-36.56582853
506.03400,-36.87102294
506.03450,-33.51388445
506.03500,-28.32557952
506.03550,-15.8126088
506.03600,7.687360588
506.03650,31.7977188
506.03700,39.12238458
506.03750,27.21980268
506.03800,11.65488789
506.03850,6.771777365
506.03900,9.823721442
506.03950,9.518527034
506.04000,4.330222103
506.04050,1.888666842
506.04100,3.719833288
506.04150,4.330222103
506.04200,2.804250065
506.04250,3.41463888
506.04300,7.076971773
506.04350,9.518527034
506.04400,8.602943811
506.04450,8.602943811
506.04500,11.04449907
506.04550,11.9600823
506.04600,10.12891585
506.04650,10.73930467
506.04700,14.40163756
506.04750,13.48605433
506.04800,0.9730836188
506.04850,-16.72819203
506.04900,-27.4099963
506.04950,-26.79960748
506.05000,-20.08533051
506.05050,-12.45547032
506.05100,-4.52041572
506.05150,1.278278026
506.05200,2.499055657
506.05250,-0.8580828275
506.05300,-4.215221312
506.05350,-4.215221312
506.05400,-2.994443681
506.05450,-2.689249274
506.05500,-1.773666051
506.05550,-0.247694012
506.05600,0.6678892111
506.05650,0.05750039565
506.05700,-1.773666051
506.05750,-2.689249274
506.05800,-1.468471643
506.05850,0.6678892111
506.05900,1.888666842
506.05950,1.278278026
506.06000,-0.247694012
506.06050,-0.247694012
506.06100,1.583472434
506.06150,3.719833288
506.06200,3.41463888
506.06250,1.888666842
