"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",516.96000,2000,22000,"uV"

"time","value"
516.96000,1.216049482
516.96050,3.962799151
516.96100,10.0666873
516.96150,13.42382579
516.96200,11.59265934
516.96250,7.930326451
516.96300,5.793965597
516.96350,4.267993559
516.96400,2.131632705
516.96450,0.9108550739
516.96500,1.521243889
516.96550,1.826438297
516.96600,0.6056606662
516.96650,0.3004662585
516.96700,2.131632705
516.96750,3.047215928
516.96800,1.826438297
516.96850,-0.004728149245
516.96900,-0.004728149245
516.96950,0.9108550739
516.97000,-0.004728149245
516.97050,-0.6151169646
516.97100,0.3004662585
516.97150,2.436827112
516.97200,2.131632705
516.97250,0.6056606662
516.97300,1.216049482
516.97350,3.657604743
516.97400,5.183576782
516.97450,3.962799151
516.97500,3.047215928
516.97550,3.352410335
516.97600,3.047215928
516.97650,0.3004662585
516.97700,-2.751477819
516.97750,-3.972255449
516.97800,-4.277449857
516.97850,-5.498227488
516.97900,-7.939782749
516.97950,-9.465754788
516.98000,-9.465754788
516.98050,-8.244977157
516.98100,-6.413810711
516.98150,-4.582644265
516.98200,-3.667061042
516.98250,-3.972255449
516.98300,-3.667061042
516.98350,-2.751477819
516.98400,-2.141089003
516.98450,-1.835894595
516.98500,-1.22550578
516.98550,-1.530700188
516.98600,-4.887838672
516.98650,-10.38133801
516.98700,-13.43328209
516.98750,-10.38133801
516.98800,-6.413810711
516.98850,-7.634588342
516.98900,-13.12808768
516.98950,-14.95925413
516.99000,-10.0761436
516.99050,-1.835894595
516.99100,4.267993559
516.99150,9.45629849
516.99200,15.56018664
516.99250,21.6640748
516.99300,24.71601887
516.99350,24.41082447
516.99400,21.05368598
516.99450,15.25499224
516.99500,6.404354412
516.99550,-2.751477819
516.99600,-9.465754788
516.99650,-12.82289327
516.99700,-13.7384765
516.99750,-12.21250446
516.99800,-7.939782749
516.99850,-1.530700188
516.99900,4.878382374
516.99950,11.59265934
517.00000,17.6965475
517.00050,21.35888039
517.00100,21.35888039
517.00150,18.91732513
517.00200,16.78096427
517.00250,15.86538105
517.00300,14.33940901
517.00350,11.59265934
517.00400,8.540715266
517.00450,5.488771189
517.00500,2.74202152
517.00550,0.9108550739
517.00600,0.6056606662
517.00650,1.826438297
517.00700,3.352410335
517.00750,3.962799151
517.00800,4.878382374
517.00850,5.488771189
517.00900,4.267993559
517.00950,0.3004662585
517.01000,-3.972255449
517.01050,-7.329393934
517.01100,-9.16056038
517.01150,-9.770949196
517.01200,-9.16056038
517.01250,-7.634588342
517.01300,-5.803421896
517.01350,-3.972255449
517.01400,-0.9203113723
517.01450,3.352410335
517.01500,5.183576782
517.01550,1.216049482
517.01600,-4.887838672
517.01650,-6.413810711
517.01700,-0.004728149245
517.01750,7.319937636
517.01800,10.0666873
517.01850,7.014743228
517.01900,3.962799151
