"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",527.96000,2000,22080,"uV"

"time","value"
527.96000,14.72208406
527.96050,17.77402814
527.96100,17.16363932
527.96150,16.2480561
527.96200,15.02727847
527.96250,12.89091761
527.96300,10.44936235
527.96350,9.228584721
527.96400,9.228584721
527.96450,9.533779129
527.96500,10.14416794
527.96550,10.75455676
527.96600,11.05975117
527.96650,10.14416794
527.96700,9.838973536
527.96750,11.97533439
527.96800,15.94286169
527.96850,19.60519458
527.96900,21.13116662
527.96950,20.52077781
527.97000,17.46883373
527.97050,9.533779129
527.97100,-1.758413956
527.97150,-11.21944059
527.97200,-11.524635
527.97250,-3.284385995
527.97300,6.176640644
527.97350,10.14416794
527.97400,8.618195906
527.97450,6.176640644
527.97500,5.566251829
527.97550,6.481835052
527.97600,7.702612683
527.97650,10.14416794
527.97700,14.41688965
527.97750,17.77402814
527.97800,16.55325051
527.97850,11.97533439
527.97900,8.00780709
527.97950,6.481835052
527.98000,5.261057421
527.98050,2.819502159
527.98100,0.6831413054
527.98150,-0.5376363254
527.98200,-2.368802772
527.98250,-6.031135664
527.98300,-9.083079741
527.98350,-9.083079741
527.98400,-5.420746849
527.98450,-1.148025141
527.98500,1.598724528
527.98550,3.124696567
527.98600,5.566251829
527.98650,10.44936235
527.98700,16.85844491
527.98750,23.26752748
527.98800,27.23505478
527.98850,27.23505478
527.98900,23.26752748
527.98950,15.02727847
527.99000,5.566251829
527.99050,0.07275248999
527.99100,3.124696567
527.99150,12.58572321
527.99200,21.74155544
527.99250,21.74155544
527.99300,8.313001498
527.99350,-15.79735671
527.99400,-40.82329814
527.99450,-54.8622409
527.99500,-53.03107445
527.99550,-41.12849255
527.99600,-27.69993861
527.99650,-16.71293993
527.99700,-9.693468556
527.99750,-10.91424619
527.99800,-23.1220225
527.99850,-39.2973261
527.99900,-48.45315833
527.99950,-46.01160307
528.00000,-36.55057643
528.00050,-25.86877216
528.00100,-15.4921623
528.00150,-6.031135664
528.00200,-0.2324419177
528.00250,0.9883357131
528.00300,-0.2324419177
528.00350,-2.673997179
528.00400,-4.199969218
528.00450,-3.284385995
528.00500,-2.063608364
528.00550,-3.89477481
528.00600,-9.388274149
528.00650,-15.4921623
528.00700,-17.01813434
528.00750,-15.1869679
528.00800,-11.82982941
528.00850,-7.86230211
528.00900,-2.673997179
528.00950,1.903918936
528.01000,4.650668606
528.01050,4.955863013
528.01100,4.955863013
528.01150,4.650668606
528.01200,3.429890975
528.01250,0.6831413054
528.01300,-1.758413956
528.01350,-5.420746849
528.01400,-8.777885333
528.01450,-9.998662964
528.01500,-8.167496518
528.01550,-5.725941256
528.01600,-1.453219549
528.01650,7.092223867
