time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
0.0,-3.687498848,3.735085382,1.888666842,-3.361866634,1.28209105
0.0005,-3.38230444,3.429890975,2.804250065,-4.887838672,0.06131341924
0.001,-2.771915625,4.345474198,2.19386125,-6.719005119,0.3665078269
0.0015,-2.771915625,4.955863013,1.278278026,-8.244977157,0.3665078269
0.002,-4.603082071,4.345474198,0.6678892111,-8.244977157,-1.159464212
0.0025,-7.044637333,4.650668606,0.6678892111,-7.634588342,-3.906213881
0.003,-7.960220556,5.566251829,0.3626948034,-6.413810711,-4.516602696
0.0035,-6.434248517,5.566251829,0.05750039565,-5.498227488,-2.380241842
0.004,-5.213470887,4.650668606,-1.468471643,-5.498227488,-0.5490753962
0.0045,-5.823859702,3.735085382,-2.384054866,-5.498227488,-0.2438809885
0.005,-7.34983174,3.735085382,-2.078860458,-5.19303308,-1.159464212
0.0055,-7.34983174,3.124696567,-1.468471643,-5.19303308,-2.380241842
0.006,-5.823859702,2.514307752,-1.163277235,-4.887838672,-3.295825065
0.0065,-5.213470887,2.514307752,-0.8580828275,-3.056672226,-4.211408289
0.007,-7.044637333,3.124696567,-0.5528884197,0.3004662585,-3.601019473
0.0075,-8.875803779,3.429890975,0.3626948034,2.74202152,-2.075047435
0.008,-8.570609371,2.514307752,1.583472434,1.826438297,-2.68543625
0.0085,-5.213470887,1.598724528,1.888666842,-0.9203113723,-6.347769142
0.009,-0.9407491788,1.293530121,1.278278026,-2.751477819,-10.62049085
0.0095,1.806000491,1.903918936,1.278278026,-2.141089003,-13.06204611
0.01,3.026778121,2.819502159,2.19386125,-0.6151169646,-13.36724052
0.0105,3.942361344,4.04027979,2.804250065,0.3004662585,-13.36724052
0.011,5.163138975,4.650668606,1.888666842,0.9108550739,-12.7568517
0.0115,5.468333383,3.735085382,0.05750039565,1.521243889,-10.62049085
0.012,5.773527791,2.819502159,-0.247694012,2.131632705,-7.873741181
0.0125,6.689111014,3.124696567,0.3626948034,2.436827112,-6.347769142
0.013,8.215083052,4.955863013,1.278278026,2.131632705,-6.347769142
0.0135,8.52027746,6.176640644,1.583472434,1.826438297,-6.958157958
0.014,6.689111014,5.871446236,2.499055657,1.826438297,-7.263352366
0.0145,5.468333383,4.345474198,3.109444473,1.521243889,-6.347769142
0.015,6.994305421,2.514307752,2.499055657,0.6056606662,-3.906213881
0.0155,8.825471868,0.9883357131,0.3626948034,-0.3099225569,-0.2438809885
0.016,7.604694237,-0.2324419177,-1.468471643,-0.6151169646,2.502868681
0.0165,3.637166937,-0.2324419177,-1.773666051,-0.004728149245,3.113257496
0.017,1.806000491,-0.2324419177,-0.8580828275,-0.9203113723,3.113257496
0.0175,3.026778121,-1.148025141,-0.5528884197,-5.19303308,4.639229535
0.018,3.026778121,-2.063608364,-0.8580828275,-10.68653242,7.691173612
0.0185,0.280028452,-2.673997179,-0.5528884197,-11.90731005,8.606756835
0.019,-3.38230444,-2.063608364,0.3626948034,-8.244977157,6.165201573
0.0195,-5.518665294,-0.8428307331,0.9730836188,-3.361866634,2.197674273
0.02,-7.044637333,-0.2324419177,0.9730836188,-0.9203113723,0.3665078269
0.0205,-8.875803779,0.07275248999,1.278278026,-0.004728149245,0.9768966423
0.021,-10.09658141,-0.5376363254,2.19386125,0.3004662585,1.892479865
0.0215,-9.791387002,-2.368802772,2.19386125,-0.004728149245,1.587285458
0.022,-8.875803779,-3.284385995,0.3626948034,-2.751477819,0.9768966423
0.0225,-9.486192594,-2.368802772,-0.8580828275,-4.582644265,0.3665078269
0.023,-10.40177582,-1.453219549,-0.247694012,-3.056672226,-0.2438809885
0.0235,-11.01216463,-1.148025141,1.583472434,0.3004662585,-2.380241842
0.024,-10.40177582,-0.8428307331,2.804250065,2.436827112,-3.906213881
0.0245,-9.791387002,-0.2324419177,2.19386125,2.74202152,-3.601019473
0.025,-8.875803779,0.9883357131,1.278278026,1.521243889,-2.68543625
0.0255,-7.960220556,0.9883357131,0.6678892111,-0.3099225569,-3.295825065
0.026,-6.739442925,0.07275248999,0.3626948034,-2.446283411,-6.347769142
0.0265,-5.213470887,-1.148025141,0.05750039565,-0.6151169646,-10.01010203
0.027,-3.38230444,-2.673997179,0.05750039565,3.657604743,-11.53607407
0.0275,-1.551137994,-4.199969218,-0.5528884197,4.573187966,-10.01010203
0.028,-0.9407491788,-4.505163626,-2.689249274,-2.141089003,-6.65296355
0.0285,-1.551137994,-4.199969218,-4.825610128,-11.60211564,-4.211408289
0.029,-3.077110033,-4.199969218,-5.435998943,-14.65405972,-3.295825065
0.0295,-4.297887663,-5.115552441,-3.910026904,-8.550171565,-2.380241842
0.03,-4.908276479,-5.725941256,-2.078860458,-0.3099225569,-0.5490753962
0.0305,-4.297887663,-4.199969218,-0.8580828275,4.267993559,0.3665078269
0.031,-2.771915625,-1.453219549,0.05750039565,5.793965597,0.06131341924
0.0315,-1.856332402,-0.5376363254,1.278278026,6.099160005,-0.5490753962
0.032,-1.856332402,-1.148025141,2.804250065,5.183576782,0.06131341924
0.0325,-1.245943586,-2.063608364,3.719833288,3.657604743,1.892479865
0.033,0.5852228597,-2.368802772,4.330222103,2.436827112,3.113257496
0.0335,3.026778121,-2.673997179,4.330222103,3.047215928,2.808063089
0.034,3.637166937,-2.673997179,4.330222103,3.962799151,1.892479865
0.0345,2.721583714,-2.368802772,4.330222103,4.878382374,1.28209105
0.035,3.942361344,-2.063608364,4.635416511,5.793965597,1.587285458
0.0355,7.909888645,-1.758413956,4.940610919,6.404354412,2.197674273
0.036,12.79299917,-0.8428307331,4.940610919,5.488771189,1.587285458
0.0365,15.84494324,0.6831413054,5.245805327,3.352410335,-0.2438809885
0.037,17.37091528,1.293530121,5.856194142,1.826438297,-2.380241842
0.0375,18.28649851,-0.2324419177,5.245805327,2.436827112,-1.769853027
0.038,19.50727614,-2.063608364,3.41463888,2.436827112,1.587285458
0.0385,21.03324818,-2.063608364,1.583472434,1.216049482,4.639229535
0.039,22.25402581,-0.5376363254,0.9730836188,0.6056606662,4.639229535
0.0395,21.03324818,-1.148025141,2.19386125,1.216049482,2.808063089
0.04,16.45533206,-2.979191587,2.804250065,1.216049482,2.502868681
