"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",10.96000,2000,22000,"uV"

"time","value"
10.96000,-1.453219549
10.96050,-2.063608364
10.96100,0.6831413054
10.96150,2.514307752
10.96200,-0.2324419177
10.96250,-4.505163626
10.96300,-5.115552441
10.96350,-1.758413956
10.96400,-0.2324419177
10.96450,-3.284385995
10.96500,-6.641524479
10.96550,-6.336330072
10.96600,-2.979191587
10.96650,-1.148025141
10.96700,-1.758413956
10.96750,-2.979191587
10.96800,-3.589580402
10.96850,-4.199969218
10.96900,-5.420746849
10.96950,-6.031135664
10.97000,-4.505163626
10.97050,-2.979191587
10.97100,-3.589580402
10.97150,-5.725941256
10.97200,-7.251913295
10.97250,-7.251913295
10.97300,-7.251913295
10.97350,-8.777885333
10.97400,-9.693468556
10.97450,-7.86230211
10.97500,-5.420746849
10.97550,-4.810358033
10.97600,-5.115552441
10.97650,-3.89477481
10.97700,-0.8428307331
10.97750,0.3779468977
10.97800,-0.8428307331
10.97850,-2.673997179
10.97900,-3.284385995
10.97950,-3.589580402
10.98000,-5.115552441
10.98050,-6.946718887
10.98100,-6.336330072
10.98150,-4.199969218
10.98200,-2.368802772
10.98250,-1.148025141
10.98300,-0.2324419177
10.98350,0.07275248999
10.98400,0.07275248999
10.98450,-0.2324419177
10.98500,-0.2324419177
10.98550,0.3779468977
10.98600,1.293530121
10.98650,0.9883357131
10.98700,-0.2324419177
10.98750,-1.453219549
10.98800,-2.979191587
10.98850,-4.505163626
10.98900,-5.420746849
10.98950,-4.505163626
10.99000,-2.063608364
10.99050,0.6831413054
10.99100,2.209113344
10.99150,2.514307752
10.99200,3.429890975
10.99250,4.955863013
10.99300,4.955863013
10.99350,3.735085382
10.99400,3.735085382
10.99450,7.092223867
10.99500,10.44936235
10.99550,9.533779129
10.99600,3.735085382
10.99650,-2.063608364
10.99700,-5.420746849
10.99750,-9.083079741
10.99800,-13.05060704
10.99850,-14.27138467
10.99900,-8.777885333
10.99950,1.598724528
11.00000,10.75455676
11.00050,15.33247288
11.00100,16.85844491
11.00150,17.16363932
11.00200,15.33247288
11.00250,12.2805288
11.00300,9.533779129
11.00350,7.702612683
11.00400,5.871446236
11.00450,4.04027979
11.00500,2.514307752
11.00550,-0.2324419177
11.00600,-7.86230211
11.00650,-17.93371756
11.00700,-24.95318894
11.00750,-25.56357776
11.00800,-23.4272169
11.00850,-25.25838335
11.00900,-29.83629946
11.00950,-32.27785473
11.01000,-28.31032743
11.01050,-20.68046723
11.01100,-13.66099586
11.01150,-7.557107703
11.01200,0.07275248999
11.01250,11.67013998
11.01300,24.1831107
11.01350,30.59219326
11.01400,28.150638
11.01450,20.82597221
11.01500,15.33247288
11.01550,13.80650084
11.01600,13.19611202
11.01650,11.97533439
11.01700,11.97533439
11.01750,15.33247288
11.01800,18.07922254
11.01850,18.07922254
11.01900,18.07922254
11.01950,19.60519458
11.02000,18.99480577
11.02050,9.838973536
11.02100,-4.505163626
11.02150,-12.74541263
11.02200,-7.86230211
11.02250,1.903918936
11.02300,2.819502159
11.02350,-12.74541263
11.02400,-39.2973261
11.02450,-64.01807313
11.02500,-75.31026621
11.02550,-68.29079484
11.02600,-46.62199189
11.02650,-20.98566164
11.02700,-2.368802772
11.02750,8.618195906
11.02800,18.07922254
11.02850,27.84544359
11.02900,31.81297089
11.02950,26.62466596
11.03000,16.55325051
11.03050,10.44936235
11.03100,9.838973536
11.03150,9.838973536
11.03200,6.787029459
11.03250,3.429890975
11.03300,1.598724528
11.03350,0.07275248999
11.03400,-2.063608364
11.03450,-2.979191587
11.03500,-1.453219549
11.03550,-0.8428307331
11.03600,-3.284385995
11.03650,-6.641524479
11.03700,-6.336330072
11.03750,-0.8428307331
11.03800,6.176640644
11.03850,13.50130643
11.03900,20.52077781
11.03950,26.62466596
11.04000,28.76102681
11.04050,23.87791629
11.04100,14.41688965
11.04150,5.566251829
11.04200,1.293530121
11.04250,3.429890975
11.04300,8.313001498
11.04350,10.44936235
11.04400,7.092223867
11.04450,1.293530121
11.04500,-0.2324419177
11.04550,4.650668606
11.04600,11.36494557
11.04650,14.41688965
11.04700,13.50130643
11.04750,11.67013998
11.04800,9.533779129
11.04850,5.871446236
11.04900,0.6831413054
11.04950,-2.979191587
11.05000,-4.810358033
11.05050,-6.336330072
11.05100,-9.083079741
11.05150,-12.44021823
11.05200,-13.35580145
11.05250,-12.44021823
11.05300,-12.13502382
11.05350,-13.35580145
11.05400,-13.96619026
11.05450,-9.998662964
11.05500,-2.979191587
11.05550,2.819502159
11.05600,5.261057421
11.05650,5.261057421
11.05700,5.261057421
11.05750,5.261057421
11.05800,4.04027979
11.05850,1.903918936
11.05900,0.3779468977
11.05950,-0.8428307331
11.06000,-2.979191587
11.06050,-5.420746849
11.06100,-6.336330072
11.06150,-7.251913295
11.06200,-10.91424619
11.06250,-17.01813434
11.06300,-21.90124486
11.06350,-22.81682809
11.06400,-19.4596896
11.06450,-13.66099586
11.06500,-7.557107703
11.06550,-2.368802772
11.06600,0.07275248999
11.06650,0.9883357131
11.06700,1.293530121
11.06750,1.598724528
11.06800,2.209113344
11.06850,1.598724528
11.06900,-0.2324419177
11.06950,-2.673997179
11.07000,-4.505163626
11.07050,-3.589580402
11.07100,-0.2324419177
11.07150,3.124696567
11.07200,2.514307752
11.07250,-0.2324419177
11.07300,-1.148025141
11.07350,-0.2324419177
11.07400,0.07275248999
11.07450,-0.2324419177
11.07500,-0.2324419177
11.07550,0.3779468977
11.07600,1.598724528
11.07650,2.209113344
11.07700,2.514307752
11.07750,3.429890975
11.07800,4.345474198
11.07850,4.650668606
11.07900,3.735085382
11.07950,2.819502159
11.08000,2.209113344
11.08050,2.209113344
11.08100,3.124696567
11.08150,3.429890975
11.08200,2.819502159
11.08250,0.6831413054
11.08300,-1.453219549
11.08350,-3.284385995
11.08400,-4.199969218
11.08450,-5.115552441
11.08500,-6.336330072
11.08550,-8.167496518
11.08600,-8.167496518
11.08650,-5.115552441
11.08700,-0.2324419177
11.08750,1.903918936
11.08800,0.9883357131
11.08850,-0.2324419177
11.08900,1.293530121
11.08950,5.566251829
11.09000,11.05975117
11.09050,14.41688965
11.09100,14.41688965
11.09150,11.67013998
11.09200,8.618195906
11.09250,8.313001498
11.09300,9.533779129
11.09350,8.923390313
11.09400,5.566251829
11.09450,2.209113344
11.09500,0.3779468977
11.09550,-2.368802772
11.09600,-8.167496518
11.09650,-13.66099586
11.09700,-15.1869679
11.09750,-14.57657908
11.09800,-15.4921623
11.09850,-17.01813434
11.09900,-14.27138467
11.09950,-6.641524479
11.10000,-0.2324419177
11.10050,1.598724528
11.10100,-0.8428307331
11.10150,-4.505163626
11.10200,-7.557107703
11.10250,-9.693468556
11.10300,-10.30385737
11.10350,-8.167496518
11.10400,-5.420746849
11.10450,-3.284385995
11.10500,-1.453219549
11.10550,0.07275248999
11.10600,1.598724528
11.10650,2.209113344
11.10700,2.514307752
11.10750,2.514307752
11.10800,2.514307752
11.10850,2.209113344
11.10900,2.514307752
11.10950,3.124696567
11.11000,3.735085382
11.11050,3.735085382
11.11100,3.735085382
11.11150,4.04027979
11.11200,4.345474198
11.11250,3.429890975
11.11300,2.514307752
11.11350,3.429890975
11.11400,4.345474198
11.11450,4.650668606
11.11500,4.955863013
11.11550,6.481835052
11.11600,8.313001498
11.11650,8.313001498
11.11700,6.481835052
11.11750,4.345474198
11.11800,2.514307752
11.11850,1.598724528
11.11900,2.209113344
11.11950,3.124696567
11.12000,2.819502159
11.12050,1.598724528
11.12100,-0.2324419177
11.12150,-3.589580402
11.12200,-7.86230211
11.12250,-10.91424619
11.12300,-8.472690926
11.12350,-2.368802772
11.12400,2.819502159
11.12450,8.00780709
11.12500,16.55325051
11.12550,25.09869392
11.12600,25.40388833
11.12650,19.60519458
11.12700,19.30000018
11.12750,28.45583241
11.12800,33.64413734
11.12850,26.92986037
11.12900,20.82597221
11.12950,26.62466596
11.13000,33.03374852
11.13050,21.13116662
11.13100,-2.673997179
11.13150,-18.54410638
11.13200,-22.51163368
11.13250,-30.14149387
11.13300,-43.87524222
11.13350,-49.36874156
11.13400,-43.87524222
11.13450,-45.70640867
11.13500,-64.32326754
11.13550,-80.19337674
11.13600,-72.56351654
11.13650,-48.14796393
11.13700,-27.69993861
11.13750,-17.01813434
11.13800,-7.251913295
11.13850,5.566251829
11.13900,15.33247288
11.13950,18.07922254
11.14000,16.55325051
11.14050,13.50130643
11.14100,8.618195906
11.14150,3.429890975
11.14200,1.598724528
11.14250,3.124696567
11.14300,5.261057421
11.14350,6.787029459
11.14400,8.618195906
11.14450,10.44936235
11.14500,10.44936235
11.14550,9.228584721
11.14600,10.14416794
11.14650,14.11169524
11.14700,18.07922254
11.14750,16.55325051
11.14800,9.533779129
11.14850,1.598724528
11.14900,-2.673997179
11.14950,-4.199969218
11.15000,-4.810358033
11.15050,-4.199969218
11.15100,-0.2324419177
11.15150,4.345474198
11.15200,2.819502159
11.15250,-4.810358033
11.15300,-8.167496518
11.15350,-0.2324419177
11.15400,13.19611202
11.15450,19.30000018
11.15500,14.72208406
11.15550,8.00780709
11.15600,6.787029459
11.15650,8.923390313
11.15700,9.228584721
11.15750,7.702612683
11.15800,7.092223867
11.15850,6.787029459
11.15900,5.261057421
11.15950,4.04027979
11.16000,5.261057421
11.16050,6.787029459
11.16100,4.955863013
11.16150,0.07275248999
11.16200,-2.979191587
11.16250,-2.063608364
11.16300,-0.2324419177
11.16350,0.6831413054
11.16400,0.6831413054
11.16450,1.903918936
11.16500,3.124696567
11.16550,2.209113344
11.16600,-0.2324419177
11.16650,-1.758413956
11.16700,-0.2324419177
11.16750,4.345474198
11.16800,8.618195906
11.16850,9.533779129
11.16900,4.955863013
11.16950,-3.284385995
11.17000,-9.998662964
11.17050,-11.82982941
11.17100,-9.388274149
11.17150,-6.641524479
11.17200,-5.115552441
11.17250,-4.505163626
11.17300,-3.89477481
11.17350,-2.368802772
11.17400,0.07275248999
11.17450,3.429890975
11.17500,3.735085382
11.17550,-0.2324419177
11.17600,-6.641524479
11.17650,-11.21944059
11.17700,-13.35580145
11.17750,-15.79735671
11.17800,-19.4596896
11.17850,-21.90124486
11.17900,-21.90124486
11.17950,-18.84930079
11.18000,-13.05060704
11.18050,-1.453219549
11.18100,15.63766728
11.18150,32.1181653
11.18200,37.61166464
11.18250,29.06622122
11.18300,14.72208406
11.18350,5.871446236
11.18400,5.566251829
11.18450,8.618195906
