"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",32.96000,2000,22000,"uV"

"time","value"
32.96000,-8.244977157
32.96050,-6.413810711
32.96100,-3.361866634
32.96150,-1.530700188
32.96200,-0.004728149245
32.96250,1.216049482
32.96300,1.216049482
32.96350,-0.3099225569
32.96400,-2.141089003
32.96450,-2.141089003
32.96500,-1.22550578
32.96550,-0.6151169646
32.96600,-0.3099225569
32.96650,1.216049482
32.96700,2.74202152
32.96750,1.826438297
32.96800,-1.530700188
32.96850,-3.972255449
32.96900,-2.751477819
32.96950,0.3004662585
32.97000,1.826438297
32.97050,0.3004662585
32.97100,-1.835894595
32.97150,-3.361866634
32.97200,-3.361866634
32.97250,-3.972255449
32.97300,-5.19303308
32.97350,-6.108616303
32.97400,-5.19303308
32.97450,-4.277449857
32.97500,-3.667061042
32.97550,-2.751477819
32.97600,-1.22550578
32.97650,-0.004728149245
32.97700,0.6056606662
32.97750,0.9108550739
32.97800,2.131632705
32.97850,3.047215928
32.97900,1.521243889
32.97950,-0.6151169646
32.98000,-1.835894595
32.98050,-0.004728149245
32.98100,3.047215928
32.98150,7.014743228
32.98200,10.67707612
32.98250,12.81343697
32.98300,12.20304816
32.98350,9.45629849
32.98400,6.70954882
32.98450,4.878382374
32.98500,3.657604743
32.98550,2.74202152
32.98600,3.047215928
32.98650,3.047215928
32.98700,1.826438297
32.98750,0.3004662585
32.98800,0.3004662585
32.98850,0.9108550739
32.98900,-0.3099225569
32.98950,-3.361866634
32.99000,-4.277449857
32.99050,-1.835894595
32.99100,-0.3099225569
32.99150,-1.835894595
32.99200,-4.582644265
32.99250,-5.19303308
32.99300,-4.887838672
32.99350,-6.719005119
32.99400,-8.550171565
32.99450,-5.19303308
32.99500,3.047215928
32.99550,9.761492897
32.99600,8.845909674
32.99650,2.74202152
32.99700,-1.530700188
32.99750,-0.004728149245
32.99800,3.962799151
32.99850,6.70954882
32.99900,6.404354412
32.99950,4.267993559
