"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",54.96000,2000,22000,"uV"

"time","value"
54.96000,-3.604832497
54.96050,-6.351582166
54.96100,-14.28663677
54.96150,-26.79960748
54.96200,-32.59830123
54.96250,-22.22169137
54.96300,-2.689249274
54.96350,11.34969348
54.96400,15.31722078
54.96450,13.18085993
54.96500,9.823721442
54.96550,4.940610919
54.96600,0.3626948034
54.96650,-0.5528884197
54.96700,0.6678892111
54.96750,0.9730836188
54.96800,1.278278026
54.96850,4.635416511
54.96900,11.04449907
54.96950,16.84319282
54.97000,18.67435927
54.97050,18.67435927
54.97100,17.75877604
54.97150,16.53799841
54.97200,14.40163756
54.97250,10.73930467
54.97300,5.550999734
54.97350,-0.247694012
54.97400,-6.656776574
54.97450,-13.37105354
54.97500,-19.4749417
54.97550,-22.83208018
54.97600,-21.61130255
54.97650,-15.8126088
54.97700,-7.877554205
54.97750,-1.163277235
54.97800,0.9730836188
54.97850,-2.078860458
54.97900,-10.62430387
54.97950,-19.16974729
54.98000,-22.83208018
54.98050,-22.22169137
54.98100,-21.91649696
54.98150,-20.69571933
54.98200,-12.45547032
54.98250,6.16138855
54.98300,27.8301915
54.98350,39.12238458
54.98400,34.54446847
54.98450,21.42110893
54.98500,12.2652767
54.98550,11.34969348
54.98600,13.48605433
54.98650,12.2652767
54.98700,8.908138219
54.98750,7.38216618
54.98800,6.466582957
54.98850,0.6678892111
54.98900,-9.708720651
54.98950,-17.94896966
54.99000,-17.94896966
54.99050,-12.15027591
54.99100,-6.961970981
54.99150,-4.52041572
54.99200,-3.604832497
54.99250,-2.689249274
54.99300,-1.773666051
54.99350,-1.163277235
54.99400,0.3626948034
54.99450,3.41463888
54.99500,6.466582957
54.99550,7.38216618
54.99600,4.940610919
54.99650,0.3626948034
54.99700,-3.604832497
54.99750,-5.435998943
54.99800,-4.52041572
54.99850,-2.994443681
54.99900,-2.994443681
54.99950,-3.910026904
55.00000,-3.910026904
55.00050,-2.384054866
55.00100,-1.163277235
55.00150,-2.078860458
55.00200,-4.52041572
55.00250,-5.741193351
55.00300,-4.215221312
55.00350,-0.5528884197
55.00400,1.888666842
55.00450,1.583472434
55.00500,0.3626948034
55.00550,0.6678892111
55.00600,1.583472434
55.00650,2.19386125
55.00700,2.19386125
55.00750,2.499055657
55.00800,2.804250065
55.00850,3.719833288
55.00900,5.856194142
55.00950,8.602943811
55.01000,9.823721442
55.01050,6.466582957
55.01100,2.19386125
55.01150,1.278278026
55.01200,3.41463888
55.01250,3.719833288
55.01300,0.9730836188
55.01350,0.6678892111
55.01400,4.635416511
55.01450,8.602943811
55.01500,7.076971773
55.01550,1.888666842
55.01600,-0.8580828275
55.01650,0.05750039565
55.01700,0.6678892111
55.01750,-1.468471643
55.01800,-4.52041572
55.01850,-4.825610128
55.01900,-2.078860458
55.01950,1.583472434
55.02000,4.025027696
55.02050,4.330222103
55.02100,3.719833288
55.02150,3.41463888
55.02200,3.41463888
55.02250,2.499055657
55.02300,0.3626948034
55.02350,-0.8580828275
55.02400,-0.247694012
55.02450,1.278278026
55.02500,1.278278026
55.02550,0.6678892111
55.02600,1.278278026
55.02650,2.499055657
55.02700,2.804250065
55.02750,2.499055657
55.02800,2.499055657
55.02850,2.19386125
55.02900,1.583472434
55.02950,0.3626948034
55.03000,0.3626948034
55.03050,0.9730836188
55.03100,0.9730836188
55.03150,0.9730836188
55.03200,1.278278026
55.03250,1.583472434
55.03300,1.583472434
55.03350,0.6678892111
55.03400,0.3626948034
55.03450,0.9730836188
55.03500,1.888666842
55.03550,1.888666842
55.03600,1.278278026
55.03650,0.05750039565
55.03700,-0.8580828275
55.03750,-1.773666051
55.03800,-2.689249274
55.03850,-3.910026904
55.03900,-4.825610128
55.03950,-4.825610128
55.04000,-4.825610128
55.04050,-5.130804535
55.04100,-5.741193351
55.04150,-5.741193351
55.04200,-4.825610128
55.04250,-2.994443681
55.04300,-0.247694012
55.04350,2.804250065
55.04400,4.330222103
55.04450,2.804250065
55.04500,0.6678892111
55.04550,1.278278026
55.04600,3.719833288
55.04650,4.940610919
55.04700,3.41463888
55.04750,0.3626948034
55.04800,-2.384054866
55.04850,-5.130804535
55.04900,-6.351582166
55.04950,-6.046387758
55.05000,-5.130804535
55.05050,-5.130804535
55.05100,-5.741193351
55.05150,-5.435998943
55.05200,-3.910026904
55.05250,-2.384054866
55.05300,-1.773666051
55.05350,-1.468471643
55.05400,-2.078860458
55.05450,-2.689249274
55.05500,-2.689249274
55.05550,-1.163277235
55.05600,0.05750039565
55.05650,0.05750039565
55.05700,-0.5528884197
55.05750,-0.247694012
55.05800,0.3626948034
55.05850,1.888666842
55.05900,4.330222103
55.05950,6.466582957
55.06000,6.466582957
55.06050,4.025027696
55.06100,2.19386125
55.06150,3.109444473
55.06200,5.856194142
55.06250,8.297749404
55.06300,10.43411026
55.06350,12.87566552
55.06400,13.79124874
55.06450,12.57047111
55.06500,10.12891585
55.06550,7.992554996
55.06600,5.550999734
55.06650,0.6678892111
55.06700,-4.825610128
55.06750,-10.62430387
55.06800,-16.72819203
55.06850,-22.52688577
55.06900,-23.74766341
55.06950,-18.86455288
55.07000,-11.23469269
55.07050,-6.656776574
55.07100,-5.741193351
55.07150,-6.046387758
55.07200,-7.267165389
