"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",65.96000,2000,22000,"uV"

"time","value"
65.96000,13.40338798
65.96050,10.65663831
65.96100,5.468333383
65.96150,0.8904172674
65.96200,-0.3303603634
65.96250,-0.02516595566
65.96300,1.500806083
65.96350,3.331972529
65.96400,5.163138975
65.96450,6.383916606
65.96500,6.078722198
65.96550,5.163138975
65.96600,4.247555752
65.96650,3.331972529
65.96700,3.331972529
65.96750,5.163138975
65.96800,8.215083052
65.96850,10.0462495
65.96900,10.35144391
65.96950,10.65663831
65.97000,12.18261035
65.97050,12.48780476
65.97100,9.741055091
65.97150,4.857944568
65.97200,-0.02516595566
65.97250,-3.992693256
65.97300,-9.791387002
65.97350,-16.50566397
65.97400,-21.99916331
65.97450,-23.83032976
65.97500,-22.60955213
65.97550,-19.55760805
65.97600,-15.59008075
65.97650,-11.92774786
65.97700,-9.486192594
65.97750,-8.875803779
65.97800,-7.655026148
65.97850,-6.434248517
65.97900,-5.518665294
65.97950,-4.908276479
65.98000,-2.771915625
65.98050,0.5852228597
65.98100,2.721583714
65.98150,1.500806083
65.98200,-0.9407491788
65.98250,-2.466721217
65.98300,-3.687498848
65.98350,-5.213470887
65.98400,-4.297887663
65.98450,0.8904172674
65.98500,6.383916606
65.98550,7.604694237
65.98600,5.163138975
65.98650,3.637166937
65.98700,4.247555752
65.98750,5.163138975
65.98800,5.468333383
65.98850,6.689111014
65.98900,8.52027746
65.98950,7.909888645
65.99000,5.163138975
65.99050,2.111194898
65.99100,0.280028452
65.99150,-0.6355547711
65.99200,-0.9407491788
65.99250,-0.6355547711
65.99300,-1.856332402
65.99350,-5.823859702
65.99400,-8.570609371
65.99450,-6.434248517
65.99500,-3.38230444
65.99550,-4.908276479
65.99600,-9.486192594
65.99650,-10.70697023
65.99700,-7.655026148
65.99750,-7.044637333
65.99800,-9.486192594
65.99850,-9.180998187
65.99900,-2.771915625
65.99950,3.637166937
66.00000,4.55275016
66.00050,2.111194898
66.00100,1.806000491
66.00150,2.416389306
66.00200,0.280028452
66.00250,-3.687498848
66.00300,-5.213470887
66.00350,-3.38230444
66.00400,-1.245943586
66.00450,-1.245943586
66.00500,-1.551137994
66.00550,-0.3303603634
66.00600,0.8904172674
66.00650,0.8904172674
66.00700,0.5852228597
66.00750,2.416389306
66.00800,6.689111014
66.00850,10.65663831
66.00900,12.48780476
66.00950,13.40338798
66.01000,15.84494324
66.01050,20.11766495
66.01100,21.9488314
66.01150,18.89688732
66.01200,13.40338798
66.01250,8.52027746
66.01300,4.55275016
66.01350,-1.245943586
66.01400,-11.01216463
66.01450,-19.86280246
66.01500,-21.38877449
66.01550,-14.67449753
66.01600,-6.434248517
66.01650,-2.466721217
66.01700,-1.245943586
66.01750,0.280028452
66.01800,2.721583714
66.01850,1.806000491
66.01900,-2.16152681
66.01950,-3.38230444
66.02000,1.195611675
66.02050,6.994305421
66.02100,7.909888645
66.02150,7.604694237
66.02200,13.09819358
66.02250,22.55922021
66.02300,26.52674751
66.02350,20.42285936
66.02400,10.96183272
66.02450,6.689111014
66.02500,7.909888645
66.02550,8.52027746
66.02600,6.078722198
66.02650,1.806000491
66.02700,-2.16152681
66.02750,-5.518665294
66.02800,-6.739442925
66.02850,-3.687498848
66.02900,2.111194898
66.02950,5.773527791
66.03000,2.416389306
66.03050,-4.603082071
66.03100,-10.40177582
66.03150,-13.14852549
66.03200,-14.97969193
66.03250,-17.42124719
66.03300,-15.89527516
66.03350,-8.570609371
66.03400,-0.02516595566
66.03450,1.500806083
66.03500,-3.687498848
66.03550,-9.486192594
66.03600,-11.01216463
66.03650,-10.40177582
66.03700,-11.92774786
66.03750,-14.36930312
66.03800,-15.59008075
66.03850,-14.36930312
66.03900,-13.7589143
66.03950,-13.14852549
66.04000,-10.40177582
66.04050,-4.603082071
66.04100,1.806000491
66.04150,7.299499829
66.04200,12.48780476
66.04250,19.20208173
66.04300,25.61116429
66.04350,30.18908041
66.04400,32.32544126
66.04450,32.32544126
66.04500,30.49427481
66.04550,25.30596988
66.04600,17.06572088
66.04650,8.825471868
66.04700,2.721583714
66.04750,0.280028452
66.04800,0.8904172674
66.04850,3.331972529
66.04900,5.773527791
66.04950,6.078722198
66.05000,2.111194898
66.05050,-4.603082071
66.05100,-10.70697023
66.05150,-14.67449753
66.05200,-18.03163601
66.05250,-21.99916331
66.05300,-24.13552416
66.05350,-22.30435772
66.05400,-18.94721923
66.05450,-15.59008075
66.05500,-11.62255345
66.05550,-4.603082071
66.05600,2.416389306
66.05650,4.857944568
66.05700,2.111194898
66.05750,-0.9407491788
66.05800,-1.856332402
66.05850,-2.466721217
66.05900,-5.518665294
66.05950,-8.265414964
66.06000,-6.739442925
66.06050,-2.466721217
66.06100,-0.02516595566
66.06150,-0.02516595566
66.06200,0.280028452
66.06250,3.637166937
66.06300,8.825471868
66.06350,13.40338798
66.06400,15.53974884
66.06450,15.23455443
66.06500,13.40338798
66.06550,10.65663831
66.06600,8.52027746
66.06650,5.773527791
66.06700,3.637166937
66.06750,2.416389306
66.06800,1.806000491
66.06850,0.8904172674
66.06900,-0.02516595566
66.06950,0.280028452
66.07000,1.806000491
66.07050,2.721583714
66.07100,0.8904172674
66.07150,-2.16152681
66.07200,-4.297887663
66.07250,-4.908276479
66.07300,-6.434248517
66.07350,-9.180998187
66.07400,-10.70697023
66.07450,-9.791387002
66.07500,-7.960220556
66.07550,-7.34983174
66.07600,-7.655026148
66.07650,-6.739442925
66.07700,-5.518665294
66.07750,-5.213470887
66.07800,-6.739442925
66.07850,-8.570609371
66.07900,-7.960220556
66.07950,-5.518665294
66.08000,-2.466721217
66.08050,-0.02516595566
66.08100,1.806000491
66.08150,3.331972529
66.08200,4.55275016
66.08250,5.773527791
66.08300,6.689111014
66.08350,6.689111014
66.08400,6.383916606
66.08450,6.383916606
66.08500,7.604694237
66.08550,9.435860683
66.08600,10.35144391
66.08650,9.130666275
66.08700,7.299499829
66.08750,5.163138975
66.08800,2.721583714
66.08850,0.280028452
66.08900,-1.551137994
66.08950,-2.466721217
66.09000,-3.38230444
66.09050,-4.297887663
66.09100,-4.297887663
