"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",65.96000,2000,22000,"uV"

"time","value"
65.96000,-19.47112867
65.96050,-10.92568526
65.96100,-5.432185919
65.96150,-4.516602696
65.96200,-3.601019473
65.96250,-2.380241842
65.96300,-2.075047435
65.96350,0.3665078269
65.96400,11.65870091
65.96450,27.83400452
65.96500,37.29503116
65.96550,33.63269827
65.96600,23.56128281
65.96650,15.62622821
65.96700,11.3535065
65.96750,5.860007166
65.96800,0.06131341924
65.96850,-2.075047435
65.96900,-0.8542698039
65.96950,-0.8542698039
65.97000,-2.990630658
65.97050,-4.211408289
65.97100,-1.464658619
65.97150,3.113257496
65.97200,7.385979204
65.97250,10.13272887
65.97300,10.43792328
65.97350,8.911951243
65.97400,7.080784796
65.97450,7.385979204
65.97500,8.911951243
65.97550,6.775590389
65.97600,0.9768966423
65.97650,-4.516602696
65.97700,-6.042574735
65.97750,-5.737380327
65.97800,-8.178935589
65.97850,-12.7568517
65.97900,-14.58801815
65.97950,-11.84126848
65.98000,-7.263352366
65.98050,-4.821797104
65.98100,-3.906213881
65.98150,-3.601019473
65.98200,-4.211408289
65.98250,-5.432185919
65.98300,-4.821797104
65.98350,-2.68543625
65.98400,-3.601019473
65.98450,-8.178935589
65.98500,-9.704907627
65.98550,-3.906213881
65.98600,2.808063089
65.98650,3.418451904
65.98700,-0.8542698039
65.98750,-2.990630658
65.98800,-1.769853027
65.98850,-4.211408289
65.98900,-10.01010203
65.98950,-8.484129996
65.99000,4.028840719
65.99050,16.84700584
65.99100,15.62622821
65.99150,0.9768966423
65.99200,-12.7568517
65.99250,-17.33476782
65.99300,-13.36724052
65.99350,-8.178935589
65.99400,-4.821797104
65.99450,-1.769853027
65.99500,5.554812758
65.99550,20.81453314
65.99600,35.76905912
65.99650,38.51580879
65.99700,26.9184213
65.99750,13.18467295
65.99800,7.691173612
65.99850,5.860007166
65.99900,-2.075047435
65.99950,-13.97762934
66.00000,-16.11399019
66.00050,-6.65296355
66.00100,3.723646312
66.00150,7.996368019
66.00200,8.301562427
66.00250,8.301562427
66.00300,5.860007166
66.00350,0.06131341924
66.00400,-3.601019473
66.00450,-2.075047435
66.00500,-0.8542698039
66.00550,-3.906213881
66.00600,-7.568546773
66.00650,-6.347769142
66.00700,-2.990630658
66.00750,-3.295825065
66.00800,-7.263352366
66.00850,-10.01010203
66.00900,-9.704907627
66.00950,-7.263352366
66.01000,-4.516602696
66.01050,-2.380241842
66.01100,-2.990630658
66.01150,-4.821797104
66.01200,-3.906213881
66.01250,-2.68543625
66.01300,-7.263352366
66.01350,-16.4191846
66.01400,-22.21787834
66.01450,-20.3867119
66.01500,-21.60748953
66.01550,-32.2892938
66.01600,-42.97109807
66.01650,-39.91915399
66.01700,-27.40618327
66.01750,-18.86073986
66.01800,-15.50360137
66.01850,-6.958157958
66.01900,10.13272887
66.01950,25.39244926
66.02000,31.49633741
66.02050,34.8534759
66.02100,43.09372491
66.02150,50.11319628
66.02200,46.14566898
66.02250,31.49633741
66.02300,16.54181144
66.02350,7.996368019
66.02400,5.24961835
66.02450,4.639229535
66.02500,5.554812758
66.02550,10.43792328
66.02600,18.37297788
66.02650,26.61322689
66.02700,31.191143
66.02750,31.191143
66.02800,23.56128281
66.02850,6.775590389
66.02900,-15.50360137
66.02950,-32.89968261
66.03000,-35.95162669
66.03050,-30.15293294
66.03100,-26.49060005
66.03150,-28.6269609
66.03200,-27.71137768
66.03250,-18.55554545
66.03300,-8.178935589
66.03350,-6.042574735
66.03400,-11.53607407
66.03450,-16.724379
66.03500,-15.80879578
66.03550,-9.094518812
66.03600,0.3665078269
66.03650,9.522340058
66.03700,13.48986736
66.03750,10.74311769
66.03800,5.554812758
66.03850,1.28209105
66.03900,-2.380241842
66.03950,-6.65296355
66.04000,-9.094518812
66.04050,-7.873741181
66.04100,-6.042574735
66.04150,-7.263352366
66.04200,-9.704907627
66.04250,-8.178935589
66.04300,-2.380241842
66.04350,2.808063089
66.04400,5.24961835
66.04450,6.165201573
66.04500,5.24961835
66.04550,1.587285458
66.04600,-2.075047435
66.04650,-1.464658619
66.04700,4.334035127
66.04750,8.606756835
66.04800,6.165201573
66.04850,-0.8542698039
66.04900,-7.263352366
66.04950,-9.094518812
66.05000,-7.873741181
66.05050,-6.958157958
66.05100,-7.568546773
66.05150,-9.39971322
66.05200,-10.31529644
66.05250,-9.094518812
66.05300,-6.65296355
66.05350,-5.126991512
66.05400,-6.347769142
66.05450,-9.39971322
66.05500,-11.53607407
66.05550,-10.01010203
66.05600,-4.821797104
66.05650,1.587285458
66.05700,7.080784796
66.05750,11.0483121
66.05800,14.10025617
66.05850,15.62622821
66.05900,15.0158394
66.05950,12.87947854
66.06000,13.18467295
66.06050,17.45739466
66.06100,22.34050518
66.06150,22.950894
66.06200,18.06778347
66.06250,11.96389532
66.06300,8.606756835
66.06350,7.385979204
66.06400,7.080784796
66.06450,6.775590389
66.06500,6.775590389
66.06550,7.691173612
66.06600,8.911951243
66.06650,9.827534466
66.06700,8.911951243
66.06750,5.860007166
66.06800,2.808063089
66.06850,1.587285458
66.06900,0.6717022346
66.06950,-0.2438809885
66.07000,-1.464658619
66.07050,-1.464658619
66.07100,0.06131341924
66.07150,1.892479865
66.07200,4.639229535
66.07250,9.21714565
66.07300,13.79506177
66.07350,14.40545058
66.07400,9.522340058
66.07450,2.502868681
66.07500,-1.464658619
66.07550,-1.464658619
66.07600,0.06131341924
66.07650,1.28209105
66.07700,0.9768966423
66.07750,0.06131341924
66.07800,-0.5490753962
66.07850,0.3665078269
66.07900,2.808063089
66.07950,3.418451904
66.08000,2.502868681
66.08050,2.502868681
66.08100,5.554812758
66.08150,7.996368019
66.08200,4.639229535
66.08250,-3.906213881
66.08300,-12.14646289
66.08350,-14.28282374
66.08400,-10.62049085
66.08450,-7.568546773
66.08500,-8.484129996
66.08550,-12.14646289
66.08600,-14.58801815
66.08650,-14.28282374
66.08700,-11.84126848
66.08750,-9.39971322
66.08800,-7.568546773
66.08850,-5.737380327
66.08900,-3.906213881
66.08950,-1.464658619
66.09000,0.3665078269
66.09050,1.28209105
66.09100,0.9768966423
66.09150,0.06131341924
66.09200,-0.5490753962
66.09250,-0.8542698039
66.09300,-1.159464212
66.09350,-2.68543625
66.09400,-4.821797104
66.09450,-4.821797104
66.09500,-0.8542698039
66.09550,3.723646312
66.09600,5.24961835
66.09650,1.28209105
66.09700,-4.211408289
66.09750,-6.958157958
66.09800,-5.126991512
66.09850,-2.380241842
66.09900,-2.990630658
66.09950,-6.347769142
66.10000,-8.789324404
66.10050,-7.263352366
66.10100,-4.211408289
66.10150,-2.68543625
66.10200,-4.211408289
66.10250,-5.126991512
66.10300,-5.126991512
66.10350,-5.432185919
66.10400,-7.263352366
