"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",241.96000,2000,22000,"uV"

"time","value"
241.96000,-1.530700188
241.96050,-3.056672226
241.96100,-5.19303308
241.96150,-5.803421896
241.96200,-3.361866634
241.96250,-0.004728149245
241.96300,2.436827112
241.96350,4.878382374
241.96400,9.151104082
241.96450,10.98227053
241.96500,3.962799151
241.96550,-8.244977157
241.96600,-16.18003176
241.96650,-14.65405972
241.96700,-9.16056038
241.96750,-7.024199526
241.96800,-5.498227488
241.96850,-2.141089003
241.96900,1.216049482
241.96950,2.436827112
241.97000,1.826438297
241.97050,2.131632705
241.97100,1.826438297
241.97150,-0.004728149245
241.97200,-0.3099225569
241.97250,1.826438297
241.97300,3.352410335
241.97350,0.9108550739
241.97400,-1.835894595
241.97450,-1.835894595
241.97500,-1.22550578
241.97550,-4.887838672
241.97600,-8.855365973
241.97650,-7.634588342
241.97700,-1.835894595
241.97750,2.436827112
241.97800,3.047215928
241.97850,2.74202152
241.97900,2.74202152
241.97950,2.131632705
241.98000,0.6056606662
241.98050,-0.9203113723
241.98100,-4.887838672
241.98150,-12.82289327
241.98200,-19.84236465
241.98250,-19.84236465
241.98300,-12.21250446
241.98350,-4.582644265
241.98400,-1.22550578
241.98450,-1.530700188
241.98500,-1.835894595
241.98550,-2.446283411
241.98600,-3.972255449
241.98650,-4.582644265
241.98700,-3.667061042
241.98750,-1.835894595
241.98800,-1.22550578
241.98850,-0.3099225569
241.98900,1.521243889
241.98950,3.962799151
241.99000,3.962799151
241.99050,1.521243889
241.99100,-0.3099225569
241.99150,-0.004728149245
241.99200,2.436827112
241.99250,4.573187966
241.99300,4.267993559
241.99350,3.047215928
241.99400,1.216049482
241.99450,-0.6151169646
241.99500,-2.446283411
241.99550,-2.141089003
241.99600,-0.004728149245
241.99650,-0.004728149245
241.99700,-3.361866634
241.99750,-6.413810711
241.99800,-4.887838672
241.99850,-0.3099225569
241.99900,0.9108550739
241.99950,-0.3099225569
242.00000,-1.530700188
242.00050,-0.9203113723
242.00100,-2.446283411
242.00150,-5.498227488
242.00200,-5.803421896
242.00250,-2.141089003
242.00300,0.9108550739
242.00350,1.826438297
242.00400,3.657604743
242.00450,9.151104082
242.00500,12.81343697
242.00550,10.67707612
242.00600,7.319937636
242.00650,7.930326451
242.00700,9.151104082
242.00750,2.436827112
242.00800,-10.68653242
242.00850,-19.23197583
242.00900,-16.79042057
242.00950,-7.939782749
242.01000,-2.446283411
242.01050,-2.141089003
242.01100,-3.056672226
242.01150,-3.056672226
242.01200,-2.751477819
242.01250,-2.751477819
242.01300,-1.22550578
242.01350,1.521243889
242.01400,3.352410335
242.01450,2.74202152
242.01500,-0.004728149245
242.01550,-1.835894595
242.01600,-1.835894595
242.01650,-0.004728149245
242.01700,2.436827112
242.01750,3.352410335
242.01800,2.131632705
242.01850,0.9108550739
242.01900,0.9108550739
242.01950,1.826438297
242.02000,2.131632705
242.02050,1.216049482
242.02100,0.6056606662
242.02150,1.521243889
242.02200,2.74202152
242.02250,3.657604743
242.02300,3.657604743
242.02350,2.74202152
242.02400,0.9108550739
242.02450,-0.004728149245
242.02500,0.3004662585
242.02550,1.216049482
242.02600,0.9108550739
242.02650,-0.9203113723
242.02700,-2.141089003
242.02750,-1.530700188
242.02800,-1.835894595
242.02850,-3.667061042
242.02900,-4.582644265
242.02950,-3.056672226
242.03000,-0.9203113723
242.03050,0.6056606662
242.03100,2.131632705
242.03150,4.267993559
242.03200,4.878382374
242.03250,2.74202152
242.03300,1.216049482
242.03350,3.657604743
242.03400,7.014743228
242.03450,4.267993559
242.03500,-4.582644265
242.03550,-12.21250446
242.03600,-11.90731005
242.03650,-7.024199526
242.03700,-3.667061042
242.03750,-3.361866634
242.03800,-2.751477819
242.03850,-0.004728149245
242.03900,2.131632705
242.03950,2.436827112
242.04000,1.216049482
242.04050,0.3004662585
242.04100,0.3004662585
242.04150,0.6056606662
242.04200,1.216049482
242.04250,1.826438297
242.04300,2.74202152
242.04350,3.352410335
242.04400,1.826438297
242.04450,-1.22550578
242.04500,-4.887838672
242.04550,-6.413810711
242.04600,-5.803421896
242.04650,-3.667061042
242.04700,-0.3099225569
242.04750,2.74202152
242.04800,4.878382374
242.04850,4.267993559
242.04900,2.74202152
242.04950,3.047215928
242.05000,4.573187966
242.05050,4.573187966
242.05100,0.6056606662
242.05150,-4.277449857
242.05200,-7.024199526
242.05250,-5.803421896
242.05300,-2.141089003
242.05350,0.3004662585
242.05400,1.216049482
242.05450,1.216049482
242.05500,1.521243889
242.05550,3.352410335
242.05600,4.878382374
242.05650,4.267993559
242.05700,2.131632705
242.05750,1.216049482
242.05800,3.047215928
242.05850,6.099160005
242.05900,6.404354412
242.05950,3.962799151
242.06000,1.521243889
242.06050,1.521243889
242.06100,2.131632705
242.06150,-0.004728149245
242.06200,-3.667061042
242.06250,-4.582644265
242.06300,-1.22550578
242.06350,1.521243889
242.06400,1.521243889
242.06450,0.3004662585
242.06500,1.826438297
242.06550,5.793965597
242.06600,8.540715266
242.06650,10.0666873
242.06700,11.89785375
242.06750,13.42382579
242.06800,12.50824257
242.06850,10.0666873
242.06900,7.625132043
242.06950,2.131632705
242.07000,-10.0761436
242.07050,-24.11508636
242.07100,-28.38780807
242.07150,-18.62158702
242.07200,-3.667061042
242.07250,4.878382374
242.07300,6.70954882
242.07350,6.404354412
242.07400,5.793965597
242.07450,3.962799151
242.07500,0.9108550739
242.07550,0.3004662585
242.07600,2.74202152
242.07650,4.878382374
242.07700,5.793965597
242.07750,6.404354412
242.07800,7.930326451
242.07850,9.151104082
242.07900,8.845909674
242.07950,6.70954882
242.08000,4.267993559
242.08050,2.436827112
242.08100,0.6056606662
242.08150,-1.835894595
242.08200,-5.19303308
242.08250,-7.329393934
242.08300,-6.413810711
242.08350,-2.446283411
242.08400,0.3004662585
242.08450,1.216049482
242.08500,1.216049482
242.08550,2.131632705
242.08600,3.047215928
242.08650,2.436827112
242.08700,1.216049482
242.08750,0.6056606662
242.08800,0.9108550739
242.08850,1.521243889
242.08900,2.131632705
242.08950,3.047215928
242.09000,3.657604743
242.09050,2.74202152
242.09100,1.216049482
242.09150,0.6056606662
242.09200,2.131632705
242.09250,3.962799151
242.09300,4.573187966
242.09350,3.047215928
242.09400,0.3004662585
242.09450,-1.22550578
242.09500,-1.530700188
242.09550,-0.6151169646
242.09600,-0.004728149245
242.09650,0.6056606662
242.09700,2.436827112
242.09750,5.183576782
242.09800,6.70954882
242.09850,4.573187966
242.09900,-0.004728149245
242.09950,-2.446283411
242.10000,-1.530700188
242.10050,-0.004728149245
242.10100,-1.530700188
242.10150,-4.887838672
242.10200,-6.719005119
242.10250,-5.803421896
242.10300,-4.582644265
242.10350,-4.277449857
242.10400,-4.277449857
242.10450,-3.361866634
242.10500,-2.446283411
242.10550,-2.446283411
242.10600,-2.141089003
242.10650,-0.9203113723
242.10700,0.6056606662
242.10750,2.436827112
242.10800,3.962799151
242.10850,4.267993559
242.10900,2.74202152
242.10950,-0.3099225569
242.11000,-2.446283411
242.11050,-1.22550578
242.11100,2.131632705
242.11150,4.267993559
242.11200,2.131632705
242.11250,-3.361866634
242.11300,-9.16056038
242.11350,-12.51769887
242.11400,-12.51769887
242.11450,-8.855365973
242.11500,-4.277449857
242.11550,-0.6151169646
242.11600,-0.004728149245
242.11650,-0.9203113723
242.11700,-1.835894595
242.11750,-1.835894595
242.11800,-1.835894595
242.11850,-2.751477819
242.11900,-3.056672226
242.11950,-1.835894595
242.12000,-0.004728149245
242.12050,0.6056606662
242.12100,-0.3099225569
242.12150,-0.3099225569
242.12200,1.521243889
242.12250,3.657604743
242.12300,3.657604743
242.12350,3.962799151
242.12400,5.793965597
242.12450,9.45629849
242.12500,12.50824257
242.12550,12.81343697
242.12600,7.319937636
242.12650,-3.972255449
242.12700,-15.87483735
242.12750,-19.84236465
242.12800,-14.95925413
242.12850,-10.0761436
242.12900,-12.21250446
242.12950,-17.09561498
242.13000,-16.18003176
242.13050,-8.855365973
242.13100,-2.446283411
242.13150,-0.004728149245
242.13200,1.521243889
242.13250,4.878382374
242.13300,6.404354412
242.13350,3.657604743
242.13400,-0.004728149245
242.13450,-0.9203113723
242.13500,1.216049482
242.13550,4.573187966
242.13600,5.183576782
242.13650,1.826438297
242.13700,-4.277449857
242.13750,-9.770949196
242.13800,-11.90731005
242.13850,-11.60211564
242.13900,-11.60211564
242.13950,-12.21250446
242.14000,-10.68653242
242.14050,-7.634588342
242.14100,-5.803421896
242.14150,-5.803421896
242.14200,-5.19303308
242.14250,-2.446283411
242.14300,0.6056606662
242.14350,2.131632705
242.14400,2.74202152
242.14450,3.657604743
242.14500,3.657604743
242.14550,3.047215928
242.14600,3.657604743
242.14650,6.70954882
242.14700,9.45629849
242.14750,8.235520859
242.14800,4.267993559
242.14850,1.826438297
242.14900,3.047215928
242.14950,5.793965597
242.15000,7.014743228
242.15050,4.573187966
242.15100,-0.004728149245
242.15150,-3.361866634
242.15200,-3.361866634
242.15250,-0.6151169646
242.15300,2.131632705
242.15350,3.047215928
242.15400,1.216049482
242.15450,-1.835894595
