"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",241.96000,2000,22000,"uV"

"time","value"
241.96000,3.418451904
241.96050,1.587285458
241.96100,-7.263352366
241.96150,-12.7568517
241.96200,-7.568546773
241.96250,2.197674273
241.96300,6.775590389
241.96350,4.944423942
241.96400,3.418451904
241.96450,6.775590389
241.96500,13.48986736
241.96550,18.9833667
241.96600,19.2885611
241.96650,13.79506177
241.96700,4.944423942
241.96750,-1.159464212
241.96800,-2.380241842
241.96850,-0.2438809885
241.96900,2.502868681
241.96950,5.554812758
241.97000,9.522340058
241.97050,13.18467295
241.97100,13.79506177
241.97150,8.911951243
241.97200,0.9768966423
241.97250,-6.042574735
241.97300,-9.704907627
241.97350,-10.92568526
241.97400,-10.62049085
241.97450,-7.568546773
241.97500,1.587285458
241.97550,15.93142262
241.97600,25.08725485
241.97650,19.89894992
241.97700,4.334035127
241.97750,-8.484129996
241.97800,-12.14646289
241.97850,-10.01010203
241.97900,-8.789324404
241.97950,-7.873741181
241.98000,-6.042574735
241.98050,-3.295825065
241.98100,0.06131341924
241.98150,4.639229535
241.98200,10.13272887
241.98250,13.18467295
241.98300,11.0483121
241.98350,8.911951243
241.98400,11.3535065
241.98450,15.93142262
241.98500,15.93142262
241.98550,10.13272887
241.98600,4.028840719
241.98650,0.6717022346
241.98700,-0.8542698039
241.98750,-3.295825065
241.98800,-6.042574735
241.98850,-6.65296355
241.98900,-4.211408289
241.98950,-1.464658619
241.99000,-1.464658619
241.99050,-5.432185919
241.99100,-10.92568526
241.99150,-13.36724052
241.99200,-11.53607407
241.99250,-7.568546773
241.99300,-5.737380327
241.99350,-5.432185919
241.99400,-3.601019473
241.99450,2.197674273
241.99500,11.65870091
241.99550,20.20414433
241.99600,21.42492196
241.99650,12.57428413
241.99700,-0.2438809885
241.99750,-7.568546773
241.99800,-5.126991512
241.99850,0.3665078269
241.99900,3.418451904
241.99950,4.028840719
242.00000,4.334035127
242.00050,3.113257496
242.00100,-0.2438809885
242.00150,-2.075047435
242.00200,0.6717022346
242.00250,4.028840719
242.00300,1.892479865
242.00350,-1.464658619
242.00400,0.3665078269
242.00450,5.860007166
242.00500,2.808063089
242.00550,-10.92568526
242.00600,-24.3542392
242.00650,-27.71137768
242.00700,-23.13346157
242.00750,-16.724379
242.00800,-11.84126848
242.00850,-8.484129996
242.00900,-9.094518812
242.00950,-14.58801815
242.01000,-19.16593427
242.01050,-18.25035104
242.01100,-13.36724052
242.01150,-8.789324404
242.01200,-5.432185919
242.01250,-1.769853027
242.01300,2.502868681
242.01350,7.691173612
242.01400,15.3210338
242.01450,21.73011637
242.01500,19.89894992
242.01550,7.080784796
242.01600,-7.568546773
242.01650,-13.67243493
242.01700,-10.62049085
242.01750,-6.958157958
242.01800,-7.263352366
242.01850,-9.704907627
242.01900,-10.31529644
242.01950,-9.39971322
242.02000,-7.263352366
242.02050,-4.821797104
242.02100,-2.68543625
242.02150,0.06131341924
242.02200,7.080784796
242.02250,18.06778347
242.02300,26.30803248
242.02350,25.08725485
242.02400,15.3210338
242.02450,5.554812758
242.02500,0.9768966423
242.02550,0.06131341924
242.02600,-1.464658619
242.02650,-3.601019473
242.02700,-3.906213881
242.02750,-2.68543625
242.02800,-1.159464212
242.02850,-0.8542698039
242.02900,-1.769853027
242.02950,-3.295825065
242.03000,-4.516602696
242.03050,-3.295825065
242.03100,-1.464658619
242.03150,-0.2438809885
242.03200,-0.2438809885
242.03250,-0.2438809885
242.03300,0.06131341924
242.03350,0.6717022346
242.03400,1.587285458
242.03450,4.334035127
242.03500,7.691173612
242.03550,9.827534466
242.03600,10.43792328
242.03650,11.0483121
242.03700,11.3535065
242.03750,9.21714565
242.03800,3.723646312
242.03850,-1.769853027
242.03900,-4.211408289
242.03950,-2.990630658
242.04000,-1.159464212
242.04050,-0.8542698039
242.04100,-0.5490753962
242.04150,1.892479865
242.04200,7.996368019
242.04250,14.40545058
242.04300,18.67817229
242.04350,20.81453314
242.04400,21.73011637
242.04450,20.50933874
242.04500,13.48986736
242.04550,2.808063089
242.04600,-6.042574735
242.04650,-11.53607407
242.04700,-16.724379
242.04750,-22.82826716
242.04800,-25.26982242
242.04850,-20.99710071
242.04900,-14.89321256
242.04950,-12.14646289
242.05000,-10.01010203
242.05050,-3.601019473
242.05100,4.028840719
242.05150,6.775590389
242.05200,3.723646312
242.05250,0.3665078269
242.05300,-0.8542698039
242.05350,-4.821797104
242.05400,-11.53607407
242.05450,-14.58801815
242.05500,-9.704907627
242.05550,-1.769853027
242.05600,1.587285458
242.05650,0.6717022346
242.05700,-0.5490753962
242.05750,-1.159464212
242.05800,-2.075047435
242.05850,-3.295825065
242.05900,-1.464658619
242.05950,1.892479865
242.06000,4.028840719
242.06050,2.197674273
242.06100,0.3665078269
242.06150,0.6717022346
242.06200,1.28209105
242.06250,-1.159464212
242.06300,-6.347769142
242.06350,-10.01010203
242.06400,-9.704907627
242.06450,-5.737380327
242.06500,-1.464658619
242.06550,0.6717022346
242.06600,1.28209105
242.06650,4.639229535
242.06700,13.79506177
242.06750,25.69764367
242.06800,32.10672623
242.06850,29.05478215
242.06900,22.64569959
242.06950,19.89894992
242.07000,17.15220025
242.07050,7.691173612
242.07100,-5.737380327
242.07150,-13.67243493
242.07200,-13.36724052
242.07250,-12.7568517
242.07300,-17.94515664
242.07350,-24.6594336
242.07400,-25.88021124
242.07450,-22.52307275
242.07500,-19.77632308
242.07550,-17.94515664
242.07600,-15.80879578
242.07650,-13.67243493
242.07700,-13.06204611
242.07750,-12.7568517
242.07800,-10.92568526
242.07850,-8.789324404
242.07900,-7.568546773
242.07950,-5.126991512
242.08000,-0.8542698039
242.08050,1.892479865
242.08100,3.113257496
242.08150,7.996368019
242.08200,19.2885611
242.08250,31.191143
242.08300,36.07425353
242.08350,34.8534759
242.08400,33.32750386
242.08450,32.41192064
242.08500,29.97036537
242.08550,25.08725485
242.08600,17.45739466
242.08650,2.808063089
242.08700,-20.08151749
242.08750,-40.83473721
242.08800,-44.1918757
242.08850,-30.76332176
242.08900,-17.02957341
242.08950,-16.11399019
242.09000,-23.43865597
242.09050,-27.40618327
242.09100,-23.74385038
242.09150,-17.02957341
242.09200,-11.53607407
242.09250,-6.042574735
242.09300,1.587285458
242.09350,14.10025617
242.09400,28.44439334
242.09450,37.90541997
242.09500,36.37944794
242.09550,26.00283807
242.09600,16.23661703
242.09650,11.3535065
242.09700,7.080784796
242.09750,-1.769853027
242.09800,-11.84126848
242.09850,-14.58801815
242.09900,-10.31529644
242.09950,-6.347769142
242.10000,-5.432185919
242.10050,-4.516602696
242.10100,-0.2438809885
242.10150,3.113257496
242.10200,3.418451904
242.10250,2.808063089
242.10300,5.24961835
242.10350,8.911951243
242.10400,9.522340058
242.10450,6.165201573
242.10500,1.892479865
242.10550,-0.8542698039
242.10600,-2.380241842
242.10650,-3.601019473
242.10700,-2.990630658
242.10750,0.06131341924
242.10800,4.639229535
242.10850,8.606756835
242.10900,9.21714565
242.10950,5.554812758
242.11000,0.06131341924
242.11050,-3.601019473
242.11100,-5.737380327
242.11150,-8.178935589
242.11200,-11.23087967
242.11250,-8.789324404
242.11300,1.28209105
242.11350,13.18467295
242.11400,18.37297788
242.11450,15.62622821
242.11500,11.0483121
242.11550,7.385979204
242.11600,3.418451904
242.11650,-1.464658619
242.11700,-4.516602696
242.11750,-2.075047435
242.11800,3.418451904
242.11850,7.691173612
242.11900,7.996368019
242.11950,4.639229535
242.12000,0.3665078269
242.12050,-2.68543625
242.12100,-4.211408289
242.12150,-3.601019473
242.12200,-2.075047435
242.12250,-1.769853027
242.12300,-2.380241842
242.12350,-3.295825065
242.12400,-4.211408289
242.12450,-6.958157958
242.12500,-12.14646289
242.12550,-16.724379
242.12600,-17.02957341
242.12650,-12.4516573
242.12700,-6.65296355
242.12750,-2.990630658
242.12800,0.3665078269
242.12850,6.775590389
242.12900,14.71064499
242.12950,18.67817229
242.13000,16.23661703
242.13050,10.13272887
242.13100,4.334035127
242.13150,-0.2438809885
242.13200,-3.295825065
242.13250,-3.601019473
242.13300,-1.464658619
242.13350,0.6717022346
242.13400,0.06131341924
242.13450,-3.295825065
242.13500,-7.263352366
242.13550,-10.62049085
242.13600,-13.36724052
242.13650,-15.80879578
242.13700,-18.25035104
242.13750,-19.77632308
242.13800,-18.25035104
242.13850,-12.4516573
242.13900,-5.432185919
242.13950,-0.5490753962
242.14000,2.197674273
242.14050,6.775590389
242.14100,11.96389532
242.14150,13.79506177
242.14200,12.87947854
242.14250,16.23661703
242.14300,25.69764367
242.14350,33.02230945
242.14400,29.05478215
242.14450,15.62622821
242.14500,3.418451904
242.14550,-1.769853027
242.14600,-5.126991512
242.14650,-10.62049085
242.14700,-14.89321256
242.14750,-12.4516573
242.14800,-5.126991512
242.14850,-0.2438809885
242.14900,0.6717022346
242.14950,4.334035127
242.15000,13.79506177
242.15050,23.2560884
242.15100,22.34050518
242.15150,11.65870091
242.15200,0.9768966423
242.15250,-2.380241842
242.15300,-1.769853027
242.15350,-3.601019473
242.15400,-7.873741181
242.15450,-10.31529644
242.15500,-8.789324404
242.15550,-5.737380327
242.15600,-2.990630658
242.15650,0.06131341924
242.15700,2.808063089
242.15750,4.639229535
242.15800,5.554812758
242.15850,5.554812758
242.15900,4.028840719
242.15950,2.502868681
242.16000,4.028840719
242.16050,7.996368019
242.16100,8.606756835
242.16150,3.723646312
242.16200,-0.5490753962
242.16250,0.3665078269
242.16300,3.113257496
242.16350,-1.159464212
242.16400,-12.4516573
242.16450,-21.30229512
242.16500,-21.60748953
242.16550,-16.4191846
242.16600,-11.84126848
242.16650,-9.39971322
242.16700,-9.704907627
242.16750,-11.84126848
242.16800,-13.97762934
242.16850,-12.4516573
242.16900,-10.01010203
242.16950,-11.53607407
242.17000,-17.02957341
242.17050,-20.6919063
242.17100,-18.55554545
242.17150,-13.97762934
242.17200,-10.62049085
242.17250,-8.178935589
242.17300,-3.906213881
242.17350,0.3665078269
242.17400,3.113257496
242.17450,4.028840719
242.17500,4.944423942
242.17550,4.334035127
242.17600,2.502868681
242.17650,1.28209105
242.17700,1.28209105
242.17750,0.3665078269
242.17800,-1.464658619
242.17850,-0.8542698039
242.17900,4.334035127
242.17950,11.3535065
242.18000,14.10025617
242.18050,11.3535065
242.18100,6.775590389
242.18150,2.197674273
242.18200,-2.68543625
242.18250,-6.958157958
242.18300,-6.042574735
242.18350,-1.159464212
242.18400,2.502868681
242.18450,2.502868681
242.18500,0.3665078269
242.18550,-1.464658619
242.18600,-3.906213881
242.18650,-5.432185919
242.18700,-4.821797104
242.18750,-2.68543625
242.18800,-2.380241842
242.18850,-3.295825065
242.18900,-0.5490753962
242.18950,6.165201573
242.19000,11.3535065
242.19050,10.43792328
242.19100,6.775590389
242.19150,5.24961835
242.19200,5.554812758
242.19250,3.113257496
242.19300,-0.5490753962
242.19350,-0.2438809885
242.19400,4.944423942
242.19450,9.827534466
242.19500,10.74311769
242.19550,9.827534466
242.19600,9.827534466
242.19650,10.13272887
242.19700,8.606756835
242.19750,6.165201573
242.19800,2.502868681
242.19850,-1.769853027
242.19900,-6.65296355
242.19950,-8.484129996
242.20000,-5.126991512
242.20050,-1.769853027
242.20100,-2.990630658
242.20150,-8.178935589
242.20200,-12.7568517
242.20250,-13.06204611
242.20300,-10.92568526
242.20350,-8.178935589
242.20400,-5.432185919
242.20450,-2.990630658
242.20500,-1.769853027
242.20550,-1.769853027
242.20600,-2.075047435
242.20650,-1.159464212
242.20700,0.6717022346
242.20750,1.28209105
242.20800,0.06131341924
242.20850,-1.769853027
242.20900,-2.68543625
242.20950,0.3665078269
242.21000,7.385979204
242.21050,14.10025617
242.21100,14.71064499
242.21150,8.606756835
242.21200,1.587285458
242.21250,-1.159464212
242.21300,-0.2438809885
242.21350,-0.2438809885
242.21400,-2.68543625
242.21450,-5.432185919
242.21500,-6.042574735
242.21550,-4.821797104
242.21600,-2.68543625
242.21650,-0.2438809885
242.21700,1.28209105
242.21750,1.587285458
242.21800,0.6717022346
242.21850,1.892479865
242.21900,7.691173612
242.21950,14.71064499
242.22000,18.67817229
242.22050,16.84700584
242.22100,12.26908973
242.22150,8.301562427
242.22200,6.165201573
242.22250,4.639229535
242.22300,3.723646312
242.22350,3.723646312
