"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",285.96000,2000,22000,"uV"

"time","value"
285.96000,-3.38230444
285.96050,-6.12905411
285.96100,-7.34983174
285.96150,-7.655026148
285.96200,-9.180998187
285.96250,-11.01216463
285.96300,-12.23294226
285.96350,-14.06410871
285.96400,-16.20046956
285.96450,-17.7264416
285.96500,-18.33683042
285.96550,-18.33683042
285.96600,-17.42124719
285.96650,-14.36930312
285.96700,-10.40177582
285.96750,-7.960220556
285.96800,-7.655026148
285.96850,-7.044637333
285.96900,-4.297887663
285.96950,-0.02516595566
285.97000,4.247555752
285.97050,9.741055091
285.97100,18.59169291
285.97150,29.57869159
285.97200,39.03971823
285.97250,42.39685671
285.97300,39.95530145
285.97350,34.46180211
285.97400,25.61116429
285.97450,13.09819358
285.97500,-0.02516595566
285.97550,-8.875803779
285.97600,-11.01216463
285.97650,-10.09658141
285.97700,-10.09658141
285.97750,-9.791387002
285.97800,-6.434248517
285.97850,-1.856332402
285.97900,-0.02516595566
285.97950,-0.6355547711
285.98000,-0.6355547711
285.98050,0.5852228597
285.98100,-0.02516595566
285.98150,-3.992693256
285.98200,-9.486192594
285.98250,-12.84333108
285.98300,-14.36930312
285.98350,-15.28488634
285.98400,-15.59008075
285.98450,-13.7589143
285.98500,-10.40177582
285.98550,-7.655026148
285.98600,-6.12905411
285.98650,-4.603082071
285.98700,-2.16152681
285.98750,2.111194898
285.98800,6.383916606
285.98850,7.909888645
285.98900,5.773527791
285.98950,3.637166937
285.99000,4.247555752
285.99050,6.689111014
285.99100,6.994305421
285.99150,5.163138975
285.99200,3.637166937
285.99250,4.247555752
285.99300,5.773527791
285.99350,6.383916606
285.99400,6.689111014
285.99450,6.689111014
285.99500,7.909888645
285.99550,9.741055091
285.99600,11.26702713
285.99650,8.52027746
285.99700,0.5852228597
285.99750,-6.739442925
285.99800,-7.960220556
285.99850,-2.771915625
285.99900,3.331972529
285.99950,6.078722198
286.00000,6.383916606
286.00050,5.773527791
286.00100,3.331972529
286.00150,-1.245943586
286.00200,-7.34983174
286.00250,-11.62255345
286.00300,-12.23294226
286.00350,-9.486192594
286.00400,-5.823859702
286.00450,-3.38230444
